Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0060828,regulation of canonical Wnt signaling pathway,19_GO:0050896 response to stimulus,-5.1,3,5.5,30230,286,729,21,2.9,0.62,166|1453|1454|1501|2719|2737|3487|3489|4300|5218|6787|6934|8658|9113|10297|10413|25937|25960|56998|57664|83786,TLE5|CSNK1D|CSNK1E|CTNND2|GPC3|GLI3|IGFBP4|IGFBP6|MLLT3|CDK14|NEK4|TCF7L2|TNKS|LATS1|APC2|YAP1|WWTR1|ADGRA2|CTNNBIP1|PLEKHA4|FRMD8,-2.6
MyList,Reactome Gene Sets,6,R-HSA-4839726,Chromatin organization,,-5.1,3,5.5,30230,286,729,21,2.9,0.62,595|605|2122|3014|5978|6880|6881|9611|10362|10524|11143|23506|26009|26039|29998|51562|54815|65980|84444|284058|339287,CCND1|BCL7A|MECOM|H2AX|REST|TAF9|TAF10|NCOR1|HMG20B|KAT5|KAT7|BICRAL|ZZZ3|SS18L1|BICRA|MBIP|GATAD2A|BRD9|DOT1L|KANSL1|MSL1,-2.6
MyList,Canonical Pathways,11,M5885,NABA MATRISOME ASSOCIATED,,-5.1,2.2,5,30230,751,729,39,5.3,0.83,1475|1489|1953|2147|2158|2162|2719|3082|3083|3263|3479|3697|5125|5361|6281|6320|6383|6387|6906|7044|7092|7424|8751|9547|9723|10082|10220|10501|51129|53342|54507|57715|60676|80274|80310|80760|221914|284018|392617,CSTA|CTF1|MEGF6|F2|F9|F13A1|GPC3|HGF|HGFAC|HPX|IGF1|ITIH1|PCSK5|PLXNA1|S100A10|CLEC11A|SDC2|CXCL12|SERPINA7|LEFTY2|TLL1|VEGFC|ADAM15|CXCL14|SEMA3E|GPC6|GDF11|SEMA6B|ANGPTL4|IL17D|ADAMTSL4|SEMA4G|PAPPA2|SCUBE1|PDGFD|ITIH5|GPC2|C17orf58|ELFN1,-2.6
MyList,GO Biological Processes,19,GO:0031344,regulation of cell projection organization,19_GO:0050789 regulation of biological process,-5.1,2.2,5.1,30230,669,729,36,4.9,0.8,1946|1948|1949|2039|2049|3383|4734|4739|4756|6091|6092|6383|6387|6696|6792|8766|9139|9760|10413|10602|11135|22871|23247|26037|26039|50487|51199|65009|65078|81565|84079|84260|116840|148170|162427|221914,EFNA5|EFNB2|EFNB3|DMTN|EPHB3|ICAM1|NEDD4|NEDD9|NEO1|ROBO1|ROBO2|SDC2|CXCL12|SPP1|CDKL5|RAB11A|CBFA2T2|TOX|YAP1|CDC42EP3|CDC42EP1|NLGN1|KATNIP|SIPA1L1|SS18L1|PLA2G3|NIN|NDRG4|RTN4R|NDEL1|ANKRD27|TCHP|CNTROB|CDC42EP5|RETREG3|GPC2,-2.6
MyList,GO Biological Processes,19,GO:0045596,negative regulation of cell differentiation,19_GO:0032502 developmental process,-5.1,2.1,5,30230,755,729,39,5.3,0.83,605|862|972|1949|2147|2737|3400|3479|3707|4211|4772|4854|5978|6096|6522|6696|6777|7041|7424|8861|9607|9759|10220|10252|10413|23506|25937|27086|29998|51564|53342|55553|56478|65078|65980|79365|84524|114990|359845,BCL7A|RUNX1T1|CD74|EFNB3|F2|GLI3|ID4|IGF1|ITPKB|MEIS1|NFATC1|NOTCH3|REST|RORB|SLC4A2|SPP1|STAT5B|TGFB1I1|VEGFC|LDB1|CARTPT|HDAC4|GDF11|SPRY1|YAP1|BICRAL|WWTR1|FOXP1|BICRA|HDAC7|IL17D|SOX6|EIF4ENIF1|RTN4R|BRD9|BHLHE41|ZC3H8|VASN|RFLNB,-2.6
MyList,GO Cellular Components,20,GO:1990907,beta-catenin-TCF complex,,-5.1,16,8.5,30230,13,729,5,0.69,0.31,607|6925|6934|8861|283149,BCL9|TCF4|TCF7L2|LDB1|BCL9L,-2.5
MyList,KEGG Pathway,24,hsa03022,Basal transcription factors,,-5,7.5,6.8,30230,44,729,8,1.1,0.39,2961|6874|6880|6881|6882|51616|83860|129685,GTF2E2|TAF4|TAF9|TAF10|TAF11|TAF9B|TAF3|TAF8,-2.5
MyList,GO Cellular Components,20,GO:0005669,transcription factor TFIID complex,,-5,7.5,6.8,30230,44,729,8,1.1,0.39,2961|6874|6880|6881|6882|51616|83860|129685,GTF2E2|TAF4|TAF9|TAF10|TAF11|TAF9B|TAF3|TAF8,-2.5
MyList,GO Cellular Components,20,GO:0036064,ciliary basal body,,-5,3.3,5.5,30230,226,729,18,2.5,0.57,1453|4291|4739|6792|9857|23247|26146|26586|51199|54806|80254|80817|84080|84140|85302|116840|152185|152206,CSNK1D|MLF1|NEDD9|CDKL5|CEP350|KATNIP|TRAF3IP1|CKAP2|NIN|AHI1|CEP63|CEP44|ENKD1|FAM161A|FBF1|CNTROB|SPICE1|CCDC13,-2.5
MyList,GO Biological Processes,19,GO:0032784,regulation of DNA-templated transcription elongation,19_GO:0050789 regulation of biological process,-5,4.7,5.9,30230,107,729,12,1.6,0.47,904|8861|9878|10001|11143|29079|57117|80789|84524|92105|112950|219541,CCNT1|LDB1|TOX4|MED6|KAT7|MED4|INTS12|INTS5|ZC3H8|INTS4|MED8|MED19,-2.5
MyList,GO Biological Processes,19,GO:0010389,regulation of G2/M transition of mitotic cell cycle,19_GO:0050789 regulation of biological process,-5,4.7,5.9,30230,107,729,12,1.6,0.47,595|1026|8766|29997|51149|51720|54984|57099|58493|60672|79035|124790,CCND1|CDKN1A|RAB11A|NOP53|MRNIP|UIMC1|PINX1|AVEN|INIP|MIIP|NABP2|HEXIM2,-2.5
MyList,GO Biological Processes,19,GO:0010972,negative regulation of G2/M transition of mitotic cell cycle,19_GO:0048519 negative regulation of biological process,-4.9,5.5,6.2,30230,75,729,10,1.4,0.43,1026|29997|51149|51720|54984|57099|58493|60672|79035|124790,CDKN1A|NOP53|MRNIP|UIMC1|PINX1|AVEN|INIP|MIIP|NABP2|HEXIM2,-2.4
MyList,GO Molecular Functions,21,GO:0070063,RNA polymerase binding,,-4.9,6.2,6.4,30230,60,729,9,1.2,0.41,904|2073|4734|6881|51322|57661|58506|84337|144108,CCNT1|ERCC5|NEDD4|TAF10|WAC|PHRF1|SCAF1|ELOF1|SPTY2D1,-2.4
MyList,GO Cellular Components,20,GO:0031248,protein acetyltransferase complex,,-4.9,4.6,5.9,30230,109,729,12,1.6,0.47,71|6874|6880|6881|10524|11143|26009|51562|51616|54107|284058|339287,ACTG1|TAF4|TAF9|TAF10|KAT5|KAT7|ZZZ3|MBIP|TAF9B|POLE3|KANSL1|MSL1,-2.4
MyList,GO Molecular Functions,21,GO:0070530,K63-linked polyubiquitin modification-dependent protein binding,,-4.9,11,7.4,30230,23,729,6,0.82,0.33,10133|51720|54629|79155|254225|257397,OPTN|UIMC1|MINDY2|TNIP2|RNF169|TAB3,-2.4
MyList,WikiPathways,27,WP2857,Mesodermal commitment pathway,,-4.9,3.9,5.6,30230,147,729,14,1.9,0.51,595|4211|6001|6925|7044|8553|9113|9760|10413|23373|23528|27245|27324|79035,CCND1|MEIS1|RGS10|TCF4|LEFTY2|BHLHE40|LATS1|TOX|YAP1|CRTC1|ZNF281|AHDC1|TOX3|NABP2,-2.4
MyList,GO Biological Processes,19,GO:0060485,mesenchyme development,19_GO:0032502 developmental process,-4.8,3.1,5.3,30230,253,729,19,2.6,0.59,1947|3082|3479|4734|5076|6091|6092|6881|6909|8751|9723|10252|10413|10501|23420|25937|57181|57715|359845,EFNB1|HGF|IGF1|NEDD4|PAX2|ROBO1|ROBO2|TAF10|TBX2|ADAM15|SEMA3E|SPRY1|YAP1|SEMA6B|NOMO1|WWTR1|SLC39A10|SEMA4G|RFLNB,-2.4
MyList,GO Biological Processes,19,GO:1902750,negative regulation of cell cycle G2/M phase transition,19_GO:0048519 negative regulation of biological process,-4.8,5.4,6.1,30230,77,729,10,1.4,0.43,1026|29997|51149|51720|54984|57099|58493|60672|79035|124790,CDKN1A|NOP53|MRNIP|UIMC1|PINX1|AVEN|INIP|MIIP|NABP2|HEXIM2,-2.3
MyList,GO Biological Processes,19,GO:0098609,cell-cell adhesion,19_GO:0009987 cellular process,-4.8,2.3,4.9,30230,556,729,31,4.3,0.75,71|460|1311|1475|1501|1824|1946|3383|3680|4267|4685|4756|5099|6091|6092|6464|7060|7087|8641|10318|10398|11135|22871|23767|54510|55243|57348|57549|57555|57575|392617,ACTG1|ASTN1|COMP|CSTA|CTNND2|DSC2|EFNA5|ICAM1|ITGA9|CD99|NCAM2|NEO1|PCDH7|ROBO1|ROBO2|SHC1|THBS4|ICAM5|PCDHGB4|TNIP1|MYL9|CDC42EP1|NLGN1|FLRT3|PCDH18|KIRREL1|TTYH1|IGSF9|NLGN2|PCDH10|ELFN1,-2.3
MyList,GO Biological Processes,19,GO:0051052,regulation of DNA metabolic process,19_GO:0050789 regulation of biological process,-4.8,2.4,4.9,30230,503,729,29,4,0.72,605|1026|2067|3007|3014|3082|3297|4216|6874|6880|6881|7270|8658|10524|11143|25792|26272|51149|51720|54107|54552|54984|56776|79035|79596|83444|151987|254225|283899,BCL7A|CDKN1A|ERCC1|H1-3|H2AX|HGF|HSF1|MAP3K4|TAF4|TAF9|TAF10|TTF1|TNKS|KAT5|KAT7|CIZ1|FBXO4|MRNIP|UIMC1|POLE3|GNL3L|PINX1|FMN2|NABP2|OBI1|INO80B|PPP4R2|RNF169|INO80E,-2.3
MyList,GO Biological Processes,19,GO:0021953,central nervous system neuron differentiation,19_GO:0032502 developmental process,-4.8,3.3,5.3,30230,212,729,17,2.3,0.56,1453|2049|2737|3400|5361|6091|6092|6096|8861|9723|9760|51199|55906|81565|89884|266727|340719,CSNK1D|EPHB3|GLI3|ID4|PLXNA1|ROBO1|ROBO2|RORB|LDB1|SEMA3E|TOX|NIN|ZC4H2|NDEL1|LHX4|MDGA1|NANOS1,-2.3
