"Gene","name","ID","Pathway","keep_sig_any","SigIn","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_control_atRAL5hr_centered","RDH12_100_atRAL5hr_centered","RDH12_200_atRAL5hr_centered","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio"
"STT3B","STT3B","Q8TCJ2","ER-associated",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.748,0.112,0.297,0.00800491064361867,0.86,0.670484736465951,0.185,0.00303658638005033,1.04
"MOGS","MOGS","Q13724","ER-associated",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,-0.454,-0.026,0.39,0.0320976827057332,0.428,0.106614919669019,0.416,0.000524482134703627,0.844
"PDIA5","PDIA5","Q14554","ER-associated",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.645,0.0292,0.46,0.00438807855264946,0.674,0.12455940418557,0.431,0.000108918375096753,1.1
"SEC63","SEC63","Q9UGP8","ER-associated",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,0.0466,0.0391,0.697,0.979118508827878,-0.00746,0.0672856520642894,0.657,0.0251530897122352,0.65
"PREB","PREB","Q9HCU5","ER-associated",TRUE,"200uM vs 100uM; 200uM vs Veh",FALSE,TRUE,TRUE,-0.32,-0.265,0.462,0.814479647831417,0.0551,0.0254259365181001,0.728,0.00274198000716949,0.783
"CKAP4","CKAP4","Q07065","ER-associated",TRUE,"200uM vs 100uM",FALSE,TRUE,FALSE,-0.172,-0.707,0.146,0.0453804116838831,-0.536,0.0254569125251461,0.853,0.255045775672156,0.318
"DNAJC1","DNAJC1","Q96KC8","ER-associated",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,0.354,-0.639,-0.0534,0.00737706916684739,-0.993,0.187281131129296,0.585,0.26418612770843,-0.407
"RRBP1","RRBP1","Q9P2E9","ER-associated",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,0.914,-0.945,-0.449,0.000681248312810923,-1.86,0.392726265651338,0.496,0.00666375087680783,-1.36
"DNAJB14","DNAJB14","Q8TBM8","ER-associated",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,0.945,-0.601,-0.119,0.00103620500765011,-1.55,0.348481330921695,0.482,0.0146172167888655,-1.06
"DNAJC9","DNAJC9","Q8WXX5","ER-associated",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.05,-0.531,-0.302,0.000734725359475703,-1.58,0.675838814553883,0.229,0.00257160847014048,-1.35
"DAD1","DAD1","P61803","ER-associated",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,0.994,-0.194,-0.189,0.00537735081154152,-1.19,0.994410582506515,0.00547,0.00738718823442547,-1.18
"DNAJB1","DNAJB1","P25685","ER-associated",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,0.961,0.0354,0.0841,0.00217391258153174,-0.925,0.910628374729723,0.0487,0.00410563638783384,-0.876
"DNAJA2","DNAJA2","O60884","ER-associated",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,0.828,-0.171,0.331,0.00188705173225979,-0.999,0.166517188264074,0.502,0.0940008146162414,-0.497
"DNAJB12","DNAJB12","Q9NXW2","ER-associated",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,0.851,-0.403,0.261,0.00168852552090542,-1.25,0.138933633873335,0.664,0.106395047241054,-0.59
"DNAJB6","DNAJB6","O75190","ER-associated",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,0.559,-0.13,0.191,0.00100976482264743,-0.689,0.158380177934927,0.321,0.0497909090778924,-0.368
"DNAJB9","DNAJB9","Q9UBS3","ER-associated",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,0.545,-0.148,-0.0571,0.00774114366435983,-0.693,0.803145433452319,0.0911,0.0227858221701899,-0.602
"SEC61A2","SEC61A2","Q9H9S3","ER-associated",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,0.674,1.47,3.25,0.508716223694735,0.799,0.249678162310164,1.77,0.0459483433578652,2.57
"CALR","CALR","P27797","ER-associated",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,2.18,0.422,1.53,0.001172088177704,-1.76,0.0719177928747572,1.1,0.174632736063657,-0.656
"CANX","CANX","P27824","ER-associated",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,1.57,0.443,1.43,0.00273816619892204,-1.13,0.0375224681424276,0.984,0.697243807222912,-0.147
"PRKCSH","PRKCSH","P14314","ER-associated",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,1.81,0.381,1.42,0.0147733656701057,-1.43,0.152187236799067,1.04,0.518337204691417,-0.392
"LMAN2","LMAN2","Q12907","ER-associated",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,1.88,-0.349,1.33,0.000402871752086304,-2.23,0.0197480707114645,1.68,0.293417921540668,-0.544
"DNAJB11","DNAJB11","Q9UBS4","ER-associated",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,1.41,-0.175,0.999,0.00149161419719171,-1.58,0.0486711158894426,1.17,0.36812789641889,-0.411
"LMAN2L","LMAN2L","Q9H0V9","ER-associated",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,1.5,0.118,1.1,0.000935038046285256,-1.38,0.0423131508451428,0.985,0.282113923297179,-0.395
"SEC62","SEC62","Q99442","ER-associated",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,0.941,0.0817,0.938,0.0373691286146637,-0.859,0.10816464184964,0.856,0.994605687682211,-0.00345
"SEC61B","SEC61B","P60468","ER-associated",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,0.616,-0.041,0.503,0.0226562488646067,-0.657,0.133698343488765,0.544,0.720572135417616,-0.113
"DNAJA3","DNAJA3","Q96EY1","ER-associated",TRUE,"200uM vs 100uM",FALSE,TRUE,FALSE,0.552,-0.0324,0.762,0.0085355688737061,-0.584,0.0121160310516026,0.794,0.34181604856724,0.21
"PDIA3","PDIA3","P30101","ER-associated",TRUE,"200uM vs 100uM",FALSE,TRUE,FALSE,0.571,0.0807,0.708,0.00884652997626214,-0.491,0.0174843232192609,0.628,0.468925709942251,0.137
"DNAJA1","DNAJA1","P31689","ER-associated",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.7,-0.423,0.402,0.00127123885942705,-2.12,0.249420154753407,0.825,0.032221811731395,-1.29
"SEC61G","SEC61G","P60059","ER-associated",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.69,-0.0688,0.14,0.00166107257494264,-1.75,0.771646322467316,0.209,0.00506016817755446,-1.55
"DNAJB4","DNAJB4","Q9UDY4","ER-associated",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.25,0.223,0.328,0.000254676515552243,-1.03,0.734608021262624,0.105,0.000519366113163847,-0.92
"SAR1B","SAR1B","Q9Y6B6","ER-associated",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,1.44,0.408,0.795,0.0255500323717527,-1.03,0.519231281071733,0.388,0.173654015336326,-0.643
"TMEM258","TMEM258","P61165","ER-associated",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,1.44,0.128,0.635,0.00278243805509872,-1.31,0.313901069706507,0.507,0.0538019000073951,-0.804
"DNAJB2","DNAJB2","P25686","ER-associated",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.69,0.212,0.712,0.000280564187144547,-1.48,0.209858662100241,0.5,0.00558597070756914,-0.98
"SAR1A","SAR1A","Q9NR31","ER-associated",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.6,0.213,0.547,0.0052760838997172,-1.39,0.596680754006144,0.334,0.0327779186573649,-1.05
"HSPA6","HSPA6","P17066","HSP/chaperones",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,3.91,8.47,9.17,0.0325466150669199,4.57,0.825579831397932,0.702,0.0209723644928181,5.27
"HSPBAP1","HSPBAP1","Q96EW2","HSP/chaperones",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,3.63,-0.0214,2.02,0.037968930005128,-3.65,0.365599097516184,2.04,0.381957762781437,-1.61
"HSPA5","HSPA5","P11021","HSP/chaperones",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,1.69,-0.0395,1.1,0.000454921545319874,-1.73,0.0373199053569002,1.14,0.148382030859562,-0.591
"HSPA8","HSPA8","P11142","HSP/chaperones",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,2.04,0.194,0.891,0.000408191766305525,-1.85,0.184284946766598,0.697,0.011071917253577,-1.15
"HSPB1","HSPB1","P04792","HSP/chaperones",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,0.785,-0.418,0.116,0.000122556605231203,-1.2,0.0820417820136774,0.534,0.00925776247402195,-0.669
"HSPA1L","HSPA1L","P34931","HSP/chaperones",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.35,0.311,0.541,0.00560697653289534,-1.04,0.637244673982604,0.23,0.0304472182174516,-0.809
"HSPA2","HSPA2","P54652","HSP/chaperones",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.33,0.114,0.484,0.00118737819557797,-1.21,0.370993077583758,0.369,0.0154454917729956,-0.843
"HSPA9","HSPA9","P38646","HSP/chaperones",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,0.821,-0.316,0.588,0.000804056924281007,-1.14,0.0254569125251461,0.904,0.437233436155855,-0.233
"HSPE1","HSPE1","P61604","HSP/chaperones",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,0.88,-0.194,0.962,0.00172813463826867,-1.07,0.0110607269503602,1.16,0.815033655907167,0.0824
"HSP90AB4P","HSP90AB4P","Q58FF6","HSP/chaperones",TRUE,"200uM vs 100uM; 200uM vs Veh",FALSE,TRUE,TRUE,0.462,0.85,-1.02,0.430253654054074,0.388,0.0122103813925133,-1.87,0.00737910132468025,-1.49
"HSPA12A","HSPA12A","O43301","HSP/chaperones",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,-0.865,-0.106,-0.452,0.000528572787253859,0.759,0.126407263127547,-0.346,0.0283529479985555,0.413
"HSP90B1","HSP90B1","P14625","HSP/chaperones",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,-0.258,0.298,0.472,0.0379659117423761,0.555,0.637947352712328,0.175,0.0122510567303747,0.73
"HSPD1","HSPD1","P10809","HSP/chaperones",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,-0.104,-0.0591,0.518,0.778024828245561,0.0451,0.0129662505707681,0.577,0.000889440071180812,0.622
"HSPA4","HSPA4","P34932","HSP/chaperones",TRUE,"200uM vs 100uM; 200uM vs Veh",FALSE,TRUE,TRUE,0.456,0.501,-0.137,0.833733481855368,0.0455,0.0299795130570061,-0.638,0.00969942113021977,-0.593
"HSP90AB1","HSP90AB1","P08238","HSP/chaperones",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,-0.302,0.44,-0.377,0.0311775268904946,0.741,0.069673418563015,-0.817,0.849988797540357,-0.0758
"HSPH1","HSPH1","Q92598","HSP/chaperones",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,-0.073,0.588,-0.0484,0.022170543329517,0.661,0.0864491240126782,-0.637,0.945600916322514,0.0246
"MARCHF5","MARCHF5","Q9NX47","DUB",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,-0.236,0.188,0.423,0.0580383497354504,0.424,0.422463886710972,0.234,0.00827581721076705,0.658
"MARCHF6","MARCHF6","O60337","DUB",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.71,-0.154,0.289,0.00330260087943968,2.55,0.691947978417418,0.443,0.00135925118728153,2.99
"DERL1","DERL1","Q9BUN8","ERAD",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-4.64,0.668,0.957,9.08404265620514e-08,5.31,0.733130597012412,0.289,3.25264340275345e-08,5.6
"DERL2","DERL2","Q9GZP9","ERAD",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-3.01,0.169,1.32,0.0017013261507544,3.18,0.309756472442908,1.15,0.000159464255541366,4.34
"EDEM3","EDEM3","Q9BZQ6","ERAD",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.878,0.00339,0.198,0.00418406884862093,0.881,0.619069187570091,0.195,0.00134118019001026,1.08
"TRAM1","TRAM1","Q15629","ERAD",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,-0.754,-0.113,-0.122,0.0406005882738784,0.641,0.986925442615527,-0.00897,0.0545779051358496,0.633
"BCAP29","BCAP29","Q9UHQ4","ERAD",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.09,0.401,0.149,0.00166158091445922,1.49,0.668894565799012,-0.252,0.00734846220595162,1.24
"PLAA","PLAA","Q9Y263","ERAD",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,-1.06,0.386,-0.22,0.0101258617995895,1.45,0.381648282821804,-0.606,0.133105058713722,0.841
"UBXN1","UBXN1","Q04323","ERAD",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,0.932,-0.457,-0.529,0.00400464463479819,-1.39,0.920678147478689,-0.0716,0.00389335735041042,-1.46
"UBXN7","UBXN7","O94888","ERAD",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,0.567,-0.524,-0.508,0.00166158091445922,-1.09,0.974517809145962,0.0159,0.00232566466153785,-1.08
"BAG1","BAG1","Q99933","ERAD",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.26,-0.205,-0.635,9.9059170810933e-05,-1.46,0.220277911099873,-0.43,3.55011494647139e-06,-1.89
"UBXN2A","UBXN2A","P68543","ERAD",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.34,-0.605,-1.08,0.000360213723828713,-1.95,0.389645424692017,-0.474,3.10146310286469e-05,-2.42
"SVIP","SVIP","Q8NHG7","ERAD",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.07,-0.279,0.0164,0.00155433930032598,-1.35,0.556358398595789,0.295,0.0101804529900843,-1.05
"UFD1","UFD1","Q92890","ERAD",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.15,-0.0826,0.0357,0.00148067920949604,-1.23,0.813364313451264,0.118,0.00379960425332056,-1.11
"BAG4","BAG4","O95429","ERAD",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.36,-0.495,-0.104,0.00017909821465842,-1.85,0.419658841540732,0.391,0.00105128529267147,-1.46
"UBQLN4","UBQLN4","Q9NRR5","ERAD",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,0.948,-0.459,-0.0202,0.02019001170307,-1.41,0.585863357649684,0.439,0.116006368241375,-0.968
"BAG2","BAG2","O95816","ERAD",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.11,0.0032,0.495,0.000445216132300581,-1.11,0.126454155790157,0.492,0.0225197691942183,-0.615
"UBQLN1","UBQLN1","Q9UMX0","ERAD",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.59,0.0299,0.305,0.00868625155607605,-1.56,0.734608021262624,0.275,0.0327904314430021,-1.28
"ERLEC1","ERLEC1","Q96DZ1","ERAD",TRUE,"200uM vs 100uM",FALSE,TRUE,FALSE,0.247,-0.103,0.552,0.115575954306386,-0.35,0.0370695644592752,0.655,0.193590386172448,0.305
"ERP29","ERP29","P30040","ERAD",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,0.463,-0.26,0.713,0.0067486705314668,-0.724,0.010095925329635,0.973,0.342611143255052,0.249
"OS9","OS9","Q13438","ERAD",TRUE,"200uM vs 100uM",FALSE,TRUE,FALSE,0.552,0.0238,0.701,0.0249133595749744,-0.528,0.0357367886616373,0.677,0.545062880657943,0.15
"UBXN2B","UBXN2B","Q14CS0","ERAD",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,0.458,0.0602,-0.284,0.121820572912619,-0.398,0.303432798941161,-0.344,0.00996799989608329,-0.742
"VCP","VCP","P55072","ERAD",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,0.708,0.386,-0.109,0.0916385535448097,-0.322,0.0584049513661233,-0.495,0.000565602225529512,-0.817
"UGGT1","UGGT1","Q9NYU2","ER stress",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.08,-0.144,-0.0798,0.0030060425499074,0.934,0.886774640162501,0.0643,0.00246833029567758,0.998
"WFS1","WFS1","O76024","ER stress",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,1.66,-0.134,0.739,0.00132759763513957,-1.79,0.157522828013236,0.873,0.0696520999456495,-0.919
"ATF6","ATF6","P18850","ER stress",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,0.928,0.198,-0.123,0.0154081575309466,-0.73,0.395120421633444,-0.32,0.00202247452071576,-1.05
"ATF6B","ATF6B","Q99941","ER stress",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,0.24,0.205,-0.386,0.899185379463741,-0.035,0.0806776573691207,-0.591,0.0232955605466729,-0.626
"DDI2","DDI2","Q5TDH0","UPR",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,0.391,-0.0131,-0.386,0.0190095208485961,-0.404,0.0898320242815003,-0.373,0.000254388649344534,-0.777
"ATF4","ATF4","P18848","UPR",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,1.33,-0.248,1.03,0.00895154981714736,-1.58,0.0887009413340478,1.28,0.633233201703376,-0.299
"NRF1","NRF1","Q16656","UPR",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,0.888,-0.277,0.565,0.00253445061687751,-1.16,0.066825052441192,0.842,0.374837053801264,-0.323
"FOS","FOS","P01100","JNK1 pathway",TRUE,"100uM vs Veh; 200uM vs 100uM; 200uM vs Veh",TRUE,TRUE,TRUE,-0.281,-3.08,5.12,0.0352818148597404,-2.79,7.65025056241153e-05,8.19,0.000722134313205093,5.4
"WWOX","WWOX","Q9NZC7","JNK1 pathway",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.71,-0.303,1.47,0.047361862104666,2.41,0.248326981303204,1.78,0.00280751065435007,4.18
"MAPK8","MAPK8","P45983","JNK1 pathway",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.07,0.666,2.01,0.00916724428646335,2.73,0.290825209971091,1.34,0.000734923106039758,4.08
"GNA12","GNA12","Q03113","JNK1 pathway",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,-1.58,-0.124,2.01,0.315298605949821,1.46,0.253646267908684,2.14,0.0238958090261373,3.6
"MAP3K21","MAP3K21","Q5TCX8","JNK1 pathway",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.4,-0.904,-0.922,0.0151086674052151,-2.3,0.991027404471426,-0.0179,0.0192236763405962,-2.32
"MAPK8IP2","MAPK8IP2","Q13387","JNK1 pathway",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,1.59,-0.44,-0.484,0.0493294352848606,-2.03,0.978876588385274,-0.0447,0.057081790973502,-2.08
"DAXX","DAXX","Q9UER7","JNK1 pathway",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,0.433,-0.381,-0.102,0.00118217057011988,-0.814,0.308504589682753,0.279,0.0209747112041989,-0.535
"GRIPAP1","GRIPAP1","Q4V328","JNK1 pathway",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,0.614,-0.315,-0.439,0.00891432451248385,-0.93,0.805899306266554,-0.124,0.00556816337260496,-1.05
"ATF2","ATF2","P15336","JNK1 pathway",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,0.419,-0.928,-0.818,0.000685407644084667,-1.35,0.82195565118575,0.111,0.00135925118728153,-1.24
"YAP1","YAP1","P46937","JNK1 pathway",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,0.857,-0.65,-0.769,0.0112047790397292,-1.51,0.896032087579931,-0.119,0.00955157271956352,-1.63
"BCL2","BCL2","P10415","JNK1 pathway",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,-0.209,0.339,0.656,0.140654477214494,0.549,0.530503532726698,0.317,0.032587321761474,0.866
"MAP2K4","MAP2K4","P45985","JNK1 pathway",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,-0.212,0.124,0.453,0.277636932387682,0.336,0.422453513034825,0.329,0.0464943468901344,0.665
"DAG1","DAG1","Q14118","JNK1 pathway",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,1.23,-0.129,0.888,0.00135001031907566,-1.36,0.0441132823237017,1.02,0.37296604975403,-0.343
"EGFR","EGFR","P00533","JNK1 pathway",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,0.916,0.00467,0.681,0.013134721008028,-0.911,0.135487552867739,0.676,0.534836786297529,-0.235
"JUN","JUN","P05412","JNK1 pathway",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.16,-0.749,0.15,0.000779702270307816,-1.91,0.137763546635731,0.899,0.0440470839096636,-1.01
"PIAS4","PIAS4","Q8N2W9","JNK1 pathway",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.36,-0.287,0.214,0.000506882176317328,-1.65,0.300745408320391,0.501,0.00679931037025435,-1.14
"RAC1","RAC1","P63000","JNK1 pathway",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.5,-0.153,-0.116,0.0012304860908313,-1.66,0.957711422700239,0.0378,0.00172590987245683,-1.62
