Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0007623,circadian rhythm,19_GO:0048511 rhythmic process,-2.2,3,3.3,30230,140,584,8,1.4,0.48,406|1958|2562|4547|6095|23411|25819|114781,BMAL1|EGR1|GABRB3|MTTP|RORA|SIRT1|NOCT|BTBD9,-0.75,MyList
WikiPathways,27,WP5083,Neuroinflammation and glutamatergic signaling,,-2.2,3,3.3,30230,140,584,8,1.4,0.48,2353|2899|5582|6515|6778|56262|57030|81539,FOS|GRIK3|PRKCG|SLC2A3|STAT6|LRRC8A|SLC17A7|SLC38A1,-0.75,MyList
GO Biological Processes,19,GO:0002521,leukocyte differentiation,19_GO:0032502 developmental process,-2.2,2,2.9,30230,442,584,17,2.9,0.7,673|1540|1958|2353|3726|3981|3988|4615|6095|6778|23411|51043|51542|54542|56262|57560|84447,BRAF|CYLD|EGR1|FOS|JUNB|LIG4|LIPA|MYD88|RORA|STAT6|SIRT1|ZBTB7B|VPS54|RC3H2|LRRC8A|IFT80|SYVN1,-0.75,MyList
Canonical Pathways,11,M94,PID FAS PATHWAY,,-2.2,5.4,3.9,30230,38,584,4,0.68,0.34,3551|5290|5602|5609,IKBKB|PIK3CA|MAPK10|MAP2K7,-0.75,MyList
GO Biological Processes,19,GO:0045324,late endosome to vacuole transport,19_GO:0051179 localization,-2.2,5.4,3.9,30230,38,584,4,0.68,0.34,757|23484|23585|30849,TMEM50B|LEPROTL1|TMEM50A|PIK3R4,-0.75,MyList
WikiPathways,27,WP5497,Cyclin dependent kinase 4 6 inhibitors in breast cancer,,-2.2,5.4,3.9,30230,38,584,4,0.68,0.34,5286|5287|5290|30849,PIK3C2A|PIK3C2B|PIK3CA|PIK3R4,-0.75,MyList
GO Biological Processes,19,GO:0043583,ear development,19_GO:0032502 developmental process,-2.2,2.4,3.1,30230,234,584,11,1.9,0.56,1052|2562|7485|8100|9481|26018|51761|57728|90410|123016|140469,CEBPD|GABRB3|GET1|IFT88|SLC25A27|LRIG1|ATP8A2|WDR19|IFT20|TTC8|MYO3B,-0.74,MyList
GO Biological Processes,19,GO:0007423,sensory organ development,19_GO:0032502 developmental process,-2.2,1.8,2.9,30230,631,584,22,3.8,0.79,1052|2353|2562|3985|5145|5797|7485|8100|8736|9481|9742|9927|26018|51761|55764|57030|57728|81029|90410|114789|123016|140469,CEBPD|FOS|GABRB3|LIMK2|PDE6A|PTPRM|GET1|IFT88|MYOM1|SLC25A27|IFT140|MFN2|LRIG1|ATP8A2|IFT122|SLC17A7|WDR19|WNT5B|IFT20|SLC25A25|TTC8|MYO3B,-0.74,MyList
GO Biological Processes,19,GO:0032479,regulation of type I interferon production,19_GO:0032501 multicellular organismal process,-2.2,2.9,3.2,30230,141,584,8,1.4,0.48,1540|4615|4938|55703|79671|84861|91947|340061,CYLD|MYD88|OAS1|POLR3B|NLRX1|KLHL22|ARRDC4|STING1,-0.74,MyList
GO Biological Processes,19,GO:0071826,protein-RNA complex organization,19_GO:0009987 cellular process,-2.2,2.3,3,30230,268,584,12,2.1,0.59,4706|4931|8225|11189|22868|23405|23658|26747|51106|64745|81554|192670,NDUFAB1|NVL|GTPBP6|CELF3|FASTKD2|DICER1|LSM5|NUFIP1|TFB1M|METTL17|RCC1L|AGO4,-0.73,MyList
GO Biological Processes,19,GO:0043129,surfactant homeostasis,19_GO:0042592 homeostatic process,-2.2,7.8,4.2,30230,20,584,3,0.51,0.3,21|4938|55362,ABCA3|OAS1|TMEM63B,-0.73,MyList
GO Biological Processes,19,GO:0031098,stress-activated protein kinase signaling cascade,19_GO:0050896 response to stimulus,-2.2,7.8,4.2,30230,20,584,3,0.51,0.3,3551|5609|51776,IKBKB|MAP2K7|MAP3K20,-0.73,MyList
