_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3,GO:0002764,immune response-regulating signaling pathway,M1,1,0
1,-2.7,hsa04930,Type II diabetes mellitus,M1,1,0
1,-5.3,GO:0072522,purine-containing compound biosynthetic process,M1,1,0
1,-2.1,GO:0043369,"CD4-positive or CD8-positive, alpha-beta T cell lineage commitment",M1,1,0
1,-12,GO:1901137,carbohydrate derivative biosynthetic process,M1,1,0
1,-2.2,R-HSA-198725,Nuclear Events (kinase and transcription factor activation),M1,1,0
1,-2.2,GO:0045324,late endosome to vacuole transport,M1,1,0
1,-3.2,GO:0097733,photoreceptor cell cilium,M1,1,0
1,-9.2,GO:0005759,mitochondrial matrix,M1,1,0
1,-4.4,R-HSA-1660517,Synthesis of PIPs at the late endosome membrane,M1,1,0
1,-3.1,GO:0032368,regulation of lipid transport,M1,1,0
1,-2.9,WP710,DNA damage response only ATM dependent,M1,1,0
1,-4.5,R-HSA-975155,MyD88 dependent cascade initiated on endosome,M1,1,0
1,-2.9,GO:0050778,positive regulation of immune response,M1,1,0
1,-4.1,R-HSA-187037,Signaling by NTRK1 (TRKA),M1,1,0
1,-3.3,GO:0000290,deadenylation-dependent decapping of nuclear-transcribed mRNA,M1,1,0
1,-3.3,GO:1903830,magnesium ion transmembrane transport,M1,1,0
1,-2,GO:0032922,circadian regulation of gene expression,M1,1,0
1,-2.7,GO:0032585,multivesicular body membrane,M1,1,0
1,-2.3,GO:0010874,regulation of cholesterol efflux,M1,1,0
1,-4.2,GO:0006753,nucleoside phosphate metabolic process,M1,1,0
1,-3.5,hsa05417,Lipid and atherosclerosis,M1,1,0
1,-7.3,GO:0000151,ubiquitin ligase complex,M1,1,0
1,-2.1,GO:0055092,sterol homeostasis,M1,1,0
1,-11,GO:0046474,glycerophospholipid biosynthetic process,M1,1,0
1,-4.5,GO:0016310,phosphorylation,M1,1,0
1,-2.1,GO:0050810,regulation of steroid biosynthetic process,M1,1,0
1,-2.7,GO:0010638,positive regulation of organelle organization,M1,1,0
1,-2.5,GO:0099003,vesicle-mediated transport in synapse,M1,1,0
1,-2.7,hsa00514,Other types of O-glycan biosynthesis,M1,1,0
1,-3.9,GO:0032787,monocarboxylic acid metabolic process,M1,1,0
1,-2.6,GO:0032292,peripheral nervous system axon ensheathment,M1,1,0
1,-2.3,M273,PID EPHA2 FWD PATHWAY,M1,1,0
1,-2.6,R-HSA-430039,mRNA decay by 5' to 3' exoribonuclease,M1,1,0
1,-3.3,WP1449,Regulation of toll like receptor signaling,M1,1,0
1,-2.9,GO:0002757,immune response-activating signaling pathway,M1,1,0
1,-2.3,GO:0030575,nuclear body organization,M1,1,0
1,-2.6,WP3873,RIOK1 and RIOK2 in EGFR and PI3K mediated tumorigenesis,M1,1,0
1,-4.6,R-HSA-975138,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,M1,1,0
1,-3.1,GO:0048753,pigment granule organization,M1,1,0
1,-2.1,GO:0002204,somatic recombination of immunoglobulin genes involved in immune response,M1,1,0
1,-2.5,WP3844,PI3K AKT mTOR signaling and therapeutic opportunities in prostate cancer,M1,1,0
1,-2.3,GO:0007610,behavior,M1,1,0
1,-2.4,GO:0045069,regulation of viral genome replication,M1,1,0
1,-2,GO:0033162,melanosome membrane,M1,1,0
1,-2,GO:0051298,centrosome duplication,M1,1,0
1,-2.7,WP5124,Alzheimer 39 s disease,M1,1,0
