_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-5.7,GO:0031461,cullin-RING ubiquitin ligase complex,M1,1,0
1,-2.2,GO:1902476,chloride transmembrane transport,M1,1,0
1,-5.4,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,M1,1,0
1,-2.5,GO:0006820,monoatomic anion transport,M1,1,0
1,-3.7,GO:0000425,pexophagy,M1,1,0
1,-2.8,R-HSA-191273,Cholesterol biosynthesis,M1,1,0
1,-2.9,M238,PID THROMBIN PAR1 PATHWAY,M1,1,0
1,-2.3,GO:0038094,Fc-gamma receptor signaling pathway,M1,1,0
1,-2.6,GO:0010001,glial cell differentiation,M1,1,0
1,-2.5,GO:0021680,cerebellar Purkinje cell layer development,M1,1,0
1,-3.3,GO:0006694,steroid biosynthetic process,M1,1,0
1,-6.3,GO:0048193,Golgi vesicle transport,M1,1,0
1,-2.3,WP5101,Congenital generalized lipodystrophy,M1,1,0
1,-5.9,GO:1904263,positive regulation of TORC1 signaling,M1,1,0
1,-4.2,R-HSA-168188,Toll Like Receptor TLR6:TLR2 Cascade,M1,1,0
1,-4.1,GO:0036092,phosphatidylinositol-3-phosphate biosynthetic process,M1,1,0
1,-2.3,GO:0044297,cell body,M1,1,0
1,-2.1,WP4961,STING pathway in Kawasaki like disease and COVID 19,M1,1,0
1,-3.1,GO:0032288,myelin assembly,M1,1,0
1,-2.6,GO:0007346,regulation of mitotic cell cycle,M1,1,0
1,-3.7,hsa04146,Peroxisome,M1,1,0
1,-3.1,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,M1,1,0
1,-3.3,GO:0030133,transport vesicle,M1,1,0
1,-2.6,R-HSA-6811440,Retrograde transport at the Trans-Golgi-Network,M1,1,0
1,-4.5,WP382,MAPK signaling,M1,1,0
1,-3.7,hsa02010,ABC transporters,M1,1,0
1,-3,GO:0051052,regulation of DNA metabolic process,M1,1,0
1,-2.7,GO:0051983,regulation of chromosome segregation,M1,1,0
1,-3.8,R-HSA-75893,TNF signaling,M1,1,0
1,-2.5,GO:0001701,in utero embryonic development,M1,1,0
1,-2.4,GO:0032989,cellular anatomical entity morphogenesis,M1,1,0
1,-2.4,GO:0032371,regulation of sterol transport,M1,1,0
1,-2.7,GO:0050801,monoatomic ion homeostasis,M1,1,0
1,-2.3,GO:0006986,response to unfolded protein,M1,1,0
1,-2.8,hsa00190,Oxidative phosphorylation,M1,1,0
1,-2.3,WP734,Serotonin receptor 4 6 7 and NR3C signaling,M1,1,0
1,-3.2,GO:0010507,negative regulation of autophagy,M1,1,0
1,-3,GO:0015711,organic anion transport,M1,1,0
1,-2.9,R-HSA-937061,TRIF (TICAM1)-mediated TLR4 signaling,M1,1,0
1,-2.8,hsa05166,Human T-cell leukemia virus 1 infection,M1,1,0
1,-4.7,hsa04621,NOD-like receptor signaling pathway,M1,1,0
1,-3.3,GO:0034599,cellular response to oxidative stress,M1,1,0
1,-7.3,GO:0007005,mitochondrion organization,M1,1,0
1,-2.9,GO:0140861,DNA repair-dependent chromatin remodeling,M1,1,0
1,-2.4,M12705,SIG CD40PATHWAYMAP,M1,1,0
1,-2.6,hsa00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,M1,1,0
1,-2,GO:0090741,pigment granule membrane,M1,1,0
1,-2.8,R-HSA-2454202,Fc epsilon receptor (FCERI) signaling,M1,1,0
1,-2.7,GO:0006304,DNA modification,M1,1,0
1,-3.2,GO:0048525,negative regulation of viral process,M1,1,0
1,-3,CORUM:103,RNA polymerase II holoenzyme complex,M1,1,0
1,-2.3,GO:0016082,synaptic vesicle priming,M1,1,0
1,-3.9,GO:0021702,cerebellar Purkinje cell differentiation,M1,1,0
1,-2.5,R-HSA-8949664,Processing of SMDT1,M1,1,0
1,-2.6,GO:0006282,regulation of DNA repair,M1,1,0
1,-4.1,hsa05022,Pathways of neurodegeneration - multiple diseases,M1,1,0
1,-6.2,R-HSA-382551,Transport of small molecules,M1,1,0
1,-3.1,GO:0018105,peptidyl-serine phosphorylation,M1,1,0
1,-2.3,R-HSA-5689901,Metalloprotease DUBs,M1,1,0
1,-4.4,WP5477,Molecular pathway for oxidative stress,M1,1,0
1,-3.5,R-HSA-8931838,DAG1 glycosylations,M1,1,0
1,-2,GO:0014044,Schwann cell development,M1,1,0
1,-2.8,GO:0045006,DNA deamination,M1,1,0
1,-2.3,GO:0006817,phosphate ion transport,M1,1,0
1,-2.2,GO:0071826,protein-RNA complex organization,M1,1,0
1,-4.9,GO:1905037,autophagosome organization,M1,1,0
1,-4,GO:0038095,Fc-epsilon receptor signaling pathway,M1,1,0
1,-3.3,GO:1902882,regulation of response to oxidative stress,M1,1,0
1,-3.4,GO:0006865,amino acid transport,M1,1,0
1,-2.4,GO:0005635,nuclear envelope,M1,1,0
1,-4.6,GO:0009141,nucleoside triphosphate metabolic process,M1,1,0
1,-3.8,GO:0007051,spindle organization,M1,1,0
1,-3,WP4352,Ciliary landscape,M1,1,0
1,-2.6,GO:0007093,mitotic cell cycle checkpoint signaling,M1,1,0
1,-2,GO:0120161,regulation of cold-induced thermogenesis,M1,1,0
1,-5.8,WP4666,Hepatitis B infection,M1,1,0
1,-2.7,R-HSA-3781865,Diseases of glycosylation,M1,1,0
1,-4.1,GO:0036444,calcium import into the mitochondrion,M1,1,0
1,-4.5,hsa05010,Alzheimer disease,M1,1,0
1,-3,GO:0006631,fatty acid metabolic process,M1,1,0
1,-3.6,GO:0009165,nucleotide biosynthetic process,M1,1,0
1,-16,GO:0090407,organophosphate biosynthetic process,M1,1,0
1,-5.8,GO:0006259,DNA metabolic process,M1,1,0
1,-3.5,GO:0055082,intracellular chemical homeostasis,M1,1,0
1,-2.3,GO:0072686,mitotic spindle,M1,1,0
1,-4.7,WP4923,Autophagy,M1,1,0
1,-3.8,GO:0071277,cellular response to calcium ion,M1,1,0
1,-2.4,GO:0071347,cellular response to interleukin-1,M1,1,0
1,-3.4,GO:0046471,phosphatidylglycerol metabolic process,M1,1,0
1,-2.2,GO:0021549,cerebellum development,M1,1,0
1,-12,GO:0006650,glycerophospholipid metabolic process,M1,1,0
1,-4.5,GO:0042579,microbody,M1,1,0
1,-2.5,GO:0071479,cellular response to ionizing radiation,M1,1,0
1,-4.4,WP422,MAPK cascade,M1,1,0
1,-3.3,GO:0045739,positive regulation of DNA repair,M1,1,0
1,-2.3,GO:0002366,leukocyte activation involved in immune response,M1,1,0
1,-3.4,GO:0015850,organic hydroxy compound transport,M1,1,0
1,-2.8,GO:0046148,pigment biosynthetic process,M1,1,0
1,-3.5,GO:0097035,regulation of membrane lipid distribution,M1,1,0
1,-3.4,CORUM:6217,GATOR complex,M1,1,0
1,-2.7,WP4566,Translation inhibitors in chronically activated PDGFRA cells,M1,1,0
1,-2.3,WP2380,Brain derived neurotrophic factor BDNF signaling,M1,1,0
1,-4.2,R-HSA-72306,tRNA processing,M1,1,0
1,-5,GO:0015748,organophosphate ester transport,M1,1,0
1,-2.4,GO:0006302,double-strand break repair,M1,1,0
1,-5.2,GO:0009205,purine ribonucleoside triphosphate metabolic process,M1,1,0
1,-3.1,GO:0015698,inorganic anion transport,M1,1,0
1,-2.5,GO:0000422,autophagy of mitochondrion,M1,1,0
1,-2.8,GO:0048736,appendage development,M1,1,0
1,-2.3,GO:0002263,cell activation involved in immune response,M1,1,0
1,-3.2,GO:1902653,secondary alcohol biosynthetic process,M1,1,0
1,-2.5,GO:1905952,regulation of lipid localization,M1,1,0
