_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-10.491908898522642,GO:0032446,M1,1,0,GO Biological Processes,19,protein modification by small protein conjugation,19_GO:0009987 cellular process,-10.491908898522642,3.2400526713349524,8.235877593636754,30230,671,584,42,7.191780821917808,1.0690672310583338,373|1959|5192|7126|7328|8925|9817|11043|23038|23113|23411|26001|26249|29882|51255|54542|55128|55167|55585|55819|55958|57161|57448|57520|57531|57542|57560|63891|64682|64750|79786|80067|84078|84219|84447|84861|89890|91947|142678|142685|151525|257218,TRIM23|EGR2|PEX10|TNFAIP1|UBE2H|HERC1|KEAP1|MID2|WDTC1|CUL9|SIRT1|RNF167|KLHL3|ANAPC2|RNF181|RC3H2|TRIM68|MSL2|UBE2Q1|RNF130|KLHL9|PELI2|BIRC6|HECW2|HACE1|KLHL42|IFT80|RNF123|ANAPC1|SMURF2|KLHL36|DCAF17|KBTBD7|WDR24|SYVN1|KLHL22|KBTBD6|ARRDC4|MIB2|ASB15|WDSUB1|SHPRH,-7.4174033016771235,0,3,0,0,-13.332721648101833,7.501985308715504,
1,-7.691178737109737,R-HSA-983168,M1,1,0,Reactome Gene Sets,6,Antigen processing: Ubiquitination & Proteasome degradation,,-7.691178737109737,4.022179285449833,7.333629487921581,30230,296,584,23,3.9383561643835616,0.8048706259955334,7328|8925|9817|26249|29882|54620|55336|55585|55819|55958|57520|57531|57542|63891|64682|64750|84078|84861|89890|115290|126433|142678|142685,UBE2H|HERC1|KEAP1|KLHL3|ANAPC2|FBXL19|FBXL8|UBE2Q1|RNF130|KLHL9|HECW2|HACE1|KLHL42|RNF123|ANAPC1|SMURF2|KBTBD7|KLHL22|KBTBD6|FBXO17|FBXO27|MIB2|ASB15,-4.859711188950513,0,3,0,0,-13.332721648101833,7.501985308715504,
1,-7.640128122816389,R-HSA-983169,M1,1,0,Reactome Gene Sets,6,Class I MHC mediated antigen processing & presentation,,-7.640128122816389,3.608193470197216,7.11387773629077,30230,373,584,26,4.4520547945205475,0.8534626164047334,3551|4615|7328|8925|9817|26249|29882|30849|54620|55336|55585|55819|55958|57520|57531|57542|63891|64682|64750|84078|84861|89890|115290|126433|142678|142685,IKBKB|MYD88|UBE2H|HERC1|KEAP1|KLHL3|ANAPC2|PIK3R4|FBXL19|FBXL8|UBE2Q1|RNF130|KLHL9|HECW2|HACE1|KLHL42|RNF123|ANAPC1|SMURF2|KBTBD7|KLHL22|KBTBD6|FBXO17|FBXO27|MIB2|ASB15,-4.832794254373884,0,3,0,0,-13.332721648101833,7.501985308715504,
1,-7.3112803650896145,GO:0000151,M1,1,0,GO Cellular Components,20,ubiquitin ligase complex,,-7.3112803650896145,3.375893388921977,6.831840074914712,30230,414,584,27,4.623287671232877,0.8689408391281002,4289|5192|7126|9681|9817|23032|23038|23113|26249|29882|54620|55336|55958|57542|63891|64682|64750|79018|79786|80067|84078|84447|84861|89890|115290|126433|142678,MKLN1|PEX10|TNFAIP1|DEPDC5|KEAP1|USP33|WDTC1|CUL9|KLHL3|ANAPC2|FBXL19|FBXL8|KLHL9|KLHL42|RNF123|ANAPC1|SMURF2|GID4|KLHL36|DCAF17|KBTBD7|SYVN1|KLHL22|KBTBD6|FBXO17|FBXO27|MIB2,-4.526809379606615,0,3,0,0,-13.332721648101833,7.501985308715504,
1,-6.9902163923738865,GO:0051603,M1,1,0,GO Biological Processes,19,proteolysis involved in protein catabolic process,19_GO:0009987 cellular process,-6.9902163923738865,2.6453823885567247,6.289501431114021,30230,724,584,37,6.335616438356165,1.00803417140591,406|1519|4289|5192|7126|7328|9817|11253|23032|23113|23411|26001|26249|29882|54542|54620|55336|55819|55958|57520|57531|57542|57560|63891|64682|64750|79018|79139|79786|84078|84447|84861|89890|89970|115290|124997|126433,BMAL1|CTSO|MKLN1|PEX10|TNFAIP1|UBE2H|KEAP1|MAN1B1|USP33|CUL9|SIRT1|RNF167|KLHL3|ANAPC2|RC3H2|FBXL19|FBXL8|RNF130|KLHL9|HECW2|HACE1|KLHL42|IFT80|RNF123|ANAPC1|SMURF2|GID4|DERL1|KLHL36|KBTBD7|SYVN1|KLHL22|KBTBD6|RSPRY1|FBXO17|WDR81|FBXO27,-4.286778657800104,0,3,0,0,-13.332721648101833,7.501985308715504,
1,-6.920642629862168,GO:0006511,M1,1,0,GO Biological Processes,19,ubiquitin-dependent protein catabolic process,19_GO:0009987 cellular process,-6.920642629862168,2.8188152719381527,6.348020439625874,30230,606,584,33,5.6506849315068495,0.9554621747560708,406|4289|5192|7126|7328|9817|23032|23113|23411|26001|26249|29882|54542|54620|55336|55819|55958|57520|57531|57542|63891|64682|64750|79018|79139|79786|84078|84447|84861|89890|115290|124997|126433,BMAL1|MKLN1|PEX10|TNFAIP1|UBE2H|KEAP1|USP33|CUL9|SIRT1|RNF167|KLHL3|ANAPC2|RC3H2|FBXL19|FBXL8|RNF130|KLHL9|HECW2|HACE1|KLHL42|RNF123|ANAPC1|SMURF2|GID4|DERL1|KLHL36|KBTBD7|SYVN1|KLHL22|KBTBD6|FBXO17|WDR81|FBXO27,-4.235303117381182,0,3,0,0,-13.332721648101833,7.501985308715504,
1,-6.725663779256414,GO:0019941,M1,1,0,GO Biological Processes,19,modification-dependent protein catabolic process,19_GO:0009987 cellular process,-6.725663779256414,2.76408099481314,6.218908257443865,30230,618,584,33,5.6506849315068495,0.9554621747560708,406|4289|5192|7126|7328|9817|23032|23113|23411|26001|26249|29882|54542|54620|55336|55819|55958|57520|57531|57542|63891|64682|64750|79018|79139|79786|84078|84447|84861|89890|115290|124997|126433,BMAL1|MKLN1|PEX10|TNFAIP1|UBE2H|KEAP1|USP33|CUL9|SIRT1|RNF167|KLHL3|ANAPC2|RC3H2|FBXL19|FBXL8|RNF130|KLHL9|HECW2|HACE1|KLHL42|RNF123|ANAPC1|SMURF2|GID4|DERL1|KLHL36|KBTBD7|SYVN1|KLHL22|KBTBD6|FBXO17|WDR81|FBXO27,-4.0758662441590765,0,3,0,0,-13.332721648101833,7.501985308715504,
1,-6.646118006435874,GO:0043632,M1,1,0,GO Biological Processes,19,modification-dependent macromolecule catabolic process,19_GO:0009987 cellular process,-6.646118006435874,2.741897359220739,6.166015952112364,30230,623,584,33,5.6506849315068495,0.9554621747560708,406|4289|5192|7126|7328|9817|23032|23113|23411|26001|26249|29882|54542|54620|55336|55819|55958|57520|57531|57542|63891|64682|64750|79018|79139|79786|84078|84447|84861|89890|115290|124997|126433,BMAL1|MKLN1|PEX10|TNFAIP1|UBE2H|KEAP1|USP33|CUL9|SIRT1|RNF167|KLHL3|ANAPC2|RC3H2|FBXL19|FBXL8|RNF130|KLHL9|HECW2|HACE1|KLHL42|RNF123|ANAPC1|SMURF2|GID4|DERL1|KLHL36|KBTBD7|SYVN1|KLHL22|KBTBD6|FBXO17|WDR81|FBXO27,-4.010945103420618,0,3,0,0,-13.332721648101833,7.501985308715504,
1,-6.086430442346942,GO:0031463,M1,1,0,GO Cellular Components,20,Cul3-RING ubiquitin ligase complex,,-6.086430442346942,7.501985308715504,7.588971513584685,30230,69,584,10,1.7123287671232876,0.536829873604794,7126|9681|9817|26249|55958|57542|79786|84078|84861|89890,TNFAIP1|DEPDC5|KEAP1|KLHL3|KLHL9|KLHL42|KLHL36|KBTBD7|KLHL22|KBTBD6,-3.549743940574698,0,3,0,0,-13.332721648101833,7.501985308715504,
1,-6.007290146683944,GO:0000209,M1,1,0,GO Biological Processes,19,protein polyubiquitination,19_GO:0009987 cellular process,-6.007290146683944,3.753856007529018,6.283451332511646,30230,262,584,19,3.2534246575342465,0.7341448451657991,5192|7328|11043|26001|26249|29882|54542|55585|57161|57531|57542|63891|64682|84078|84219|84447|89890|91947|257218,PEX10|UBE2H|MID2|RNF167|KLHL3|ANAPC2|RC3H2|UBE2Q1|PELI2|HACE1|KLHL42|RNF123|ANAPC1|KBTBD7|WDR24|SYVN1|KBTBD6|ARRDC4|SHPRH,-3.4890870506057134,0,3,0,0,-13.332721648101833,7.501985308715504,
