"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"CHKA",1.88,0.35066491741209,1.9,0.35,"1.9","0.35","NS",NA
"CHPF",1.91,0.367777640865676,1.9,0.37,"1.9","0.37","NS",NA
"CHPF2",0.245,0.881101924290912,0.2,0.88,"0.2","0.88","NS",NA
"CHSY1",-0.00528,0.991096829667537,0,0.99,"-0.0","0.99","NS",NA
"CISD1",0.422,0.131162756012889,0.4,0.13,"0.4","0.13","NS",NA
"CKS1B",-0.603,0.134280080627479,-0.6,0.13,"-0.6","0.13","NS",NA
"CKS2",-0.593,0.103410440955685,-0.6,0.1,"-0.6","0.10","NS",NA
"CLK3",-0.161,0.63876579311738,-0.2,0.64,"-0.2","0.64","NS",NA
"CLOCK",0.59,0.814509498260153,0.6,0.81,"0.6","0.81","NS",NA
"CLTCL1",0.68,0.568364254890816,0.7,0.57,"0.7","0.57","NS",NA
"CLU",-0.0899,0.818135941068396,-0.1,0.82,"-0.1","0.82","NS",NA
"CMTM6",0.355,0.839342006579095,0.4,0.84,"0.4","0.84","NS",NA
"CNBP",0.549,0.630278068822051,0.5,0.63,"0.5","0.63","NS",NA
"CNEP1R1",0.0724,0.967820681330854,0.1,0.97,"0.1","0.97","NS",NA
"CNOT8",0.19,0.81177491447386,0.2,0.81,"0.2","0.81","NS",NA
"CNOT9",-0.191,0.723317628355397,-0.2,0.72,"-0.2","0.72","NS",NA
"COL1A1",0.222,0.7965651727593,0.2,0.8,"0.2","0.80","NS",NA
"COL1A2",0.159,0.866080578168577,0.2,0.87,"0.2","0.87","NS",NA
"COL4A6",0.284,0.323419334576763,0.3,0.32,"0.3","0.32","NS",NA
"COLEC12",0.979,0.0145931715894075,1,0.01,"1.0","0.01","NS",NA
"COMMD3",0.0279,0.948304234704197,0,0.95,"0.0","0.95","NS",NA
"COMMD5",-0.748,0.59339353474475,-0.7,0.59,"-0.7","0.59","NS",NA
"COMMD8",-0.319,0.629659709890343,-0.3,0.63,"-0.3","0.63","NS",NA
"COMMD9",0.116,0.664974255454435,0.1,0.66,"0.1","0.66","NS",NA
"COQ9",0.801,0.02232657196506,0.8,0.02,"0.8","0.02","NS",NA
"COX6A1",0.0317,0.969317472143183,0,0.97,"0.0","0.97","NS",NA
"CPNE8",0.23,0.329848255356555,0.2,0.33,"0.2","0.33","NS",NA
"CRABP2",0.336,0.571927744037857,0.3,0.57,"0.3","0.57","NS",NA
"CRBN",-0.0253,0.965203544934225,0,0.97,"-0.0","0.97","NS",NA
"CREM",-5.71,0.0099491712901807,-5.7,0.01,"-5.7","<0.01","Down",NA
"CRIM1",0.225,0.741054864685185,0.2,0.74,"0.2","0.74","NS",NA
"CRYGD",0.845,0.568534212623722,0.8,0.57,"0.8","0.57","NS",NA
"CSPG4",1.33,NA,1.3,NA,"1.3",NA,"NS",NA
"CSPG5",-2.67,0.218403273438821,-2.7,0.22,"-2.7","0.22","NS",NA
