"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"TUT1",0.336,0.21988637554926,0.3,0.22,"0.3","0.22","NS",NA
"TUT4",0.301,0.226631440346143,0.3,0.23,"0.3","0.23","NS",NA
"TUT7",0.282,0.486284865563019,0.3,0.49,"0.3","0.49","NS",NA
"TWF1",0.215,0.36296184365873,0.2,0.36,"0.2","0.36","NS",NA
"TWF2",0.0959,0.727170036400814,0.1,0.73,"0.1","0.73","NS",NA
"TWNK",-0.111,0.702928180425314,-0.1,0.7,"-0.1","0.70","NS",NA
"TWSG1",-1.81,0.0287541246619079,-1.8,0.03,"-1.8","0.03","NS",NA
"TXLNA",0.81,0.168312526009302,0.8,0.17,"0.8","0.17","NS",NA
"TXLNG",0.309,0.628268149455585,0.3,0.63,"0.3","0.63","NS",NA
"TXN2",-1.09,0.0150546196399389,-1.1,0.02,"-1.1","0.02","NS",NA
"TXNDC11",-0.815,0.215830549013006,-0.8,0.22,"-0.8","0.22","NS",NA
"TXNDC12",0.107,0.793195646082773,0.1,0.79,"0.1","0.79","NS",NA
"TXNDC15",-1.67,0.000471440782787835,-1.7,0,"-1.7","<0.01","Down",NA
"TXNDC16",-1.33,0.310486816142844,-1.3,0.31,"-1.3","0.31","NS",NA
"TXNDC17",-0.484,0.153668716654133,-0.5,0.15,"-0.5","0.15","NS",NA
"TXNDC5",-1.25,5.65572889624404e-06,-1.2,0,"-1.2","<0.01","Down",NA
"TXNDC9",0.773,0.00160038962516505,0.8,0,"0.8","<0.01","NS",NA
"TXNIP",5.05,0.00235749420913668,5,0,"5.0","<0.01","Up",NA
"TXNL1",-0.304,0.237295387519083,-0.3,0.24,"-0.3","0.24","NS",NA
"TXNL4A",0.00352,0.991341503640452,0,0.99,"0.0","0.99","NS",NA
"TXNL4B",0.145,0.692440543659594,0.1,0.69,"0.1","0.69","NS",NA
"TXNRD1",-0.707,0.230123568230602,-0.7,0.23,"-0.7","0.23","NS",NA
"TXNRD2",-1.31,0.0380052125281579,-1.3,0.04,"-1.3","0.04","NS",NA
"TYK2",-0.258,0.796762380868146,-0.3,0.8,"-0.3","0.80","NS",NA
"TYMS",0.141,0.699335386989854,0.1,0.7,"0.1","0.70","NS",NA
"TYRO3",-4.49,0.0201353618396886,-4.5,0.02,"-4.5","0.02","NS",NA
"TYSND1",-0.843,0.253436176663198,-0.8,0.25,"-0.8","0.25","NS",NA
"TYW3",-0.366,0.175611177108504,-0.4,0.18,"-0.4","0.18","NS",NA
"U2AF1",-0.598,0.0784430316723664,-0.6,0.08,"-0.6","0.08","NS",NA
"U2AF2",0.0605,0.869615654045746,0.1,0.87,"0.1","0.87","NS",NA
"U2SURP",0.981,0.000243504377639441,1,0,"1.0","<0.01","NS",NA
"UACA",1.22,0.000240718351809801,1.2,0,"1.2","<0.01","Up",NA
"UAP1",-0.638,0.20180805365517,-0.6,0.2,"-0.6","0.20","NS",NA
"UAP1L1",-0.104,0.728110812097089,-0.1,0.73,"-0.1","0.73","NS",NA
"UBA1",0.387,0.21576961762943,0.4,0.22,"0.4","0.22","NS",NA
"UBA2",0.276,0.224603875513933,0.3,0.22,"0.3","0.22","NS",NA
"UBA3",0.772,0.126436127945147,0.8,0.13,"0.8","0.13","NS",NA
"UBA5",0.168,0.492648952436487,0.2,0.49,"0.2","0.49","NS",NA
"UBA52",-3.46,0.120630984054476,-3.5,0.12,"-3.5","0.12","NS",NA
"UBA6",0.341,0.372788922261615,0.3,0.37,"0.3","0.37","NS",NA
"UBAC1",0.272,0.436785347695193,0.3,0.44,"0.3","0.44","NS",NA
"UBAC2",0.347,0.657447983879111,0.3,0.66,"0.3","0.66","NS",NA
"UBAP1",5.69,0.000961239265327871,5.7,0,"5.7","<0.01","Up",NA
"UBAP2L",0.139,0.660559650546851,0.1,0.66,"0.1","0.66","NS",NA
"UBASH3B",-0.036,0.977605309697386,0,0.98,"-0.0","0.98","NS",NA
"UBE2A",0.176,0.596970201556623,0.2,0.6,"0.2","0.60","NS",NA
"UBE2B",0.306,0.572337153104968,0.3,0.57,"0.3","0.57","NS",NA
"UBE2E3",0.0826,0.794610790501659,0.1,0.79,"0.1","0.79","NS",NA
"UBE2F",0.755,0.00634631150426621,0.8,0.01,"0.8","<0.01","NS",NA
"UBE2G1",-0.335,0.360400193690525,-0.3,0.36,"-0.3","0.36","NS",NA
"UBE2H",0.0982,0.766148928071832,0.1,0.77,"0.1","0.77","NS",NA
"UBE2J1",0.0165,0.960224807953034,0,0.96,"0.0","0.96","NS",NA
"UBE2J2",0.29,0.290520778154678,0.3,0.29,"0.3","0.29","NS",NA
"UBE2K",0.0536,0.82815671399292,0.1,0.83,"0.1","0.83","NS",NA
