"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"CD99",5.25,0.0859122040214212,5.2,0.09,"5.2","0.09","NS",NA
"CDC42EP1",0.508,0.363171387065459,0.5,0.36,"0.5","0.36","NS",NA
"CDCA7L",0.526,0.190358912470375,0.5,0.19,"0.5","0.19","NS",NA
"CDK11A",0.64,NA,0.6,NA,"0.6",NA,"NS",NA
"CDKN2A",0.0908,0.920505478172461,0.1,0.92,"0.1","0.92","NS",NA
"CEBPZOS",-0.189,0.904804369624432,-0.2,0.9,"-0.2","0.90","NS",NA
"CENPW",0.916,0.213656205085255,0.9,0.21,"0.9","0.21","NS",NA
"CENPX",0.966,0.1548110287351,1,0.15,"1.0","0.15","NS",NA
"CEP170B",0.074,0.93916740682768,0.1,0.94,"0.1","0.94","NS",NA
"CEP41",0.105,0.888296426507191,0.1,0.89,"0.1","0.89","NS",NA
"CFAP97",0.873,0.178044772748798,0.9,0.18,"0.9","0.18","NS",NA
"CHCHD4",-1.61,NA,-1.6,NA,"-1.6",NA,"NS",NA
"CHKA",-4.66,0.0620391346844196,-4.7,0.06,"-4.7","0.06","NS",NA
"CHPF",1.05,NA,1,NA,"1.0",NA,"NS",NA
"CHPF2",-2.35,0.190358912470375,-2.4,0.19,"-2.4","0.19","NS",NA
"CHSY1",0.429,0.390004177931707,0.4,0.39,"0.4","0.39","NS",NA
"CISD1",0.494,0.190358912470375,0.5,0.19,"0.5","0.19","NS",NA
"CKS1B",0.072,0.961456078789818,0.1,0.96,"0.1","0.96","NS",NA
"CKS2",0.135,0.888296917071065,0.1,0.89,"0.1","0.89","NS",NA
"CLK3",0.869,0.0236487940924011,0.9,0.02,"0.9","0.02","NS",NA
"CLOCK",-5.79,0.0272753379540032,-5.8,0.03,"-5.8","0.03","NS",NA
"CLTCL1",-0.958,NA,-1,NA,"-1.0",NA,"NS",NA
"CLU",-0.0652,0.95742741865715,-0.1,0.96,"-0.1","0.96","NS",NA
"CMTM6",0.372,0.934797341075715,0.4,0.93,"0.4","0.93","NS",NA
"CNBP",0.297,0.926776369549955,0.3,0.93,"0.3","0.93","NS",NA
"CNEP1R1",5.25,0.00145648888241711,5.2,0,"5.2","<0.01","Up",NA
"CNOT8",-0.00429,0.998264023425074,0,1,"-0.0","1.00","NS",NA
"CNOT9",0.104,0.947369858450145,0.1,0.95,"0.1","0.95","NS",NA
"COL1A1",0.288,NA,0.3,NA,"0.3",NA,"NS",NA
"COL1A2",-0.96,NA,-1,NA,"-1.0",NA,"NS",NA
"COL4A6",0.464,0.238746463535516,0.5,0.24,"0.5","0.24","NS",NA
"COLEC12",-0.327,0.557235686981388,-0.3,0.56,"-0.3","0.56","NS",NA
"COMMD3",0.124,0.896517605722583,0.1,0.9,"0.1","0.90","NS",NA
"COMMD5",0.182,0.969587399083185,0.2,0.97,"0.2","0.97","NS",NA
"COMMD8",-0.136,0.943588258086408,-0.1,0.94,"-0.1","0.94","NS",NA
"COMMD9",0.0675,0.929432892906843,0.1,0.93,"0.1","0.93","NS",NA
"COQ9",0.626,0.123290014836274,0.6,0.12,"0.6","0.12","NS",NA
"COX6A1",1.97,0.0100250437811605,2,0.01,"2.0","0.01","NS",NA
"CPNE8",0.00333,0.997281666781656,0,1,"0.0","1.00","NS",NA
"CRABP2",-0.085,0.968481403493252,-0.1,0.97,"-0.1","0.97","NS",NA
"CRBN",0.117,0.930816883757648,0.1,0.93,"0.1","0.93","NS",NA
"CREM",-0.0165,0.998264023425074,0,1,"-0.0","1.00","NS",NA
"CRIM1",-0.228,0.888296426507191,-0.2,0.89,"-0.2","0.89","NS",NA
"CRYGD",0.678,0.839177570952153,0.7,0.84,"0.7","0.84","NS",NA
"CSPG4",0.211,0.926776369549955,0.2,0.93,"0.2","0.93","NS",NA
"CSPG5",0.392,0.961889465357509,0.4,0.96,"0.4","0.96","NS",NA
"CUL7",0.694,0.608321353287979,0.7,0.61,"0.7","0.61","NS",NA
"CWC22",0.395,0.215530081127445,0.4,0.22,"0.4","0.22","NS",NA
"CYBA",0.834,0.339815419785185,0.8,0.34,"0.8","0.34","NS",NA
"CYBC1",0.281,0.64309937719097,0.3,0.64,"0.3","0.64","NS",NA
"CYLD",0.0655,0.97941945659705,0.1,0.98,"0.1","0.98","NS",NA
"CYREN",-0.447,0.834372136464868,-0.4,0.83,"-0.4","0.83","NS",NA
"CYSTM1",-5.46,0.051399064305565,-5.5,0.05,"-5.5","0.05","NS",NA
"DACT1",0.0735,0.986973917427658,0.1,0.99,"0.1","0.99","NS",NA
"DBP",1.17,0.383211123560376,1.2,0.38,"1.2","0.38","NS",NA
"DCBLD1",-5,0.00113273227812235,-5,0,"-5.0","<0.01","Down",NA
"DCTD",-0.535,0.277211241441743,-0.5,0.28,"-0.5","0.28","NS",NA
"DDIT4",-0.211,0.928119724076574,-0.2,0.93,"-0.2","0.93","NS",NA
"DDR2",0.517,0.284240303879198,0.5,0.28,"0.5","0.28","NS",NA
"DDX19A",-0.0359,0.984878076595231,0,0.98,"-0.0","0.98","NS",NA
"DDX28",1.14,0.000378343591163483,1.1,0,"1.1","<0.01","Up",NA
"DGCR2",-0.312,0.659914851555895,-0.3,0.66,"-0.3","0.66","NS",NA
"DGCR6",0.168,0.939245127125791,0.2,0.94,"0.2","0.94","NS",NA
"DGCR6L",0.32,0.880558352796159,0.3,0.88,"0.3","0.88","NS",NA
"DHDDS",0.251,0.979543951225895,0.3,0.98,"0.3","0.98","NS",NA
"DHRS13",1.29,0.448678382641381,1.3,0.45,"1.3","0.45","NS",NA
"DKK1",-0.393,NA,-0.4,NA,"-0.4",NA,"NS",NA
"DLX1",0.0637,0.99139833876828,0.1,0.99,"0.1","0.99","NS",NA
"DLX6",0.114,0.960283659153692,0.1,0.96,"0.1","0.96","NS",NA
"DMTN",0.582,0.491779560253054,0.6,0.49,"0.6","0.49","NS",NA
"DNA2",-0.204,0.869744346356975,-0.2,0.87,"-0.2","0.87","NS",NA
"DNAJB5",-1.83,NA,-1.8,NA,"-1.8",NA,"NS",NA
"DNAL4",-0.139,0.883444166637658,-0.1,0.88,"-0.1","0.88","NS",NA
"DNLZ",0.276,0.849623414604895,0.3,0.85,"0.3","0.85","NS",NA
"DOLK",6.25,1.27801907341183e-06,6.2,0,"6.2","<0.01","Up","DOLK"
"DPH7",0.123,0.972450479930285,0.1,0.97,"0.1","0.97","NS",NA
"DPM3",0.0169,0.988635671780436,0,0.99,"0.0","0.99","NS",NA
"EDIL3",-0.997,NA,-1,NA,"-1.0",NA,"NS",NA
"EEF1AKMT1",-1.96,NA,-2,NA,"-2.0",NA,"NS",NA
"EEF1G",-0.431,0.17178580389553,-0.4,0.17,"-0.4","0.17","NS",NA
"EFNA5",0.334,0.878107721709777,0.3,0.88,"0.3","0.88","NS",NA
"EFR3A",0.204,0.933368868336477,0.2,0.93,"0.2","0.93","NS",NA
"EFR3B",5,0.0914286921563765,5,0.09,"5.0","0.09","NS",NA
"EGLN3",-1.3,NA,-1.3,NA,"-1.3",NA,"NS",NA
"EGR1",-2.8,0.0116777795012238,-2.8,0.01,"-2.8","0.01","NS",NA
"EHD3",-0.742,NA,-0.7,NA,"-0.7",NA,"NS",NA
"EIF1",-0.659,0.349403670707244,-0.7,0.35,"-0.7","0.35","NS",NA
"EIF1B",-0.503,0.337739565427848,-0.5,0.34,"-0.5","0.34","NS",NA
"EIF3C",1.15,NA,1.1,NA,"1.1",NA,"NS",NA
"EIF4ENIF1",0.0693,0.953227729034539,0.1,0.95,"0.1","0.95","NS",NA
"EIF5",0.268,0.538486149621472,0.3,0.54,"0.3","0.54","NS",NA
"ELOF1",0.00265,0.999043093179255,0,1,"0.0","1.00","NS",NA
"ELOVL1",-1.37,NA,-1.4,NA,"-1.4",NA,"NS",NA
"ELOVL5",0.191,NA,0.2,NA,"0.2",NA,"NS",NA
"ENDOD1",0.378,0.609625703225438,0.4,0.61,"0.4","0.61","NS",NA
"ENKD1",0.983,0.212909920120913,1,0.21,"1.0","0.21","NS",NA
"ENTPD6",0.0894,0.977100572343809,0.1,0.98,"0.1","0.98","NS",NA
"ENTR1",-6.55,7.6381257614257e-06,-6.6,0,"-6.6","<0.01","Down","ENTR1"
"EPHA4",-0.193,0.697123516515428,-0.2,0.7,"-0.2","0.70","NS",NA
"EPHA7",-0.169,0.865814008904908,-0.2,0.87,"-0.2","0.87","NS",NA
"ERAP1",0.276,0.818255691495702,0.3,0.82,"0.3","0.82","NS",NA
"ERBB2",0.203,0.923226417099838,0.2,0.92,"0.2","0.92","NS",NA
"ERC2",5.26,1.81795002607652e-05,5.3,0,"5.3","<0.01","Up",NA
"ERCC8",1.24,0.724587013891312,1.2,0.72,"1.2","0.72","NS",NA
"ERP44",-0.0277,0.978370766362708,0,0.98,"-0.0","0.98","NS",NA
"ERRFI1",0.524,0.817439068133917,0.5,0.82,"0.5","0.82","NS",NA
"ESRRA",0.433,0.239994748339754,0.4,0.24,"0.4","0.24","NS",NA
"ETAA1",0.0621,0.979101074368816,0.1,0.98,"0.1","0.98","NS",NA
"EVI5",-0.293,0.791633818503859,-0.3,0.79,"-0.3","0.79","NS",NA
"F13A1",-0.75,NA,-0.8,NA,"-0.8",NA,"NS",NA
"F5",0.294,0.7778171685961,0.3,0.78,"0.3","0.78","NS",NA
"FAAP100",-0.0702,0.985591437408677,-0.1,0.99,"-0.1","0.99","NS",NA
"FAM174A",0.0349,0.987018208205325,0,0.99,"0.0","0.99","NS",NA
"FAM174B",-1.82,NA,-1.8,NA,"-1.8",NA,"NS",NA
"FAM199X",-1.96,0.354581348443517,-2,0.35,"-2.0","0.35","NS",NA
"FAM234B",0.0534,0.954506889173576,0.1,0.95,"0.1","0.95","NS",NA
"FAM3C",0.399,0.555204828576389,0.4,0.56,"0.4","0.56","NS",NA
"FAM89A",0.35,0.659914851555895,0.3,0.66,"0.3","0.66","NS",NA
"FANCE",0.0218,0.986973917427658,0,0.99,"0.0","0.99","NS",NA
"FAT1",0.232,0.939018814495592,0.2,0.94,"0.2","0.94","NS",NA
"FBLIM1",0.23,0.908969971922351,0.2,0.91,"0.2","0.91","NS",NA
"FBRSL1",0.178,0.793920087458901,0.2,0.79,"0.2","0.79","NS",NA
"FBXO2",5,0.0394814628110012,5,0.04,"5.0","0.04","NS",NA
"FBXO46",0.00502,0.999043093179255,0,1,"0.0","1.00","NS",NA
"FDX2",-0.795,NA,-0.8,NA,"-0.8",NA,"NS",NA
"FGFR3",-0.347,NA,-0.3,NA,"-0.3",NA,"NS",NA
"FHL1",0.403,0.869231488162144,0.4,0.87,"0.4","0.87","NS",NA
"FIP1L1",0.511,0.309643594722899,0.5,0.31,"0.5","0.31","NS",NA
"FKBPL",-0.0202,0.987545426621093,0,0.99,"-0.0","0.99","NS",NA
"FLT1",-0.138,0.880122739085474,-0.1,0.88,"-0.1","0.88","NS",NA
"FN1",0.515,0.611234530091071,0.5,0.61,"0.5","0.61","NS",NA
"FOS",-1.02,NA,-1,NA,"-1.0",NA,"NS",NA
"FOXD3",-1.2,0.836756725991735,-1.2,0.84,"-1.2","0.84","NS",NA
"FPGS",0.28,0.944262376249014,0.3,0.94,"0.3","0.94","NS",NA
"FRMD4A",1.78,0.682903048810409,1.8,0.68,"1.8","0.68","NS",NA
"FTL",-1.09,0.183969454911632,-1.1,0.18,"-1.1","0.18","NS",NA
"FUNDC1",1.24,0.694189322069591,1.2,0.69,"1.2","0.69","NS",NA
"FURIN",0.296,0.912008394489654,0.3,0.91,"0.3","0.91","NS",NA
"FUT8",0.3,0.880122739085474,0.3,0.88,"0.3","0.88","NS",NA
"FXN",0.681,0.190358912470375,0.7,0.19,"0.7","0.19","NS",NA
"FZD7",1.18,NA,1.2,NA,"1.2",NA,"NS",NA
"FZD8",1.91,0.78687432986317,1.9,0.79,"1.9","0.79","NS",NA
"GALNT10",-0.43,NA,-0.4,NA,"-0.4",NA,"NS",NA
"GALNT13",-1.93,0.65962308864058,-1.9,0.66,"-1.9","0.66","NS",NA
