plot_id,plot_title,x_label,y_label,name,ID,x_ratio,y_ratio,x_padj,y_padj,significant_x,significant_y,significance_class,significant_either_axis,combined_abs_ratio
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MAT2B,Q9NZL9,0.0389,0.0495,0.999035847456636,0.817469601887367,FALSE,FALSE,Not significant,FALSE,0.0884
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MATR3,P43243,0.0279,0.542,0.999035847456636,0.0112810990783708,FALSE,FALSE,Not significant,FALSE,0.5699000000000001
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MAU2,Q9Y6X3,0.306,1.1,0.999035847456636,0.0138819373457974,FALSE,TRUE,Significant on y-axis only,TRUE,1.4060000000000001
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MAVS,Q7Z434,-0.253,-0.746,0.999035847456636,0.03465845867546,FALSE,TRUE,Significant on y-axis only,TRUE,0.999
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MAX,P61244,-0.461,-0.899,0.999035847456636,0.199435375124276,FALSE,FALSE,Not significant,FALSE,1.36
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MAZ,P56270,-0.36,-0.416,0.999035847456636,0.53810293865083,FALSE,FALSE,Not significant,FALSE,0.776
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MB21D2,Q8IYB1,0.24,0.115,0.999035847456636,0.882845069601144,FALSE,FALSE,Not significant,FALSE,0.355
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MBD1,Q9UIS9,-0.351,0.116,0.999035847456636,0.87557821078365194,FALSE,FALSE,Not significant,FALSE,0.46699999999999997
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MBD2,Q9UBB5,-0.152,0.193,0.999035847456636,0.678108394146479,FALSE,FALSE,Not significant,FALSE,0.345
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MBD3,O95983,-0.247,-0.144,0.999035847456636,0.794530957463113,FALSE,FALSE,Not significant,FALSE,0.391
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MBD4,O95243,-0.0734,0.184,0.999035847456636,0.624012366277104,FALSE,FALSE,Not significant,FALSE,0.2574
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MBIP,Q9NS73,-0.357,-0.626,0.999035847456636,0.0323674447839555,FALSE,TRUE,Significant on y-axis only,TRUE,0.983
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MBLAC2,Q68D91,-0.226,0.186,0.999035847456636,0.69566136486657,FALSE,FALSE,Not significant,FALSE,0.41200000000000003
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MBNL1,Q9NR56,-0.564,-1.17,0.999035847456636,0.0178546802415227,FALSE,TRUE,Significant on y-axis only,TRUE,1.734
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MBNL3,Q9NUK0,-0.128,-1.48,0.999035847456636,0.0111855213813186,FALSE,TRUE,Significant on y-axis only,TRUE,1.608
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MBOAT2,Q6ZWT7,0.547,1.35,0.999035847456636,0.0831609336926414,FALSE,FALSE,Not significant,FALSE,1.8970000000000002
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MBOAT7,Q96N66,0.31,0.314,0.999035847456636,0.704942866912977,FALSE,FALSE,Not significant,FALSE,0.624
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MBTD1,Q05BQ5,0.0505,0.773,0.999035847456636,0.0551228521559044,FALSE,FALSE,Not significant,FALSE,0.8235
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MBTPS1,Q14703,1.09,1.31,0.999035847456636,0.559560272213244,FALSE,FALSE,Not significant,FALSE,2.4000000000000004
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MCAM,P43121,-0.448,-0.0168,0.999035847456636,0.974924451998391,FALSE,FALSE,Not significant,FALSE,0.4648
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MCAT,Q8IVS2,0.396,0.603,0.999035847456636,0.300126626640819,FALSE,FALSE,Not significant,FALSE,0.999
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MCC,P23508,0.212,-0.369,0.999035847456636,0.1276696606492,FALSE,FALSE,Not significant,FALSE,0.581
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MCCC1,Q96RQ3,0.295,0.869,0.999035847456636,0.0161584510470074,FALSE,TRUE,Significant on y-axis only,TRUE,1.164
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MCCC2,Q9HCC0,0.137,0.512,0.999035847456636,0.0425959245364202,FALSE,FALSE,Not significant,FALSE,0.649
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MCEE,Q96PE7,-0.393,-0.714,0.999035847456636,0.378173734010705,FALSE,FALSE,Not significant,FALSE,1.107
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MCL1,Q07820,0.105,-0.361,0.999035847456636,0.144540058395391,FALSE,FALSE,Not significant,FALSE,0.46599999999999997
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MCM2,P49736,0.0611,0.162,0.999035847456636,0.616558588996073,FALSE,FALSE,Not significant,FALSE,0.22310000000000002
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MCM3,P25205,-0.00226,0.208,0.999035847456636,0.471683041011926,FALSE,FALSE,Not significant,FALSE,0.21026
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MCM3AP,O60318,0.0754,0.985,0.999035847456636,5.8138945954982e-4,FALSE,TRUE,Significant on y-axis only,TRUE,1.0604
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MCM4,P33991,-0.0168,0.0918,0.999035847456636,0.810572232223928,FALSE,FALSE,Not significant,FALSE,0.1086
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MCM5,P33992,0.0606,0.297,0.999035847456636,0.317391386935816,FALSE,FALSE,Not significant,FALSE,0.3576
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MCM6,Q14566,0.046,0.157,0.999035847456636,0.678720490715366,FALSE,FALSE,Not significant,FALSE,0.203
