"name","ID","log2fc_100_vs_vehicle","log2fc_200_vs_vehicle","pvalue_100_vs_vehicle","pvalue_200_vs_vehicle","direction_100","direction_200","sig_100","sig_200","significance_group","same_direction","combined_abs_log2fc","min_pvalue"
"SM(34:1","703.575425 -> 184.1",0.0239,0.0667,0.849938172307936,0.600538586717174,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.0906,0.600538586717174
"SM(34:1.1","719.606725 -> 184.1",-0.116,0.183,0.283740237050883,0.106295903280226,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.299,0.106295903280226
"SM(34:2","701.559725 -> 184.1",-0.168,-0.169,0.135295550004798,0.134775411615295,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.337,0.134775411615295
"SM(36:0","733.622325 -> 184.1",-0.231,0.122,0.0619626374824182,0.285760217307005,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.353,0.0619626374824182
"SM(36:1","731.606725 -> 184.1",0.0501,0.171,0.651763902999234,0.145780754700845,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.2211,0.145780754700845
"SM(36:2","729.591025 -> 184.1",-0.0675,0.0865,0.535223603554837,0.429803908700622,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.154,0.429803908700622
"SM(38:0","761.653625 -> 184.1",-0.105,0.0759,0.361619177635423,0.50471938563154,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.1809,0.361619177635423
"SM(38:1","759.638025 -> 184.1",-0.0517,0.0114,0.713397607734759,0.935251327773301,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.0631,0.713397607734759
"SM(38:2","757.622325 -> 184.1",-0.0305,0.0637,0.763536774312079,0.533447396914144,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.0942,0.533447396914144
"SM(40:0","789.684925 -> 184.1",-0.245,0.0878,0.0209476062101316,0.33892577061312,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.3328,0.0209476062101316
"SM(40:1","787.669325 -> 184.1",-0.222,-0.206,0.121056924938495,0.146927060070105,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.428,0.121056924938495
"SM(40:2","785.653625 -> 184.1",-0.163,-0.17,0.112586615125682,0.0994185050771537,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.333,0.0994185050771537
"SM(40:3","783.638025 -> 184.1",-0.0207,-0.0503,0.854161800322317,0.656131651999138,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.071,0.656131651999138
"SM(42:0","817.716225 -> 184.1",0.059,0.121,0.665599211507611,0.384295969978403,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.18,0.384295969978403
"SM(42:1","815.700625 -> 184.1",-0.238,-0.0761,0.0229694975203333,0.400418555355512,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.3141,0.0229694975203333
"SM(42:2","813.684925 -> 184.1",0.0797,0.14,0.342580000886107,0.112335351381017,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.2197,0.112335351381017
"SM(42:3","811.669325 -> 184.1",0.106,0.0462,0.392201588873599,0.704035182515158,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.1522,0.392201588873599
"SM(44:1","843.731925 -> 184.1",0.153,0.081,0.212833761467596,0.494005399365814,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.234,0.212833761467596
"TG 34:1 NL 16:1","626.57237 -> 355.321241",0.136,-0.221,0.771534970303982,0.639458405590707,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.357,0.639458405590707
"TG48:1] NL 16:0","822.75507 -> 549.488291",0.0298,-0.0755,0.834874139926547,0.59935623034881,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.1053,0.59935623034881
"TG50:0] NL 16:0","852.80197 -> 579.535191",0.158,-0.0782,0.332398921140168,0.623008991909794,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.2362,0.332398921140168
"TG50:1] NL 16:0","850.78637 -> 577.519591",-0.134,-0.363,0.158555765485912,0.00256406384401397,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.497,0.00256406384401397
"TG50:1] NL 18:1","850.78637 -> 551.503941",0.025,-0.0659,0.761791172696555,0.431853612754964,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.0909,0.431853612754964
"TG52:2] NL 16:0","876.80197 -> 603.535191",0.109,-0.028,0.363863702369344,0.811882290040577,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.137,0.363863702369344
"TG52:2] NL 18:1","876.80197 -> 577.519541",0.23,0.0426,0.0521593818341087,0.686629617184735,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.2726,0.0521593818341087
"TG52:3] NL 18:1","874.78637 -> 575.503941",0.176,0.241,0.164046678834312,0.0678935690049453,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.417,0.0678935690049453
"TG54:3] NL 18:1","902.81767 -> 603.535241",0.14,0.0915,0.18894774885327,0.37724562023738,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.2315,0.18894774885327
