"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"HSPE1",1.16,0.0108999485861917,1.2,0.01,"1.2","0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"HSPH1",-0.637,0.0858913744272712,-0.6,0.09,"-0.6","0.09","NS","Present_3of3","Present_3of3","Present vs Present",NA
"HTATIP2",0.685,0.00722741398300589,0.7,0.01,"0.7","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"HTATSF1",-0.0361,0.928231174065198,0,0.93,"-0.0","0.93","NS","Present_3of3","Present_3of3","Present vs Present",NA
"HTRA1",0.736,0.753309350178609,0.7,0.75,"0.7","0.75","NS","Present_3of3","Present_3of3","Present vs Present",NA
"HTRA2",0.238,0.369382296261166,0.2,0.37,"0.2","0.37","NS","Present_3of3","Present_3of3","Present vs Present",NA
"HTT",-0.125,0.663950413759906,-0.1,0.66,"-0.1","0.66","NS","Present_3of3","Present_3of3","Present vs Present",NA
"HUS1",-0.275,0.43622085366864,-0.3,0.44,"-0.3","0.44","NS","Present_3of3","Present_3of3","Present vs Present",NA
"HUWE1",-0.273,0.408180672467218,-0.3,0.41,"-0.3","0.41","NS","Present_3of3","Present_3of3","Present vs Present",NA
"HYCC1",0.841,0.218010345367243,0.8,0.22,"0.8","0.22","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"HYI",4.72,0.0341305394722167,4.7,0.03,"4.7","0.03","Up","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"HYOU1",0.252,0.258876754194172,0.3,0.26,"0.3","0.26","NS","Present_3of3","Present_3of3","Present vs Present",NA
"HYPK",0.143,0.893430795460208,0.1,0.89,"0.1","0.89","NS","Present_3of3","Present_3of3","Present vs Present",NA
"IAH1",-0.665,0.0579186646218788,-0.7,0.06,"-0.7","0.06","NS","Present_3of3","Present_3of3","Present vs Present",NA
"IARS1",-0.596,0.130968227569604,-0.6,0.13,"-0.6","0.13","NS","Present_3of3","Present_3of3","Present vs Present",NA
"IARS2",0.116,0.743317413347292,0.1,0.74,"0.1","0.74","NS","Present_3of3","Present_3of3","Present vs Present",NA
"IBA57",0.366,0.170222941520762,0.4,0.17,"0.4","0.17","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ICE1",0.369,0.178886304596769,0.4,0.18,"0.4","0.18","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ICE2",0.0935,0.765529137596651,0.1,0.77,"0.1","0.77","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ICMT",-0.046,0.939177695577973,0,0.94,"-0.0","0.94","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"ICOSLG",1.47,0.0199527989592781,1.5,0.02,"1.5","0.02","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ID1",-0.122,0.909747248138231,-0.1,0.91,"-0.1","0.91","NS","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"ID4",-0.539,0.319991183367931,-0.5,0.32,"-0.5","0.32","NS","Present_3of3","Present_3of3","Present vs Present",NA
"IDE",0.0543,0.809353732266901,0.1,0.81,"0.1","0.81","NS","Present_3of3","Present_3of3","Present vs Present",NA
"IDH1",-0.616,0.0456510594972021,-0.6,0.05,"-0.6","0.05","Down","Present_3of3","Present_3of3","Present vs Present",NA
"IDH2",0.421,0.0810424841423118,0.4,0.08,"0.4","0.08","NS","Present_3of3","Present_3of3","Present vs Present",NA
"IDH3A",0.195,0.421962233828395,0.2,0.42,"0.2","0.42","NS","Present_3of3","Present_3of3","Present vs Present",NA
"IDH3B",0.135,0.771283086952431,0.1,0.77,"0.1","0.77","NS","Present_3of3","Present_3of3","Present vs Present",NA
"IDH3G",0.0742,0.867392994222149,0.1,0.87,"0.1","0.87","NS","Present_3of3","Present_3of3","Present vs Present",NA
"IDI1",0.364,0.620172823387426,0.4,0.62,"0.4","0.62","NS","Present_3of3","Present_3of3","Present vs Present",NA
"IDS",0.974,0.160646894930446,1,0.16,"1.0","0.16","NS","Present_3of3","Present_3of3","Present vs Present",NA
"IDUA",0.391,0.822114664005342,0.4,0.82,"0.4","0.82","NS","MAR_1of3","MAR_2of3","MAR vs MAR",NA
"IFI30",1.06,0.0641262434500981,1.1,0.06,"1.1","0.06","NS","MAR_2of3","MAR_1of3","MAR vs MAR",NA
"IFIT5",-0.0433,0.917209446315565,0,0.92,"-0.0","0.92","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"IFRD2",0.268,0.350223412257847,0.3,0.35,"0.3","0.35","NS","Present_3of3","Present_3of3","Present vs Present",NA
"IFT172",1.59,0.263861559260285,1.6,0.26,"1.6","0.26","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"IFT20",0.163,0.821547446002426,0.2,0.82,"0.2","0.82","NS","Present_3of3","Present_3of3","Present vs Present",NA
"IFT25",0.331,0.698768996791219,0.3,0.7,"0.3","0.70","NS","Present_3of3","Present_3of3","Present vs Present",NA
