"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"EDIL3",-0.225,0.999934611520757,-0.2,1,"-0.2","1.00","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"EEF1AKMT1",-5.49,0.000848960094645108,-5.5,0,"-5.5","<0.01","Down","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"EEF1G",0.106,0.999934611520757,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"EFNA5",0.313,0.999934611520757,0.3,1,"0.3","1.00","NS","MAR_2of3","MAR_2of3","MAR vs MAR",NA
"EFR3A",-2.29,0.0192226709753165,-2.3,0.02,"-2.3","0.02","Down","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"EFR3B",-2.38,0.887776306129875,-2.4,0.89,"-2.4","0.89","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"EGLN3",-3.95,0.234269527291849,-4,0.23,"-4.0","0.23","NS","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"EGR1",0.611,0.999934611520757,0.6,1,"0.6","1.00","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"EHD3",0.209,0.999934611520757,0.2,1,"0.2","1.00","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"EIF1",-0.168,0.999934611520757,-0.2,1,"-0.2","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"EIF1B",0.465,0.803182037277324,0.5,0.8,"0.5","0.80","NS","Present_3of3","Present_3of3","Present vs Present",NA
"EIF3C",7.14,5.82975259440759e-07,7.1,0,"7.1","<0.01","Up","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"EIF4ENIF1",0.437,0.75746820446861,0.4,0.76,"0.4","0.76","NS","Present_3of3","Present_3of3","Present vs Present",NA
"EIF5",0.488,0.371487209357934,0.5,0.37,"0.5","0.37","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ELOF1",-5.26,3.90004491065765e-05,-5.3,0,"-5.3","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"ELOVL1",-4.06,0.498388233196259,-4.1,0.5,"-4.1","0.50","NS","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"ELOVL5",-0.631,0.999934611520757,-0.6,1,"-0.6","1.00","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"ENDOD1",-0.161,0.999934611520757,-0.2,1,"-0.2","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ENKD1",0.362,0.999934611520757,0.4,1,"0.4","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ENTPD6",0.301,0.999934611520757,0.3,1,"0.3","1.00","NS","Present_3of3","MAR_1of3","Present vs MAR",NA
"ENTR1",0.239,0.999934611520757,0.2,1,"0.2","1.00","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"EPHA4",-0.223,0.955672560728938,-0.2,0.96,"-0.2","0.96","NS","Present_3of3","Present_3of3","Present vs Present",NA
"EPHA7",-0.0478,0.999934611520757,0,1,"-0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ERAP1",-0.171,0.999934611520757,-0.2,1,"-0.2","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ERBB2",-2.54,0.00203215911141652,-2.5,0,"-2.5","<0.01","Down","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"ERC2",0.327,0.999934611520757,0.3,1,"0.3","1.00","NS","MAR_1of3","MAR_2of3","MAR vs MAR",NA
