"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"ATP5PO",0.286,0.947,0.3,0.95,"0.3","0.95","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP6V0A1",0.755,0.927,0.8,0.93,"0.8","0.93","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP6V0A2",0.0715,0.968,0.1,0.97,"0.1","0.97","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP6V0D2",-8.08,0.000245,-8.1,0,"-8.1","<0.01","Down","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"ATP6V1D",-1.64,0.0361,-1.6,0.04,"-1.6","0.04","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ATP7A",2.78,0.816,2.8,0.82,"2.8","0.82","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ATP9A",2.53,0.91,2.5,0.91,"2.5","0.91","NS","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ATR",7.3,0.000273,7.3,0,"7.3","<0.01","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ATXN2L",-0.268,0.96,-0.3,0.96,"-0.3","0.96","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATXN7",5.46,0.316,5.5,0.32,"5.5","0.32","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ATXN7L3B",-1.07,0.786,-1.1,0.79,"-1.1","0.79","NS","Present_3of3","Present_3of3","Present vs Present",NA
"B3GALNT2",0.595,0.966,0.6,0.97,"0.6","0.97","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"B4GALT5",-2.72,0.348,-2.7,0.35,"-2.7","0.35","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"B4GALT6",-1.25,0.934,-1.2,0.93,"-1.2","0.93","NS","Present_3of3","Present_3of3","Present vs Present",NA
"B4GALT7",0.911,0.903,0.9,0.9,"0.9","0.90","NS","Present_3of3","Present_3of3","Present vs Present",NA
"B9D1",4.28,0.342,4.3,0.34,"4.3","0.34","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"BACE1",-7.66,0.269,-7.7,0.27,"-7.7","0.27","NS","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"BACH2",1.88,0.843,1.9,0.84,"1.9","0.84","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"BAD",-0.151,0.967,-0.2,0.97,"-0.2","0.97","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BAG1",-1.38,0.693,-1.4,0.69,"-1.4","0.69","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BAG4",-1.35,0.858,-1.4,0.86,"-1.4","0.86","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BAMBI",-4.62,0.606,-4.6,0.61,"-4.6","0.61","NS","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"BCAT1",-2.65,0.733,-2.6,0.73,"-2.6","0.73","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BCKDHB",-1.07,0.872,-1.1,0.87,"-1.1","0.87","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BCKDK",1.68,0.0945,1.7,0.09,"1.7","0.09","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BCL10",-0.399,0.96,-0.4,0.96,"-0.4","0.96","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BCL11B",0.47,0.955,0.5,0.96,"0.5","0.96","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BCL2",1.61,0.77,1.6,0.77,"1.6","0.77","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"BCL2L1",1.61,0.846,1.6,0.85,"1.6","0.85","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"BCL2L12",0.514,0.964,0.5,0.96,"0.5","0.96","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"BCL9L",0.135,0.967,0.1,0.97,"0.1","0.97","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BCOR",1.25,0.563,1.2,0.56,"1.2","0.56","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BDH1",4.3,0.924,4.3,0.92,"4.3","0.92","NS","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"BIN1",-0.681,0.937,-0.7,0.94,"-0.7","0.94","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BIRC2",-0.132,0.965,-0.1,0.96,"-0.1","0.96","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BLM",0.46,0.919,0.5,0.92,"0.5","0.92","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BLOC1S1",-1.13,0.911,-1.1,0.91,"-1.1","0.91","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BLOC1S4",-0.753,0.918,-0.8,0.92,"-0.8","0.92","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BLOC1S6",-1.18,0.926,-1.2,0.93,"-1.2","0.93","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BMP2",1.77,0.958,1.8,0.96,"1.8","0.96","NS","MAR_1of3","Present_3of3","MAR vs Present",NA
"BMP4",-7.49,0.0757,-7.5,0.08,"-7.5","0.08","NS","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"BMPR1A",0.82,0.963,0.8,0.96,"0.8","0.96","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"BMPR2",0.211,0.969,0.2,0.97,"0.2","0.97","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"BNIP3",2.85,0.94,2.9,0.94,"2.9","0.94","NS","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"BOD1",0.462,0.961,0.5,0.96,"0.5","0.96","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BOLA2B",-1.54,0.443,-1.5,0.44,"-1.5","0.44","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BORCS6",1.36,0.741,1.4,0.74,"1.4","0.74","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BPGM",-3.05,0.00438,-3,0,"-3.0","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"BPHL",1.06,0.806,1.1,0.81,"1.1","0.81","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BPNT2",0.0336,0.969,0,0.97,"0.0","0.97","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BRI3",-6.01,0.00221,-6,0,"-6.0","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"BRI3BP",-0.331,0.944,-0.3,0.94,"-0.3","0.94","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BRWD1",2.89,0.073,2.9,0.07,"2.9","0.07","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"BRWD3",1.04,0.896,1,0.9,"1.0","0.90","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"BSN",-0.759,0.947,-0.8,0.95,"-0.8","0.95","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BTBD2",1.25,0.739,1.2,0.74,"1.2","0.74","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"BTBD8",-0.745,0.933,-0.7,0.93,"-0.7","0.93","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BTBD9",-2.84,0.953,-2.8,0.95,"-2.8","0.95","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"BTF3",-1.69,0.892,-1.7,0.89,"-1.7","0.89","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BTF3L4",-1.27,0.929,-1.3,0.93,"-1.3","0.93","NS","Present_3of3","Present_3of3","Present vs Present",NA
"C11orf54",-1.73,0.882,-1.7,0.88,"-1.7","0.88","NS","Present_3of3","Present_3of3","Present vs Present",NA
"C1orf122",-0.853,0.948,-0.9,0.95,"-0.9","0.95","NS","Present_3of3","Present_3of3","Present vs Present",NA
"C1orf159",-1.94,0.839,-1.9,0.84,"-1.9","0.84","NS","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"C1orf198",0.118,0.966,0.1,0.97,"0.1","0.97","NS","Present_3of3","Present_3of3","Present vs Present",NA
"C1orf43",-0.171,0.963,-0.2,0.96,"-0.2","0.96","NS","Present_3of3","Present_3of3","Present vs Present",NA
"C1orf50",0.104,0.967,0.1,0.97,"0.1","0.97","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"C1orf52",-0.462,0.962,-0.5,0.96,"-0.5","0.96","NS","Present_3of3","Present_3of3","Present vs Present",NA
"C2orf49",0.0481,0.969,0,0.97,"0.0","0.97","NS","Present_3of3","Present_3of3","Present vs Present",NA
"C4A",-0.946,0.958,-0.9,0.96,"-0.9","0.96","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"C4BPA",-6.63,0.622,-6.6,0.62,"-6.6","0.62","NS","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"C6orf89",5.37,0.186,5.4,0.19,"5.4","0.19","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"C8orf88",-1.32,0.958,-1.3,0.96,"-1.3","0.96","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"C9orf40",-0.015,0.97,0,0.97,"-0.0","0.97","NS","Present_3of3","Present_3of3","Present vs Present",NA
"C9orf72",3.72,0.946,3.7,0.95,"3.7","0.95","NS","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"C9orf78",-0.495,0.949,-0.5,0.95,"-0.5","0.95","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAAP1",-0.651,0.911,-0.7,0.91,"-0.7","0.91","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CABIN1",5.49,0.702,5.5,0.7,"5.5","0.70","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"CABLES1",5.43,0.102,5.4,0.1,"5.4","0.10","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"CACNB3",2.03,0.167,2,0.17,"2.0","0.17","NS","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"CACYBP",-1.45,0.617,-1.4,0.62,"-1.4","0.62","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CALCOCO2",-1.63,0.739,-1.6,0.74,"-1.6","0.74","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAPG",-0.674,0.935,-0.7,0.94,"-0.7","0.94","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAPRIN1",-0.638,0.949,-0.6,0.95,"-0.6","0.95","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAPZB",-1.49,0.348,-1.5,0.35,"-1.5","0.35","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CARMIL1",0.385,0.956,0.4,0.96,"0.4","0.96","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CARMIL2",-1.69,0.801,-1.7,0.8,"-1.7","0.80","NS","Present_3of3","Present_3of3","Present vs Present",NA
