"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"GCHFR",0.114,0.86737586479218,0.1,0.87,"0.1","0.87","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GCLC",-0.884,0.00400613072494063,-0.9,0,"-0.9","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"GCLM",-0.472,0.0592954249392947,-0.5,0.06,"-0.5","0.06","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GCN1",0.0888,0.917135047228424,0.1,0.92,"0.1","0.92","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GCSH",1.12,0.0629215346082255,1.1,0.06,"1.1","0.06","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GDAP1",0.109,0.780418012790547,0.1,0.78,"0.1","0.78","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GDAP2",-0.768,0.049437507025729,-0.8,0.05,"-0.8","0.05","Down","Present_3of3","Present_3of3","Present vs Present",NA
"GDE1",0.456,0.288985958922221,0.5,0.29,"0.5","0.29","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GDI1",-0.358,0.250737554370428,-0.4,0.25,"-0.4","0.25","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GDI2",-0.516,0.0963523570478756,-0.5,0.1,"-0.5","0.10","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GDPD1",0.287,0.255554370475211,0.3,0.26,"0.3","0.26","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GDPGP1",0.0516,0.961429814001223,0.1,0.96,"0.1","0.96","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GEMIN2",-0.33,0.324174915280574,-0.3,0.32,"-0.3","0.32","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GEMIN4",0.508,0.697316942242913,0.5,0.7,"0.5","0.70","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GEMIN5",0.415,0.035902466910335,0.4,0.04,"0.4","0.04","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GEMIN6",0.619,0.0162634272388838,0.6,0.02,"0.6","0.02","Up","Present_3of3","Present_3of3","Present vs Present",NA
"GEMIN7",0.11,0.83136930463886,0.1,0.83,"0.1","0.83","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GEMIN8",1.33,0.00283655348088039,1.3,0,"1.3","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"GEN1",1.14,0.0177107289087263,1.1,0.02,"1.1","0.02","Up","Present_3of3","Present_3of3","Present vs Present",NA
"GET1",0.803,0.463786464867861,0.8,0.46,"0.8","0.46","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GET3",-0.343,0.141778466880997,-0.3,0.14,"-0.3","0.14","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GET4",-0.43,0.243292811239136,-0.4,0.24,"-0.4","0.24","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GFER",0.764,0.220994354198801,0.8,0.22,"0.8","0.22","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GFM1",-0.0985,0.75779226919338,-0.1,0.76,"-0.1","0.76","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GFM2",0.5,0.617969602035294,0.5,0.62,"0.5","0.62","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GFPT1",-0.719,0.00809515782142738,-0.7,0.01,"-0.7","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"GFRA1",0.547,0.431806419083303,0.5,0.43,"0.5","0.43","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GFUS",0.118,0.85888750730935,0.1,0.86,"0.1","0.86","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GGA1",0.113,0.786742730348616,0.1,0.79,"0.1","0.79","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GGA2",0.246,0.583315169987465,0.2,0.58,"0.2","0.58","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GGA3",-0.0794,0.860692869472378,-0.1,0.86,"-0.1","0.86","NS","Present_3of3","Present_3of3","Present vs Present",NA
