"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"ATP23",0.206,0.755415775210195,0.2,0.76,"0.2","0.76","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"ATP2A2",0.62,0.110376592601975,0.6,0.11,"0.6","0.11","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP2B1",0.511,0.197488259283826,0.5,0.2,"0.5","0.20","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP2B4",0.617,0.520258960414154,0.6,0.52,"0.6","0.52","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP2C1",0.461,0.424219016599524,0.5,0.42,"0.5","0.42","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5F1A",0.887,0.0239183321622177,0.9,0.02,"0.9","0.02","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5F1B",0.715,0.0137491095860183,0.7,0.01,"0.7","0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5F1C",1.01,0.0165913506790858,1,0.02,"1.0","0.02","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5F1D",0.19,0.69981345128195,0.2,0.7,"0.2","0.70","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5IF1",-0.713,0.340620729121534,-0.7,0.34,"-0.7","0.34","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5ME",-0.0706,0.8707243256129,-0.1,0.87,"-0.1","0.87","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5MF",1.28,0.00162636534737889,1.3,0,"1.3","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5MG",0.217,0.535980046982162,0.2,0.54,"0.2","0.54","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5MJ",-0.491,0.106314567403493,-0.5,0.11,"-0.5","0.11","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5PB",-0.0762,0.867658263071959,-0.1,0.87,"-0.1","0.87","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5PD",0.495,0.320725833988586,0.5,0.32,"0.5","0.32","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5PF",-0.37,0.72938159287148,-0.4,0.73,"-0.4","0.73","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5PO",0.765,0.0014443882101211,0.8,0,"0.8","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ATP6AP1",0.31,0.337796093885105,0.3,0.34,"0.3","0.34","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP6AP2",0.464,0.160344545011786,0.5,0.16,"0.5","0.16","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP6V0A1",0.369,0.373113451347559,0.4,0.37,"0.4","0.37","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP6V0A2",0.539,0.0983917507993365,0.5,0.1,"0.5","0.10","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP6V0C",0.326,0.606607996038655,0.3,0.61,"0.3","0.61","NS","MAR_2of3","MAR_1of3","MAR vs MAR",NA
