"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"BLOC1S4",-1.45,0.00557,-1.4,0.01,"-1.4","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"BLOC1S6",-2,0.0259,-2,0.03,"-2.0","0.03","Down","Present_3of3","Present_3of3","Present vs Present",NA
"BMP2",-0.662,0.482,-0.7,0.48,"-0.7","0.48","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BMP4",-1.01,0.336,-1,0.34,"-1.0","0.34","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BMPR1A",5.73,0.00594,5.7,0.01,"5.7","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"BMPR2",5.03,0.0422,5,0.04,"5.0","0.04","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"BNIP3",3.99,0.115,4,0.12,"4.0","0.12","NS","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"BOD1",-1.24,0.173,-1.2,0.17,"-1.2","0.17","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"BOLA2B",-1.35,0.00152,-1.4,0,"-1.4","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"BORCS6",-0.553,0.224,-0.6,0.22,"-0.6","0.22","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BPGM",-3.45,3.36e-14,-3.5,0,"-3.5","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"BPHL",1.24,0.0065,1.2,0.01,"1.2","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"BPNT2",0.52,0.217,0.5,0.22,"0.5","0.22","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BRI3",0.326,0.435,0.3,0.44,"0.3","0.44","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BRI3BP",1.03,0.00172,1,0,"1.0","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"BRWD1",2.27,1.72e-05,2.3,0,"2.3","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"BRWD3",-0.136,0.481,-0.1,0.48,"-0.1","0.48","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
