"lipid_class","unsat_class","reference_prop","reference_total","comparison_prop","comparison_total","Comparison","ComparisonType","ReferenceGroup","ComparisonGroup","delta_prop","delta_label","p_value","p_adj_BH","significance"
"PE","SFA",0.0666666666666667,30,0.0833333333333333,24,"WT 200 vs WT EtOH","Within genotype","Control_Veh","Control_200",0.0166666666666667,"+0.02",0.999999999999933,1,""
"PS","MUFA",0.266666666666667,15,0.4,10,"WT 200 vs WT EtOH","Within genotype","Control_Veh","Control_200",0.133333333333333,"+0.13",0.828509893659978,1,""
"PS","PUFA",0.666666666666667,15,0.5,10,"WT 200 vs WT EtOH","Within genotype","Control_Veh","Control_200",-0.166666666666667,"-0.17",0.828509893659978,1,""
"PS","SFA",0.0666666666666667,15,0.1,10,"WT 200 vs WT EtOH","Within genotype","Control_Veh","Control_200",0.0333333333333333,"+0.03",0.828509893659978,1,""
"TG","MUFA",0.222222222222222,9,0.166666666666667,6,"WT 200 vs WT EtOH","Within genotype","Control_Veh","Control_200",-0.0555555555555556,"-0.06",1,1,""
"TG","PUFA",0.555555555555556,9,0.666666666666667,6,"WT 200 vs WT EtOH","Within genotype","Control_Veh","Control_200",0.111111111111111,"+0.11",1,1,""
"TG","SFA",0.222222222222222,9,0.166666666666667,6,"WT 200 vs WT EtOH","Within genotype","Control_Veh","Control_200",-0.0555555555555556,"-0.06",1,1,""
"CE","MUFA",0.181818181818182,11,0.333333333333333,6,"RDH12 100 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_100",0.151515151515151,"+0.15",0.830316742081447,1,""
"CE","PUFA",0.454545454545455,11,0.333333333333333,6,"RDH12 100 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_100",-0.121212121212121,"-0.12",0.830316742081447,1,""
"CE","SFA",0.363636363636364,11,0.333333333333333,6,"RDH12 100 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_100",-0.0303030303030303,"-0.03",0.830316742081447,1,""
"DG","MUFA",0.285714285714286,21,0.260869565217391,23,"RDH12 100 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_100",-0.0248447204968944,"-0.02",1,1,""
"DG","PUFA",0.523809523809524,21,0.521739130434783,23,"RDH12 100 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_100",-0.00207039337474124,"0",1,1,""
"DG","SFA",0.19047619047619,21,0.217391304347826,23,"RDH12 100 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_100",0.0269151138716356,"+0.03",1,1,""
"PC","MUFA",0.174757281553398,103,0.188679245283019,106,"RDH12 100 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_100",0.0139219637296208,"+0.01",0.734212753769147,1,""
"PC","PUFA",0.689320388349515,103,0.641509433962264,106,"RDH12 100 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_100",-0.0478109543872505,"-0.05",0.734212753769147,1,""
"PC","SFA",0.135922330097087,103,0.169811320754717,106,"RDH12 100 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_100",0.0338889906576296,"+0.03",0.734212753769147,1,""
"PE","MUFA",0.205128205128205,39,0.204545454545455,44,"RDH12 100 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_100",-0.000582750582750563,"0",0.999999999999962,1,""
"PE","PUFA",0.717948717948718,39,0.704545454545455,44,"RDH12 100 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_100",-0.0134032634032634,"-0.01",0.999999999999962,1,""
"PE","SFA",0.0769230769230769,39,0.0909090909090909,44,"RDH12 100 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_100",0.013986013986014,"+0.01",0.999999999999962,1,""
"PS","MUFA",0.235294117647059,17,0.352941176470588,17,"RDH12 100 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_100",0.117647058823529,"+0.12",0.771466759288977,1,""
"PS","PUFA",0.647058823529412,17,0.588235294117647,17,"RDH12 100 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_100",-0.0588235294117647,"-0.06",0.771466759288977,1,""
"PS","SFA",0.117647058823529,17,0.0588235294117647,17,"RDH12 100 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_100",-0.0588235294117647,"-0.06",0.771466759288977,1,""
"TG","MUFA",0.166666666666667,18,0.166666666666667,18,"RDH12 100 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_100",0,"0",0.891174647280473,1,""
"TG","PUFA",0.666666666666667,18,0.555555555555556,18,"RDH12 100 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_100",-0.111111111111111,"-0.11",0.891174647280473,1,""
"TG","SFA",0.166666666666667,18,0.277777777777778,18,"RDH12 100 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_100",0.111111111111111,"+0.11",0.891174647280473,1,""
"CE","MUFA",0.181818181818182,11,0.75,4,"RDH12 200 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_200",0.568181818181818,"+0.57",0.164835164835165,1,""
"CE","PUFA",0.454545454545455,11,0.25,4,"RDH12 200 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_200",-0.204545454545455,"-0.20",0.164835164835165,1,""
"CE","SFA",0.363636363636364,11,0,4,"RDH12 200 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_200",-0.363636363636364,"-0.36",0.164835164835165,1,""
"DG","MUFA",0.285714285714286,21,0.333333333333333,15,"RDH12 200 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_200",0.0476190476190476,"+0.05",0.999999999999995,1,""
"DG","PUFA",0.523809523809524,21,0.533333333333333,15,"RDH12 200 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_200",0.00952380952380949,"+0.01",0.999999999999995,1,""
"DG","SFA",0.19047619047619,21,0.133333333333333,15,"RDH12 200 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_200",-0.0571428571428571,"-0.06",0.999999999999995,1,""
"PC","MUFA",0.174757281553398,103,0.169642857142857,112,"RDH12 200 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_200",-0.00511442441054091,"-0.01",0.820575924885308,1,""
"PC","PUFA",0.689320388349515,103,0.660714285714286,112,"RDH12 200 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_200",-0.0286061026352289,"-0.03",0.820575924885308,1,""
"PC","SFA",0.135922330097087,103,0.169642857142857,112,"RDH12 200 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_200",0.0337205270457698,"+0.03",0.820575924885308,1,""
"PE","MUFA",0.205128205128205,39,0.204545454545455,44,"RDH12 200 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_200",-0.000582750582750563,"0",0.938605457911412,1,""
"PE","PUFA",0.717948717948718,39,0.681818181818182,44,"RDH12 200 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_200",-0.0361305361305362,"-0.04",0.938605457911412,1,""
"PE","SFA",0.0769230769230769,39,0.113636363636364,44,"RDH12 200 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_200",0.0367132867132867,"+0.04",0.938605457911412,1,""
"PS","MUFA",0.235294117647059,17,0.277777777777778,18,"RDH12 200 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_200",0.042483660130719,"+0.04",1,1,""
"PS","PUFA",0.647058823529412,17,0.611111111111111,18,"RDH12 200 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_200",-0.0359477124183006,"-0.04",1,1,""
"PS","SFA",0.117647058823529,17,0.111111111111111,18,"RDH12 200 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_200",-0.00653594771241831,"-0.01",1,1,""
"TG","MUFA",0.166666666666667,18,0.214285714285714,14,"RDH12 200 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_200",0.0476190476190476,"+0.05",1,1,""
"TG","PUFA",0.666666666666667,18,0.571428571428571,14,"RDH12 200 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_200",-0.0952380952380952,"-0.10",1,1,""
"TG","SFA",0.166666666666667,18,0.214285714285714,14,"RDH12 200 vs RDH12 EtOH","Within genotype","RDH12_Veh","RDH12_200",0.0476190476190476,"+0.05",1,1,""
