name,ID,GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.val,GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.val,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.val,RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_p.val,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.val,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_p.val,RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_p.val,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.val,GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.adj,GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.adj,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.adj,RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_p.adj,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.adj,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_p.adj,RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_p.adj,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.adj,GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_significant,GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_significant,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_significant,RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_significant,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_significant,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_significant,RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_significant,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_significant,significant,GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_ratio,GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_ratio,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_ratio,RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_ratio,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_ratio,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_ratio,RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_ratio,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_ratio,GFP_100_atRAL5hr.24h_recvr_centered,GFP_200_atRAL5hr.24h_recvr_centered,GFP_control_atRAL5hr.24h_recvr_centered,RDH12_100_atRAL5hr_centered,RDH12_100_atRAL5hr.24h_recvr_centered,RDH12_200_atRAL5hr_centered,RDH12_200_atRAL5hr.24h_recvr_centered,RDH12_control_atRAL5hr_centered,RDH12_control_atRAL5hr.24h_recvr_centered
USP36,Q9P275,0.8657424673495021,0.3765655737923683,0.26757496376897255,0.5121803647019705,0.23893270670517708,0.8913068057823028,0.5592546471391322,0.11744244334433682,0.881,0.874,0.588,0.608,0.655,0.915,0.847,0.594,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0514,0.272,0.343,-0.2,0.365,0.0416,-0.178,0.492,-0.162,0.161,-0.11,-0.862,0.181,0.0587,0.203,0.148,0.381
USP37,Q86T82,0.6644490578121625,0.6809748773179962,0.6018465533070994,0.8928719637349649,0.990009898169466,0.9917966330429111,0.6887345481976728,0.4141356625726006,0.832,0.9,0.782,0.859,0.865,0.919,0.878,0.83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.279,-0.265,-0.336,-0.0865,0.00804,-0.0066,0.258,-0.529,0.152,0.167,0.431,0.337,-0.184,0.816,0.16,-1.78,-0.0976
USP39,Q53GS9,0.43777801390994053,0.002211955137724681,0.18266249386947297,0.8622652036392177,0.44693067434339173,0.06599734131769497,0.44414163841909116,0.029347408880709445,0.715,0.433,0.491,0.849,0.765,0.794,0.804,0.321,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.164,0.729,0.287,-0.0365,0.161,-0.404,-0.162,0.488,0.0531,0.618,-0.111,-0.569,0.34,-0.359,0.214,-0.563,0.376
USP4,Q13107,0.8673891762794164,0.7062636537701497,0.5689909616080089,0.9914229291805712,0.4177972283197521,0.785394673624753,0.814739735130261,0.6783447918195858,0.881,0.901,0.771,0.883,0.754,0.91,0.899,0.885,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.115,0.26,0.394,-0.00741,0.563,0.188,0.162,0.286,-0.224,0.151,-0.109,0.508,0.17,-0.524,0.339,-0.488,0.177
USP42,Q9H9J4,0.39846579577624586,0.28790222127132825,0.058885504145319234,0.9784723459645623,0.13061565157822505,0.70947113666919015,0.6933480897760458,0.27851751282204157,0.681,0.861,0.287,0.88,0.526,0.906,0.879,0.771,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.249,0.315,0.578,0.00788,0.455,-0.109,-0.115,0.321,-0.392,0.172,-0.143,-0.576,0.186,-0.149,0.0626,0.663,0.178
USP47,Q96K76,0.826428168823337,0.0819005705845206,0.34115240617123843,0.714209692651198,0.43007625310508946,0.2260140245628272,0.5943280675576013,0.2741913905577196,0.874,0.787,0.654,0.785,0.759,0.859,0.857,0.769,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0554,-0.457,-0.243,0.0926,-0.201,0.311,0.135,-0.28,0.306,-0.206,0.251,0.356,0.063,-0.261,0.105,-0.584,-0.0296
USP48,Q86UV5,0.42141966050087176,3.1437825765467074e-4,0.9558035170207966,0.9919888888057331,0.9553720630494974,0.0024111500781368966,0.9915567380888097,0.3963487453724095,0.702,0.293,0.856,0.883,0.862,0.499,0.919,0.824,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.113,0.597,0.00769,0.00139,0.00777,-0.477,0.00147,0.119,0.0264,0.511,-0.0862,-0.214,0.0341,0.0642,0.0342,-0.402,0.0327
USP5,P45974,0.935309408985086,0.24537076925176843,0.32934955437319746,0.9990738844802515,0.5830857345528551,0.4791036675832271,0.6624110430309055,0.36914122171955377,0.892,0.852,0.645,0.884,0.803,0.891,0.873,0.815,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0122,-0.177,-0.148,1.74e-4,-0.0825,0.107,0.0655,-0.136,0.0746,-0.115,0.0624,0.156,-0.0733,-0.298,-0.00796,0.274,-0.0735
USP54,Q70EL1,0.9867622179643677,0.5863757045703321,0.6308451162934785,0.4903207171851759,0.22511889270950686,0.0890290240750568,0.9518367777676952,0.25426762082539517,0.899,0.893,0.791,0.579,0.643,0.811,0.915,0.756,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0062,-0.204,0.18,-0.259,0.462,0.66,0.0226,0.433,0.544,0.346,0.55,0.123,0.724,-0.12,1.01,-4.15,0.983
USP6NL,Q92738,0.7176702385587631,0.4640189166280917,0.7114150330223792,0.6316677358654508,0.4837550353376725,0.7420693950027806,0.883412484903535,0.23348195641593864,0.848,0.883,0.812,0.73,0.777,0.908,0.908,0.74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.424,0.864,0.434,-0.563,0.825,0.386,-0.172,1.42,0.593,1.03,0.168,-2.17,1.03,-2.16,1.42,-1.5,1.59
USP7,Q93009,0.8972413407212028,0.005581435316702285,0.37479840106566753,0.8779843260250952,0.5467651733441095,0.028362874305577032,0.8905835980802718,0.3876773061450761,0.886,0.533,0.678,0.854,0.794,0.736,0.909,0.821,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0245,0.582,0.17,0.0291,0.115,-0.443,-0.0261,0.165,-0.0978,0.46,-0.122,0.0227,0.0723,-0.23,0.0171,-0.165,0.0432
USP8,P40818,0.38547055142967124,0.006709186240690522,0.20620811285561805,0.7369750421248724,0.002883323049479603,2.0993561607111886e-05,0.09540165305718186,0.4561543308117475,0.669,0.555,0.514,0.798,0.0903,0.125,0.334,0.842,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.157,-0.534,0.231,-0.0601,0.6,0.978,0.309,0.134,-0.211,-0.589,-0.0547,0.25,0.0193,-0.194,0.389,0.312,0.0794
USP9X,Q93008,0.540253783789393,0.5249305169837462,0.4677314894445973,0.7411292348903188,0.3700800824999002,0.7276474615992825,0.8758578125246009,0.656015698063394,0.78,0.889,0.73,0.8,0.734,0.907,0.907,0.882,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.163,-0.169,-0.193,0.0875,-0.239,0.0922,0.0413,-0.118,0.281,-0.0508,0.118,0.364,0.0876,-0.118,0.0414,-0.723,1.16e-4
