"Gene","Acute Veh","Acute 100uM","Acute 200uM","Recvr Veh","Recvr 100uM","Recvr 200uM"
"CCNL2",-0.628,-0.461,-0.136,0.449,0.301,-0.206
"CCNT1",-0.135,-0.51,-0.47,0.512,0.403,0.607
"CCNT2",-0.248,-1.34,-0.328,0.853,0.545,0.439
"CCNY",-0.809,0.102,0.068,0.375,0.112,0.355
"CCNYL1",-3.3,0.431,0.908,0.428,0.333,0.129
"CCS",1.4,0.263,0.464,-0.125,-0.0161,-0.0306
"CCSAP",0.48,-1.47,-0.973,0.676,0.487,0.929
"CCT6A",-0.645,0.378,-0.392,-0.0518,0.0513,0.103
"CCT7",-0.634,0.461,-0.296,-0.0696,0.0888,0.0225
"CD109",-0.719,2.23,2.6,0.408,-0.571,-1.83
"CD276",2.15,0.0463,1.73,-0.343,-0.387,-0.732
"CD2AP",0.554,-0.319,-0.69,0.42,0.293,0.604
"CD2BP2",0.982,-0.196,0.38,-0.0612,0.0841,0.277
"CD320",1.26,0.953,1.72,-0.405,-0.462,0.185
"CD46",1.71,0.851,1.6,-0.407,-0.605,-1.04
"CD47",0.432,-0.0439,0.938,-0.268,-0.169,-0.273
"CD55",2.44,0.391,1.61,-0.269,-0.65,-0.821
"CD58",0.818,-0.0225,1.08,-0.729,-0.0606,0.133
"CD59",1.41,-0.327,1.34,0.175,-0.37,-0.609
"CD63",1.01,0.336,1.02,-0.59,-0.293,-0.102
"CD83",4.9,2.97,3.69,-1.95,-1.21,-2.26
"CD9",0.493,-0.276,0.586,0.187,0.346,-0.964
"CD99L2",0.569,0.408,1.11,-0.32,-0.316,-0.389
"CDC16",-2.61,0.0967,0.727,0.22,0.118,0.0692
"CDC25C",0.24,0.302,-0.67,0.304,0.248,0.579
"CDC26",0.765,-0.896,-0.552,0.633,0.261,0.872
"CDC34",0.985,0.188,0.349,-0.443,-0.153,-0.201
"CDC37",0.949,-0.18,-0.347,-0.0116,-0.13,0.248
"CDC42",2.36,0.172,0.561,0.0621,-0.547,-0.186
"CDC42EP4",0.457,-0.773,-0.771,0.691,0.584,0.934
"CDC42SE1",2.81,1.74,2.1,0.189,-0.415,0.00831
"CDCA2",-0.168,-0.798,-0.202,0.347,0.211,0.173
"CDCA3",0.842,-0.451,-0.448,0.638,0.347,0.878
"CDCA5",0.163,-0.968,-0.512,0.417,0.416,0.637
"CDCA7",0.27,-0.692,-0.836,0.766,0.573,0.501
"CDCA8",0.431,-0.888,-0.0744,0.457,0.282,0.367
"CDH2",1.64,0.193,1.02,-0.525,-0.502,-0.587
"CDIPT",-0.746,-0.117,-0.398,0.334,0.464,0.00688
"CDK16",-3.32,0.636,0.156,0.275,0.392,0.475
"CDK19",-3.91,0.164,0.727,0.423,0.327,0.306
"CDK2AP1",1.25,-0.988,-0.0826,0.766,0.322,0.741
"CDK5",-1.01,0.149,-0.0837,0.0894,0.0509,-0.0031
"CDKN1A",1.27,-0.716,-1.74,0.299,0.0875,0.552
"CDKN1B",0.895,-0.789,-0.472,0.121,0.0952,0.432
"CDNF",1.25,-0.482,0.684,0.359,0.264,0.409
"CDON",2.47,3,2.4,-0.944,-0.821,-1.97
"CDR2",-0.324,-0.651,-0.512,0.351,0.362,0.453
"CDS2",-0.774,-0.173,-0.253,0.561,0.363,-0.0488
"CDT1",0.586,-0.652,-0.534,0.242,0.0452,0.523
"CDV3",1.73,-0.261,-0.114,0.0863,-0.0244,0.589
"CDX2",1.21,-0.717,0.345,-0.278,-0.286,-0.369
"CEBPA",0.551,-1.21,-1.88,0.408,1,1.27
"CEBPB",0.474,-0.658,-0.921,0.788,0.612,0.728
"CEBPZ",-0.872,-0.682,0.0302,0.22,0.287,0.136
"CECR2",-0.349,-1.02,-0.264,0.456,0.239,0.408
"CENPA",-0.803,-1.7,-0.217,0.919,0.395,0.379
"CENPC",0.0998,-0.959,0.0668,0.201,0.0812,0.175
"CENPF",-0.0101,-1.17,-0.51,0.729,0.575,0.679
"CENPH",1.18,-0.17,0.236,-0.162,-0.247,0.0973
"CENPK",0.589,-0.731,0.103,0.198,0.457,0.464
"CENPL",-0.543,-0.816,0.366,0.144,0.106,-0.172
"CENPQ",1.15,-0.913,0.0859,0.149,0.102,0.237
"CENPS",0.95,-0.575,0.0771,0.197,-0.0718,0.236
"CENPU",0.879,-0.493,0.0355,-0.23,-0.225,-0.107
"CENPV",1.14,-0.837,0.299,0.0111,-0.206,-0.0187
"CEP112",-0.24,-0.508,-0.473,0.382,0.405,0.817
"CEP128",-0.898,-0.552,-0.72,0.545,0.472,0.731
"CEP135",0.0541,-0.484,-0.448,0.41,0.221,0.627
"CEP162",-3.79,0.0316,-0.403,1.13,0.847,1.14
"CEP164",0.1,-0.422,-0.36,0.348,0.105,0.776
"CEP170",-0.177,-0.531,-0.814,0.544,0.494,0.882
"CEP20",0.204,-0.659,-0.502,0.541,0.253,0.804
"CEP250",-0.698,-0.824,-0.836,0.782,0.453,0.66
"CEP350",-0.64,-0.449,-0.563,0.451,0.368,0.875
"CEP55",0.699,-0.618,-0.332,0.477,0.259,0.642
"CEP57",0.0301,-0.872,-0.389,0.611,0.471,0.714
"CEP63",-2.54,-0.288,1.3,0.592,0.346,0.381
"CEP68",-3.83,0.0389,0.0829,0.541,0.583,0.779
"CEP78",-1.01,0.267,-0.173,0.203,0.118,0.16
"CEP83",1.15,-0.746,-0.231,0.34,0.0761,0.306
"CEP85",0.768,-0.525,-0.647,0.414,0.254,0.709
"CEP85L",0.612,-1.07,-0.841,1.14,0.838,1.3
"CERS5",-1.71,-0.136,1.69,0.125,-0.0408,-0.251
"CES3",-3.02,0.372,1.6,0.0367,0.0158,0.287
"CETN2",1.07,-0.56,0.2,0.353,0.0893,0.36
"CETN3",1.88,-0.294,0.661,-0.273,-0.205,-0.31
"CFAP20",0.749,-0.446,0.0963,-0.03,-0.0917,-0.175
"CFAP298",0.723,-0.193,-0.371,0.0904,-0.0253,0.49
"CFAP36",0.603,-1.01,-0.62,0.742,0.48,1.01
"CFDP1",1.56,-0.217,0.1,-0.145,-0.208,0.0626
"CFL1",1.02,0.251,-0.202,-0.128,-0.222,0.0469
"CFL2",0.947,0.123,0.315,-0.29,-0.355,-0.126
"CGGBP1",1.24,-0.892,-0.0241,0.208,0.0895,0.351
"CGN",0.158,-0.753,-0.483,0.354,0.31,0.602
"CHAC2",0.8,0.407,0.118,-0.35,-0.304,-0.0569
"CHCHD1",1.14,-0.79,-0.0916,0.78,0.401,0.707
"CHCHD2",-0.399,-1.36,0.0188,0.617,0.492,0.939
"CHCHD3",0.76,-0.504,0.364,0.214,0.0273,0.0973
"CHCHD5",1.06,-0.546,0.526,0.369,0.321,0.719
"CHCHD6",0.481,-0.818,0.116,0.726,0.346,0.278
"CHCHD7",1.63,-0.731,0.336,0.0457,-0.0402,0.37
"CHD1",-0.141,-0.762,-0.0493,0.322,0.283,0.174
"CHD2",-0.615,-0.805,-0.141,0.302,0.409,0.35
"CHD6",-0.77,-0.884,-0.251,0.459,0.269,0.586
"CHD9",0.389,-0.851,0.155,0.256,0.143,0.137
"CHERP",-0.16,-0.835,-0.507,0.666,0.347,0.396
"CHFR",1.17,-0.0792,0.0952,-0.692,-0.443,-0.151
"CHIC2",-0.61,3.25,3.13,-0.294,0.2,-0.905
"CHM",0.884,0.9,0.956,-1.03,-0.596,-0.279
"CHMP1A",0.844,-0.366,0.0725,0.0213,-0.0601,0.407
"CHMP1B",0.886,-0.181,0.292,0.034,-0.193,0.217
"CHMP2A",1.14,-0.148,0.434,-0.308,-0.295,0.111
"CHMP2B",0.797,-0.366,0.139,0.127,0.0889,0.505
"CHMP3",1.22,-0.572,0.0478,0.0122,-0.0424,0.551
"CHMP4A",1.62,-0.738,-0.216,0.0901,0.173,0.638
"CHMP4B",1.42,-0.825,-0.171,0.122,0.304,0.634
"CHMP4C",1.16,-0.636,-0.29,0.0288,0.187,0.682
"CHMP5",1.51,-0.815,-0.46,0.205,0.269,0.679
"CHMP6",1.11,-0.409,0.402,-0.155,-0.236,0.157
"CHN1",1.85,-0.712,0.104,-0.944,0.201,0.153
"CHORDC1",1.39,0.392,0.118,-0.462,-0.377,0.0592
"CHP1",0.798,-0.271,0.653,0.21,-0.216,0.4
"CHRAC1",1.04,-0.353,0.134,0.424,-0.047,0.292
"CHST10",-0.271,3.62,2.89,-1.4,-1.47,-1.18
"CHST12",-0.687,0.397,0.871,0.127,0.0545,0.446
"CHST7",-0.52,0.478,2.85,-0.628,0.893,-0.91
"CHTF18",-0.677,-0.0147,0.52,-0.154,-0.00145,-0.0564
"CHTOP",0.557,-0.785,0.0624,0.14,0.00968,0.00542
"CHURC1",1.03,0.165,0.0189,-0.138,0.0134,0.211
"CIAO2B",0.934,-0.0542,0.222,-0.406,-0.127,0.0795
"CIBAR1",0.63,-0.516,0.16,-0.104,0.0638,0.627
"CIC",-0.0243,-0.914,-0.613,0.736,0.356,0.616
"CILP",2.82,2.22,2.12,-0.793,-0.535,-1.11
"CIP2A",-0.993,-0.31,-0.276,0.251,0.31,0.433
"CIR1",0.864,-1.19,-0.562,0.229,0.255,0.756
"CIRBP",1.17,-0.356,0.123,-0.0797,-0.191,-0.297
"CISD2",0.764,-0.586,0.567,0.365,0.15,0.472
"CIZ1",0.344,-1.08,-0.524,0.482,0.342,0.56
"CKAP2L",0.208,-0.958,-0.352,0.336,0.421,0.744
"CKB",2.61,0.0207,0.333,-0.237,-0.425,-0.54
"CKMT1B",1.79,-0.689,0.527,0.21,-0.168,0.154
"CLASP2",-0.808,-0.3,0.224,0.379,0.259,0.265
"CLASRP",0.374,-1.09,0.0418,0.672,0.444,0.414
"CLCC1",-0.935,-0.259,-0.535,0.247,0.455,0.234
"CLCN3",0.802,0.0555,1.62,0.0151,0.00936,-2.74
"CLDND1",-2.34,1.21,1.9,-0.498,-0.16,0.18
"CLIP1",1.21,-0.688,-0.505,0.128,0.206,0.65
"CLIP2",0.539,-0.976,-0.811,0.453,0.32,0.676
"CLK2",-0.932,-0.725,-0.241,0.589,0.628,0.491
"CLK4",-0.16,-0.55,-0.186,0.22,0.48,0.287
"CLN6",-4.31,-0.737,0.196,1.15,0.346,0.958
"CLSTN3",0.932,0.924,1.16,-0.237,-0.45,-0.259
"CLTA",1.48,-0.0286,0.404,0.00719,-0.0898,0.148
"CLTB",1.7,-0.06,0.329,0.201,-0.192,0.0636
"CLTC",-1.18,0.0501,-0.383,-0.0506,0.0377,0.0562
"CLYBL",0.651,-0.386,0.619,0.0519,-0.102,-0.0793
"CMBL",1.61,0.174,0.111,-0.388,-0.27,-0.467
"CMC1",1.67,-0.573,0.287,0.383,0.00708,0.546
"CMC2",1.07,-0.925,-0.213,1.05,0.369,0.555
"CMC4",0.704,-1.17,-0.517,0.481,0.51,0.785
"CNN2",0.66,-0.00823,-0.633,0.165,0.195,0.582
"CNN3",0.813,0.142,-0.367,0.1,-0.0702,0.38
"CNNM3",-0.783,0.217,0.0877,0.26,0.0972,-0.0755
"CNOT1",-1.15,0.0647,-0.119,0.138,0.259,0.101
"CNOT2",-0.926,-0.062,-0.618,0.366,0.212,0.522
"CNOT3",0.622,-0.442,-0.624,0.397,0.274,0.691
"CNOT4",0.905,0.00697,-0.118,-0.134,-0.194,-0.0709
"CNPY2",1.26,-0.164,0.946,-0.191,-0.111,0.00359
"CNPY3",1.49,-0.434,0.821,-0.0638,-0.201,-0.0716
"CNPY4",1.97,-0.111,1.2,-0.255,-0.431,-0.252
"CNRIP1",0.701,-0.0309,-0.419,0.0113,0.0518,-0.0576
"CNTN1",1.97,0.234,1.47,-0.526,-0.61,-0.739
"CNTROB",-0.464,-0.825,-0.55,0.485,0.474,0.677
"COA4",1.15,-0.655,-0.106,0.592,-0.127,0.968
"COA5",0.88,-1.18,-1.02,1.12,0.815,0.433
"COA6",1.09,-0.763,-0.407,0.502,0.418,0.657
"COA7",1.94,0.0791,0.487,0.19,-0.562,-0.104
"COASY",-0.85,0.415,-0.152,0.21,0.0687,0.016
"COBL",-0.302,-0.389,-0.615,0.845,0.506,0.743
"COCH",2.1,0.868,0.991,0.153,-0.207,-0.289
"COG1",-2.8,-0.107,1.73,0.371,0.0711,0.0374
"COG2",-0.896,0.117,0.0278,0.162,0.0234,0.327
"COG3",-3.18,0.222,0.464,0.28,0.523,0.496
"COL14A1",-0.734,-0.488,-0.183,0.394,0.336,0.197
"COL4A1",0.45,0.347,0.986,-0.289,-0.105,-0.377
"COL4A5",-0.536,-0.636,-0.368,1.01,0.397,0.106
"COL6A2",-0.0555,-0.29,-0.64,0.214,0.151,0.579
"COMMD1",0.796,0.204,0.0311,-0.282,-0.332,-0.00611
"COMMD6",1.14,-0.00605,-0.0627,-0.0773,0.153,0.342
"COPA",-0.672,0.367,-0.0991,-0.00165,0.0711,-0.0773
"COPB1",-0.924,0.33,-0.125,0.0347,0.106,0.124
"COPG1",-1.06,0.343,-0.198,0.0571,0.104,0.09
"COPS5",1.17,0.0379,0.0191,-0.156,-0.127,-0.146
"COQ3",0.701,0.134,0.757,-0.0267,0.303,-0.255
"COQ5",-2.8,0.51,0.669,0.306,0.586,0.589
"COQ8B",-0.933,0.0101,-0.359,0.601,0.638,0.474
"COX14",0.814,0.37,0.218,-0.197,-0.105,-0.15
"COX19",1.23,-0.64,-0.398,0.846,0.338,0.739
"COX5B",1.54,-0.587,0.761,0.55,-0.00858,0.448
"COX6B1",1.98,0.0772,0.529,0.645,0.0736,0.402
"COX6C",0.754,-0.341,0.939,-0.0389,-0.414,0.0789
"COX7A2",0.675,-0.52,-0.315,0.487,0.625,0.148
"COX7C",0.282,-0.38,-0.288,0.782,0.964,0.569
"CPM",2.08,0.107,1.16,-0.293,-0.62,-0.272
"CPNE1",1.34,-0.675,0.35,-0.0538,-0.146,-0.392
"CPNE2",1.59,-0.0898,0.724,-0.402,-0.498,-0.328
"CPNE3",2.07,-0.0476,1.11,-0.675,-0.615,-0.469
"CPPED1",1.81,-0.0454,-0.168,-0.235,-0.00283,0.356
"CPSF1",-0.849,-0.446,-0.474,0.522,0.463,0.0884
"CPSF2",-0.725,-0.513,-0.555,0.485,0.509,-0.00224
"CPSF3",-0.984,-0.398,-0.608,0.459,0.458,0.161
"CPSF6",0.956,-0.842,-0.205,0.518,0.234,0.31
"CPSF7",0.971,-0.523,0.123,0.0877,-0.0506,-0.206
"CPT2",-0.218,-0.0118,0.877,0.184,0.0664,-0.358
"CRACD",0.422,-1.13,-0.852,0.575,0.407,0.8
"CRAT",0.444,-0.368,0.824,0.0692,-0.0344,-0.444
"CRCP",0.551,-0.806,-0.538,0.664,0.0717,0.404
"CREB1",0.979,-0.583,-0.37,0.249,0.256,0.296
"CREB5",0.0564,-0.716,-0.607,0.56,0.627,0.535
"CRELD1",1.29,0.0898,1.23,-0.228,-0.543,-0.269
"CRELD2",2.11,0.516,1.71,-0.555,-0.889,-0.888
"CRIP2",1.61,-0.499,-0.171,0.698,0.00231,0.147
"CRIPT",1.1,-0.809,-0.613,0.523,-0.0576,0.532
"CRISPLD1",4.05,2.92,3.38,-2.18,-1.57,-1.64
"CRK",1.07,0.108,-0.116,-0.352,-0.233,-0.147
"CRKL",0.932,-0.227,-0.386,0.108,-0.00638,0.255
"CRNKL1",-0.72,-0.568,-0.203,0.431,0.432,0.166
"CROCC",0.484,-0.837,-0.678,0.387,0.272,0.644
"CRTC1",0.481,-0.368,-0.648,0.45,0.346,1.01
"CRTC2",-0.103,-0.549,-0.765,0.37,0.323,0.809
"CRTC3",0.31,-0.573,-0.353,0.451,0.272,0.831
"CS",-1.05,0.0296,0.0519,0.332,0.334,0.0151
"CSE1L",-1.15,-0.0397,-0.57,0.301,0.308,0.181
"CSNK2A1",1.35,-0.15,0.282,-0.286,-0.361,-0.427
"CSNK2B",1.33,-0.247,0.564,0.324,-0.0152,-0.685
"CSRP1",3.14,-1.03,-0.66,-0.235,0.0699,0.488
"CSRP2",1.8,-0.212,-0.279,0.385,0.0812,0.651
"CST3",0.894,-0.484,0.665,0.205,0.171,0.546
"CSTB",1.29,0.248,-0.112,-0.102,-0.229,0.0782
"CSTF1",1.62,-0.221,0.0977,-0.0567,-0.223,-0.475
"CSTF2T",0.204,-0.691,-0.817,0.724,0.245,0.789
"CTBS",1.39,-1,0.529,0.22,-0.0209,0.045
"CTCF",0.921,-0.115,0.808,-0.103,-0.566,-1.01
"CTDNEP1",-2.11,-0.106,0.358,0.121,0.544,0.288
"CTDSPL2",-0.198,-1.2,-0.178,0.441,0.463,0.407
"CTNNAL1",-1.34,0.226,0.679,0.102,0.198,0.166
"CTNNB1",-0.755,0.242,-0.397,0.263,0.228,-0.155
"CTPS2",1.11,0.254,-0.307,-0.184,-0.249,-0.203
"CTR9",-0.748,-0.343,0.045,0.305,0.253,-0.083
"CTSB",1.38,-0.694,0.807,0.207,-0.0112,-0.229
"CTSF",0.00781,-0.666,0.395,-0.00784,0.175,0.543
"CTSH",0.483,-1.35,-0.486,0.929,0.605,0.946
"CTSL",1.49,-0.843,0.347,0.585,0.437,0.723
"CTSV",2.18,0.397,1.33,-0.426,-0.394,-0.441
"CTTN",0.853,-0.297,-0.754,0.057,0.287,0.604
"CTTNBP2",1.56,-3.19,-0.123,0.686,0.311,0.487
"CTTNBP2NL",0.596,-0.33,-0.525,0.375,0.187,0.748
"CTU1",-3.51,0.326,1.38,0.319,0.393,0.329
"CUEDC1",1.45,-0.6,-0.084,0.237,0.119,0.547
"CUEDC2",0.803,-0.797,-0.937,0.457,0.346,0.89
"CUL4B",-0.986,-0.276,-0.596,0.309,0.235,0.0751
"CUSTOS",0.613,-1.28,-0.365,0.293,0.396,0.77
"CUTA",0.948,-0.15,-0.463,0.216,0.353,0.338
"CUTC",1.8,-0.498,0.169,-0.293,-0.366,-0.343
"CUX1",-0.302,-0.77,-0.588,0.657,0.287,0.502
"CWC15",0.68,-1.33,-0.544,0.509,0.465,0.877
"CWC25",0.591,-0.914,-0.14,0.328,0.336,0.64
"CWC27",0.732,-0.69,-0.291,0.131,0.104,0.577
"CXADR",1.63,0.0417,1.08,-0.117,-0.479,-0.416
"CXXC1",0.772,-0.291,0.0936,-0.124,-0.233,-0.108
"CXXC5",3.01,-3.36,-2.85,1.43,0.451,2.05
"CYB5R4",0.769,0.239,0.22,-0.405,-0.208,-0.168
"CYP20A1",-1.22,-0.0375,-0.0843,0.311,0.191,0.0644
"CZIB",1.64,-0.154,0.00987,-0.0506,-0.259,-0.00628
"DAAM1",-0.228,0.547,0.641,-0.258,-0.464,-0.258
"DAB2IP",0.0655,-1.65,0.23,0.328,0.121,0.297
"DAD1",0.994,-0.194,-0.189,-0.0403,0.399,-0.235
"DAG1",1.23,-0.129,0.888,-0.0333,-0.159,0.0478
"DAGLB",-0.499,0.72,0.201,-0.181,-0.108,-0.205
"DAP",0.905,-1.31,-0.718,1.48,0.875,1.24
"DAP3",1.4,0.147,0.197,-0.206,-0.169,-0.503
"DAPK3",-2.42,0.177,-0.0826,0.294,0.369,0.461
"DARS1",0.648,0.326,-0.41,-0.264,-0.155,-0.153
"DBF4",-2.51,0.337,-0.0167,0.424,0.143,0.295
"DBI",1.35,-0.51,-0.508,0.654,0.135,0.996
"DBNL",0.616,-0.214,-0.415,0.138,0.192,0.531
"DCAF13",-1.33,-0.62,-0.353,0.457,0.409,0.275
"DCAF15",0.972,-0.308,-0.282,-0.178,0.000667,0.241
"DCAF16",0.874,0.0396,0.5,-0.54,-0.108,0.456
"DCAF4",-3.24,-1.25,0.584,1.89,2.17,2.3
"DCAKD",-0.764,-0.0191,-0.141,0.254,0.285,0.112
"DCBLD2",2.26,0.489,1.91,-0.37,-0.851,-0.839
"DCLRE1A",-2.52,-0.87,0.301,0.75,0.737,0.547
"DCP1B",-0.0111,-0.309,-0.512,0.324,0.277,0.613
"DCP2",-0.832,-0.13,0.00411,0.684,0.0513,0.392
"DCTN3",0.707,0.0216,-0.435,0.157,0.0124,0.265
"DCTN6",1.6,-0.0115,0.127,-0.0422,-0.304,-0.205
"DCTPP1",1.44,-0.495,-0.767,0.582,0.402,0.67
"DCXR",2.38,0.0741,0.97,-0.432,-0.47,-0.598
"DDA1",0.695,-0.859,-0.485,0.713,0.326,0.922
"DDAH1",1.41,0.234,0.362,-0.339,-0.469,-0.312
"DDHD1",-3.77,-0.422,0.181,0.426,0.572,0.882
"DDHD2",-0.904,0.206,-0.194,0.0629,0.225,0.153
"DDOST",-0.838,-0.219,0.134,0.226,0.143,0.0424
"DDR1",-0.0181,3.9,3.05,-0.336,-1.19,-0.674
"DDRGK1",0.399,-0.759,-0.171,0.173,0.106,0.439
"DDT",1.21,-0.00584,-0.0182,0.0868,0.146,0.205
"DDX18",-1.02,-0.577,-0.161,0.319,0.246,0.318
"DDX20",-0.95,-0.232,0.0135,0.22,0.28,0.28
"DDX23",-0.595,-0.627,-0.5,0.439,0.392,0.463
"DDX39A",1.5,-0.371,0.00816,0.148,-0.218,-0.531
"DDX39B",1.68,-0.454,0.109,-0.0707,-0.166,-0.335
"DDX3X",-0.889,-0.389,-0.395,0.381,0.478,0.334
"DDX47",-1.28,-0.786,-0.214,0.486,0.402,0.348
"DDX50",-0.922,-0.638,-0.264,0.28,0.3,0.109
"DDX51",0.15,-0.918,0.216,0.131,0.102,-0.0522
"DDX52",-0.948,-0.554,0.178,0.272,0.24,0.166
"DDX56",-1.21,-0.489,-0.0887,0.192,0.299,0.339
"DEAF1",0.831,-0.509,0.062,0.0662,-0.0449,0.0113
"DECR1",1.87,-0.596,0.75,0.0262,-0.233,-0.336
"DECR2",2.24,0.0144,0.814,-0.241,-0.172,-0.319
"DEK",0.532,-0.792,0.234,0.249,0.0558,0.243
"DENND10",-3.61,1.06,2.09,0.777,0.853,0.91
"DENND1A",-0.769,-1.91,-1.49,-0.244,1.27,2.98
"DENR",1.71,-0.106,0.11,0.0987,-0.0576,0.0665
"DEPDC1",-1.41,-0.376,0.261,0.544,0.507,0.0798
"DERL1",-4.64,0.668,0.957,0.586,0.569,0.441
"DERL2",-3.01,0.169,1.32,0.077,0.451,0.467
"DERPC",0.0685,-0.666,-0.487,0.467,0.6,0.628
"DFFA",0.661,-0.125,-0.356,-0.0728,0.0706,0.201
"DGKE",-2.92,0.485,1.39,0.231,0.0345,0.105
"DGUOK",1.38,-0.471,0.83,-0.416,-0.0181,-0.241
"DHCR7",-1.1,0.159,-0.576,0.623,0.531,-0.259
"DHODH",1.27,-0.26,1.22,-0.261,-0.379,-0.44
"DHPS",2,-0.153,0.0951,-0.083,-0.159,-0.0183
"DHRS1",-4.05,0.0126,1.98,0.232,0.437,0.114
"DHRS11",2.78,0.247,0.725,-0.252,-0.581,-0.25
"DHRS4",1.37,0.0982,0.953,-0.2,-0.467,-0.545
"DHRS7",-1.09,-0.372,-0.307,0.234,0.313,0.308
"DHTKD1",-0.699,-0.237,-0.0617,0.819,0.542,-0.0652
"DHX15",-0.69,-0.459,-0.353,0.411,0.378,0.328
"DHX30",-0.623,-0.232,-0.0322,0.435,0.374,0.103
"DHX33",-2.18,-0.616,-0.31,0.498,0.612,0.445
"DHX35",0.0546,-1.06,-0.703,0.364,0.652,0.411
"DHX37",0.0585,-0.653,0.393,-0.0362,0.11,-0.0456
"DHX8",-0.478,-0.625,-0.521,0.455,0.502,0.297
"DHX9",-1.16,-0.597,-0.398,0.524,0.488,0.106
"DIAPH2",-1.07,-0.109,-0.645,0.24,0.125,0.449
"DIAPH3",-0.452,-0.738,-0.715,0.611,0.29,0.829
"DIDO1",0.174,-0.819,-0.344,0.476,0.222,0.368
"DIP2A",-0.0463,-0.692,-0.221,0.755,0.578,0.831
"DIPK2A",0.302,0.874,0.642,-0.42,-0.283,-0.533
"DIS3",-1.01,0.0581,-0.0443,-0.0718,0.0821,0.0882
"DISC1",-1.07,-3.03,-0.00492,1.25,1.05,0.79
"DKC1",1.33,-0.481,0.48,-0.2,-0.391,-0.323
"DLD",2.02,-0.248,1.09,-0.154,-0.418,-0.608
"DLG5",-2.41,0.449,0.952,0.0117,0.0933,0.349
"DLGAP4",1.28,-0.36,-0.0675,0.364,-0.00994,0.519
"DLGAP5",-0.149,-0.559,-0.262,0.393,0.464,0.91
"DLST",1.84,-0.412,1.15,-0.187,-0.479,-0.242
"DNAJA1",1.7,-0.423,0.402,-0.0237,-0.167,0.438
"DNAJB1",0.961,0.0354,0.0841,-0.324,-0.349,0.19
"DNAJB11",1.41,-0.175,0.999,-0.225,-0.354,-0.116
"DNAJB12",0.851,-0.403,0.261,0.0633,-0.119,0.299
"DNAJB14",0.945,-0.601,-0.119,0.223,-0.00929,0.317
"DNAJB2",1.69,0.212,0.712,-0.754,-0.726,-0.174
"DNAJB4",1.25,0.223,0.328,-0.608,-0.616,-0.0218
"DNAJC10",-0.883,0.0119,0.313,0.235,0.224,-0.0192
"DNAJC11",0.464,0.24,0.761,-0.152,-0.234,-0.274
"DNAJC17",0.741,-0.606,-0.367,0.267,-0.0145,0.576
"DNAJC8",0.832,-0.626,-0.454,0.251,0.0692,0.566
"DNAJC9",1.05,-0.531,-0.302,-0.0993,-0.0188,0.635
"DNAL1",0.911,-0.234,-0.503,0.198,-0.0579,0.412
"DNASE2",1.73,-0.532,0.757,0.178,-0.116,0.21
"DNM1",2.71,-1.07,0.707,-0.421,-0.423,-0.449
"DNM3",-1.36,-0.0212,-0.738,0.273,0.283,0.35
"DNMT1",0.602,-0.426,-0.0669,-0.122,-0.137,0.103
"DNMT3A",-0.35,-0.886,-0.327,0.443,0.407,0.161
"DNPEP",2.41,-0.0665,0.305,-0.148,-0.373,-0.343
"DNPH1",1.36,0.387,0.519,-0.388,-0.336,-0.506
"DNTTIP2",-0.283,-0.837,-0.111,0.319,0.272,0.497
"DOCK1",-0.666,-0.919,-0.37,0.549,0.447,0.649
"DOCK11",1.75,-0.0313,-0.475,0.0032,-0.209,-0.0799
"DONSON",-3.12,0.0536,0.432,0.286,0.4,0.226
"DOT1L",-0.0858,-0.724,-0.477,0.468,0.36,0.527
"DPAGT1",-2.75,0.139,1.62,0.216,0.388,0.0472
"DPF1",0.694,-0.493,-0.293,0.0196,0.184,0.479
"DPF2",0.605,-0.696,-0.173,0.372,0.302,0.486
"DPF3",0.105,-1.34,-0.36,0.481,0.401,0.599
"DPM1",-0.871,0.036,0.515,0.0774,0.0532,-0.109
"DPY19L1",-1.13,-0.347,0.438,0.27,0.185,-0.223
"DPY30",0.88,-1.22,-0.77,1,0.414,0.927
"DPYSL4",-0.832,0.332,-0.273,0.122,0.176,0.224
"DR1",1.64,-0.0171,0.478,-0.269,-0.547,-0.225
"DRAP1",1.5,-0.998,-0.205,0.13,0.158,0.65
"DSC3",0.23,1.49,1.06,-0.0959,-0.618,-0.291
"DSG1",1.09,-1.79,-0.736,0.0868,0.197,1.59
"DSTN",0.712,0.335,0.0411,-0.375,-0.323,-0.0556
"DSTYK",0.194,3.37,3.54,-2.01,-3.45,-0.797
"DTD1",1.76,-0.168,0.186,-0.416,-0.196,-0.127
"DTD2",1.27,-0.466,-0.2,0.225,-0.165,0.0364
"DTL",-0.371,-0.333,-0.27,0.548,0.302,0.809
"DTNA",-0.744,-0.45,-0.549,0.815,0.457,0.594
"DTNB",-1.94,-0.612,0.933,0.357,0.236,0.429
"DTWD2",-1.62,0.741,0.501,0.225,0.0823,0.179
"DTX3L",3.46,-1.57,2.37,-0.109,-0.58,-0.973
"DUS1L",1.51,-0.128,0.175,0.14,-0.13,-0.115
"DUS2",0.975,0.0392,-0.0447,-0.111,-0.103,-0.117
"DUSP9",-1.17,-0.0426,-0.377,0.29,0.254,0.52
"DUT",0.968,-0.332,-0.363,0.0305,-0.119,0.23
"DVL3",-3.36,0.343,1.54,-0.0312,0.171,0.422
"DXO",1.89,-0.117,0.17,-0.428,-0.339,-0.233
