"name","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"LPC 16:1",0.19,0.147175883786012,0.2,0.15,"0.2","0.15","NS",NA
"LPC 18:0",0.354,0.000959168827914113,0.4,0,"0.4","<0.01","NS",NA
"LPC 20:1",-0.109,0.350478042898395,-0.1,0.35,"-0.1","0.35","NS",NA
"LPC 26:0",-0.112,0.475265186058942,-0.1,0.48,"-0.1","0.48","NS",NA
"LPC O-18:1",-0.0897,0.398451487236236,-0.1,0.4,"-0.1","0.40","NS",NA
"LPE 22:5",-0.0936,0.466733535964919,-0.1,0.47,"-0.1","0.47","NS",NA
"PC 24:0",-0.179,0.186539691731063,-0.2,0.19,"-0.2","0.19","NS",NA
"PC 26:0",-0.138,0.270788022888021,-0.1,0.27,"-0.1","0.27","NS",NA
"PC 28:0",0.089,0.342322527013203,0.1,0.34,"0.1","0.34","NS",NA
"PC 28:1",0.0796,0.610994133986262,0.1,0.61,"0.1","0.61","NS",NA
"PC 30:0",0.17,0.302851761790193,0.2,0.3,"0.2","0.30","NS",NA
"PC 30:1",0.382,0.0269600019498816,0.4,0.03,"0.4","0.03","Up",NA
"PC 30:2",0.343,0.0194697740622282,0.3,0.02,"0.3","0.02","NS",NA
"PC 32:1",0.362,0.0523696644406244,0.4,0.05,"0.4","0.05","NS",NA
"PC 32:2",0.405,0.0307119976586407,0.4,0.03,"0.4","0.03","Up",NA
"PC 32:3",0.189,0.0608364498747973,0.2,0.06,"0.2","0.06","NS",NA
"PC 32:4",0.0777,0.507266030420009,0.1,0.51,"0.1","0.51","NS",NA
"PC 34:0",0.281,0.0528782916527514,0.3,0.05,"0.3","0.05","NS",NA
"PC 34:1",0.325,0.0350028289869563,0.3,0.04,"0.3","0.04","NS",NA
"PC 34:2",0.252,0.102864342600632,0.3,0.1,"0.3","0.10","NS",NA
"PC 34:3",0.293,0.0269801862209295,0.3,0.03,"0.3","0.03","NS",NA
"PC 34:4",0.228,0.0895641819437701,0.2,0.09,"0.2","0.09","NS",NA
"PC 34:6",0.0162,0.88994377470045,0,0.89,"0.0","0.89","NS",NA
"PC 36:0",0.243,0.0636909673069847,0.2,0.06,"0.2","0.06","NS",NA
"PC 36:1",0.45,0.00480818115823502,0.4,0,"0.4","<0.01","Up","PC 36:1"
"PC 36:2",0.114,0.386348447130622,0.1,0.39,"0.1","0.39","NS",NA
"PC 36:3",-0.00274,0.979250385853591,0,0.98,"-0.0","0.98","NS",NA
"PC 36:4",-0.0108,0.907437569082552,0,0.91,"-0.0","0.91","NS",NA
"PC 36:5",0.0068,0.945313001312104,0,0.95,"0.0","0.95","NS",NA
"PC 36:6",0.104,0.376136526327504,0.1,0.38,"0.1","0.38","NS",NA
"PC 36:7",0.148,0.378455744058968,0.1,0.38,"0.1","0.38","NS",NA
"PC 38:0",0.0159,0.904090551984017,0,0.9,"0.0","0.90","NS",NA
"PC 38:1",0.0612,0.496385966378894,0.1,0.5,"0.1","0.50","NS",NA
"PC 38:2",0.291,0.0257490475594981,0.3,0.03,"0.3","0.03","NS",NA
"PC 38:3",0.42,0.0110019341933582,0.4,0.01,"0.4","0.01","Up","PC 38:3"
"PC 38:4",0.207,0.114364302952287,0.2,0.11,"0.2","0.11","NS",NA
"PC 38:5",0.213,0.0600458322824477,0.2,0.06,"0.2","0.06","NS",NA
"PC 38:6",-0.135,0.361898737743622,-0.1,0.36,"-0.1","0.36","NS",NA
"PC 38:7",0.288,0.0115490108839525,0.3,0.01,"0.3","0.01","NS",NA
"PC 40:0",-0.123,0.481145703334881,-0.1,0.48,"-0.1","0.48","NS",NA
"PC 40:1",0.0467,0.596352457754175,0,0.6,"0.0","0.60","NS",NA
"PC 40:2",-0.126,0.184683213004657,-0.1,0.18,"-0.1","0.18","NS",NA
"PC 40:3",-0.102,0.344174852635635,-0.1,0.34,"-0.1","0.34","NS",NA
"PC 40:4",0.0514,0.601957420663447,0.1,0.6,"0.1","0.60","NS",NA
"PC 40:5",0.102,0.33331267759574,0.1,0.33,"0.1","0.33","NS",NA
"PC 40:6",0.0985,0.457447693259518,0.1,0.46,"0.1","0.46","NS",NA
"PC 40:7",0.336,0.00603900227533863,0.3,0.01,"0.3","<0.01","NS",NA
"PC 42:1",0.0335,0.714587969673002,0,0.71,"0.0","0.71","NS",NA
"PC 42:10",0.0306,0.75802933719777,0,0.76,"0.0","0.76","NS",NA
"PC 42:2",0.0525,0.555969187644904,0.1,0.56,"0.1","0.56","NS",NA
"PC 42:3",-0.117,0.135109240004245,-0.1,0.14,"-0.1","0.14","NS",NA
"PC 42:5",-0.18,0.172490579833227,-0.2,0.17,"-0.2","0.17","NS",NA
"PC 42:6",-0.102,0.34438272809111,-0.1,0.34,"-0.1","0.34","NS",NA
"PC 42:7",0.0298,0.787561296688245,0,0.79,"0.0","0.79","NS",NA
"PC 42:8",-0.0805,0.436869417571404,-0.1,0.44,"-0.1","0.44","NS",NA
"PC 42:9",-0.113,0.416437994451396,-0.1,0.42,"-0.1","0.42","NS",NA
"PC O-28:0",-0.0897,0.497670039398329,-0.1,0.5,"-0.1","0.50","NS",NA
"PC O-28:1",-0.0237,0.817971462629664,0,0.82,"-0.0","0.82","NS",NA
"PC O-30:0",0.323,0.0702226792098093,0.3,0.07,"0.3","0.07","NS",NA
"PC O-30:1",0.213,0.0704115256083299,0.2,0.07,"0.2","0.07","NS",NA
"PC O-32:1",0.495,0.024399190078096,0.5,0.02,"0.5","0.02","Up",NA
"PC O-32:2",0.414,0.0266982342418394,0.4,0.03,"0.4","0.03","Up",NA
"PC O-32:3",0.0451,0.727223334607848,0,0.73,"0.0","0.73","NS",NA
"PC O-34:0",0.498,0.00411218436790594,0.5,0,"0.5","<0.01","Up","PC O-34:0"
"PC O-34:1",0.499,0.0237006168711898,0.5,0.02,"0.5","0.02","Up",NA
"PC O-34:2",0.445,0.00707827511635964,0.4,0.01,"0.4","<0.01","Up","PC O-34:2"
"PC O-34:3",0.252,0.0276727383409014,0.3,0.03,"0.3","0.03","NS",NA
"PC O-36:1",0.474,0.0100130495322224,0.5,0.01,"0.5","0.01","Up","PC O-36:1"
"PC O-36:2",0.351,0.00530575167037719,0.4,0.01,"0.4","<0.01","NS",NA
"PC O-36:3",0.412,0.0381611718043841,0.4,0.04,"0.4","0.04","Up",NA
"PC O-36:4",0.0763,0.505248009424134,0.1,0.51,"0.1","0.51","NS",NA
"PC O-36:5",0.0991,0.390703025116268,0.1,0.39,"0.1","0.39","NS",NA
"PC O-36:6",0.188,0.0470822622034357,0.2,0.05,"0.2","0.05","NS",NA
"PC O-38:1",0.221,0.0862338165841027,0.2,0.09,"0.2","0.09","NS",NA
"PC O-38:2",0.15,0.230099866793458,0.1,0.23,"0.1","0.23","NS",NA
"PC O-38:3",0.205,0.0959900410359245,0.2,0.1,"0.2","0.10","NS",NA
"PC O-38:4",0.0719,0.546078503922696,0.1,0.55,"0.1","0.55","NS",NA
"PC O-38:5",0.128,0.372713095223196,0.1,0.37,"0.1","0.37","NS",NA
"PC O-38:6",0.00176,0.985014387851631,0,0.99,"0.0","0.99","NS",NA
"PC O-40:1",0.114,0.327229876661017,0.1,0.33,"0.1","0.33","NS",NA
"PC O-40:2",0.0142,0.889367552001257,0,0.89,"0.0","0.89","NS",NA
"PC O-40:3",-0.0532,0.553362170312404,-0.1,0.55,"-0.1","0.55","NS",NA
"PC O-40:4",-0.00045,0.99723643147956,0,1,"-0.0","1.00","NS",NA
"PC O-40:5",0.0582,0.494980166977928,0.1,0.49,"0.1","0.49","NS",NA
"PC O-40:6",-0.0802,0.429842760654596,-0.1,0.43,"-0.1","0.43","NS",NA
"PC O-42:5",-0.0892,0.366327441919638,-0.1,0.37,"-0.1","0.37","NS",NA
"PC O-42:6",-0.165,0.113456779154892,-0.2,0.11,"-0.2","0.11","NS",NA
"PC(16:0/8:0(COOH))",-0.196,0.134192266773551,-0.2,0.13,"-0.2","0.13","NS",NA
"PE 32:1",-0.0929,0.386125008782002,-0.1,0.39,"-0.1","0.39","NS",NA
"PE 34:0",-0.14,0.0872108693308189,-0.1,0.09,"-0.1","0.09","NS",NA
"PE 34:1",-0.125,0.228850494101358,-0.1,0.23,"-0.1","0.23","NS",NA
"PE 34:2",-0.195,0.0467128427416136,-0.2,0.05,"-0.2","0.05","NS",NA
"PE 36:0",-0.0168,0.881858165533558,0,0.88,"-0.0","0.88","NS",NA
"PE 36:1",-0.0246,0.806896098707313,0,0.81,"-0.0","0.81","NS",NA
"PE 36:2",-0.0616,0.721425816913866,-0.1,0.72,"-0.1","0.72","NS",NA
"PE 36:3",-0.142,0.130298610514412,-0.1,0.13,"-0.1","0.13","NS",NA
"PE 36:4",-0.249,0.0179144747678666,-0.2,0.02,"-0.2","0.02","NS",NA
"PE 38:2",-0.128,0.269964577598767,-0.1,0.27,"-0.1","0.27","NS",NA
"PE 38:3",-0.0172,0.897008802710503,0,0.9,"-0.0","0.90","NS",NA
"PE 38:4",-0.173,0.245549487821995,-0.2,0.25,"-0.2","0.25","NS",NA
"PE 38:5",-0.267,0.0218412049208304,-0.3,0.02,"-0.3","0.02","NS",NA
"PE 38:6",-0.299,0.00275760922390259,-0.3,0,"-0.3","<0.01","NS",NA
"PE 40:5",-0.266,0.0148130814472306,-0.3,0.01,"-0.3","0.01","NS",NA
"PE 40:6",-0.289,0.0395768423567181,-0.3,0.04,"-0.3","0.04","NS",NA
"PE 40:7",-0.162,0.217220165374739,-0.2,0.22,"-0.2","0.22","NS",NA
"PE O-34:1",-0.231,0.0173421672590336,-0.2,0.02,"-0.2","0.02","NS",NA
"PE O-36:1",-0.157,0.183080370245939,-0.2,0.18,"-0.2","0.18","NS",NA
"PE O-36:2",-0.116,0.322556496787503,-0.1,0.32,"-0.1","0.32","NS",NA
"PE O-36:5",-0.148,0.0782148597177184,-0.1,0.08,"-0.1","0.08","NS",NA
"PE O-38:4",-0.166,0.176745771820209,-0.2,0.18,"-0.2","0.18","NS",NA
"PE O-38:5",0.0468,0.626866595676274,0,0.63,"0.0","0.63","NS",NA
"PE O-38:6",-0.122,0.217061159085575,-0.1,0.22,"-0.1","0.22","NS",NA
"PE O-40:6",-0.184,0.122742491214735,-0.2,0.12,"-0.2","0.12","NS",NA
"PG 34:1",-0.0865,0.345801567324635,-0.1,0.35,"-0.1","0.35","NS",NA
"PI 32:1",-0.14,0.198615506650263,-0.1,0.2,"-0.1","0.20","NS",NA
"PI 34:0",-0.0547,0.525263496934875,-0.1,0.53,"-0.1","0.53","NS",NA
"PI 34:1",-0.0882,0.283469430855123,-0.1,0.28,"-0.1","0.28","NS",NA
"PI 34:2",-0.0835,0.37270810997413,-0.1,0.37,"-0.1","0.37","NS",NA
"PI 36:1",0.101,0.257792371920663,0.1,0.26,"0.1","0.26","NS",NA
"PI 36:2",-0.0449,0.715253743380178,0,0.72,"-0.0","0.72","NS",NA
"PI 36:3",-0.0904,0.394809825144016,-0.1,0.39,"-0.1","0.39","NS",NA
"PI 36:4",-0.277,0.00381831915317682,-0.3,0,"-0.3","<0.01","NS",NA
"PI 38:2",-0.0373,0.72631906464632,0,0.73,"-0.0","0.73","NS",NA
"PI 38:3",-0.0574,0.609576055792492,-0.1,0.61,"-0.1","0.61","NS",NA
"PI 38:4",-0.0155,0.848658901974308,0,0.85,"-0.0","0.85","NS",NA
"PI 38:5",-0.013,0.897701791643515,0,0.9,"-0.0","0.90","NS",NA
"PI 40:5",-0.338,0.00325126716948926,-0.3,0,"-0.3","<0.01","NS",NA
"PI O-36:1",-0.147,0.129712537992696,-0.1,0.13,"-0.1","0.13","NS",NA
"PS 28:0",-0.0155,0.865423094827362,0,0.87,"-0.0","0.87","NS",NA
"PS 34:1",-0.0779,0.387156228655579,-0.1,0.39,"-0.1","0.39","NS",NA
