condition,condition_label,condition_label_factor,Genetype,ExpType,Treatment,name,Genes,Protein.Group,ID,mean_log2_abundance,sd_log2_abundance,n_replicates,rank,highlight_rdh12,highlight_rdh_family
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,LRRFIP2,LRRFIP2,Q9Y608,Q9Y608,24.512971336961968,0.2192619677540439,3,2284,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,BRCC3,BRCC3,P46736,P46736,24.511884305250767,0.20290596706435954,3,2285,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,CSK,CSK,P41240,P41240,24.511800134878666,0.20580153536579138,3,2286,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,ULK3,ULK3,Q6PHR2,Q6PHR2,24.5085530529936,0.24540172513254066,3,2287,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,SLC7A1,SLC7A1,P30825,P30825,24.5074229456179,0.21495671316140114,3,2288,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,ILKAP,ILKAP,Q9H0C8,Q9H0C8,24.507197215393965,0.15412776322047117,3,2289,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,POP4,POP4,O95707,O95707,24.5070040655607,0.2894817288127921,3,2290,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,PAK2,PAK2,Q13177,Q13177,24.5052098451114,0.046202306437601086,3,2291,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,COX5A,COX5A,P20674,P20674,24.503459355388532,0.24984225240113836,3,2292,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,CUL1,CUL1,Q13616,Q13616,24.5033934805837,0.20056220975707645,3,2293,FALSE,FALSE
