"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","removed_exact","removed_pattern","removed_low_count","removed_high_padj"
"Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","1/9","25/3974",0.04,17.6622222222222,3.98123947169729,0.0552682817370937,0.127387168673391,0.085669733318362,"HMOX1",1,"ferroptosis",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","1/9","25/3974",0.04,17.6622222222222,3.98123947169729,0.0552682817370937,0.127387168673391,0.085669733318362,"C4BPA",1,"pertussis",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","2/9","175/3974",0.0114285714285714,5.04634920634921,2.60799454902238,0.0566165194103958,0.127387168673391,0.085669733318362,"NFE2L2/SLC39A7",2,"parkinson disease",FALSE,FALSE,TRUE,TRUE
"Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","1/9","33/3974",0.0303030303030303,13.3804713804714,3.40212193055075,0.0723713395741511,0.145144156414319,0.0976115671792207,"GSTA4",1,"glutathione metabolism",FALSE,FALSE,TRUE,TRUE
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","1/9","34/3974",0.0294117647058824,12.9869281045752,3.34393779182743,0.0744897506230812,0.145144156414319,0.0976115671792207,"GSTA4",1,"drug metabolism - other enzymes",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","1/9","35/3974",0.0285714285714286,12.615873015873,3.2881515730594,0.0766038603297797,0.145144156414319,0.0976115671792207,"ORAI1",1,"aldosterone synthesis and secretion",FALSE,FALSE,TRUE,TRUE
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","1/9","42/3974",0.0238095238095238,10.5132275132275,2.95260067881216,0.0912828313177761,0.159561915517444,0.107307720962024,"PIDD1",1,"nf-kappa b signaling pathway",FALSE,FALSE,TRUE,TRUE
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","1/9","44/3974",0.0227272727272727,10.0353535353535,2.87100636140712,0.0954385446997518,0.159561915517444,0.107307720962024,"PIDD1",1,"p53 signaling pathway",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","1/9","45/3974",0.0222222222222222,9.81234567901235,2.83214646123071,0.0975100594828824,0.159561915517444,0.107307720962024,"GSTA4",1,"platinum drug resistance",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Immune system","hsa04611","Platelet activation","1/9","57/3974",0.0175438596491228,7.74658869395711,2.44401472216393,0.122041382456037,0.191021294279015,0.128464613111618,"ORAI1",1,"platelet activation",FALSE,FALSE,TRUE,TRUE
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","1/9","61/3974",0.0163934426229508,7.23861566484517,2.33914512099035,0.130085746046314,0.193914038262715,0.130410025732235,"ORAI1",1,"calcium signaling pathway",FALSE,FALSE,TRUE,TRUE
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","1/9","66/3974",0.0151515151515152,6.69023569023569,2.22066929146036,0.140049027634183,0.193914038262715,0.130410025732235,"ORAI1",1,"camp signaling pathway",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","1/9","66/3974",0.0151515151515152,6.69023569023569,2.22066929146036,0.140049027634183,0.193914038262715,0.130410025732235,"ORAI1",1,"cushing syndrome",FALSE,FALSE,TRUE,TRUE
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","1/9","71/3974",0.0140845070422535,6.21909233176839,2.11389698939416,0.149910747646758,0.199880996862343,0.134422892626722,"HMOX1",1,"hif-1 signaling pathway",FALSE,FALSE,TRUE,TRUE
