"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"Direct GO Biological Processes","GO:0008284","positive regulation of cell population proliferation",194,31,5.916,2.4545,1.295,2.49577430689163e-06,5.60279469050536,0.00623943576722907,8.31924768963876e-05,0.000698938405247135,"BAMBI,CALR,IL6ST,SHMT2,MARCKSL1,EPHA4,MEIS2,TIMP1,HMGA2,SLC25A5,FN1,PGF,ZNF335,CD47,ITGAV,STX3,FGFR3,NOTCH2,VEGFB,CCPG1,BMP4,GRN,SDCBP,PDF,EGFR,MEIS1,THBS1,CNBP,ADAM10,FLT1,DDR2","30251,1455,6021,10852,7142,3388,7001,11820,5009,10991,3778,8893,15807,1682,6150,11438,3690,7882,12681,24227,1071,4601,10662,30012,3236,7000,11785,13164,188,3763,2731"
NA,"Direct GO Biological Processes","GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction",80,18,3.435,3.4562,1.789,2.64409277911586e-06,5.57772330987055,0.00661023194778964,8.67156440312522e-05,0.000728538158861014,"UNC5B,VEGFB,FLT1,DDR2,MYORG,THBS1,EGFR,WNT5A,FN1,P2RX4,APP,MAPKAP1,TPBG,FGFR3,SPRY2,ITGB1,PROS1,C1QBP","12568,12681,3763,2731,19918,11785,3236,12784,3778,8535,620,18752,12004,3690,11270,6153,9456,1243"
NA,"Direct GO Biological Processes","GO:0030335","positive regulation of cell migration",113,22,4.198,2.9906,1.58,2.81214696191205e-06,5.55096198696669,0.00703036740478013,8.88821519773568e-05,0.00074673999231155,"CPNE3,BMP4,HSPA5,SEMA3C,COL1A1,ITGB1,THBS1,FLT1,RNF7,CAV1,CCN1,IGSF8,EGFR,P2RX4,ADAM9,ADAM10,GRN,SPRY2,CD151,ITGAV,SDCBP,EPHA4","2316,1071,5238,10725,2197,6153,11785,3763,10070,1527,2654,17813,3236,8535,216,188,4601,11270,1630,6150,10662,3388"
NA,"Direct GO Biological Processes","GO:0033344","cholesterol efflux",12,7,1.336,8.9604,3.164,2.83143854808481e-06,5.54799285961304,0.00707859637021203,8.88821519773568e-05,0.00074673999231155,"APOC3,SMPD1,APOE,NPC2,APOA1,SCARB1,TSKU","610,11120,613,14537,600,1664,28850"
NA,"SLIM2 GO BP","GO:0042592","homeostatic process",760,81,15.458,1.6371,0.711,3.76429613436797e-06,5.424316218278,0.00941074033591993,0.000116181979455802,0.000976098446262507,"EXT1,TMCO1,HERPUD1,OXCT1,SLC31A1,CCN2,ATP1A3,BMP4,GJA1,ESAM,TSKU,GRN,ATP1B1,TFRC,APOA1,ACVR1B,ACOX1,MCUR1,ATP6V0A2,CLSTN3,PAX6,SERPINF1,STC2,ACOT13,TMEM9,HPX,LAMP1,NPC2,JAM3,LAMC1,IER3IP1,CRISPLD1,ATP6V0D2,SV2A,PHPT1,MT2A,P2RX4,EGR1,KDM6B,PTGS2,APOE,TMEM106B,CALR,ALDH1A1,APOC3,ACVR2A,NFE2L1,LDLR,CXADR,ERP44,SIDT2,PML,RGN,PGAM5,APP,NDFIP1,LAMP2,SLC25A5,CPT2,F11R,NMU,CLCN3,WNT5A,ATF4,NEO1,NPTN,CDH2,ABCB6,MINPP1,ARRDC3,LPIN1,COL1A1,CAV1,LGR4,SCARB1,BMPR1A,CCDC127,CNBP,SLC11A2,ITGB1,ADIPOR1","3512,18188,13744,8527,11016,2500,801,1071,4274,17474,28850,4601,804,11763,600,172,119,21097,18481,18371,8620,8824,11374,20999,18823,5171,6499,14537,15532,6492,18550,18206,18266,20566,30033,7406,8535,3238,29012,9605,613,22407,1455,402,610,173,7781,6547,2559,18311,24272,9113,9989,28763,620,17592,6501,10991,2330,14685,7859,2021,12784,786,7754,17867,1759,47,7102,29263,13345,2197,1527,13299,1664,1076,30520,13164,10908,6153,24040"
NA,"Direct GO Biological Processes","GO:0042632","cholesterol homeostasis",33,11,2.099,5.1202,2.356,4.16386371361861e-06,5.3805034937129,0.0104096592840465,0.0001254175817355,0.00105369100474479,"LDLR,APOA1,NPC2,CAV1,NFE2L1,APOC3,TSKU,SCARB1,ACOX1,CNBP,APOE","6547,600,14537,1527,7781,610,28850,1664,119,13164,613"
NA,"Direct GO Biological Processes","GO:0042157","lipoprotein metabolic process",6,5,0.954,12.8006,3.678,6.52114734020256e-06,5.18567598713895,0.0163028683505064,0.000189568236633795,0.00159265027249225,"APOE,APOA1,APP,APOC3,LDLR","613,600,620,610,6547"
NA,"Direct GO Biological Processes","GO:0051918","negative regulation of fibrinolysis",6,5,0.954,12.8006,3.678,6.52114734020256e-06,5.18567598713895,0.0163028683505064,0.000189568236633795,0.00159265027249225,"THBS1,PLAT,VTN,SERPINF2,APOH","11785,9051,12724,9075,616"
NA,"Direct GO Biological Processes","GO:0048598","embryonic morphogenesis",19,8,1.527,6.4677,2.693,1.21818482338653e-05,4.91428681540802,0.0304546205846633,0.000334666160271025,0.00281168491522783,"YBX1,CDON,EXT1,TMED2,BMP4,FLT1,FLRT3,BMPR1A","8014,17104,3512,16996,1071,3763,3762,1076"
NA,"Direct GO Biological Processes","GO:0007186","G protein-coupled receptor signaling pathway",65,15,2.863,3.5448,1.826,1.30083064091523e-05,4.88577924187325,0.0325207660228809,0.000349685656160009,0.00293787063412807,"APOA1,SORT1,APP,NMU,GNG5,APOC3,FZD7,ADGRE5,LGR4,APLP2,IGF2R,APOE,AKAP12,GNAZ,ADGRG6","600,11186,620,7859,4408,610,4045,1711,13299,598,5467,613,370,4395,13841"
NA,"Direct GO Biological Processes","GO:0034384","high-density lipoprotein particle clearance",4,4,0.763,15.3607,3.941,1.77704030233823e-05,4.75030272251286,0.0444260075584559,0.000453326607739346,0.00380860611547906,"LDLR,APOE,SCARB1,APOA1","6547,613,1664,600"
NA,"Direct GO Biological Processes","GO:0042730","fibrinolysis",4,4,0.763,15.3607,3.941,1.77704030233823e-05,4.75030272251286,0.0444260075584559,0.000453326607739346,0.00380860611547906,"PROS1,PLAT,SERPINF2,ANXA2","9456,9051,9075,537"
NA,"Direct GO Biological Processes","GO:0071636","positive regulation of transforming growth factor beta production",4,4,0.763,15.3607,3.941,1.77704030233823e-05,4.75030272251286,0.0444260075584559,0.000453326607739346,0.00380860611547906,"PTGS2,CD46,THBS1,SERPINF2","9605,6953,11785,9075"
NA,"Direct GO Biological Processes","GO:0035988","chondrocyte proliferation",7,5,0.954,10.9719,3.456,2.15987048013687e-05,4.66557229118628,0.0539967620034219,0.000529380019641391,0.00444756593987067,"HMGA2,FGFR3,CCN2,DDR2,EXT1","5009,3690,2500,2731,3512"
NA,"Direct GO Biological Processes","GO:0006874","intracellular calcium ion homeostasis",32,10,1.908,4.8002,2.263,2.19265445379633e-05,4.65902980454397,0.0548163613449083,0.000532197682960275,0.00447123843022189,"HERPUD1,ATP1B1,STC2,APOE,SV2A,CALR,RGN,ATF4,NPTN,CAV1","13744,804,11374,613,20566,1455,9989,786,17867,1527"
NA,"Direct GO Biological Processes","GO:0070374","positive regulation of ERK1 and ERK2 cascade",53,13,2.481,3.7677,1.914,2.44651636692362e-05,4.61145187451232,0.0611629091730905,0.000582503896886576,0.00489388415790544,"EGFR,SPRY2,DDR2,BMP4,VEGFB,FGFR3,APOE,SERPINF2,CCN2,AKAP12,NOTCH2,APP,TPBG","3236,11270,2731,1071,12681,3690,613,9075,2500,370,7882,620,12004"
NA,"Direct GO Biological Processes","GO:0033627","cell adhesion mediated by integrin",11,6,1.145,8.3786,3.067,2.57922206232955e-05,4.58851126496069,0.0644805515582388,0.000608307090172064,0.0051106686970616,"EXT1,ITGB5,ITGAV,VTN,ITGB1,ADAM9","3512,6160,6150,12724,6153,216"
