Protein.Group,Genes,PG.MaxLFQ,CellType,Fraction,SampleName
Q3MHD2,LSM12,26010.259765625,WO,4,WO_F4
Q12981,BNIP1,5834.92431640625,EP,2,EP_F2
Q12981,BNIP1,7573.7890625,WO,2,WO_F2
Q12981,BNIP1,11274.513671875,WO,3,WO_F3
Q96MW1,CCDC43,41725.1875,WO,4,WO_F4
Q4VC31,MIX23,36796.43359375,EP,4,EP_F4
Q4VC31,MIX23,106954.4765625,WO,4,WO_F4
O60925,PFDN1,7905.2529296875,EP,2,EP_F2
O60925,PFDN1,12282.69921875,EP,3,EP_F3
O60925,PFDN1,14812.2001953125,WO,2,WO_F2
O60925,PFDN1,22563.166015625,WO,3,WO_F3
O60925,PFDN1,35117.5234375,WO,4,WO_F4
O60925,PFDN1,21071.744140625,EP,4,EP_F4
O60925,PFDN1,7879.17822265625,WO,1,WO_F1
Q13144,EIF2B5,3643.739013671875,WO,1,WO_F1
Q13144,EIF2B5,7795.40771484375,WO,2,WO_F2
Q13144,EIF2B5,7183.15234375,WO,3,WO_F3
Q16401,PSMD5,22592.03515625,EP,3,EP_F3
Q16401,PSMD5,33572.6640625,EP,4,EP_F4
Q16401,PSMD5,7499.412109375,WO,3,WO_F3
P62826,RAN,1252694.625,EP,1,EP_F1
P62826,RAN,1208770.75,EP,2,EP_F2
P62826,RAN,968608.1875,EP,3,EP_F3
P62826,RAN,1617299.25,EP,4,EP_F4
P62826,RAN,1586521.125,WO,1,WO_F1
P62826,RAN,1485358.375,WO,2,WO_F2
P62826,RAN,970464.4375,WO,3,WO_F3
P62826,RAN,1599003.625,WO,4,WO_F4
Q9Y5J7,TIMM9,16495.46875,EP,2,EP_F2
Q9Y5J7,TIMM9,55961.71484375,WO,1,WO_F1
Q9Y5J7,TIMM9,62685.38671875,WO,2,WO_F2
Q9Y5J7,TIMM9,11513.9140625,WO,3,WO_F3
P14550,AKR1A1,51111.66796875,EP,1,EP_F1
P14550,AKR1A1,111907.09375,EP,2,EP_F2
P14550,AKR1A1,46291.7734375,EP,3,EP_F3
P14550,AKR1A1,37992.72265625,EP,4,EP_F4
P14550,AKR1A1,67206.0390625,WO,1,WO_F1
P14550,AKR1A1,128309.875,WO,2,WO_F2
P14550,AKR1A1,95635.3203125,WO,3,WO_F3
P14550,AKR1A1,81925.1484375,WO,4,WO_F4
Q8ND24,RNF214,39155.63671875,WO,1,WO_F1
Q8ND24,RNF214,68363.0625,WO,3,WO_F3
Q8ND24,RNF214,47421.50390625,WO,4,WO_F4
O75937,DNAJC8,24702.279296875,EP,4,EP_F4
O75937,DNAJC8,262443.53125,WO,1,WO_F1
O75937,DNAJC8,266762,WO,4,WO_F4
Q03188,CENPC,15318.97265625,WO,1,WO_F1
Q03188,CENPC,20859.400390625,WO,2,WO_F2
Q03188,CENPC,20022.291015625,WO,3,WO_F3
Q03188,CENPC,19933.84765625,WO,4,WO_F4
Q6UUV7,CRTC3,9071.115234375,WO,1,WO_F1
Q6UUV7,CRTC3,16454.244140625,WO,2,WO_F2
Q6UUV7,CRTC3,8463.9013671875,WO,3,WO_F3
O15160,POLR1C,5197.16796875,WO,1,WO_F1
O15160,POLR1C,4383.44580078125,WO,2,WO_F2
Q9BW30,TPPP3,904615.375,WO,2,WO_F2
Q9BW30,TPPP3,569693.8125,WO,3,WO_F3
Q9BW30,TPPP3,551546.625,WO,4,WO_F4
Q9NWT6,HIF1AN,7892.041015625,WO,2,WO_F2
Q9NWT6,HIF1AN,1343.9810791015625,WO,3,WO_F3
Q92599,SEPTIN8,274062.84375,WO,1,WO_F1
Q92599,SEPTIN8,308975.8125,WO,2,WO_F2
O95456,PSMG1,2515.962158203125,WO,1,WO_F1
Q13404,UBE2V1,550710.6875,WO,1,WO_F1
Q13404,UBE2V1,1584750.875,WO,2,WO_F2
P17858,PFKL,88855.4765625,EP,1,EP_F1
P17858,PFKL,31831.59375,WO,1,WO_F1
Q3SXM5,HSDL1,8156.1552734375,EP,1,EP_F1
Q3SXM5,HSDL1,20022.693359375,EP,3,EP_F3
P12270,TPR,185203.390625,WO,4,WO_F4
Q9Y5X3,SNX5,74608.015625,WO,2,WO_F2
Q9Y5X3,SNX5,33323.29296875,WO,3,WO_F3
Q15046,KARS1,27596.107421875,WO,1,WO_F1
