Protein.Group,Unique_to,Genes,SampleName,Group,CellType,Fraction,PG.MaxLFQ
Q5JXC2,WO,MIIP,WO_F3,WO,WO,3,58878.3828125
P78317,WO,RNF4,WO_F3,WO,WO,3,6804.02294921875
P78317,WO,RNF4,WO_F4,WO,WO,4,3394.5625
Q53LP3,WO,SOWAHC,WO_F2,WO,WO,2,2337.26904296875
Q53LP3,WO,SOWAHC,WO_F3,WO,WO,3,8711.69140625
Q53LP3,WO,SOWAHC,WO_F4,WO,WO,4,2773.328125
Q04756,WO,HGFAC,WO_F3,WO,WO,3,11602.4853515625
Q04756,WO,HGFAC,WO_F4,WO,WO,4,9287.1865234375
Q04756,WO,HGFAC,WO_F1,WO,WO,1,6027.90625
Q04756,WO,HGFAC,WO_F2,WO,WO,2,5409.74072265625
Q9BQS7,WO,HEPH,WO_F2,WO,WO,2,12360.865234375
Q9BQS7,WO,HEPH,WO_F3,WO,WO,3,2034.305419921875
Q9BQS7,WO,HEPH,WO_F1,WO,WO,1,9526.2060546875
Q8NBR6,WO,MINDY2,WO_F2,WO,WO,2,3648.601318359375
Q8NBR6,WO,MINDY2,WO_F1,WO,WO,1,2918.27001953125
Q99963,WO,SH3GL3,WO_F2,WO,WO,2,5674.6943359375
Q99963,WO,SH3GL3,WO_F1,WO,WO,1,2644.24853515625
Q99963,WO,SH3GL3,WO_F3,WO,WO,3,3032.007568359375
O60303,WO,KATNIP,WO_F3,WO,WO,3,5547.44140625
O60303,WO,KATNIP,WO_F1,WO,WO,1,7925.7158203125
Q6NTE8,WO,MRNIP,WO_F2,WO,WO,2,5587.75146484375
Q6NTE8,WO,MRNIP,WO_F3,WO,WO,3,7115.0673828125
Q6NTE8,WO,MRNIP,WO_F1,WO,WO,1,4917.62548828125
Q6NTE8,WO,MRNIP,WO_F4,WO,WO,4,3788.256103515625
Q96B23,WO,ARK2N,WO_F1,WO,WO,1,6551.36767578125
Q96B23,WO,ARK2N,WO_F3,WO,WO,3,1850.2908935546875
Q96B23,WO,ARK2N,WO_F4,WO,WO,4,2865.259033203125
Q96B23,WO,ARK2N,WO_F2,WO,WO,2,1277.416259765625
Q15361,WO,TTF1,WO_F2,WO,WO,2,4470.87890625
P17098,WO,ZNF8,WO_F3,WO,WO,3,8489.8486328125
Q08495,WO,DMTN,WO_F3,WO,WO,3,4610.5087890625
Q08495,WO,DMTN,WO_F1,WO,WO,1,9923.54296875
Q08495,WO,DMTN,WO_F2,WO,WO,2,3257.182861328125
Q08495,WO,DMTN,WO_F4,WO,WO,4,6716.12451171875
Q8NEF9,WO,SRFBP1,WO_F1,WO,WO,1,12479.0009765625
Q8NEF9,WO,SRFBP1,WO_F2,WO,WO,2,15289.7744140625
Q8NEF9,WO,SRFBP1,WO_F3,WO,WO,3,18885.109375
Q9UIM3,WO,FKBPL,WO_F1,WO,WO,1,5699.1328125
Q9UIM3,WO,FKBPL,WO_F2,WO,WO,2,9176.5263671875
Q9UIM3,WO,FKBPL,WO_F3,WO,WO,3,13933.779296875
Q9UIM3,WO,FKBPL,WO_F4,WO,WO,4,6115.826171875
O60245,WO,PCDH7,WO_F2,WO,WO,2,6988.59130859375
O60245,WO,PCDH7,WO_F3,WO,WO,3,7670.58740234375
O60245,WO,PCDH7,WO_F1,WO,WO,1,3828.74609375
O60245,WO,PCDH7,WO_F4,WO,WO,4,5693.91552734375
P49747,WO,COMP,WO_F1,WO,WO,1,5782.0751953125
P49747,WO,COMP,WO_F2,WO,WO,2,3612.715576171875
P02686,WO,MBP,WO_F3,WO,WO,3,35320.32421875
P02686,WO,MBP,WO_F4,WO,WO,4,46671.71875
Q6ZUS6,WO,CCDC149,WO_F1,WO,WO,1,1705.3851318359375
Q6ZUS6,WO,CCDC149,WO_F4,WO,WO,4,5261.63916015625
Q6ZUS6,WO,CCDC149,WO_F3,WO,WO,3,2731.3017578125
Q5T3J3,WO,LRIF1,WO_F3,WO,WO,3,2041.2879638671875
Q5T3J3,WO,LRIF1,WO_F1,WO,WO,1,3423.991455078125
Q5T3J3,WO,LRIF1,WO_F2,WO,WO,2,15323.580078125
Q9H7E2,WO,TDRD3,WO_F3,WO,WO,3,27886.61328125
Q9H7E2,WO,TDRD3,WO_F4,WO,WO,4,8023.27392578125
Q9H7E2,WO,TDRD3,WO_F1,WO,WO,1,4016.96923828125
P35443,WO,THBS4,WO_F1,WO,WO,1,1612.7864990234375
