Protein.Group,Unique_to
Q6NZY4,WO
Q15768,WO
Q9NNX1,WO
Q13895,WO
Q8N0Y2,WO
Q9BU76,WO
O15394,WO
Q9NRF9,WO
Q8N4C6,WO
Q9BQ61,WO
Q03519,WO
Q9H2A7,WO
Q8WXB4,WO
Q9BUN5,WO
P51884,WO
P20396,WO
Q6PID6,WO
Q969J2,WO
Q9UK76,WO
O15354,WO
O60673,WO
O14924,WO
Q9BYN0,WO
Q9Y2X9,WO
Q00978,WO
A6NNA2,WO
P10645,WO
Q9NYQ6,WO
O15234,WO
Q9UMZ2,WO
Q13615,WO
Q969G5,WO
Q8WWX9,WO
Q92733,WO
P00751,WO
Q9HC56,WO
Q9NS73,WO
B2RBV5,WO
O75586,WO
P78552,WO
Q8N0Z3,WO
Q9UKT5,WO
Q9H3H9,WO
P28715,WO
P14210,WO
O75575,WO
P60903,WO
Q86WP2,WO
Q96NU1,WO
Q96IU2,WO
Q96B97,WO
Q9H156,WO
O95271,WO
Q17R98,WO
Q9UMF0,WO
Q9H4D0,WO
Q16619,WO
Q8NFP4,WO
P36269,WO
P49790,WO
Q8TES7,WO
Q8NAA5,WO
P07992,WO
Q6UXI9,WO
Q96S86,WO
Q9BXP8,WO
Q8NB15,WO
P02749,WO
Q6PH81,WO
Q92187,WO
Q8NC42,WO
Q15063,WO
Q9NPE2,WO
Q9Y6R4,WO
Q15697,WO
Q9H902,WO
Q5VWG9,WO
P19484,WO
Q9UK53,WO
Q99972,WO
Q92753,WO
Q9P227,WO
Q8N0T1,WO
Q13158,WO
O43896,WO
Q86UX2,WO
P62837,WO
Q8WUA8,WO
Q13797,WO
P27987,WO
Q7Z5B4,WO
Q8N2Q7,WO
Q8NFZ4,WO
Q9H0I2,WO
Q5JY77,WO
Q96GY3,WO
Q8NFZ5,WO
P14209,WO
Q76FK4,WO
O14525,WO
P62491,WO
Q6NVV7,WO
Q9NSY1,WO
P52799,WO
Q9NZM4,WO
Q8NC06,WO
Q8WUR7,WO
Q92667,WO
P29353,WO
A1L170,WO
Q15649,WO
Q9H4M7,WO
Q6PCB0,WO
Q9ULD5,WO
Q9Y217,WO
P10643,WO
Q8N436,WO
Q96G25,WO
Q6EMK4,WO
Q9UKA4,WO
P0C7X2,WO
Q9UJK0,WO
O60741,WO
Q8IZL2,WO
Q5T6F2,WO
P00734,WO
Q86W92,WO
Q7Z3B3,WO
Q9NY27,WO
Q69YU3,WO
Q70EK8,WO
Q8N3D4,WO
Q9Y5Z6,WO
O75420,WO
Q96PY6,WO
Q8N9N8,WO
Q9BTA9,WO
Q9HCH0,WO
Q8WWK9,WO
Q8WXS3,WO
Q16763,WO
O95990,WO
Q9P2F5,WO
Q5W0B1,WO
Q86VY4,WO
Q9UN71,WO
Q15650,WO
Q9Y2Y1,WO
P51636,WO
Q86TN4,WO
Q8WUP2,WO
O15446,WO
Q93062,WO
Q4KMQ1,WO
P04920,WO
Q96RF0,WO
O00268,WO
P48061,WO
Q9NZ20,WO
Q8IZD0,WO
Q8N8A6,WO
Q9BVT8,WO
P43652,WO
A1A4G5,WO
P24844,WO
Q9H2X9,WO
P51511,WO
Q8TAT2,WO
Q6ZUT6,WO
Q4G148,WO
Q9NPJ6,WO
Q6NZY7,WO
P49674,WO
P48730,WO
P24592,WO
Q2Y0W8,WO
A6NGB9,WO
Q53GL0,WO
Q8TAD2,WO
Q9NTN9,WO
Q9ULL5,WO
Q96AT1,WO
Q8N2G6,WO
P50548,WO
Q9NT22,WO
Q9ULD2,WO
P63215,WO
O75177,WO
Q9NWS9,WO
Q6ZQX7,WO
Q9NUG6,WO
A7MD48,WO
Q9Y625,WO
Q99081,WO
Q9NWM3,WO
Q53ET0,WO
Q96KS9,WO
Q14657,WO
Q9P2W7,WO
Q92526,WO
Q9HCJ0,WO
Q9NZN8,WO
Q96I34,WO
Q8TBP5,WO
Q8IWY9,WO
Q641Q2,WO
Q8WXE0,WO
Q6ZSR9,WO
Q5VV42,WO
Q9BT23,WO
Q9H3F6,WO
P51654,WO
Q92686,WO
Q5BKY9,WO
Q2TAK8,WO
Q9UBC1,WO
O60563,WO
P49918,WO
P10071,WO
P57796,WO
Q6NZ67,WO
Q6P582,WO
P15884,WO
Q8NBZ0,WO
A6NIX2,WO
Q96DU7,WO
P33240,WO
O43609,WO
Q8IWY4,WO
P55087,WO
Q8IXL7,WO
Q9Y679,WO
Q96QD9,WO
Q5W0V3,WO
Q14511,WO
O75095,WO
Q86X53,WO
P49069,WO
Q9P2B7,WO
Q8IYN2,WO
Q8TC76,WO
P04233,WO
Q8ND83,WO
Q8N9Q2,WO
Q86U70,WO
Q9P246,WO
P51693,WO
Q5HYK7,WO
Q96NY7,WO
P57682,WO
Q2TBE0,WO
Q9HCS5,WO
O43521,WO
Q99469,WO
Q6ZN08,WO
O14503,WO
Q96D05,WO
Q96AY4,WO
Q9UHR6,WO
Q9Y478,WO
O95390,WO
Q7Z6V5,WO
Q6UXS0,WO
P0C7U0,WO
Q9C0F1,WO
P34947,WO
O76039,WO
Q9H334,WO
Q9Y653,WO
Q5VT06,WO
A1Z1Q3,WO
Q9GZM7,WO
Q9GZV5,WO
O94900,WO
Q15388,WO
Q05209,WO
Q8N2M8,WO
Q9NPG3,WO
P56181,WO
Q86YL5,WO
P13805,WO
Q96HW7,WO
Q53RD9,WO
Q6PGN9,WO
Q9P203,WO
Q14207,WO
Q9GZP0,WO
P0CW18,WO
Q8IYL3,WO
Q96B54,WO
O15041,WO
Q9BRT6,WO
Q9UKY0,WO
Q9ULP0,WO
Q15464,WO
A5PKW4,WO
Q8IY33,WO
Q9UN70,WO
Q9H2S9,WO
Q8NCN2,WO
P38936,WO
Q9NSK7,WO
Q9H0X4,WO
Q5T1R4,WO
Q8IWP9,WO
A0JLT2,WO
Q66K79,WO
Q8NCF5,WO
Q6XZF7,WO
Q8NES3,WO
Q9BSJ5,WO
Q9UGY1,WO
Q9UPU3,WO
Q9H8M2,WO
Q9BRU2,WO
Q8WUA7,WO
Q9UHF7,WO
Q9NU19,WO
Q6ZW13,WO
Q6UUV9,WO
Q9Y4E1,WO
P00736,WO
Q86X02,WO
Q5VWJ9,WO
Q96I76,WO
Q9HBR0,WO
Q11201,WO
Q9HCL0,WO
P02100,WO
Q6UWU4,WO
Q8TEK3,WO
Q9Y5X9,WO
O95251,WO
