"Gene","name","ID","Pathway","keep_sig_any","SigIn","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_control_atRAL5hr_centered","RDH12_100_atRAL5hr_centered","RDH12_200_atRAL5hr_centered","RDH12_control_atRAL5hr.24h_recvr_centered","RDH12_100_atRAL5hr.24h_recvr_centered","RDH12_200_atRAL5hr.24h_recvr_centered","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio"
"DPM1","DPM1","O60762","Nglycan synthesis",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.871,0.036,0.515,0.0774,0.0532,-0.109,0.00152702000430431,0.907,0.134330991477524,0.479,3.95600027948128e-05,1.39
"STT3B","STT3B","Q8TCJ2","Nglycan synthesis",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.748,0.112,0.297,0.156,0.233,0.101,0.00800491064361867,0.86,0.670484736465951,0.185,0.00303658638005033,1.04
"STT3A","STT3A","P46977","Nglycan synthesis",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.14,-0.145,0.341,0.335,0.247,-0.0189,0.00113422439843118,0.992,0.14450477169844,0.485,3.10146310286469e-05,1.48
"RPN1","RPN1","P04843","Nglycan synthesis",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.01,-0.158,0.0981,0.272,0.231,0.112,0.00398553640594122,0.85,0.470863523803623,0.256,0.000746714577106405,1.11
"RPN2","RPN2","P04844","Nglycan synthesis",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.99,-0.0558,-0.0329,0.27,0.286,0.101,0.00624455602429172,0.934,0.965742198477802,0.0228,0.00717974319239091,0.957
"ALG5","ALG5","Q9Y673","Nglycan synthesis",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.19,0.266,-0.0944,0.311,0.352,0.34,0.00794504572509732,1.46,0.614893312060954,-0.36,0.0459910384478634,1.09
"RFT1","RFT1","Q96AA3","Nglycan synthesis",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.45,-0.308,-0.545,0.617,0.609,0.108,0.0147039312146102,1.14,0.712277179864667,-0.237,0.0577149641190213,0.903
"HSPA6","HSPA6","P17066","HSP",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,3.91,8.47,9.17,4.97,-5.69,-4.87,0.0325466150669199,4.57,0.825579831397932,0.702,0.0209723644928181,5.27
"HSPA12A","HSPA12A","O43301","HSP",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,-0.865,-0.106,-0.452,0.0664,0.235,0.226,0.000528572787253859,0.759,0.126407263127547,-0.346,0.0283529479985555,0.413
"CHKA","CHKA","P35790","Lipid-related",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.86,0.624,2.51,-3.43,2.15,2.48,0.0287862110364651,3.49,0.352891841393102,1.88,0.00301471733039301,5.37
"AGPAT5","AGPAT5","Q9NUQ2","Lipid-related",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,-3.15,-0.833,1.45,2.74,1.42,2.54,0.188088112671954,2.32,0.322059351183813,2.28,0.0185090718463193,4.6
"AGPAT4","AGPAT4","Q9NRZ5","Lipid-related",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-3.32,-0.281,-0.528,0.863,0.719,0.282,7.11421817902979e-06,3.04,0.707461649431285,-0.247,1.61714537662463e-05,2.79
"DDHD1","DDHD1","Q8NEL9","Lipid-related",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-3.77,-0.422,0.181,0.426,0.572,0.882,2.03233239076141e-05,3.35,0.399667403639937,0.603,1.83141549127787e-06,3.95
"GPAT4","GPAT4","Q86UL3","Lipid-related",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-3.08,0.351,0.57,0.522,0.472,0.296,3.90594483632869e-07,3.43,0.718950190709745,0.22,1.34958490597696e-07,3.65
"MIGA1","MIGA1","Q8NAN2","Lipid-related",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.65,-0.00672,0.72,0.387,0.382,0.234,0.00100628352733349,2.64,0.410799030964097,0.726,0.000135734521926877,3.37
"DGKE","DGKE","P52429","Lipid-related",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.92,0.485,1.39,0.231,0.0345,0.105,0.000865097389022278,3.4,0.417671826967738,0.902,0.000117545098403144,4.3
"ETNK1","ETNK1","Q9HBU6","Lipid-related",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.58,0.0797,1.32,-0.00836,0.165,-0.319,0.0267844875956458,2.66,0.421133343664817,1.24,0.00388435831017234,3.9
"PLA2G4A","PLA2G4A","P47712","Lipid-related",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,-0.0172,0.179,0.651,-0.335,-0.042,-0.358,0.422747370985977,0.197,0.137984633710323,0.472,0.0136784115117373,0.668
"LPCAT1","LPCAT1","Q8NF37","Lipid-related",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.07,-0.223,0.011,0.34,0.348,-0.00725,0.00234125344547881,0.845,0.470922115462116,0.234,0.000446968890304536,1.08
"GNPAT","GNPAT","O15228","Lipid-related",TRUE,"100uM vs Veh; 200uM vs 100uM; 200uM vs Veh",TRUE,TRUE,TRUE,-0.795,-0.202,0.287,0.377,0.254,0.00737,0.0083866112785737,0.593,0.0816252092374919,0.489,0.000106253558916941,1.08
"GPD2","GPD2","P43304","Lipid-related",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.781,-0.0662,0.289,0.17,0.0769,-0.0634,0.0086908489169829,0.715,0.280717241319718,0.355,0.000667636613301762,1.07
"LPCAT4","LPCAT4","Q643R3","Lipid-related",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.71,-0.721,-0.213,0.645,0.582,0.237,0.0761139551518767,0.991,0.49568171715505,0.508,0.0147860215903587,1.5
"AGPAT3","AGPAT3","Q9NRZ7","Lipid-related",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.03,-0.144,0.323,0.478,0.363,0.127,0.000645023562394217,1.88,0.425820381641205,0.467,8.22900045773118e-05,2.35
"PTDSS1","PTDSS1","P48651","Lipid-related",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.79,-0.194,-0.000221,0.688,0.477,0.173,0.00115749051113887,1.6,0.751485431983476,0.193,0.000529730593952779,1.79
"SLC39A10","SLC39A10","Q9ULF5","Metal Ion Transporter",TRUE,"100uM vs Veh; 200uM vs 100uM; 200uM vs Veh",TRUE,TRUE,TRUE,-0.729,-1.87,0.331,0.77,0.457,0.79,0.0133986976737836,-1.14,0.00121423569738951,2.2,0.0257882454818335,1.06
"SLC30A5","SLC30A5","Q8TAD4","Metal Ion Transporter",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.35,-0.189,0.33,0.599,0.469,0.104,0.000292373351587569,2.16,0.383994076789074,0.519,2.51483195826819e-05,2.68
"SLC9A6","SLC9A6","Q92581","Metal Ion Transporter",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.93,0.0959,0.563,0.285,0.279,0.252,0.00153900764316744,3.02,0.691949720404469,0.467,0.000608220316606126,3.49
"SLC11A2","SLC11A2","P49281","Metal Ion Transporter",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.607,0.631,0.962,0.0565,0.157,-0.982,0.010616277011419,1.24,0.604223712573437,0.331,0.00319161721361857,1.57
"SLC7A11","SLC7A11","Q9UPY5","Metal Ion Transporter",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.25,0.162,0.575,0.236,0.0305,-0.0206,0.0118869220820347,1.41,0.570578475043495,0.413,0.00314222183620874,1.82
"SLC39A14","SLC39A14","Q15043","Metal Ion Transporter",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.754,0.141,0.325,0.147,0.21,-0.157,0.00183662767567706,0.895,0.595830247844764,0.184,0.000530609029940222,1.08
"SLC9A1","SLC9A1","P19634","Metal Ion Transporter",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,-0.436,0.0609,0.506,0.254,0.117,0.227,0.141191845275052,0.497,0.309856043293674,0.446,0.0123647559729566,0.942
"SLC39A7","SLC39A7","Q92504","Metal Ion Transporter",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.31,2.47,3.26,-2.36,3.22,3.44,0.00602866010725285,3.78,0.666170945592939,0.785,0.0022691165485848,4.56
"SLC31A1","SLC31A1","O15431","Metal Ion Transporter",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.122,3.29,3.82,-1.81,-0.931,-1.5,0.00296650179295229,3.42,0.723683901987691,0.528,0.00135196354925361,3.94
"SLC39A1","SLC39A1","Q9NY26","Metal Ion Transporter",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,-0.522,0.604,3.03,-0.506,-0.328,-0.402,0.345870812623792,1.13,0.120180863547044,2.43,0.00824753989154108,3.56
"ORAI1","ORAI1","Q96D31","Ca Signaling",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.965,0.963,0.786,-3.2,0.486,0.328,0.00875757465958111,1.93,0.870574967965838,-0.177,0.020152823453031,1.75
"ATP2A2","ATP2A2","P16615","Ca Signaling",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.07,0.0304,0.154,0.413,0.291,-0.0127,0.00218920347519297,1.1,0.795655687408648,0.124,0.00125818801398879,1.23
"ATP2B1","ATP2B1","P20020","Ca Signaling",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.779,0.0958,-0.0869,0.0402,0.202,-0.00764,0.00985922474690092,0.875,0.690021194371168,-0.183,0.0436392736104372,0.692
"TUBA4A","TUBA4A","P68366","CCT/TRiC",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-6.41,4.7,2.94,0.574,-8.66,2.29,0.000618188053991614,11.1,0.632414853424615,-1.76,0.00230625064019339,9.34
"TUBAL3","TUBAL3","A6NHL2","CCT/TRiC",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,-0.147,0.551,-0.257,-0.256,0.125,-0.0767,0.0535862142703218,0.698,0.0889887025722086,-0.808,0.793453205367799,-0.11
"CCT6A","CCT6A","P40227","CCT/TRiC",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,-0.645,0.378,-0.392,-0.0518,0.0513,0.103,0.00691489366213956,1.02,0.0972388137487993,-0.77,0.504757027707533,0.253
"CCT7","CCT7","Q99832","CCT/TRiC",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,-0.634,0.461,-0.296,-0.0696,0.0888,0.0225,0.00256657453257931,1.09,0.0776339336044757,-0.757,0.322798454186765,0.337
"CCT4","CCT4","P50991","CCT/TRiC",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,-0.442,0.426,-0.317,0.038,0.0203,-0.0164,0.00417475042392739,0.868,0.0508209424506869,-0.743,0.684010071413203,0.125
"CCT8","CCT8","P50990","CCT/TRiC",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,-0.383,0.403,-0.387,-0.0316,0.0696,-0.018,0.0144631721861356,0.786,0.0588577392538179,-0.79,0.990689765443362,-0.00452
"CCT5","CCT5","P48643","CCT/TRiC",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,-0.345,0.399,-0.359,-0.136,0.036,0.0581,0.0145560643756826,0.744,0.0573800798020171,-0.758,0.972510988283207,-0.0137
"CCT2","CCT2","P78371","CCT/TRiC",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,-0.418,0.344,-0.447,-0.0614,0.0365,0.0741,0.0256843388520443,0.762,0.0743183845132626,-0.791,0.945589547722146,-0.0292
"CCT3","CCT3","P49368","CCT/TRiC",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,-0.435,0.408,-0.409,-0.0112,0.0535,0.079,0.0089121577817377,0.843,0.0507430307970865,-0.816,0.945741844833716,0.0264
"TUBB6","TUBB6","Q9BUF5","CCT/TRiC",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,-0.46,0.468,-0.09,0.0302,0.142,0.209,0.0182020100937736,0.929,0.248853293775026,-0.558,0.35604069964718,0.37
"TUBA1C","TUBA1C","Q9BQE3","CCT/TRiC",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,-0.587,0.221,-0.16,0.0478,0.115,0.107,0.0344625329742112,0.808,0.439952307485193,-0.381,0.280896112963533,0.427
"TUBB2A","TUBB2A","Q13885","CCT/TRiC",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,-0.589,0.18,-0.205,-0.0145,0.098,0.265,0.0140009345940328,0.768,0.317422715082021,-0.384,0.221988962851795,0.384
"TCP1","TCP1","P17987","CCT/TRiC",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,-0.99,0.339,-0.444,0.0293,0.186,0.0283,0.00278717343431622,1.33,0.128336364692439,-0.782,0.190208855932732,0.546
"TUBB4A","TUBB4A","P04350","CCT/TRiC",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,-0.672,0.266,-0.46,0.152,0.272,0.317,0.039561657810874,0.938,0.207208099604976,-0.726,0.672190725380509,0.212
"TUBB4B","TUBB4B","P68371","CCT/TRiC",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,-0.703,0.235,-0.454,0.0492,0.285,0.283,0.0158259867755301,0.938,0.153110956983892,-0.689,0.536053725997906,0.249
"PFDN4","PFDN4","Q9NQP4","Prefoldin",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.81,-0.332,0.436,-0.711,-0.0595,0.158,0.00217628675233027,-2.14,0.333678379333063,0.769,0.0379889245353881,-1.37
"PFDN6","PFDN6","O15212","Prefoldin",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,0.803,-0.701,-1.1,0.946,0.549,1.36,0.0167163916871578,-1.5,0.636378682429484,-0.402,0.00547423950867304,-1.91
"PFDN2","PFDN2","Q9UHV9","Prefoldin",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.24,-0.223,-0.18,0.239,-0.152,0.446,0.00815513161251095,-1.46,0.959118197888412,0.0436,0.0130845288469067,-1.42
"PFDN1","PFDN1","O60925","Prefoldin",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.1,-0.222,-0.309,0.579,0.292,0.908,0.0186589577855497,-1.32,0.921927626654446,-0.0875,0.0175236713167148,-1.41
"PFDN5","PFDN5","Q99471","Prefoldin",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.09,0.0211,0.0589,0.296,0.136,0.84,0.0405267071165362,-1.07,0.965183700426853,0.0377,0.0596467894613235,-1.03
