"Gene","DisplayGene","Pathway","name","ID","SigIn","100 vs Veh significant","200 vs 100 significant","200 vs Veh significant","RDH12_control_atRAL5hr_centered","RDH12_100_atRAL5hr_centered","RDH12_200_atRAL5hr_centered","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio"
"RFT1","RFT1","N-glycan","RFT1","Q96AA3","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-1.45,-0.308,-0.545,0.0147039312146102,1.14,0.712277179864667,-0.237,0.0577149641190213,0.903
"TUBA4A","TUBA4A","CCT/TriC","TUBA4A","P68366","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-6.41,4.7,2.94,0.000618188053991614,11.1,0.632414853424615,-1.76,0.00230625064019339,9.34
"CCT2","CCT2","CCT/TriC","CCT2","P78371","100 vs Veh; 200 vs 100",TRUE,TRUE,FALSE,-0.418,0.344,-0.447,0.0256843388520443,0.762,0.0743183845132626,-0.791,0.945589547722146,-0.0292
"CCT3","CCT3","CCT/TriC","CCT3","P49368","100 vs Veh; 200 vs 100",TRUE,TRUE,FALSE,-0.435,0.408,-0.409,0.0089121577817377,0.843,0.0507430307970865,-0.816,0.945741844833716,0.0264
"CCT4","CCT4","CCT/TriC","CCT4","P50991","100 vs Veh; 200 vs 100",TRUE,TRUE,FALSE,-0.442,0.426,-0.317,0.00417475042392739,0.868,0.0508209424506869,-0.743,0.684010071413203,0.125
"CCT8","CCT8","CCT/TriC","CCT8","P50990","100 vs Veh; 200 vs 100",TRUE,TRUE,FALSE,-0.383,0.403,-0.387,0.0144631721861356,0.786,0.0588577392538179,-0.79,0.990689765443362,-0.00452
"CCT5","CCT5","CCT/TriC","CCT5","P48643","100 vs Veh; 200 vs 100",TRUE,TRUE,FALSE,-0.345,0.399,-0.359,0.0145560643756826,0.744,0.0573800798020171,-0.758,0.972510988283207,-0.0137
"TUBAL3","TUBAL3","CCT/TriC","TUBAL3","A6NHL2","100 vs Veh; 200 vs 100",TRUE,TRUE,FALSE,-0.147,0.551,-0.257,0.0535862142703218,0.698,0.0889887025722086,-0.808,0.793453205367799,-0.11
"TUBB6","TUBB6","CCT/TriC","TUBB6","Q9BUF5","100 vs Veh",TRUE,FALSE,FALSE,-0.46,0.468,-0.09,0.0182020100937736,0.929,0.248853293775026,-0.558,0.35604069964718,0.37
"TCP1","TCP1","CCT/TriC","TCP1","P17987","100 vs Veh",TRUE,FALSE,FALSE,-0.99,0.339,-0.444,0.00278717343431622,1.33,0.128336364692439,-0.782,0.190208855932732,0.546
"TUBA1C","TUBA1C","CCT/TriC","TUBA1C","Q9BQE3","100 vs Veh",TRUE,FALSE,FALSE,-0.587,0.221,-0.16,0.0344625329742112,0.808,0.439952307485193,-0.381,0.280896112963533,0.427
"TUBB2A","TUBB2A","CCT/TriC","TUBB2A","Q13885","100 vs Veh",TRUE,FALSE,FALSE,-0.589,0.18,-0.205,0.0140009345940328,0.768,0.317422715082021,-0.384,0.221988962851795,0.384
"TUBB4B","TUBB4B","CCT/TriC","TUBB4B","P68371","100 vs Veh",TRUE,FALSE,FALSE,-0.703,0.235,-0.454,0.0158259867755301,0.938,0.153110956983892,-0.689,0.536053725997906,0.249
"TUBB4A","TUBB4A","CCT/TriC","TUBB4A","P04350","100 vs Veh",TRUE,FALSE,FALSE,-0.672,0.266,-0.46,0.039561657810874,0.938,0.207208099604976,-0.726,0.672190725380509,0.212
"CCT7","CCT7","CCT/TriC","CCT7","Q99832","100 vs Veh; 200 vs 100",TRUE,TRUE,FALSE,-0.634,0.461,-0.296,0.00256657453257931,1.09,0.0776339336044757,-0.757,0.322798454186765,0.337
"CCT6A","CCT6A","CCT/TriC","CCT6A","P40227","100 vs Veh; 200 vs 100",TRUE,TRUE,FALSE,-0.645,0.378,-0.392,0.00691489366213956,1.02,0.0972388137487993,-0.77,0.504757027707533,0.253
"SLC39A1","SLC39A1","Transporters","SLC39A1","Q9NY26","200 vs Veh",FALSE,FALSE,TRUE,-0.522,0.604,3.03,0.345870812623792,1.13,0.120180863547044,2.43,0.00824753989154108,3.56
"SLC39A7","SLC39A7","Transporters","SLC39A7","Q92504","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-1.31,2.47,3.26,0.00602866010725285,3.78,0.666170945592939,0.785,0.0022691165485848,4.56
"SLC31A1","SLC31A1","Transporters","SLC31A1","O15431","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-0.122,3.29,3.82,0.00296650179295229,3.42,0.723683901987691,0.528,0.00135196354925361,3.94
"SLC39A10","SLC39A10","Transporters","SLC39A10","Q9ULF5","100 vs Veh; 200 vs 100; 200 vs Veh",TRUE,TRUE,TRUE,-0.729,-1.87,0.331,0.0133986976737836,-1.14,0.00121423569738951,2.2,0.0257882454818335,1.06
"SLC9A6","SLC9A6","Transporters","SLC9A6","Q92581","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-2.93,0.0959,0.563,0.00153900764316744,3.02,0.691949720404469,0.467,0.000608220316606126,3.49
"SLC30A5","SLC30A5","Transporters","SLC30A5","Q8TAD4","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-2.35,-0.189,0.33,0.000292373351587569,2.16,0.383994076789074,0.519,2.51483195826819e-05,2.68
"SLC7A11","SLC7A11","Transporters","SLC7A11","Q9UPY5","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-1.25,0.162,0.575,0.0118869220820347,1.41,0.570578475043495,0.413,0.00314222183620874,1.82
"SLC11A2","SLC11A2","Transporters","SLC11A2","P49281","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-0.607,0.631,0.962,0.010616277011419,1.24,0.604223712573437,0.331,0.00319161721361857,1.57
"SLC9A1","SLC9A1","Transporters","SLC9A1","P19634","200 vs Veh",FALSE,FALSE,TRUE,-0.436,0.0609,0.506,0.141191845275052,0.497,0.309856043293674,0.446,0.0123647559729566,0.942
"SLC39A14","SLC39A14","Transporters","SLC39A14","Q15043","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-0.754,0.141,0.325,0.00183662767567706,0.895,0.595830247844764,0.184,0.000530609029940222,1.08
"ORAI1","ORAI1","Calcium handling","ORAI1","Q96D31","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-0.965,0.963,0.786,0.00875757465958111,1.93,0.870574967965838,-0.177,0.020152823453031,1.75
"ATP2A2","ATP2A2","Calcium handling","ATP2A2","P16615","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-1.07,0.0304,0.154,0.00218920347519297,1.1,0.795655687408648,0.124,0.00125818801398879,1.23
"ATP2B1","ATP2B1","Calcium handling","ATP2B1","P20020","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-0.779,0.0958,-0.0869,0.00985922474690092,0.875,0.690021194371168,-0.183,0.0436392736104372,0.692
"PFDN6","PFDN6","Prefoldin","PFDN6","O15212","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,0.803,-0.701,-1.1,0.0167163916871578,-1.5,0.636378682429484,-0.402,0.00547423950867304,-1.91
"PFDN4","PFDN4","Prefoldin","PFDN4","Q9NQP4","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,1.81,-0.332,0.436,0.00217628675233027,-2.14,0.333678379333063,0.769,0.0379889245353881,-1.37
"PFDN5","PFDN5","Prefoldin","PFDN5","Q99471","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,1.09,0.0211,0.0589,0.0405267071165362,-1.07,0.965183700426853,0.0377,0.0596467894613235,-1.03
"PFDN1","PFDN1","Prefoldin","PFDN1","O60925","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,1.1,-0.222,-0.309,0.0186589577855497,-1.32,0.921927626654446,-0.0875,0.0175236713167148,-1.41
"PFDN2","PFDN2","Prefoldin","PFDN2","Q9UHV9","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,1.24,-0.223,-0.18,0.00815513161251095,-1.46,0.959118197888412,0.0436,0.0130845288469067,-1.42
"VBP1","VBP1/PFDN3","Prefoldin","VBP1","P61758","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,1.27,-0.112,-0.232,0.000988461788635406,-1.38,0.82241964780295,-0.12,0.00056067176141009,-1.5
"AGPAT5","AGPAT5","Lipid Metabolism","AGPAT5","Q9NUQ2","200 vs Veh",FALSE,FALSE,TRUE,-3.15,-0.833,1.45,0.188088112671954,2.32,0.322059351183813,2.28,0.0185090718463193,4.6
"MIGA1","MIGA1","Lipid Metabolism","MIGA1","Q8NAN2","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-2.65,-0.00672,0.72,0.00100628352733349,2.64,0.410799030964097,0.726,0.000135734521926877,3.37
"GPAT4","GPAT4","Lipid Metabolism","GPAT4","Q86UL3","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-3.08,0.351,0.57,3.90594483632869e-07,3.43,0.718950190709745,0.22,1.34958490597696e-07,3.65
"DDHD1","DDHD1","Lipid Metabolism","DDHD1","Q8NEL9","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-3.77,-0.422,0.181,2.03233239076141e-05,3.35,0.399667403639937,0.603,1.83141549127787e-06,3.95
"AGPAT4","AGPAT4","Lipid Metabolism","AGPAT4","Q9NRZ5","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-3.32,-0.281,-0.528,7.11421817902979e-06,3.04,0.707461649431285,-0.247,1.61714537662463e-05,2.79
"PLA2G4A","PLA2G4A","Lipid Metabolism","PLA2G4A","P47712","200 vs Veh",FALSE,FALSE,TRUE,-0.0172,0.179,0.651,0.422747370985977,0.197,0.137984633710323,0.472,0.0136784115117373,0.668
"LPCAT1","LPCAT1","Lipid Metabolism","LPCAT1","Q8NF37","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-1.07,-0.223,0.011,0.00234125344547881,0.845,0.470922115462116,0.234,0.000446968890304536,1.08
"GNPAT","GNPAT","Lipid Metabolism","GNPAT","O15228","100 vs Veh; 200 vs 100; 200 vs Veh",TRUE,TRUE,TRUE,-0.795,-0.202,0.287,0.0083866112785737,0.593,0.0816252092374919,0.489,0.000106253558916941,1.08
"GPD2","GPD2","Lipid Metabolism","GPD2","P43304","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-0.781,-0.0662,0.289,0.0086908489169829,0.715,0.280717241319718,0.355,0.000667636613301762,1.07
"LPCAT4","LPCAT4","Lipid Metabolism","LPCAT4","Q643R3","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-1.71,-0.721,-0.213,0.0761139551518767,0.991,0.49568171715505,0.508,0.0147860215903587,1.5
"AGPAT3","AGPAT3","Lipid Metabolism","AGPAT3","Q9NRZ7","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-2.03,-0.144,0.323,0.000645023562394217,1.88,0.425820381641205,0.467,8.22900045773118e-05,2.35
