"Gene","name","ID","Pathway","keep_sig_any","SigIn","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_control_atRAL5hr_centered","RDH12_100_atRAL5hr_centered","RDH12_200_atRAL5hr_centered","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio"
"PMPCA","PMPCA","Q10713","SMDT1",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,-0.107,0.209,0.626,0.0908267161860786,0.316,0.0918703695878273,0.417,0.00115141273086436,0.733
"MAIP1","MAIP1","Q8WWC4","SMDT1",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,-0.432,-0.0508,0.476,0.218006767458606,0.381,0.189410636089213,0.527,0.00925776247402195,0.908
"PHB1","PHB1","P35232","SMDT1",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,-0.441,-0.0548,0.619,0.143733075095758,0.386,0.0623658186425399,0.674,0.000998282045358781,1.06
"PMPCB","PMPCB","O75439","SMDT1",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.596,0.0985,0.444,0.00211285552954399,0.695,0.177072699126867,0.345,8.60508799136863e-05,1.04
"STOML2","STOML2","Q9UJZ1","SMDT1",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.695,-0.00778,0.458,0.0140307220564007,0.687,0.175258787092295,0.465,0.00051975816879569,1.15
"ATP5F1A","ATP5F1A","P25705","FType_ATPase",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.08,0.00959,0.604,0.00213900016984613,1.09,0.141643164378114,0.595,6.31044844618763e-05,1.69
"ATP5F1C","ATP5F1C","P36542","FType_ATPase",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.03,0.099,0.679,0.0024933818432647,1.13,0.174490236677064,0.58,0.000100304790461306,1.71
"ATP5F1B","ATP5F1B","P06576","FType_ATPase",TRUE,"200uM vs 100uM; 200uM vs Veh",FALSE,TRUE,TRUE,-0.386,-0.0208,0.656,0.105231727375156,0.365,0.0341876418775834,0.677,0.000294703681399346,1.04
"ATP5PB","ATP5PB","P24539","FType_ATPase",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,0.0041,0.352,0.796,0.189393195115672,0.348,0.196804441681105,0.444,0.00833649516062153,0.792
"ATP5MF","ATP5MF","P56134","FType_ATPase",TRUE,"200uM vs 100uM; 200uM vs Veh",FALSE,TRUE,TRUE,-0.0187,0.0583,0.976,0.804476216257723,0.0771,0.0306299530199537,0.918,0.003743244532717,0.995
"ATP5MG","ATP5MG","O75964","FType_ATPase",TRUE,"200uM vs 100uM; 200uM vs Veh",FALSE,TRUE,TRUE,-0.152,0.193,1.04,0.168451162316148,0.346,0.022106544511901,0.848,0.000245059450016964,1.19
"ATP5PO","ATP5PO","P48047","FType_ATPase",TRUE,"200uM vs 100uM; 200uM vs Veh",FALSE,TRUE,TRUE,-0.212,0.0652,0.947,0.109936414570768,0.277,0.00115694702702395,0.882,5.69478356276122e-06,1.16
"CREM","CREM","Q03060","EnkohalinRelease",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,-1.82,4.33,-1.38,0.000631906345700203,6.15,0.010095925329635,-5.71,0.794528597822623,0.443
"PRKACG","PRKACG","P22612","EnkohalinRelease",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-4.06,1.13,1.07,7.24906952482121e-08,5.18,0.949530504527919,-0.0569,5.66947667293312e-08,5.13
"PRKACB","PRKACB","P22694","EnkohalinRelease",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,-0.77,0.309,-0.292,0.00576999066292618,1.08,0.194376298993072,-0.601,0.207735993604679,0.478
"GNB4","GNB4","Q9HAV0","EnkohalinRelease",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.867,0.594,0.321,0.00109477033008723,1.46,0.602134312987668,-0.273,0.00556816337260496,1.19
"PRKACA","PRKACA","P17612","EnkohalinRelease",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.681,0.835,0.257,0.001172088177704,1.52,0.252326919534921,-0.579,0.0284261379623615,0.938
"GNAI1","GNAI1","P63096","EnkohalinRelease",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.427,0.417,0.556,0.0132375903591355,0.844,0.773777267494053,0.139,0.00712754117452761,0.983
"GNB1","GNB1","P62873","EnkohalinRelease",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.704,0.345,0.555,0.00212401633383038,1.05,0.616065122213935,0.21,0.000649783134418564,1.26
"GNAI2","GNAI2","P04899","EnkohalinRelease",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,-0.428,0.283,0.153,0.0216914642266253,0.711,0.770270878761687,-0.13,0.0681552885924099,0.581
"GNB2","GNB2","P62879","EnkohalinRelease",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.664,0.431,0.241,0.00803011738579076,1.1,0.734876796869511,-0.19,0.030360258380296,0.905
"GNAI3","GNAI3","P08754","EnkohalinRelease",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.566,0.529,0.378,0.00656369069484718,1.09,0.78691445412915,-0.151,0.0205587563821329,0.944
"SLC7A11","SLC7A11","Q9UPY5","ferroptosis",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.25,0.162,0.575,0.0118869220820347,1.41,0.570578475043495,0.413,0.00314222183620874,1.82
"ACSL1","ACSL1","P33121","ferroptosis",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,-0.478,-0.129,0.109,0.0613005686093701,0.349,0.318311033946411,0.239,0.00542143261206291,0.588
"ACSL3","ACSL3","O95573","ferroptosis",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,-0.363,0.36,0.138,0.00831085074832943,0.724,0.516945634368605,-0.223,0.0666979990851347,0.501
"SLC11A2","SLC11A2","P49281","ferroptosis",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.607,0.631,0.962,0.010616277011419,1.24,0.604223712573437,0.331,0.00319161721361857,1.57
"TFRC","TFRC","P02786","ferroptosis",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.417,0.923,1.13,0.000516804220053437,1.34,0.624346217265962,0.21,0.000120741300354681,1.55
"HMOX1","HMOX1","P09601","ferroptosis",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,0.363,1.09,0.222,0.00262758110427241,0.724,0.00850532910352988,-0.865,0.543497334110579,-0.141
"ATG7","ATG7","O95352","ferroptosis",TRUE,"200uM vs 100uM",FALSE,TRUE,FALSE,-0.133,0.437,-0.214,0.00360954547747705,0.57,0.0147178049254798,-0.651,0.682326072523615,-0.081
"GCLC","GCLC","P48506","ferroptosis",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,-0.0206,0.681,-0.208,0.00855173002891774,0.702,0.0175782400020074,-0.889,0.486584821938245,-0.187
