"ProteinID","Gene","SampleName","PG.MaxLFQ","Condition","Replicate","Detected"
"A6NFY4","NEMP2","GFP3",6493.37890625,"GFP","3",TRUE
"A6NFY4","NEMP2","RDH1",11760.984375,"RDH","1",TRUE
"A6NFY4","NEMP2","RDH2",3807.20361328125,"RDH","2",TRUE
"A6NFY4","NEMP2","RDH3",2542.84399414062,"RDH","3",TRUE
"A6NGB9","WIPF3","RDH2",9591.060546875,"RDH","2",TRUE
"A6NHL2","TUBAL3","GFP1",573280.3125,"GFP","1",TRUE
"A6NHL2","TUBAL3","GFP2",493245.75,"GFP","2",TRUE
"A6NHL2","TUBAL3","GFP3",500962.8125,"GFP","3",TRUE
"A6NHL2","TUBAL3","RDH1",381764.53125,"RDH","1",TRUE
"A6NHL2","TUBAL3","RDH2",716838.1875,"RDH","2",TRUE
"A6NHL2","TUBAL3","RDH3",363620.09375,"RDH","3",TRUE
"A6NHQ4","EPOP","GFP1",327085.4375,"GFP","1",TRUE
"A6NHQ4","EPOP","GFP3",122337.3125,"GFP","3",TRUE
"A6NHQ4","EPOP","RDH1",149079.9375,"RDH","1",TRUE
"A6NHR9","SMCHD1","GFP1",377767.5625,"GFP","1",TRUE
"A6NHR9","SMCHD1","GFP2",190173.34375,"GFP","2",TRUE
"A6NHR9","SMCHD1","GFP3",226555.34375,"GFP","3",TRUE
"A6NHR9","SMCHD1","RDH1",304711.40625,"RDH","1",TRUE
"A6NHR9","SMCHD1","RDH2",169318.921875,"RDH","2",TRUE
"A6NHR9","SMCHD1","RDH3",184307,"RDH","3",TRUE
"A6NHX0","CASTOR2","GFP1",29690.591796875,"GFP","1",TRUE
"A6NHX0","CASTOR2","GFP2",31916.181640625,"GFP","2",TRUE
"A6NHX0","CASTOR2","GFP3",37297.93359375,"GFP","3",TRUE
"A6NHX0","CASTOR2","RDH1",30442.5,"RDH","1",TRUE
"A6NHX0","CASTOR2","RDH2",39079.75,"RDH","2",TRUE
"A6NHX0","CASTOR2","RDH3",39484.11328125,"RDH","3",TRUE
"A6NI28","ARHGAP42","GFP1",12207.6337890625,"GFP","1",TRUE
"A6NI28","ARHGAP42","GFP2",14661.5576171875,"GFP","2",TRUE
"A6NI28","ARHGAP42","GFP3",20206.939453125,"GFP","3",TRUE
"A6NI28","ARHGAP42","RDH1",25678.001953125,"RDH","1",TRUE
"A6NI28","ARHGAP42","RDH3",20226.25,"RDH","3",TRUE
"A6NIH7","UNC119B","GFP1",118824.6875,"GFP","1",TRUE
"A6NIH7","UNC119B","GFP2",114813.40625,"GFP","2",TRUE
"A6NIH7","UNC119B","GFP3",105927.828125,"GFP","3",TRUE
"A6NIH7","UNC119B","RDH1",107564.84375,"RDH","1",TRUE
"A6NIH7","UNC119B","RDH2",104855.546875,"RDH","2",TRUE
"A6NIH7","UNC119B","RDH3",98919.46875,"RDH","3",TRUE
"A6NJ78","METTL15","GFP1",73767.1640625,"GFP","1",TRUE
"A6NJ78","METTL15","GFP2",27862.224609375,"GFP","2",TRUE
"A6NJ78","METTL15","GFP3",32953.25390625,"GFP","3",TRUE
"A6NJ78","METTL15","RDH1",68548.96875,"RDH","1",TRUE
"A6NJ78","METTL15","RDH2",28155.626953125,"RDH","2",TRUE
"A6NJ78","METTL15","RDH3",33272.95703125,"RDH","3",TRUE
"A6NJT0","UNCX","GFP1",28107.103515625,"GFP","1",TRUE
"A6NJT0","UNCX","GFP2",9302.0595703125,"GFP","2",TRUE
"A6NJT0","UNCX","GFP3",14604.181640625,"GFP","3",TRUE
"A6NJT0","UNCX","RDH1",19596.181640625,"RDH","1",TRUE
"A6NJT0","UNCX","RDH2",8132.04052734375,"RDH","2",TRUE
"A6NJT0","UNCX","RDH3",11588.166015625,"RDH","3",TRUE
"A6NK58","LIPT2","GFP1",61995.74609375,"GFP","1",TRUE
"A6NK58","LIPT2","GFP2",20596.048828125,"GFP","2",TRUE
"A6NK58","LIPT2","GFP3",22596.72265625,"GFP","3",TRUE
"A6NK58","LIPT2","RDH1",57222.09765625,"RDH","1",TRUE
"A6NK58","LIPT2","RDH2",15134.03125,"RDH","2",TRUE
"A6NK58","LIPT2","RDH3",16986.2578125,"RDH","3",TRUE
"A6NKD9","CCDC85C","GFP1",40745.875,"GFP","1",TRUE
"A6NKD9","CCDC85C","GFP2",38590.88671875,"GFP","2",TRUE
"A6NKD9","CCDC85C","GFP3",39612.30078125,"GFP","3",TRUE
"A6NKD9","CCDC85C","RDH1",43893.546875,"RDH","1",TRUE
"A6NKD9","CCDC85C","RDH2",47808.6796875,"RDH","2",TRUE
"A6NKD9","CCDC85C","RDH3",51539.6171875,"RDH","3",TRUE
