"Gene","Process","SigIn","RDH12_control_atRAL5hr_centered","RDH12_100_atRAL5hr_centered","RDH12_200_atRAL5hr_centered","RDH12_control_atRAL5hr.24h_recvr_centered","RDH12_100_atRAL5hr.24h_recvr_centered","RDH12_200_atRAL5hr.24h_recvr_centered","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio"
"ATOX1","Heme / metal / copper redox handling","100 µM vs Veh; 200 µM vs Veh",1.32,-0.169,-0.602,0.882,0.289,0.357,0.0221942908782498,-1.49,0.625284406343897,-0.433,0.00689327652994302,-1.93
"CCS","Heme / metal / copper redox handling","100 µM vs Veh; 200 µM vs Veh",1.4,0.263,0.464,-0.125,-0.0161,-0.0306,0.00341623568151184,-1.14,0.690359743159543,0.2,0.0149854406403492,-0.94
"UROS","Heme / metal / copper redox handling","100 µM vs Veh; 200 µM vs Veh",-2.24,0.443,0.87,0.812,0.745,-2.94,0.00217844832685116,2.68,0.700195984464196,0.426,0.000890423111957459,3.11
"ATP7A","Heme / metal / copper redox handling","100 µM vs Veh; 200 µM vs Veh",-2.84,0.794,0.297,0.427,0.193,0.0711,2.42305833094899e-06,3.64,0.456667095586183,-0.497,1.29669073397116e-05,3.14
"ABCB10","Heme / metal / copper redox handling","100 µM vs Veh; 200 µM vs 100 µM; 200 µM vs Veh",-1.07,-0.37,0.534,0.477,0.15,-0.12,0.0317249178455905,0.703,0.0429190173611109,0.905,0.000133132750668621,1.61
"IBA57","Heme / metal / copper redox handling","100 µM vs Veh; 200 µM vs Veh",-0.599,-0.0284,0.337,0.246,0.0981,-0.398,0.00957779274422779,0.571,0.1715054650852,0.366,0.000353673307623056,0.936
"ACSL3","Lipid activation / peroxidation axis","100 µM vs Veh; 200 µM vs Veh",-0.363,0.36,0.138,0.0584,0.0747,-0.231,0.00831085074832943,0.724,0.516945634368605,-0.223,0.0666979990851347,0.501
"ACSL1","Lipid activation / peroxidation axis","200 µM vs Veh",-0.478,-0.129,0.109,-0.0188,0.118,0.0319,0.0613005686093701,0.349,0.318311033946411,0.239,0.00542143261206291,0.588
"ACSL4","Lipid activation / peroxidation axis","Not significant in acute contrasts",-0.293,0.04,0.0182,0.226,0.0697,-0.0746,0.0631863673754448,0.333,0.940230012016086,-0.0218,0.0990819483244137,0.311
"CYBA","Mitochondrial ROS / VDAC stress","100 µM vs Veh; 200 µM vs Veh",-1.13,-2.85,-3.03,1.27,1.74,1.59,0.00190604097925593,-1.72,0.810810050896814,-0.175,0.00115141273086436,-1.9
"VDAC3","Mitochondrial ROS / VDAC stress","Not significant in acute contrasts",-0.121,-0.228,0.279,0.204,0.0123,-0.417,0.677666977646844,-0.107,0.119638070351074,0.506,0.129241920514466,0.399
"VDAC2","Mitochondrial ROS / VDAC stress","100 µM vs Veh; 200 µM vs 100 µM",0.566,-0.0877,0.659,-0.0853,0.0277,-0.403,0.0550700536981374,-0.653,0.0946818947051608,0.747,0.815033655907167,0.0938
"SOD2","Mitochondrial ROS / VDAC stress","100 µM vs Veh; 200 µM vs 100 µM",1.07,-0.359,0.567,0.286,-0.0651,0.0414,0.000638575506547617,-1.43,0.0476323456781452,0.926,0.158741355070459,-0.5
"ATG7","Autophagy / ferritinophagy-related","100 µM vs Veh; 200 µM vs 100 µM",-0.133,0.437,-0.214,-0.0451,0.103,0.0617,0.00360954547747705,0.57,0.0147178049254798,-0.651,0.682326072523615,-0.081
"PRNP","Autophagy / ferritinophagy-related","100 µM vs Veh; 200 µM vs 100 µM",0.823,-0.294,0.737,0.124,-0.167,-0.29,0.0115188805026572,-1.12,0.0671083446554767,1.03,0.864720459822341,-0.0859
"AKR1B1","Stress / apoptosis-adjacent regulators","100 µM vs Veh; 200 µM vs Veh",2.51,0.264,0.295,-0.369,-0.425,-0.852,0.00166290106965307,-2.24,0.975948705824137,0.0306,0.0023140795508763,-2.21
"TP53","Stress / apoptosis-adjacent regulators","100 µM vs Veh; 200 µM vs Veh",0.758,-0.257,-0.166,0.326,0.0952,-0.0685,0.000531571424048066,-1.01,0.79638098537711,0.0908,0.00104317691276775,-0.924
"AKR1A1","Stress / apoptosis-adjacent regulators","100 µM vs Veh; 200 µM vs Veh",1.25,0.226,0.0275,-0.315,-0.235,-0.233,0.00129249576097629,-1.03,0.599349584443763,-0.198,0.000355511490365184,-1.23
"MET","Stress / apoptosis-adjacent regulators","Not significant in acute contrasts",0.338,0.748,0.765,-0.231,-0.0356,-0.285,0.212369106893551,0.41,0.975006677717731,0.0171,0.222738374287738,0.427
"P4HB","Stress / apoptosis-adjacent regulators","Not significant in acute contrasts",0.704,0.312,0.78,-0.309,-0.17,-0.3,0.0576632567775674,-0.392,0.0864491240126782,0.468,0.747965634914841,0.0754
"PTPN1","Stress / apoptosis-adjacent regulators","Not significant in acute contrasts",-0.139,-0.0101,-0.175,0.0712,0.0371,-0.0656,0.422197580723352,0.129,0.437240916209537,-0.165,0.853710508104656,-0.0356
"AKR1E2","Stress / apoptosis-adjacent regulators","Not significant in acute contrasts",-0.217,0.162,-0.0581,-0.143,-0.157,-0.0525,0.126297712091274,0.378,0.509238930546912,-0.22,0.557165553566748,0.159
"NUDT2","Stress / apoptosis-adjacent regulators","Not significant in acute contrasts",0.288,0.508,0.0295,-0.294,-0.233,-0.00455,0.335582411672629,0.22,0.111827705553087,-0.478,0.288207411150745,-0.258
"ERO1A","Stress / apoptosis-adjacent regulators","Not significant in acute contrasts",0.214,0.139,0.515,-0.115,-0.099,-0.0869,0.716405527552623,-0.0748,0.144746095062974,0.376,0.150551656416218,0.301
"AKR7A2","Stress / apoptosis-adjacent regulators","Not significant in acute contrasts",0.43,0.0701,0.0255,0.0432,0.0381,-0.155,0.159209228644336,-0.36,0.914768047464273,-0.0445,0.1365791283228,-0.404
"PIDD1","Stress / apoptosis-adjacent regulators","100 µM vs Veh",-1.55,-3.11,-2.05,-1.85,3.12,3.29,0.0268101364480002,-1.57,0.226259057690809,1.07,0.499965734211558,-0.501
"BCL2L12","Stress / apoptosis-adjacent regulators","100 µM vs Veh; 200 µM vs Veh",-2.12,2.72,3.26,-3.42,2.99,2.99,3.01878050743071e-06,4.85,0.569291682537804,0.535,5.44079473123535e-07,5.38
