Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Cell Type Signatures,7,M39050,MANNO MIDBRAIN NEUROTYPES HPERIC,,-9.4,2.5,7.3,30230,795,896,58,6.5,0.82,858|1026|1634|2077|2687|2791|3270|3487|3621|3707|4060|4664|4854|5118|5606|6320|6464|6529|6747|6764|6909|7145|8496|9411|9813|9854|10252|10398|10723|11030|11117|11346|23102|25937|25959|25960|30011|51129|51274|54510|55243|57509|57804|64857|79834|80760|81628|83786|83987|84441|94031|112464|112574|148170|253827|254102|337876|389125,CAV2|CDKN1A|DCN|ERF|GGT5|GNG11|HRC|IGFBP4|ING1|ITPKB|LUM|NAB1|NOTCH3|PCOLCE|MAP2K3|CLEC11A|SHC1|SLC6A1|SSR3|DENND2B|TBX2|TNS1|PPFIBP1|ARHGAP29|EFCAB14|C2CD2L|SPRY1|MYL9|SLC12A7|RBPMS|EMILIN1|SYNPO|TBC1D2B|WWTR1|KANK2|ADGRA2|SH3KBP1|ANGPTL4|KLF3|PCDH18|KIRREL1|MTUS1|POLD4|PLEKHG2|PEAK1|ITIH5|TSC22D4|FRMD8|CCDC8|MAML2|HTRA3|CAVIN3|SNX18|CDC42EP5|MSRB3|EHBP1L1|CHSY3|MUSTN1,-6,MyList
Transcription Factor Targets,16,M9769,CTGCAGY UNKNOWN,,-8.9,2.4,7,30230,779,896,56,6.2,0.81,1113|1501|2039|2104|2122|2719|2785|3082|3400|3667|4062|4211|4216|4734|4900|4917|5099|5101|5662|5806|6777|6792|7227|7903|8553|8926|9500|9530|9734|9846|10150|10297|11278|22807|23767|25792|25921|27086|27153|51759|54487|55859|56987|57468|57509|57555|57649|83692|84080|84248|89884|124790|131377|147339|283149|100131755,CHGA|CTNND2|DMTN|ESRRG|MECOM|GPC3|GNG3|HGF|ID4|IRS1|LY6H|MEIS1|MAP3K4|NEDD4|NRGN|NTN3|PCDH7|PCDH9|PSD|PTX3|STAT5B|CDKL5|TRPS1|ST8SIA4|BHLHE40|SNURF|MAGED1|BAG4|HDAC9|GAB2|MBNL2|APC2|KLF12|IKZF2|FLRT3|CIZ1|ZDHHC5|FOXP1|ZNF777|C9orf78|DGCR8|BEX1|BBX|SLC12A5|MTUS1|NLGN2|PHF12|CD99L2|ENKD1|FYTTD1|LHX4|HEXIM2|KLHL40|ARK2N|BCL9L|ARMCX4,-5.5,MyList
Transcription Factor Targets,16,M6052,YCATTAA UNKNOWN,,-8.6,2.7,7,30230,567,896,45,5,0.73,320|607|862|1501|1946|2104|2122|2662|3680|4286|4335|4661|4756|4885|5099|5218|5564|6047|6091|6096|6239|6660|6666|6777|6792|7145|7227|9547|10150|10529|22807|55122|57150|57179|57348|57555|57715|79047|81558|81572|84631|123207|140890|152485|388115,APBA1|BCL9|RUNX1T1|CTNND2|EFNA5|ESRRG|MECOM|GDF10|ITGA9|MITF|MNT|MYT1|NEO1|NPTX2|PCDH7|CDK14|PRKAB1|RNF4|ROBO1|RORB|RREB1|SOX5|SOX12|STAT5B|CDKL5|TNS1|TRPS1|CXCL14|MBNL2|NEBL|IKZF2|AKIRIN2|SMIM8|KIAA1191|TTYH1|NLGN2|SEMA4G|KCTD15|FAM117A|PDRG1|SLITRK2|C15orf40|SREK1|ZNF827|CCDC9B,-5.2,MyList
Cell Type Signatures,7,M39152,GAO LARGE INTESTINE 24W C1 DCLK1POS PROGENITOR,,-8.3,5.8,8.3,30230,99,896,17,1.9,0.46,715|730|1307|1634|3383|4060|4969|5118|6320|8532|10082|56265|57333|84668|114990|145864|151887,C1R|C7|COL16A1|DCN|ICAM1|LUM|OGN|PCOLCE|CLEC11A|CPZ|GPC6|CPXM1|RCN3|HYCC1|VASN|HAPLN3|CCDC80,-4.9,MyList
Cell Type Signatures,7,M40180,DESCARTES FETAL EYE STROMAL CELLS,,-8.1,6,8.3,30230,90,896,16,1.8,0.44,715|1634|3489|4060|4969|5118|6387|8425|10631|11117|54507|54510|90187|114990|127435|140606,C1R|DCN|IGFBP6|LUM|OGN|PCOLCE|CXCL12|LTBP4|POSTN|EMILIN1|ADAMTSL4|PCDH18|EMILIN3|VASN|PODN|SELENOM,-4.7,MyList
Cell Type Signatures,7,M39114,AIZARANI LIVER C10 MVECS 1,,-8,3.5,7.2,30230,269,896,28,3.1,0.58,730|858|862|1026|1947|1948|2791|3133|3487|4739|6387|6925|7145|8553|8751|9411|10252|10602|11170|11346|25937|51564|53826|57513|57636|64129|64856|375449,C7|CAV2|RUNX1T1|CDKN1A|EFNB1|EFNB2|GNG11|HLA-E|IGFBP4|NEDD9|CXCL12|TCF4|TNS1|BHLHE40|ADAM15|ARHGAP29|SPRY1|CDC42EP3|FAM107A|SYNPO|WWTR1|HDAC7|FXYD6|CASKIN2|ARHGAP23|TINAGL1|VWA1|MAST4,-4.7,MyList
Cell Type Signatures,7,M39300,CUI DEVELOPING HEART C3 FIBROBLAST LIKE CELL,,-8,5.2,7.9,30230,117,896,18,2,0.47,715|730|1307|1634|2719|4060|4969|5118|6383|6387|8425|10082|10252|26471|54510|57333|94031|140606,C1R|C7|COL16A1|DCN|GPC3|LUM|OGN|PCOLCE|SDC2|CXCL12|LTBP4|GPC6|SPRY1|NUPR1|PCDH18|RCN3|HTRA3|SELENOM,-4.7,MyList
Cell Type Signatures,7,M39176,MURARO PANCREAS ENDOTHELIAL CELL,,-7.9,3.1,6.9,30230,362,896,33,3.7,0.63,595|868|1636|1948|1949|2122|2791|3133|3383|3487|4739|5782|5978|6387|6925|7903|9289|9411|10723|11346|25937|30011|30850|51177|51564|57496|57636|64856|83786|94031|170954|359845|768211,CCND1|CBLB|ACE|EFNB2|EFNB3|MECOM|GNG11|HLA-E|ICAM1|IGFBP4|NEDD9|PTPN12|REST|CXCL12|TCF4|ST8SIA4|ADGRG1|ARHGAP29|SLC12A7|SYNPO|WWTR1|SH3KBP1|CDR2L|PLEKHO1|HDAC7|MRTFB|ARHGAP23|VWA1|FRMD8|HTRA3|PPP1R18|RFLNB|RELL1,-4.6,MyList
Transcription Factor Targets,16,M4764,TGTTTGY HNF3 Q6,,-7.8,2.3,6.5,30230,748,896,52,5.8,0.78,629|1946|2158|2861|3667|3697|3707|4052|4211|4286|5126|5149|5218|5606|6239|6529|6660|6764|6777|6925|6934|7092|7227|8270|8751|8861|9846|10252|11278|22807|22986|25959|27086|51274|54462|55243|56987|57094|57804|64111|84631|140733|140890|143282|150275|152485|160760|220965|255743|283149|284996|375449,CFB|EFNA5|F9|GPR37|IRS1|ITIH1|ITPKB|LTBP1|MEIS1|MITF|PCSK2|PDE6H|CDK14|MAP2K3|RREB1|SLC6A1|SOX5|DENND2B|STAT5B|TCF4|TCF7L2|TLL1|TRPS1|LAGE3|ADAM15|LDB1|GAB2|SPRY1|KLF12|IKZF2|SORCS3|KANK2|FOXP1|KLF3|CCSER2|KIRREL1|BBX|CPA6|POLD4|NPVF|SLITRK2|MACROD2|SREK1|FGFBP3|CCDC117|ZNF827|PPTC7|FAM13C|NPNT|BCL9L|RNF149|MAST4,-4.6,MyList
Cell Type Signatures,7,M39057,MANNO MIDBRAIN NEUROTYPES HRGL1,,-7.8,3.1,6.9,30230,364,896,33,3.7,0.63,361|1634|2077|2824|3400|3667|3707|4052|4291|4299|4885|5978|6660|6764|6938|9388|9620|10413|10529|24147|25876|55553|57348|57619|63827|79848|81628|84441|85463|114908|220296|255743|400793,AQP4|DCN|ERF|GPM6B|ID4|IRS1|ITPKB|LTBP1|MLF1|AFF1|NPTX2|REST|SOX5|DENND2B|TCF12|LIPG|CELSR1|YAP1|NEBL|FJX1|SPEF1|SOX6|TTYH1|SHROOM3|BCAN|CSPP1|TSC22D4|MAML2|ZC3H12C|TMEM123|HEPACAM|NPNT|C1orf226,-4.6,MyList
DisGeNET,35,C0021704,Intelligence,,-7.7,2.5,6.5,30230,645,896,47,5.2,0.74,320|575|665|862|1307|1946|2044|2104|3697|4299|4900|6047|6787|6925|6942|8766|8861|9745|10010|22927|22983|22986|22997|27086|29855|29911|50485|54820|54901|56987|57512|57591|58493|64084|64129|64375|79884|84441|84444|84901|89796|113263|114800|140733|200186|284058|285672,APBA1|ADGRB1|BNIP3L|RUNX1T1|COL16A1|EFNA5|EPHA5|ESRRG|ITIH1|AFF1|NRGN|RNF4|NEK4|TCF4|TCF20|RAB11A|LDB1|ZNF536|TANK|HABP4|MAST1|SORCS3|IGSF9B|FOXP1|UBN1|HOOK2|SMARCAL1|NDE1|CDKAL1|BBX|GPR158|MRTFA|INIP|CLSTN2|TINAGL1|IKZF4|MAP9|MAML2|DOT1L|NFATC2IP|NAV1|GLCCI1|CCDC85A|MACROD2|CRTC2|KANSL1|SREK1IP1,-4.6,MyList
Cell Type Signatures,7,M39122,AIZARANI LIVER C21 STELLATE CELLS 1,,-7.7,4,7.3,30230,194,896,23,2.6,0.53,715|730|1026|1634|2687|3082|3487|3680|4060|4286|5101|5118|6387|6925|7145|8425|10082|10398|10602|11030|112464|119587|151887,C1R|C7|CDKN1A|DCN|GGT5|HGF|IGFBP4|ITGA9|LUM|MITF|PCDH9|PCOLCE|CXCL12|TCF4|TNS1|LTBP4|GPC6|MYL9|CDC42EP3|RBPMS|CAVIN3|CPXM2|CCDC80,-4.6,MyList
Cell Type Signatures,7,M40292,DESCARTES FETAL SPLEEN MESOTHELIAL CELLS,,-7.7,4,7.3,30230,195,896,23,2.6,0.53,770|1026|1949|2619|3400|4969|6281|7138|7286|8553|8708|10529|23767|54507|56776|57549|65055|80271|83648|113146|158038|255743|283638,CA11|CDKN1A|EFNB3|GAS1|ID4|OGN|S100A10|TNNT1|TUFT1|BHLHE40|B3GALT1|NEBL|FLRT3|ADAMTSL4|FMN2|IGSF9|REEP1|ITPKC|FAM167A|AHNAK2|LINGO2|NPNT|CEP170B,-4.6,MyList
Cell Type Signatures,7,M39128,AIZARANI LIVER C29 MVECS 2,,-7.7,3.2,6.9,30230,313,896,30,3.3,0.6,730|858|1026|1948|2122|2791|3133|3487|4299|4739|4772|5782|6281|6925|8425|9289|10252|10602|10631|11170|11346|23331|25937|51274|53826|57636|64129|65009|80271|375449,C7|CAV2|CDKN1A|EFNB2|MECOM|GNG11|HLA-E|IGFBP4|AFF1|NEDD9|NFATC1|PTPN12|S100A10|TCF4|LTBP4|ADGRG1|SPRY1|CDC42EP3|POSTN|FAM107A|SYNPO|TTC28|WWTR1|KLF3|FXYD6|ARHGAP23|TINAGL1|NDRG4|ITPKC|MAST4,-4.6,MyList
Cell Type Signatures,7,M39066,MANNO MIDBRAIN NEUROTYPES HNBML5,,-7.7,2.8,6.7,30230,465,896,38,4.2,0.67,333|862|1113|2039|2104|2785|4661|5099|5101|6091|6092|8165|9705|10133|10297|22983|25876|27324|51308|56776|57468|59269|60676|65009|79169|84444|84530|84969|85463|89796|114800|134637|148398|150864|201191|221914|256714|266727,APLP1|RUNX1T1|CHGA|DMTN|ESRRG|GNG3|MYT1|PCDH7|PCDH9|ROBO1|ROBO2|AKAP1|ST18|OPTN|APC2|MAST1|SPEF1|TOX3|REEP2|FMN2|SLC12A5|HIVEP3|PAPPA2|NDRG4|C1orf35|DOT1L|SRRM4|TOX2|ZC3H12C|NAV1|CCDC85A|ADAT2|SAMD11|FAM117B|SAMD14|GPC2|MAP7D2|MDGA1,-4.5,MyList
Transcription Factor Targets,16,M1532,EGR1 01,,-7.4,3.4,6.9,30230,269,896,27,3,0.57,1265|1636|2077|3622|4216|4335|4900|5118|5126|6457|6666|6882|7030|7087|11143|23301|29997|30011|51274|51315|55122|64219|116224|127733|152485|200186|255057,CNN2|ACE|ERF|ING2|MAP3K4|MNT|NRGN|PCOLCE|PCSK2|SH3GL3|SOX12|TAF11|TFE3|ICAM5|KAT7|EHBP1|NOP53|SH3KBP1|KLF3|KRCC1|AKIRIN2|PJA1|PABIR1|UBXN10|ZNF827|CRTC2|CBARP,-4.3,MyList
Cell Type Signatures,7,M39234,LAKE ADULT KIDNEY C15 CONNECTING TUBULE,,-7.4,4.1,7.2,30230,171,896,21,2.3,0.51,1946|2104|2122|4286|4300|5099|5101|6938|8496|9760|10413|10529|11030|11278|25937|27324|54806|57619|57630|84441|140733,EFNA5|ESRRG|MECOM|MITF|MLLT3|PCDH7|PCDH9|TCF12|PPFIBP1|TOX|YAP1|NEBL|RBPMS|KLF12|WWTR1|TOX3|AHI1|SHROOM3|SH3RF1|MAML2|MACROD2,-4.3,MyList
Transcription Factor Targets,16,M14011,HIF1 Q3,,-7.4,3.6,6.9,30230,236,896,25,2.8,0.55,862|2049|2077|2824|4052|5662|6529|7092|10018|10179|22807|22986|25987|26009|57468|57649|79047|79365|84444|91289|127733|152485|153222|153443|284018,RUNX1T1|EPHB3|ERF|GPM6B|LTBP1|PSD|SLC6A1|TLL1|BCL2L11|RBM7|IKZF2|SORCS3|TSKU|ZZZ3|SLC12A5|PHF12|KCTD15|BHLHE41|DOT1L|LMF2|UBXN10|ZNF827|CREBRF|SRFBP1|C17orf58,-4.3,MyList
Transcription Factor Targets,16,M18254,MZF1 02,,-7.4,3.6,6.9,30230,236,896,25,2.8,0.55,2122|2869|3166|5076|6522|6934|7030|9547|10082|10489|11278|23054|23301|27086|56849|57513|57555|57649|57804|81558|84441|89884|150864|159195|283149,MECOM|GRK5|HMX1|PAX2|SLC4A2|TCF7L2|TFE3|CXCL14|GPC6|LRRC41|KLF12|NCOA6|EHBP1|FOXP1|TCEAL7|CASKIN2|NLGN2|PHF12|POLD4|FAM117A|MAML2|LHX4|FAM117B|USP54|BCL9L,-4.3,MyList
Transcription Factor Targets,16,M9612,OCT1 01,,-7.3,3.4,6.8,30230,271,896,27,3,0.57,595|2049|3400|3621|4286|4734|6660|6925|6938|7227|9388|9734|9846|10602|11278|27086|27338|30850|51199|51562|57509|59269|79777|81558|90187|126299|144108,CCND1|EPHB3|ID4|ING1|MITF|NEDD4|SOX5|TCF4|TCF12|TRPS1|LIPG|HDAC9|GAB2|CDC42EP3|KLF12|FOXP1|UBE2S|CDR2L|NIN|MBIP|MTUS1|HIVEP3|ACBD4|FAM117A|EMILIN3|ZNF428|SPTY2D1,-4.3,MyList
Cell Type Signatures,7,M39054,MANNO MIDBRAIN NEUROTYPES HRGL2B,,-7.3,2.8,6.5,30230,440,896,36,4,0.66,361|1501|2077|2824|3014|3400|3707|3955|4052|4288|5978|6660|6764|6925|6934|7145|9289|9388|9759|10413|22997|30812|55872|57348|63827|79006|79834|79848|81628|83987|84441|84629|84631|143282|220296|256643,AQP4|CTNND2|ERF|GPM6B|H2AX|ID4|ITPKB|LFNG|LTBP1|MKI67|REST|SOX5|DENND2B|TCF4|TCF7L2|TNS1|ADGRG1|LIPG|HDAC4|YAP1|IGSF9B|SOX8|PBK|TTYH1|BCAN|METRN|PEAK1|CSPP1|TSC22D4|CCDC8|MAML2|TNRC18|SLITRK2|FGFBP3|HEPACAM|BCLAF3,-4.3,MyList
Cell Type Signatures,7,M39053,MANNO MIDBRAIN NEUROTYPES HRGL2C,,-7.3,3.1,6.7,30230,326,896,30,3.3,0.6,320|361|575|1501|2077|2824|3707|3955|4299|4501|5099|6529|9289|10252|22997|25876|30812|55872|57348|63827|79006|81628|83987|84631|89796|143282|145864|152503|220296|255743,APBA1|AQP4|ADGRB1|CTNND2|ERF|GPM6B|ITPKB|LFNG|AFF1|MT1X|PCDH7|SLC6A1|ADGRG1|SPRY1|IGSF9B|SPEF1|SOX8|PBK|TTYH1|BCAN|METRN|TSC22D4|CCDC8|SLITRK2|NAV1|FGFBP3|HAPLN3|SH3D19|HEPACAM|NPNT,-4.3,MyList
Transcription Factor Targets,16,M822,YTATTTTNR MEF2 02,,-7.2,2.3,6.2,30230,715,896,49,5.5,0.76,595|1026|2104|2162|2791|4286|4291|4300|4634|4734|5101|6792|7092|7136|7138|8233|8553|9607|9734|9759|9854|10018|10150|10602|11278|22997|23528|23767|25921|26037|27086|27125|50485|51274|51322|51562|54629|55122|57468|57512|81565|81849|89884|127733|140890|147339|160760|255743|100131755,CCND1|CDKN1A|ESRRG|F13A1|GNG11|MITF|MLF1|MLLT3|MYL3|NEDD4|PCDH9|CDKL5|TLL1|TNNI2|TNNT1|ZRSR2|BHLHE40|CARTPT|HDAC9|HDAC4|C2CD2L|BCL2L11|MBNL2|CDC42EP3|KLF12|IGSF9B|ZNF281|FLRT3|ZDHHC5|SIPA1L1|FOXP1|AFF4|SMARCAL1|KLF3|WAC|MBIP|MINDY2|AKIRIN2|SLC12A5|GPR158|NDEL1|ST6GALNAC5|LHX4|UBXN10|SREK1|ARK2N|PPTC7|NPNT|ARMCX4,-4.2,MyList
Transcription Factor Targets,16,M18558,AP2 Q6,,-7.2,3.4,6.7,30230,259,896,26,2.9,0.56,320|333|1501|2869|4335|4854|5076|5980|6461|6666|6909|8861|11143|26009|27338|29890|51286|51322|55033|55122|57649|65056|80774|84079|221477|348980,APBA1|APLP1|CTNND2|GRK5|MNT|NOTCH3|PAX2|REV3L|SHB|SOX12|TBX2|LDB1|KAT7|ZZZ3|UBE2S|RBM15B|CEND1|WAC|FKBP14|AKIRIN2|PHF12|GPBP1|LIMD2|ANKRD27|C6orf89|HCN1,-4.2,MyList
