"Experiment","Genotype","Treatment","Condition","Lipid","LipidClass","n_total","n_detected","mean_intensity","sd_intensity","CV_percent","mean_log2Intensity","CV_percent_capped"
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 32:1","PC",3,3,116813.381906667,30643.887391807,26.2331993917369,16.7997224927458,26.2331993917369
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 32:2","PC",3,3,11106.854197,2665.29515654661,23.9968501366167,13.4131896020991,23.9968501366167
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 32:3","PC",3,3,2132.993478,211.697669337541,9.92490935959352,11.0537941793142,9.92490935959352
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 32:4","PC",3,3,1804.420138,88.5849383121082,4.90932995296177,10.8161491968834,4.90932995296177
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 34:0","PC",3,3,28041.8755433333,4826.64465422329,17.2122747166631,14.7615022793532,17.2122747166631
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 34:1","PC",3,3,253724.3383,55981.9571117319,22.0640863571943,17.929562303265,22.0640863571943
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 34:2","PC",3,3,52948.1835933333,12107.1737954324,22.8660795777644,15.6667312455709,22.8660795777644
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 34:3","PC",3,3,5412.207035,930.019952151161,17.1837467808761,12.3880219246686,17.1837467808761
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 34:4","PC",3,3,2478.833495,275.105916115497,11.098200692802,11.2697002941044,11.098200692802
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 34:6","PC",3,3,3176.96023033333,225.663398166032,7.10312316822281,11.630936744431,7.10312316822281
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 36:0","PC",3,3,7669.59386433333,1445.9310456167,18.8527720136636,12.8885965579083,18.8527720136636
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 36:1","PC",3,3,44314.3031933333,9783.72385375362,22.0780270673995,15.4116551181237,22.0780270673995
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 36:2","PC",3,3,87620.7594,17016.5313290409,19.4206617764612,16.40024127514,19.4206617764612
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 36:3","PC",3,3,15992.1946333333,2827.89776616113,17.682987426046,13.9503070805322,17.682987426046
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 36:4","PC",3,3,11475.7407633333,1399.63263459925,12.1964469524379,13.4792259356028,12.1964469524379
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 36:5","PC",3,3,4614.10035333333,878.66139715374,19.0429624383651,12.1543372797794,19.0429624383651
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 36:6","PC",3,3,2793.98021433333,491.042753256804,17.5750261486362,11.4334267897928,17.5750261486362
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 36:7","PC",3,3,5887.193788,485.171467443364,8.24113295594753,12.5201910388863,8.24113295594753
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 38:0","PC",3,3,6198.333743,1274.3508689595,20.5595716816422,12.576889584391,20.5595716816422
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 38:1","PC",3,3,6370.69384666667,987.20832954297,15.4960880761757,12.6260115974318,15.4960880761757
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 38:2","PC",3,3,11116.4074576667,2710.68031958396,24.3844994878672,13.4111796549088,24.3844994878672
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 38:3","PC",3,3,6082.43379333333,1427.20851046928,23.4644314917752,12.543720415798,23.4644314917752
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 38:4","PC",3,3,10103.927389,2607.18907126552,25.803719394341,13.2726595842262,25.803719394341
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 38:5","PC",3,3,11032.9273816667,1786.11780192415,16.1889745136194,13.4168600193258,16.1889745136194
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 38:6","PC",3,3,8377.94724,2410.58539317428,28.7729836930112,12.9881164330167,28.7729836930112
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 38:7","PC",3,3,4026.566935,537.046199994517,13.3375704083389,11.9664853784422,13.3375704083389
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 40:0","PC",3,3,2457.63351333333,137.805330490926,5.60723678869507,11.2615332045105,5.60723678869507
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 40:1","PC",3,3,2823.57354,370.310121937529,13.1149451817546,11.454838746116,13.1149451817546
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 40:2","PC",3,3,2417.993502,66.5764988666926,2.7533779065835,11.2392330647485,2.7533779065835
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 40:3","PC",3,3,2113.24681466667,160.347312080164,7.58772288060713,11.0423913943414,7.58772288060713
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 40:4","PC",3,3,2558.58684433333,286.40828528522,11.194002889507,11.3150803747577,11.194002889507
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 40:5","PC",3,3,4065.67363366667,564.613941500297,13.887340509206,11.9800750493831,13.887340509206
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 40:6","PC",3,3,5788.24042133333,904.343869546265,15.6238131749536,12.487737651606,15.6238131749536
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 40:7","PC",3,3,6174.10712666667,1120.41263747996,18.1469581672915,12.5753756569741,18.1469581672915
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 42:1","PC",3,3,2033.226808,115.479280856553,5.67960644637307,10.9880312411971,5.67960644637307
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 42:10","PC",3,3,1940.54014233333,95.603098392051,4.92662307295001,10.9210705601962,4.92662307295001
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 42:2","PC",3,3,1944.02680066667,146.531981601811,7.53754945927495,10.9220185151538,7.53754945927495
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 42:3","PC",3,3,1954.68013666667,242.241693714523,12.3929071140826,10.9250122494252,12.3929071140826
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 42:5","PC",3,3,1907.74679533333,95.642305619428,5.01336476378234,10.8964212579285,5.01336476378234
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 42:6","PC",3,3,2132.660151,144.904473496163,6.79454124128578,11.0562036433715,6.79454124128578
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 42:7","PC",3,3,2214.480166,28.3247628685592,1.2790705152136,11.1126733352997,1.2790705152136
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 42:8","PC",3,3,1952.82679633333,47.8332852311033,2.44943818473385,10.9310623544879,2.44943818473385
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 42:9","PC",3,3,2119.27347933333,177.935242038652,8.3960491071037,11.0460332417753,8.3960491071037
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-28:0","PC",3,3,2429.60683933333,407.305536894358,16.7642570929756,11.2331435913141,16.7642570929756
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-28:1","PC",3,3,1937.900135,250.290032104038,12.915527873888,10.9120334216501,12.915527873888
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-30:0","PC",3,3,10946.2607023333,2303.42352803832,21.0430172519764,13.3965154996053,21.0430172519764
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-30:1","PC",3,3,4878.773702,918.005030969793,18.8163068640275,12.2347888468051,18.8163068640275
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-32:0","PC",3,3,32966.7952733333,9157.00858624381,27.7764596477197,14.9714562220589,27.7764596477197
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-32:1","PC",3,3,40698.7231833333,10340.890266613,25.4083898898523,15.2826354075169,25.4083898898523
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-32:2","PC",3,3,6918.45382833333,1759.75090851968,25.4356096345245,12.7229762632834,25.4356096345245
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-32:3","PC",3,3,1821.55345766667,213.346531642959,11.7123398572253,10.8245872067665,11.7123398572253
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-34:0","PC",3,3,20088.6749233333,4523.40696158422,22.5171992620091,14.2689174340684,22.5171992620091
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-34:1","PC",3,3,73841.0456233333,19840.1585064245,26.8687399249871,16.1378353944846,26.8687399249871
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-34:2","PC",3,3,18991.7279433333,4224.9202889585,22.2461078926817,14.1894879914105,22.2461078926817
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-34:3","PC",3,3,3183.67355633333,427.437975005888,13.4259360277557,11.6280625673935,13.4259360277557
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-36:1","PC",3,3,26923.32162,6469.32001544781,24.0286845239856,14.6871839194617,24.0286845239856
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-36:2","PC",3,3,20268.9814933333,3083.66815360641,15.2137301749506,14.295728922661,15.2137301749506
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-36:3","PC",3,3,7676.50719966667,1162.5462082654,15.1442078803219,12.8950701848996,15.1442078803219
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-36:4","PC",3,3,8489.08065366667,1377.80037031744,16.2302659914337,13.0391708592697,16.2302659914337
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-36:5","PC",3,3,4583.25369633333,442.533642384414,9.65544723693667,12.1577840827717,9.65544723693667
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-36:6","PC",3,3,3087.79356033333,235.340993163948,7.6216556763122,11.5895018595222,7.6216556763122
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-38:1","PC",3,3,4606.46031166667,908.55508864533,19.7234975919418,12.1507727663142,19.7234975919418
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-38:2","PC",3,3,5231.86703366667,1224.314783616,23.4011066362662,12.3272443987927,23.4011066362662
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-38:3","PC",3,3,3898.186947,489.47168677268,12.5563933548485,11.9209374774049,12.5563933548485
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-38:4","PC",3,3,5417.44703533333,1008.00966485656,18.6067285620363,12.3860425637995,18.6067285620363
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-38:5","PC",3,3,7505.09386966667,1659.39772785633,22.110286115982,12.8514882004897,22.110286115982
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-38:6","PC",3,3,6627.67374933333,871.454428239845,13.1487224809082,12.6855983107172,13.1487224809082
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-40:1","PC",3,3,2556.32684333333,279.682703052299,10.9408037466604,11.3140465201095,10.9408037466604
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-40:2","PC",3,3,2382.57349866667,460.627745150855,19.3332019099781,11.2010120795059,19.3332019099781
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-40:3","PC",3,3,2107.61347433333,34.9861714314869,1.65998992972625,11.0412626595675,1.65998992972625
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-40:4","PC",3,3,2408.113505,78.6441666278353,3.26579982482326,11.2331794163994,3.26579982482326
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-40:5","PC",3,3,3621.05357466667,465.358894064915,12.8514777389825,11.8144204915648,12.8514777389825
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-40:6","PC",3,3,4460.62695733333,135.662213449287,3.0413261352478,12.1225856752395,3.0413261352478
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-42:5","PC",3,3,2024.77347166667,107.858778508846,5.3269553368883,10.982175236248,5.3269553368883
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC O-42:6","PC",3,3,2116.54681766667,282.625924712108,13.3531619689699,11.0385160946271,13.3531619689699
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC(16:0/8:0(COOH))","PC",3,3,2087.15348433333,286.043099147933,13.7049383907336,11.017718618747,13.7049383907336
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PE 32:1","PE",3,3,2701.96019733333,318.554296617235,11.7897479367619,11.3933617121056,11.7897479367619
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PE 34:0","PE",3,3,2383.32016266667,231.851974505935,9.72810863339983,11.2141822270486,9.72810863339983
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PE 34:1","PE",3,3,6618.260475,867.922582847305,13.1140589906641,12.6835190376908,13.1140589906641
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PE 34:2","PE",3,3,3229.93357066667,468.359502950118,14.5005924333437,11.6474001367928,14.5005924333437
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PE 36:0","PE",3,3,2739.340191,198.399756162856,7.24261107892665,11.4170135722435,7.24261107892665
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PE 36:1","PE",3,3,7737.560501,1239.07633104538,16.0137853640723,12.9048996106817,16.0137853640723
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PE 36:2","PE",3,3,8382.95398966667,1430.36808859878,17.0628168824728,13.0184858142474,17.0628168824728
