"Experiment","Genotype","Treatment","Condition","LipidClass","n_lipids_with_CV","median_CV","mean_CV"
"Recovery","RDH12","200 µM","Recovery | RDH12 | 200 µM","LPE",4,5.633456240873,6.84635080240521
"Recovery","RDH12","200 µM","Recovery | RDH12 | 200 µM","Other",1,12.1182417785854,12.1182417785854
"Recovery","RDH12","200 µM","Recovery | RDH12 | 200 µM","PC",118,17.1959537651785,17.5566666555118
"Recovery","RDH12","200 µM","Recovery | RDH12 | 200 µM","PE",48,9.80577339387996,11.2576732682944
"Recovery","RDH12","200 µM","Recovery | RDH12 | 200 µM","PG",4,6.11620739832474,7.33282149010139
"Recovery","RDH12","200 µM","Recovery | RDH12 | 200 µM","PI",23,16.694260188442,19.6562442471497
"Recovery","RDH12","200 µM","Recovery | RDH12 | 200 µM","PS",21,11.3663247101249,12.7432755337392
"Recovery","RDH12","200 µM","Recovery | RDH12 | 200 µM","SM",25,9.97598093547767,16.8103157811582
"Recovery","RDH12","200 µM","Recovery | RDH12 | 200 µM","TG",32,7.46945926555755,13.6274847115399
"Recovery","WT","Veh","Recovery | WT | Veh","CE",15,6.58719580464018,8.92745770420861
"Recovery","WT","Veh","Recovery | WT | Veh","Cer",10,6.96773472366146,10.4960965119547
"Recovery","WT","Veh","Recovery | WT | Veh","DG",49,10.4293304965303,16.3384311653082
"Recovery","WT","Veh","Recovery | WT | Veh","LPC",10,8.23457515966641,15.5281009503735
"Recovery","WT","Veh","Recovery | WT | Veh","LPE",4,9.76023793380605,11.5322061915429
"Recovery","WT","Veh","Recovery | WT | Veh","Other",1,11.2132565432199,11.2132565432199
"Recovery","WT","Veh","Recovery | WT | Veh","PC",118,16.8953815387216,19.493650840339
"Recovery","WT","Veh","Recovery | WT | Veh","PE",48,9.28783074281051,10.9064381881214
"Recovery","WT","Veh","Recovery | WT | Veh","PG",4,8.88306378015306,9.76454189744385
"Recovery","WT","Veh","Recovery | WT | Veh","PI",23,10.1343059004608,12.0078051032738
"Recovery","WT","Veh","Recovery | WT | Veh","PS",21,14.7426278060718,17.8412330578531
"Recovery","WT","Veh","Recovery | WT | Veh","SM",25,47.8359260712991,50.1757493941103
"Recovery","WT","Veh","Recovery | WT | Veh","TG",32,7.09789936514837,8.88433974030967
"Recovery","WT","100 µM","Recovery | WT | 100 µM","CE",15,7.19996752523224,8.99626928388962
"Recovery","WT","100 µM","Recovery | WT | 100 µM","Cer",10,12.4455797133369,15.3627001166184
"Recovery","WT","100 µM","Recovery | WT | 100 µM","DG",49,19.6732279940873,21.6884391862926
"Recovery","WT","100 µM","Recovery | WT | 100 µM","LPC",10,8.05472099704066,9.56951608395407
"Recovery","WT","100 µM","Recovery | WT | 100 µM","LPE",4,14.7349525859347,14.1565195888079
"Recovery","WT","100 µM","Recovery | WT | 100 µM","Other",1,3.88916313068117,3.88916313068117
"Recovery","WT","100 µM","Recovery | WT | 100 µM","PC",118,20.9291622665608,22.6587007566555
"Recovery","WT","100 µM","Recovery | WT | 100 µM","PE",48,9.58520204761416,9.74902082865294
"Recovery","WT","100 µM","Recovery | WT | 100 µM","PG",4,3.69439864313167,8.08809334427014
"Recovery","WT","100 µM","Recovery | WT | 100 µM","PI",23,13.4166945807595,14.5657733558124
"Recovery","WT","100 µM","Recovery | WT | 100 µM","PS",21,13.5834182560731,16.0248826518063
"Recovery","WT","100 µM","Recovery | WT | 100 µM","SM",25,61.3406257655542,71.545994531301
"Recovery","WT","100 µM","Recovery | WT | 100 µM","TG",32,7.13932352297207,12.8198271187725
"Recovery","WT","200 µM","Recovery | WT | 200 µM","CE",15,7.41359087028777,8.46335463446386
"Recovery","WT","200 µM","Recovery | WT | 200 µM","Cer",10,15.1945884972153,18.5601376527367
"Recovery","WT","200 µM","Recovery | WT | 200 µM","DG",49,12.5196281520476,14.6448496222744
"Recovery","WT","200 µM","Recovery | WT | 200 µM","LPC",10,16.028131087758,14.6980766944259
"Recovery","WT","200 µM","Recovery | WT | 200 µM","LPE",4,10.6190811550029,12.2971474117404
"Recovery","WT","200 µM","Recovery | WT | 200 µM","Other",1,6.37702693995907,6.37702693995907
"Recovery","WT","200 µM","Recovery | WT | 200 µM","PC",118,9.67654403739443,11.3696953972446
"Recovery","WT","200 µM","Recovery | WT | 200 µM","PE",48,6.92858352503672,8.02371092626756
"Recovery","WT","200 µM","Recovery | WT | 200 µM","PG",4,8.01306190462154,8.42918933398479
"Recovery","WT","200 µM","Recovery | WT | 200 µM","PI",23,6.88074801894907,6.80727795825058
"Recovery","WT","200 µM","Recovery | WT | 200 µM","PS",21,7.85285383248217,8.96080856227746
"Recovery","WT","200 µM","Recovery | WT | 200 µM","SM",25,14.7164587195885,24.4087355000314
"Recovery","WT","200 µM","Recovery | WT | 200 µM","TG",32,4.80735452186551,9.48504978356871
