"Lipid","LipidClass","sample","Intensity","Treatment","Rep","Genotype","Treatment_raw","Genotype_raw","Experiment","Condition","Detected","log2Intensity"
"[CE 18:1 +NH4]","CE","s6",3536.240231,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.7880005707884
"[CE 18:1 +NH4]","CE","s7",3498.16024,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.7723806608738
"[CE 18:1 +NH4]","CE","s8",2293.720142,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.1634736627732
"[CE 18:1 +NH4]","CE","s9",4051.200268,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.9841336899799
"[CE 18:3 +Na]","CE","s1",2582.980217,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.3348208785844
"[CE 18:3 +Na]","CE","s2",1862.660137,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.8631487472433
"[CE 18:3 +Na]","CE","s3",2053.16013,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.0036304351227
"[CE 18:3 +Na]","CE","s4",1706.600113,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.7369093333164
"[CE 18:3 +Na]","CE","s5",2113.360153,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.0453229329907
"[CE 18:3 +Na]","CE","s6",1835.080139,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.8416273524245
"[CE 18:3 +Na]","CE","s7",2226.920162,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.1208341212111
"[CE 18:3 +Na]","CE","s8",1635.380104,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.6754102784422
"[CE 18:3 +Na]","CE","s9",2285.720173,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.1584330785313
"[CE 20:1 +Na]","CE","s1",1605.700104,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.6489867510707
"[CE 20:1 +Na]","CE","s2",1523.680096,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.5733443184903
"[CE 20:1 +Na]","CE","s3",1809.920124,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.8217103138756
"[CE 20:1 +Na]","CE","s4",1942.28014,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.9235355839985
"[CE 20:1 +Na]","CE","s5",1529.800098,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.5791274300859
"[CE 20:1 +Na]","CE","s6",2683.220196,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.3897497375617
"[CE 20:1 +Na]","CE","s7",1691.560116,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.7241387343414
"[CE 20:1 +Na]","CE","s8",2205.460152,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.1068639788799
"[CE 20:1 +Na]","CE","s9",1943.980145,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.9247977685974
"[CE 22:6 +NH4]","CE","s1",2146.400173,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.0677033606545
"[CE 22:6 +NH4]","CE","s2",2040.600143,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.994777797642
"[CE 22:6 +NH4]","CE","s3",2199.660172,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.1030649420305
"[CE 22:6 +NH4]","CE","s4",1818.00013,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.8281365873571
"[CE 22:6 +NH4]","CE","s5",2012.680145,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.9749022021337
"[CE 22:6 +NH4]","CE","s6",2387.14019,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.221067578974
"[CE 22:6 +NH4]","CE","s7",1851.240143,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.8542763385109
"[CE 22:6 +NH4]","CE","s8",1989.920124,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.9584948063748
