"UNIPROT","ENTREZID","SYMBOL"
"Q9BV73","11190","CEP250"
"O15078","80184","CEP290"
"Q5VT06","9857","CEP350"
"O95684","11116","CEP43"
"Q9C0F1","80817","CEP44"
"Q53EZ4","55165","CEP55"
"Q86XR8","9702","CEP57"
"Q96MT8","80254","CEP63"
"Q76N32","23177","CEP68"
"Q8TAP6","79959","CEP76"
"Q5JTW2","84131","CEP78"
"Q9Y592","51134","CEP83"
"Q6P2H3","64793","CEP85"
"Q5SZL2","387119","CEP85L"
"Q96GE4","90799","CEP95"
"Q8IW35","79598","CEP97"
"Q9Y6K0","10390","CEPT1"
"Q5T4B2","51148","CERCAM"
"P27544","10715","CERS1"
"Q96G23","29956","CERS2"
"Q8N5B7","91012","CERS5"
"Q6ZMG9","253782","CERS6"
"Q9Y5P4","10087","CERT1"
"O00748","8824","CES2"
"Q6UWW8","23491","CES3"
"P41208","1069","CETN2"
"O15182","1070","CETN3"
"Q9Y6A4","29105","CFAP20"
"P57076","56683","CFAP298"
"Q96G28","112942","CFAP36"
"O43822","755","CFAP410"
"Q96NL8","157657","CFAP418"
"Q9UEE9","10428","CFDP1"
"P05156","3426","CFI"
"P23528","1072","CFL1"
"Q9Y281","1073","CFL2"
"Q9UFW8","8545","CGGBP1"
"Q9P2M7","57530","CGN"
"Q9BUX1","79094","CHAC1"
"Q8WUX2","494143","CHAC2"
"Q13111","10036","CHAF1A"
"Q13112","8208","CHAF1B"
"Q96JM3","283489","CHAMP1"
"Q96BP2","118487","CHCHD1"
"Q9Y6H1","51142","CHCHD2"
"Q9NX63","54927","CHCHD3"
"Q9BSY4","84269","CHCHD5"
"Q9BRQ6","84303","CHCHD6"
"Q9BUK0","79145","CHCHD7"
"O14646","1105","CHD1"
"Q86WJ1","9557","CHD1L"
"O14647","1106","CHD2"
"Q12873","1107","CHD3"
"Q14839","1108","CHD4"
"Q8TD26","84181","CHD6"
"Q9P2D1","55636","CHD7"
"Q9HCK8","57680","CHD8"
"Q3L8U1","80205","CHD9"
"Q8NE62","55349","CHDH"
"O14757","1111","CHEK1"
"O96017","11200","CHEK2"
"Q8IWX8","10523","CHERP"
"Q96EP1","55743","CHFR"
"Q9UKJ5","26511","CHIC2"
"Q9BWS9","66005","CHID1"
"P24386","1121","CHM"
"P26374","1122","CHML"
"Q9HD42","5119","CHMP1A"
"Q7LBR1","57132","CHMP1B"
"O43633","27243","CHMP2A"
"Q9UQN3","25978","CHMP2B"
"Q9Y3E7","51652","CHMP3"
"Q9Y3E7","100526767","RNF103-CHMP3"
"Q9BY43","29082","CHMP4A"
"Q9H444","128866","CHMP4B"
"Q96CF2","92421","CHMP4C"
"Q9NZZ3","51510","CHMP5"
"Q96FZ7","79643","CHMP6"
"Q8WUX9","91782","CHMP7"
"P15882","1123","CHN1"
"Q9UHD1","26973","CHORDC1"
"Q99653","11261","CHP1"
"Q9NRG0","54108","CHRAC1"
"O43529","9486","CHST10"
"Q9NRB3","55501","CHST12"
"Q8NCH0","113189","CHST14"
"Q9NS84","56548","CHST7"
"Q8WVB6","63922","CHTF18"
"P0CG13","54921","CHTF8"
"Q9Y3Y2","26097","CHTOP"
"O15111","1147","CHUK"
"Q8WUH1","91612","CHURC1"
"O76071","9391","CIAO1"
"Q9H5X1","84191","CIAO2A"
"Q9Y3D0","51647","CIAO2B"
"Q9H6Q4","64428","CIAO3"
"Q6FI81","57019","CIAPIN1"
"A1XBS5","137392","CIBAR1"
"Q96RK0","23152","CIC"
"O75339","8483","CILP"
"Q9BW66","51550","CINP"
"Q8TCG1","57650","CIP2A"
"Q86X95","9541","CIR1"
"Q14011","1153","CIRBP"
"Q8N5K1","493856","CISD2"
"O14578","11113","CIT"
"Q9ULV3","25792","CIZ1"
"Q8WWK9","26586","CKAP2"
"Q8IYA6","150468","CKAP2L"
"Q07065","10970","CKAP4"
"Q14008","9793","CKAP5"
"P12277","1152","CKB"
"P12532","1159","CKMT1B"
"P12532","548596","CKMT1A"
"Q7Z460","23332","CLASP1"
"O75122","23122","CLASP2"
"Q8N2M8","11129","CLASRP"
"Q96S66","23155","CLCC1"
"P51790","1182","CLCN3"
"P51797","1185","CLCN6"
"P51798","1186","CLCN7"
"Q9NY35","56650","CLDND1"
"P05452","7123","CLEC3B"
"O14967","1047","CLGN"
"O00299","1192","CLIC1"
"Q9Y696","25932","CLIC4"
"Q14677","9685","CLINT1"
"P30622","6249","CLIP1"
"Q9UDT6","7461","CLIP2"
"P49759","1195","CLK1"
"P49760","1196","CLK2"
"Q9HAZ1","57396","CLK4"
"Q96JQ2","79789","CLMN"
"Q13286","1201","CLN3"
"O75503","1203","CLN5"
"Q9NWW5","54982","CLN6"
"P54105","1207","CLNS1A"
"Q92989","10978","CLP1"
"Q9H078","81570","CLPB"
"Q16740","8192","CLPP"
"O96005","1209","CLPTM1"
"Q96KA5","81037","CLPTM1L"
"O76031","10845","CLPX"
"Q9HAW4","63967","CLSPN"
"Q9BQT9","9746","CLSTN3"
"P09496","1211","CLTA"
"P09497","1212","CLTB"
"Q00610","1213","CLTC"
"Q96AJ1","23059","CLUAP1"
"O75153","23277","CLUH"
"Q8N0X4","171425","CLYBL"
"Q8NFW8","55907","CMAS"
"Q96DG6","134147","CMBL"
"Q7Z7K0","152100","CMC1"
"Q9NRP2","56942","CMC2"
"P56277","100272147","CMC4"
"P30085","51727","CMPK1"
"Q9BQ75","84319","CMSS1"
"Q8N1G2","23070","CMTR1"
"Q96KP4","55748","CNDP2"
"Q9P003","29097","CNIH4"
"Q99439","1265","CNN2"
"Q15417","1266","CNN3"
"Q9H8M5","54805","CNNM2"
"Q8NE01","26505","CNNM3"
"Q6P4Q7","26504","CNNM4"
"A5YKK6","23019","CNOT1"
"Q9H9A5","25904","CNOT10"
"Q9UKZ1","55571","CNOT11"
"Q9NZN8","4848","CNOT2"
"O75175","4849","CNOT3"
"O95628","4850","CNOT4"
"Q9UIV1","29883","CNOT7"
"P09543","1267","CNP"
"Q9Y2B0","10330","CNPY2"
"Q9BT09","10695","CNPY3"
"Q8N129","245812","CNPY4"
"Q96F85","25927","CNRIP1"
"P26992","1271","CNTFR"
"Q12860","1272","CNTN1"
"P78357","8506","CNTNAP1"
"Q7Z7A1","11064","CNTRL"
"Q8N137","116840","CNTROB"
"Q9GZY4","55744","COA1"
"Q9Y2R0","28958","COA3"
"Q9NYJ1","51287","COA4"
"Q86WW8","493753","COA5"
"Q5JTJ3","388753","COA6"
"Q96BR5","65260","COA7"
"Q13057","80347","COASY"
"O75128","23242","COBL"
"Q53SF7","22837","COBLL1"
"O43405","1690","COCH"
"Q8WTW3","9382","COG1"
"Q14746","22796","COG2"
"Q96JB2","83548","COG3"
"Q9H9E3","25839","COG4"
"Q9UP83","10466","COG5"
"Q9Y2V7","57511","COG6"
"P83436","91949","COG7"
"Q96MW5","84342","COG8"
"P38432","8161","COIL"
"Q05707","7373","COL14A1"
"P39060","80781","COL18A1"
"P02458","1280","COL2A1"
"P02462","1282","COL4A1"
"P08572","1284","COL4A2"
"P29400","1287","COL4A5"
"P12109","1291","COL6A1"
"P12110","1292","COL6A2"
"Q8NBJ5","79709","COLGALT1"
"Q8IYK4","23127","COLGALT2"
"Q8N668","150684","COMMD1"
"Q9Y6G5","51397","COMMD10"
"Q86X83","51122","COMMD2"
"Q9H0A8","54939","COMMD4"
"Q7Z4G1","170622","COMMD6"
"Q86VX2","149951","COMMD7"
"P21964","1312","COMT"
"Q86VU5","118881","COMTD1"
"P53621","1314","COPA"
"P53618","1315","COPB1"
"P35606","9276","COPB2"
"O14579","11316","COPE"
"Q9Y678","22820","COPG1"
"Q9UBF2","26958","COPG2"
"P61201","9318","COPS2"
"Q9UNS2","8533","COPS3"
"Q9BT78","51138","COPS4"
"Q92905","10987","COPS5"
"Q7L5N1","10980","COPS6"
"Q9UBW8","50813","COPS7A"
"Q9H9Q2","64708","COPS7B"
"Q99627","10920","COPS8"
"P61923","22818","COPZ1"
"Q9NZJ6","51805","COQ3"
"Q5HYK3","84274","COQ5"
"Q9Y2Z9","51004","COQ6"
"Q99807","10229","COQ7"
"Q8NI60","56997","COQ8A"
"Q96D53","79934","COQ8B"
"P31146","11151","CORO1A"
"Q9BR76","57175","CORO1B"
"Q9ULV4","23603","CORO1C"
"P57737","79585","CORO7"
"Q14019","23406","COTL1"
"Q9Y6N1","1353","COX11"
"Q96I36","84987","COX14"
"Q7KZN9","1355","COX15"
"Q9P0S2","51241","COX16"
"Q14061","10063","COX17"
"Q49B96","90639","COX19"
"Q5RI15","116228","COX20"
"P13073","1327","COX4I1"
"P20674","9377","COX5A"
"P10606","1329","COX5B"
"P14854","1340","COX6B1"
"P09669","1345","COX6C"
"P14406","1347","COX7A2"
"O14548","9167","COX7A2L"
"P15954","1350","COX7C"
"O75976","1362","CPD"
"P16870","1363","CPE"
"Q17RY0","80315","CPEB4"
"P14384","1368","CPM"
"Q99829","8904","CPNE1"
"Q96FN4","221184","CPNE2"
"O75131","8895","CPNE3"
"P36551","1371","CPOX"
"Q9BRF8","55313","CPPED1"
"Q9Y646","10404","CPQ"
"P31327","1373","CPS1"
"Q10570","29894","CPSF1"
"Q9P2I0","53981","CPSF2"
"Q9UKF6","51692","CPSF3"
"O95639","10898","CPSF4"
"Q16630","11052","CPSF6"
"Q8N684","79869","CPSF7"
"P50416","1374","CPT1A"
"P23786","1376","CPT2"
"Q5TA50","80772","CPTP"
"Q9H3G5","54504","CPVL"
"Q6ZU35","57482","CRACD"
"P78560","8738","CRADD"
"Q96RY5","57585","CRAMP1"
"P43155","1384","CRAT"
"O75575","27297","CRCP"
"P16220","1385","CREB1"
"Q02930","9586","CREB5"
"Q92793","1387","CREBBP"
"O75629","8804","CREG1"
"Q96HD1","78987","CRELD1"
"Q6UXH1","79174","CRELD2"
"P52943","1397","CRIP2"
"Q9P021","9419","CRIPT"
"Q9H336","83690","CRISPLD1"
"P46108","1398","CRK"
"P46109","1399","CRKL"
"Q8IUI8","51379","CRLF3"
"Q9BZJ0","51340","CRNKL1"
"Q5TZA2","9696","CROCC"
"Q9UKG9","54677","CROT"
"O75718","10491","CRTAP"
"Q6UUV9","23373","CRTC1"
"Q53ET0","200186","CRTC2"
"Q6UUV7","64784","CRTC3"
"Q68DQ2","131544","CRYBG3"
"Q08257","1429","CRYZ"
"O95825","9946","CRYZL1"
"O75390","1431","CS"
"O75534","7812","CSDE1"
"P55060","1434","CSE1L"
"Q8N6G5","55454","CSGALNACT2"
"P41240","1445","CSK"
"P48729","1452","CSNK1A1"
"P48730","1453","CSNK1D"
"P49674","1454","CSNK1E"
"P49674","102800317","TPTEP2-CSNK1E"
"P78368","1455","CSNK1G2"
"Q9Y6M4","1456","CSNK1G3"
"P68400","1457","CSNK2A1"
"P19784","1459","CSNK2A2"
"P67870","1460","CSNK2B"
"Q1MSJ5","79848","CSPP1"
"P21291","1465","CSRP1"
"Q16527","1466","CSRP2"
"P01034","1471","CST3"
"P04080","1476","CSTB"
"Q05048","1477","CSTF1"
"P33240","1478","CSTF2"
"Q9H0L4","23283","CSTF2T"
"Q12996","1479","CSTF3"
"Q13363","1487","CTBP1"
"P56545","1488","CTBP2"
"Q01459","1486","CTBS"
"P49711","10664","CTCF"
"O95476","23399","CTDNEP1"
"Q9Y5B0","9150","CTDP1"
"O15194","10217","CTDSPL"
"Q05D32","51496","CTDSPL2"
"Q16619","1489","CTF1"
"P32929","1491","CTH"
"O43310","9811","CTIF"
"P35221","1495","CTNNA1"
"P26232","1496","CTNNA2"
"Q9UBT7","8727","CTNNAL1"
"P35222","1499","CTNNB1"
"Q8WYA6","56259","CTNNBL1"
"O60716","1500","CTNND1"
"P17812","1503","CTPS1"
"Q9NRF8","56474","CTPS2"
"Q6PD62","9646","CTR9"
"P10619","5476","CTSA"
"P07858","1508","CTSB"
"P53634","1075","CTSC"
"Q9UBX1","8722","CTSF"
"P09668","1512","CTSH"
"P07711","1514","CTSL"
"O60911","1515","CTSV"
"Q14247","2017","CTTN"
"Q8WZ74","83992","CTTNBP2"
"Q9P2B4","55917","CTTNBP2NL"
"Q7Z7A3","90353","CTU1"
"Q2VPK5","348180","CTU2"
"Q9NWM3","404093","CUEDC1"
"Q9H467","79004","CUEDC2"
"Q13616","8454","CUL1"
"Q13617","8453","CUL2"
"Q13618","8452","CUL3"
"Q13619","8451","CUL4A"
"Q13620","8450","CUL4B"
"Q93034","8065","CUL5"
"Q96C57","64897","C12orf43"
"O60888","51596","CUTA"
"Q9NTM9","51076","CUTC"
"P39880","1523","CUX1"
"Q9P013","51503","CWC15"
"Q9NXE8","54883","CWC25"
"Q6UX04","10283","CWC27"
"Q69YN2","55280","CWF19L1"
"Q2TBE0","143884","CWF19L2"
"P78310","1525","CXADR"
"Q8TB03","159013","CXorf38"
"Q9P0U4","30827","CXXC1"
"Q7LFL8","51523","CXXC5"
"O14569","11068","CYB561D2"
"O43169","80777","CYB5B"
"Q9UHQ9","51706","CYB5R1"
"P00387","1727","CYB5R3"
"Q7L1T6","51167","CYB5R4"
"P08574","1537","CYC1"
"Q7L576","23191","CYFIP1"
"Q96F07","26999","CYFIP2"
"Q6UW02","57404","CYP20A1"
"Q96SQ9","29785","CYP2S1"
"Q16850","1595","CYP51A1"
"Q9NUQ9","51571","CYRIB"
"Q15438","9267","CYTH1"
"Q9NWV4","54987","CZIB"
"Q8N465","728294","D2HGDH"
"Q9Y4D1","23002","DAAM1"
"Q5VWQ8","153090","DAB2IP"
"Q9UI36","1602","DACH1"
"P61803","1603","DAD1"
"Q14118","1605","DAG1"
"Q8NCG7","221955","DAGLB"
"P51397","1611","DAP"
"P51398","7818","DAP3"
"O43293","1613","DAPK3"
"P14868","1615","DARS1"
"Q6PI48","55157","DARS2"
"Q9UER7","1616","DAXX"
"Q96EP5","26528","DAZAP1"
"Q9UBU7","10926","DBF4"
"P07108","1622","DBI"
"Q16643","1627","DBN1"
"Q9UJU6","28988","DBNL"
"Q9UK59","51163","DBR1"
"P11182","1629","DBT"
"Q9Y4B6","9730","DCAF1"
"Q5QP82","79269","DCAF10"
"Q8TEB1","80344","DCAF11"
"Q5T6F0","25853","DCAF12"
"Q9NV06","25879","DCAF13"
"Q66K64","90379","DCAF15"
"Q9NXF7","54876","DCAF16"
"Q8WV16","26094","DCAF4"
"Q96JK2","8816","DCAF5"
"Q58WW2","55827","DCAF6"
"P61962","10238","DCAF7"
"Q5TAQ9","50717","DCAF8"
"Q8WVC6","79877","DCAKD"
"Q96PD2","131566","DCBLD2"
"P27707","1633","DCK"
"O15075","9201","DCLK1"
"Q8N568","166614","DCLK2"
"Q6PJP8","9937","DCLRE1A"
"Q9NPI6","55802","DCP1A"
"Q8IZD4","196513","DCP1B"
"Q8IU60","167227","DCP2"
"Q96C86","28960","DCPS"
"Q14203","1639","DCTN1"
"Q13561","10540","DCTN2"
"O75935","11258","DCTN3"
"Q9UJW0","51164","DCTN4"
"Q9BTE1","84516","DCTN5"
"O00399","10671","DCTN6"
"Q9H773","79077","DCTPP1"
"Q96GG9","54165","DCUN1D1"
"Q8IWE4","123879","DCUN1D3"
"Q92564","23142","DCUN1D4"
"Q9BTE7","84259","DCUN1D5"
"Q7Z4W1","51181","DCXR"
"Q9BW61","79016","DDA1"
"O94760","23576","DDAH1"
"O95865","23564","DDAH2"
"Q16531","1642","DDB1"
"Q92466","1643","DDB2"
"Q8NEL9","80821","DDHD1"
"O94830","23259","DDHD2"
"Q5TDH0","84301","DDI2"
"P39656","1650","DDOST"
"Q08345","780","DDR1"
"Q96HY6","65992","DDRGK1"
"P30046","1652","DDT"
"Q92499","1653","DDX1"
"Q13206","1662","DDX10"
"Q92841","10521","DDX17"
"Q9NVP1","8886","DDX18"
"Q9UHI6","11218","DDX20"
"Q9NR30","9188","DDX21"
"Q9BUQ8","9416","DDX23"
"Q9GZR7","57062","DDX24"
"Q96GQ7","55661","DDX27"
"Q9H8H2","64794","DDX31"
"O00148","10212","DDX39A"
"Q13838","7919","DDX39B"
"O00571","1654","DDX3X"
"Q9UJV9","51428","DDX41"
"Q86XP3","11325","DDX42"
"Q7L014","9879","DDX46"
"Q9H0S4","51202","DDX47"
"Q9Y6V7","54555","DDX49"
"P17844","1655","DDX5"
"Q9BQ39","79009","DDX50"
"Q8N8A6","317781","DDX51"
"Q9Y2R4","11056","DDX52"
"Q8TDD1","79039","DDX54"
"Q8NHQ9","57696","DDX55"
"Q9NY93","54606","DDX56"
"Q5T1V6","83479","DDX59"
"P26196","1656","DDX6"
"O75398","10522","DEAF1"
"Q16698","1666","DECR1"
"Q9NUI1","26063","DECR2"
"O15121","8560","DEGS1"
"P35659","7913","DEK"
"Q8TCE6","404636","DENND10"
"Q8TEH3","57706","DENND1A"
"Q7Z401","10260","DENND4A"
"Q5VZ89","55667","DENND4C"
"Q8IWF6","201627","DENND6A"
"O43583","8562","DENR"
"Q5TB30","55635","DEPDC1"
"Q8WUY9","55789","DEPDC1B"
"Q96QD5","91614","DEPDC7"
"Q9Y315","51071","DERA"
"Q9BUN8","79139","DERL1"
"Q9GZP9","51009","DERL2"
"P0CG12","113455421","DERPC"
"Q6ICB0","27351","DESI1"
"Q9BSY9","51029","DESI2"
"O00273","1676","DFFA"
"O76075","1677","DFFB"
"O75907","8694","DGAT1"
"Q8WYQ5","54487","DGCR8"
"P52429","8526","DGKE"
"Q86XP1","160851","DGKH"
"Q13574","8525","DGKZ"
"Q16854","1716","DGUOK"
"Q15392","1718","DHCR24"
"Q9UBM7","1717","DHCR7"
"P00374","1719","DHFR"
"Q02127","1723","DHODH"
"P49366","1725","DHPS"
"Q96LJ7","115817","DHRS1"
"Q6UWP2","79154","DHRS11"
"Q9BTZ2","10901","DHRS4"
"Q9Y394","51635","DHRS7"
"Q6IAN0","25979","DHRS7B"
"Q8N5I4","207063","DHRSX"
"Q96HY7","55526","DHTKD1"
"O43143","1665","DHX15"
"O60231","8449","DHX16"
"Q7Z478","54505","DHX29"
"Q7L2E3","22907","DHX30"
"Q9H6R0","56919","DHX33"
"Q14147","9704","DHX34"
"Q9H5Z1","60625","DHX35"
"Q9H2U1","170506","DHX36"
"Q8IY37","57647","DHX37"
"Q92620","9785","DHX38"
"Q8IX18","79665","DHX40"
"Q6P158","90957","DHX57"
"Q14562","1659","DHX8"
"Q08211","1660","DHX9"
"Q9NR28","56616","DIABLO"
"O60610","1729","DIAPH1"
"O60879","1730","DIAPH2"
"Q9NSV4","81624","DIAPH3"
"Q9UPY3","23405","DICER1"
"Q9BTC0","11083","DIDO1"
"Q9UNQ2","27292","DIMT1"
"Q14689","23181","DIP2A"
"Q9P265","57609","DIP2B"
"Q9Y2E4","22982","DIP2C"
"Q5VUD6","138311","DIPK1B"
"Q8NDZ4","205428","DIPK2A"
"O95057","148252","DIRAS1"
"Q9Y2L1","22894","DIS3"
"Q8TF46","115752","DIS3L"
"Q8IYB7","129563","DIS3L2"
"Q9NRI5","27185","DISC1"
"O60832","1736","DKC1"
"P10515","1737","DLAT"
"P09622","1738","DLD"
"Q12959","1739","DLG1"
"Q92796","1741","DLG3"
"Q8TDM6","9231","DLG5"
"Q9Y2H0","22839","DLGAP4"
"Q15398","9787","DLGAP5"
"P36957","1743","DLST"
"Q9NW81","55101","DMAC2"
"Q99766","27109","DMAC2L"
"Q9NPF5","55929","DMAP1"
"P11532","1756","DMD"
"Q96MX6","116143","DNAAF10"
"Q9NVR5","55172","DNAAF2"
"Q86Y56","54919","DNAAF5"
"P31689","3301","DNAJA1"
"O60884","10294","DNAJA2"
"Q96EY1","9093","DNAJA3"
"P25685","3337","DNAJB1"
"Q9UBS4","51726","DNAJB11"
"Q9NXW2","54788","DNAJB12"
"Q8TBM8","79982","DNAJB14"
"P25686","3300","DNAJB2"
"Q9UDY4","11080","DNAJB4"
"O75190","10049","DNAJB6"
"Q9UBS3","4189","DNAJB9"
"Q96KC8","64215","DNAJC1"
"Q8IXB1","54431","DNAJC10"
"Q9NVH1","55735","DNAJC11"
"O75165","23317","DNAJC13"
"Q9Y2G8","23341","DNAJC16"
"Q9NVM6","55192","DNAJC17"
"Q96DA6","131118","DNAJC19"
"Q99543","27000","DNAJC2"
"Q5F1R6","134218","DNAJC21"
"Q9NX36","54943","DNAJC28"
"Q13217","5611","DNAJC3"
"Q9H3Z4","80331","DNAJC5"
"O75061","9829","DNAJC6"
"Q99615","7266","DNAJC7"
"O75937","22826","DNAJC8"
"Q8WXX5","23234","DNAJC9"
"Q4LDG9","83544","DNAL1"
"O00115","1777","DNASE2"
"Q05193","1759","DNM1"
"O00429","10059","DNM1L"
"P50570","1785","DNM2"
"Q9UQ16","26052","DNM3"
"Q6XZF7","23268","DNMBP"
"P26358","1786","DNMT1"
"Q9Y6K1","1788","DNMT3A"
"Q9UBC3","1789","DNMT3B"
"Q9ULA0","23549","DNPEP"
"O43598","10591","DNPH1"
"Q9H147","116092","DNTTIP1"
"Q5QJE6","30836","DNTTIP2"
"Q14185","1793","DOCK1"
"Q5JSL3","139818","DOCK11"
"Q9H7D0","80005","DOCK5"
"Q96N67","85440","DOCK7"
"Q9BU89","83475","DOHH"
"Q86YN1","57171","DOLPP1"
"Q9NYP3","29980","DONSON"
"Q9Y3R5","9980","DOP1B"
"Q8TEK3","84444","DOT1L"
"Q9H3H5","1798","DPAGT1"
"Q9BVM2","25911","DPCD"
"Q92782","8193","DPF1"
"Q92785","5977","DPF2"
"Q92784","8110","DPF3"
"Q9BZG8","1801","DPH1"
"Q9BQC3","1802","DPH2"
"Q9H2P9","51611","DPH5"
"O60762","8813","DPM1"
"Q9NY33","10072","DPP3"
"Q6V1X1","54878","DPP8"
"Q86TI2","91039","DPP9"
"Q2PZI1","23333","DPY19L1"
"Q9C005","84661","DPY30"
"Q16555","1808","DPYSL2"
"O14531","10570","DPYSL4"
"Q9BPU6","56896","DPYSL5"
"Q01658","1810","DR1"
"Q14919","10589","DRAP1"
"Q9Y295","4733","DRG1"
"P55039","1819","DRG2"
"Q9NRR4","29102","DROSHA"
"Q02487","1824","DSC2"
"Q14574","1825","DSC3"
"Q9BVC3","79075","DSCC1"
"Q02413","1828","DSG1"
"Q14126","1829","DSG2"
"Q9H410","79980","DSN1"
"P15924","1832","DSP"
"Q03001","667","DST"
"P60981","11034","DSTN"
"Q6XUX3","25778","DSTYK"
"Q8TEA8","92675","DTD1"
"Q96FN9","112487","DTD2"
"Q9NZJ0","51514","DTL"
"Q9Y4J8","1837","DTNA"
"O60941","1838","DTNB"
"Q96EV8","84062","DTNBP1"
"Q8NBA8","285605","DTWD2"
"Q8TDB6","151636","DTX3L"
"P23919","1841","DTYMK"
"Q6P1R4","64118","DUS1L"
"Q9NX74","54920","DUS2"
"Q96G46","56931","DUS3L"
"O75319","8446","DUSP11"
"Q9UNI6","11266","DUSP12"
"Q9NRW4","56940","DUSP22"
"Q9NRW4","124907782","LOC124907782"
"P51452","1845","DUSP3"
"Q99956","1852","DUSP9"
"P33316","1854","DUT"
"O14641","1856","DVL2"
"Q92997","1857","DVL3"
"O77932","1797","DXO"
"Q14204","1778","DYNC1H1"
"O14576","1780","DYNC1I1"
"Q13409","1781","DYNC1I2"
"Q9Y6G9","51143","DYNC1LI1"
"O43237","1783","DYNC1LI2"
"Q8NCM8","79659","DYNC2H1"
"Q8WVS4","55112","DYNC2I1"
"Q96EX3","89891","DYNC2I2"
"Q8TCX1","51626","DYNC2LI1"
"P63167","8655","DYNLL1"
"Q96FJ2","140735","DYNLL2"
"Q9NP97","83658","DYNLRB1"
"P63172","6993","DYNLT1"
"Q8WW35","255758","DYNLT2B"
"P51808","6990","DYNLT3"
"Q13627","1859","DYRK1A"
"Q9Y463","9149","DYRK1B"
"Q86Y13","9666","DZIP3"
"O00716","1871","E2F3"
"O75461","1876","E2F6"
"Q66K89","1877","E4F1"
"Q96JC9","85403","EAF1"
"Q56P03","55837","EAPP"
"Q5JPH6","124454","EARS2"
"O00559","9166","EBAG9"
"Q9H4W6","253738","EBF3"
"Q99848","10969","EBNA1BP2"
"Q15125","10682","EBP"
"O95905","11319","ECD"
"P42892","1889","ECE1"
"Q13011","1891","ECH1"
"Q9NTX5","55862","ECHDC1"
"P30084","1892","ECHS1"
"P42126","1632","ECI1"
"O75521","10455","ECI2"
"Q5VYK3","23392","ECPAS"
"Q9BQ95","51295","ECSIT"
"Q9H8V3","1894","ECT2"
"Q9HAV5","60401","EDA2R"
"Q8WWZ3","128178","EDARADD"
"Q96F86","80153","EDC3"
"Q6P2E9","23644","EDC4"
"Q9BV94","55741","EDEM2"
"Q9BZQ6","80267","EDEM3"
"O60869","8721","EDF1"
"Q3B7T1","26098","EDRF1"
"Q15075","8411","EEA1"
"O75530","8726","EED"
"Q05639","1917","EEF1A2"
"P24534","1933","EEF1B2"
"P29692","1936","EEF1D"
"O43324","9521","EEF1E1"
"P13639","1938","EEF2"
"O00418","29904","EEF2K"
"P57772","60678","EEFSEC"
"Q7L9B9","80820","EEPD1"
"O75071","9813","EFCAB14"
"Q12805","2202","EFEMP1"
"Q9BUP0","80303","EFHD1"
"Q96C19","79180","EFHD2"
"Q7Z2Z2","79631","EFL1"
"P98172","1947","EFNB1"
"P52799","1948","EFNB2"
"Q15768","1949","EFNB3"
"Q15029","9343","EFTUD2"
"Q9UHF1","51162","EGFL7"
"P00533","1956","EGFR"
"Q9GZT9","54583","EGLN1"
"Q8NDI1","23301","EHBP1"
"Q9H4M9","10938","EHD1"
"Q9H223","30844","EHD4"
"Q08426","1962","EHHADH"
"Q9H9B1","79813","EHMT1"
"Q96KQ7","10919","EHMT2"
"O14681","9538","EI24"
"Q8N6I1","163126","EID2"
"Q8N9N8","84285","EIF1AD"
"P47813","1964","EIF1AX"
"P47813","124905557","LOC124905557"
"Q9BY44","83939","EIF2A"
"P19525","5610","EIF2AK2"
"Q9NZJ5","9451","EIF2AK3"
"Q9P2K8","440275","EIF2AK4"
"Q14232","1967","EIF2B1"
"P49770","8892","EIF2B2"
"Q9NR50","8891","EIF2B3"
"Q9UI10","8890","EIF2B4"
"Q13144","8893","EIF2B5"
"P41214","1939","EIF2D"
"P05198","1965","EIF2S1"
"P20042","8894","EIF2S2"
"P41091","1968","EIF2S3"
"Q14152","8661","EIF3A"
"P55884","8662","EIF3B"
"O15371","8664","EIF3D"
"P60228","3646","EIF3E"
"O00303","8665","EIF3F"
"O75821","8666","EIF3G"
"O15372","8667","EIF3H"
"Q13347","8668","EIF3I"
"O75822","8669","EIF3J"
"Q9UBQ5","27335","EIF3K"
"Q9Y262","51386","EIF3L"
"Q7L2H7","10480","EIF3M"
"P60842","1973","EIF4A1"
"Q14240","1974","EIF4A2"
"P38919","9775","EIF4A3"
"P23588","1975","EIF4B"
"P06730","1977","EIF4E"
"O60573","9470","EIF4E2"
"Q8N5X7","317649","EIF4E3"
"Q13541","1978","EIF4EBP1"
"Q13542","1979","EIF4EBP2"
"Q04637","1981","EIF4G1"
"P78344","1982","EIF4G2"
"O43432","8672","EIF4G3"
"Q15056","7458","EIF4H"
"P63241","1984","EIF5A"
"Q9GZV4","56648","EIF5A2"
"O60841","9669","EIF5B"
"P56537","3692","EIF6"
"Q53HC9","7260","EIPR1"
"Q9H777","55520","ELAC1"
"Q9BQ52","60528","ELAC2"
"A8MWY0","222223","ELAPOR2"
"Q15717","1994","ELAVL1"
"Q12926","1993","ELAVL2"
"P32519","1997","ELF1"
"Q15723","1998","ELF2"
"P19419","2002","ELK1"
"P55199","8178","ELL"
"O00472","22936","ELL2"
"Q96JJ3","63916","ELMO2"
"Q8IZ81","255520","ELMOD2"
"Q14241","6924","ELOA"
"Q15370","6923","ELOB"
"Q15369","6921","ELOC"
"Q9NXB9","54898","ELOVL2"
"O95163","8518","ELP1"
"Q6IA86","55250","ELP2"
"Q9H9T3","55140","ELP3"
