"","sample_name","sample_run_name","Run","run_number","Protein.Group","Genes","PG.MaxLFQ"
"116","GFP2","GFP2_Vijay-746_Slot1-14_1_1092","Vijay-746_Slot1-14_1_1092","746","Q8N8D1","PDCD7",14224.6689453125
"117","GFP3","GFP3_Vijay-747_Slot1-15_1_1094","Vijay-747_Slot1-15_1_1094","747","Q8N8D1","PDCD7",15134.6630859375
"118","RDH1","RDH1_Vijay-748_Slot1-16_1_1096","Vijay-748_Slot1-16_1_1096","748","Q8N8D1","PDCD7",36920.65625
"119","RDH2","RDH2_Vijay-749_Slot1-17_1_1098","Vijay-749_Slot1-17_1_1098","749","Q8N8D1","PDCD7",20344.1796875
"120","RDH3","RDH3_Vijay-750_Slot1-18_1_1100","Vijay-750_Slot1-18_1_1100","750","Q8N8D1","PDCD7",18452.11328125
"121","GFP1","GFP1_Vijay-745_Slot1-13_1_1090","Vijay-745_Slot1-13_1_1090","745","O95159","ZFPL1",154708.375
"122","GFP2","GFP2_Vijay-746_Slot1-14_1_1092","Vijay-746_Slot1-14_1_1092","746","O95159","ZFPL1",63384.05859375
"123","GFP3","GFP3_Vijay-747_Slot1-15_1_1094","Vijay-747_Slot1-15_1_1094","747","O95159","ZFPL1",63389.66015625
"124","RDH1","RDH1_Vijay-748_Slot1-16_1_1096","Vijay-748_Slot1-16_1_1096","748","O95159","ZFPL1",89307.96875
"125","RDH2","RDH2_Vijay-749_Slot1-17_1_1098","Vijay-749_Slot1-17_1_1098","749","O95159","ZFPL1",78061.6875
"126","RDH3","RDH3_Vijay-750_Slot1-18_1_1100","Vijay-750_Slot1-18_1_1100","750","O95159","ZFPL1",75673.953125
"127","GFP1","GFP1_Vijay-745_Slot1-13_1_1090","Vijay-745_Slot1-13_1_1090","745","Q6P2E9","EDC4",333037.125
"128","GFP2","GFP2_Vijay-746_Slot1-14_1_1092","Vijay-746_Slot1-14_1_1092","746","Q6P2E9","EDC4",296370.375
