"","Protein.Group","Genes","LFQ.100_a_RDH12_atRAL5hr","LFQ.100_b_RDH12_atRAL5hr","LFQ.100_c_RDH12_atRAL5hr","LFQ.200_a_RDH12_atRAL5hr","LFQ.200_b_RDH12_atRAL5hr","LFQ.200_c_RDH12_atRAL5hr","LFQ.control_a_RDH12_atRAL5hr","LFQ.control_b_RDH12_atRAL5hr","LFQ.control_c_RDH12_atRAL5hr","LFQ.100_a_GFP_atRAL5hr+24h_recvr","LFQ.100_b_GFP_atRAL5hr+24h_recvr","LFQ.100_c_GFP_atRAL5hr+24h_recvr","LFQ.200_a_GFP_atRAL5hr+24h_recvr","LFQ.200_b_GFP_atRAL5hr+24h_recvr","LFQ.200_c_GFP_atRAL5hr+24h_recvr","LFQ.control_a_GFP_atRAL5hr+24h_recvr","LFQ.control_b_GFP_atRAL5hr+24h_recvr","LFQ.control_c_GFP_atRAL5hr+24h_recvr","LFQ.100_a_RDH12_atRAL5hr+24h_recvr","LFQ.100_b_RDH12_atRAL5hr+24h_recvr","LFQ.100_c_RDH12_atRAL5hr+24h_recvr","LFQ.200_a_RDH12_atRAL5hr+24h_recvr","LFQ.200_b_RDH12_atRAL5hr+24h_recvr","LFQ.200_c_RDH12_atRAL5hr+24h_recvr","LFQ.control_a_RDH12_atRAL5hr+24h_recvr","LFQ.control_b_RDH12_atRAL5hr+24h_recvr","LFQ.control_c_RDH12_atRAL5hr+24h_recvr"
"4499","Q9H9P8","L2HGDH",9442883,10005462,9621785,12704693,8583646,13272979,6365211.5,3023780.5,7148256.5,9653150,10700562,8165526.5,11621246,13121876,16804456,7835261,7119891,8252886.5,10680005,12380157,9502839,9525907,8330684.5,9021619,10708729,11047633,9251137
"4500","O43402","EMC8",23172244,16984374,18116828,30800278,23526558,21328890,18603272,15818536,17601726,16819296,19286498,20189734,24960088,20527600,28468502,18731380,19948430,17520098,20844832,19163956,22257768,18284134,18604224,18990146,21548280,24215066,25748090
"4501","Q9H4F8","SMOC1",30591594,22974230,33280250,40167108,76346344,29173534,54599072,82279952,62139744,16908126,14898738,23715582,13525464,9500652,9530353,26053300,27158730,24308962,43531684,32918140,56330080,27638080,59055652,39344428,42282132,36230272,40379704
"4502","Q9Y2X3","NOP58",105264464,164995952,136141744,189514384,126445144,210496256,121202136,51278888,168624768,215961040,254400976,184800464,333182016,289065120,334188992,189659824,235392880,228610640,238125408,227070016,261001504,263003760,230393520,236410688,210412080,276797600,253039824
"4503","Q9NXV2","KCTD5",13649401,10072193,10830353,9901839,10754020,10127981,13972184,14100584,17535222,10492373,9022935,11406617,8470161,7673148.5,7603278,15040947,12697786,12431072,10861976,9063823,7810572.5,9864438,11911567,10754138,11263938,8360327,8070920
"4504","Q16637","SMN2",54211060,48688728,58213800,34250716,139863904,47965172,142734512,234640784,180788272,26486696,34464148,58330796,45691364,39095944,34046544,29847590,82377136,55850324,44977196,35845552,50007648,47451412,67325864,51713768,48239020,57290252,46159812
"4505","Q9UQ13","SHOC2",3929047.75,4099116,4319576,4456952,6014940,5184340,4226670.5,1988897.375,3857788,6409850.5,7356197.5,5307044,6756685,7131769,8854660,5934457.5,5358074.5,5307756,6224310.5,6363932.5,5551283.5,6290389,4292269,5698910.5,5246051.5,6687905.5,5619225.5
"4506","Q9BZM1","PLA2G12A",2236963.25,1852980.375,2305437.75,3194808.5,11976529,2916586.25,8896606,11200158,10086188,1562249.25,1595160.5,2080440.125,1712248,923297.9375,1280593.625,1852231.875,3523785,1809809.25,1867530.25,2533700.25,3219886.5,1158113.25,3604562.5,2867918.75,3465085,1887326.875,3012713.25
"4507","Q8WUM4","PDCD6IP",53579448,49165192,48076256,46492216,19867498,42328328,33064492,14929645,31319024,53190500,54015648,49422876,34151128,37780140,35863000,51374236,46201468,44023936,42538892,46102556,39664248,42561004,39307060,47664748,40017736,45185656,44206428
"4508","Q8IXK0","PHC2",27978820,29881532,34323000,35124028,86120824,35945256,58784304,67198648,78692104,50621220,49281024,51888504,72704968,64075512,70735160,48338000,63680872,54177440,78400528,72234856,96084192,73879816,101385496,85023608,77267768,96020248,90169488
"4509","Q14493","SLBP",24596360,20190836,32254098,16695554,53053956,24941666,108855184,160000800,94817032,34996232,25280034,41519608,26082112,21958498,17441666,37704616,53349264,47178568,41029860,39877160,59250128,40368452,89205984,54123164,53464132,81597048,46008260
"4510","Q9NZU5","LMCD1",18492626,19264314,21529302,12868971,17086588,15953087,26366192,35947772,32452534,18163110,19069766,27232608,13700324,14046065,14009417,24633116,26640346,24117638,19255682,15256424,21015722,24633516,29435476,30167524,16780634,16384917,19967764
"4511","Q7Z7K0","CMC1",30821208,32396306,44033604,35301336,177975040,41873420,126010104,240855264,154577056,21945306,18612456,49900936,34442128,27709138,17786092,31659718,55387492,40143544,42031080,39279028,89059544,50179940,123731080,72571592,70439472,66875104,68199584
"4512","Q5ZPR3","CD276",11397274,6527865.5,9738000,18700888,65190188,19824428,27382188,66780396,31484062,4568460,3475889,3783145.5,11268224,4595219.5,4215244.5,6436586.5,4657052,4285253.5,5507947,6884417,7758594.5,3965515,8418773,4300987,8469967,8871847,4290176
"4513","Q15274","QPRT",29683722,37031984,29092164,25329116,24664144,29697924,29084854,15426870,33055042,32501248,40196924,33809012,24339212,24471826,21428622,30268388,30999770,33505518,33524732,37610124,26322430,24536670,22303100,25900484,29119904,49797452,29516906
"4514","Q13526","PIN1",85658728,92067552,104357032,67132024,244747984,90640512,269504032,536732544,301124704,89380952,86788136,186226400,90709800,40999724,41601256,146731856,199672208,185768592,183971424,115382248,285366080,150550048,262697536,187550992,222554432,197222560,197968224
"4515","Q8N8U9","BMPER",1941932.375,1574445.125,1935827.25,2340229.75,6449519,2159979.75,3204149.25,7773684.5,5681202.5,1837234.375,841277.75,895971.4375,1579891.75,630523,728941.3125,1872473,1220182.875,982496.75,822831,939383.8125,633985.25,869989.9375,1745230.375,907097.3125,1125210.5,1132292,723268.375
"4516","P78345","RPP38",17480416,19335468,22514614,18649562,53206936,20610528,45491268,74973992,69875592,14404188,17843498,19222338,22885522,19485952,21768138,16404213,28196650,17318240,16126985,14602007,25198796,20539948,28249410,21134098,18129796,19055568,22409366
"4517","Q96EX3","DYNC2I2",1277102.875,1920300.5,1090428.125,1339162.875,NA,3056631.5,NA,NA,NA,4376482,3353506.75,2163647.25,2350563,2589467.25,2435878.75,4149654.5,2254789,2830863,2701333.75,3400233,4016013.5,2853218.75,4177018.5,2830312.25,3708010,3465492.75,2802945.5
"4518","Q13136","PPFIA1",39411256,41974084,41542460,34997332,42758888,39166084,38273500,50233752,37685480,40262992,35624436,49236304,26384784,37390076,39224416,42086412,45773896,35576448,43700860,48242900,48696600,40835532,59927628,55494088,38199220,52188400,52082908
"4519","Q9NQ88","TIGAR",20376720,20543188,19553086,16777332,7608980,17384040,17582664,12385939,20374030,15787923,16783434,16463919,12779955,12973862,13134601,17600034,18461818,15257578,12835341,14306420,13594044,14608421,13038835,16973074,11669245,13928782,13730562
"4520","Q03188","CENPC",8393358,10941516,11596826,12853323,49428796,14155589,16975238,21493334,26398756,20311296,19905440,17770556,29977662,23184888,27169920,19986222,21434398,16588624,20874574,19089612,23256980,19656886,27648886,20718566,20458266,23808796,24394176
"4521","Q14004","CDK13",45216644,58013692,59274188,55428080,102919400,71268344,70087536,53561800,75633592,92539512,89293560,79956008,146827376,128408800,145812720,89431128,94426656,81179440,94476192,94579928,99282768,91243960,103536848,96487736,91056848,122427280,108670664
"4522","P23921","RRM1",39557196,41163596,43005284,30529432,11567406,31203636,29738184,20162068,36923292,34428576,41412728,36242696,21220878,27036706,25454286,36956444,40674932,37576828,33246154,36429952,31804148,32074504,31321422,33652360,31135900,28581912,34161252
"4523","Q9P0K8","FOXJ2",6409869.5,5111608.5,6860779,5680676.5,12311725,5768309,9205801,10043383,12214307,5247553.5,5220245.5,10008972,4903257,5442283,5275256,7725845,9726859,10593566,8975359,5241526.5,9749202,7087312.5,11081269,11982373,8765333,9069720,7192298.5
"4524","Q13613","MTMR1",4826123,5019381,4703571,4538565,NA,4313807,3097973,1758466.75,4066406.75,4786070.5,5711985.5,5016232,4374838,4073106,6101705.5,5357228,4283552,5032330,4863089.5,4368199.5,4424819,4040012,3835589.5,4545246,4112896.5,4157821,4543204.5
"4525","O95999","BCL10",8374752,7179043,8368351.5,5308376,12782926,5274685.5,19312634,22939668,28202374,12978189,8463268,24387204,6403587.5,5091319,5303164,18956374,20475650,16620780,12821510,10736121,20012620,10803503,25915242,16548447,21926396,18808408,13228069
"4526","Q96DI7","SNRNP40",41264312,48863300,44678284,47822208,86579928,54546824,45938740,47004540,55707948,46144264,53245812,44296728,73032416,69899128,93117984,45567784,49281632,43585020,60944028,58002064,57717992,47110724,48951720,46649560,60753900,66456824,57686952
"4527","Q9BRJ2","MRPL45",325539008,338380320,367741216,273475488,1073163008,296936192,646085824,1057826624,846768448,213402688,236731952,248280384,219285216,198799664,250711024,240762160,416355552,318831488,404314240,247682192,375975104,355396704,323950624,267211344,347670240,358975008,304480832
"4528","Q9UGV2","NDRG3",10718398,9958355,9412137,11995190,7788849.5,10804677,7260830.5,5145888,10218899,9902671,9304932,9679302,7524136.5,8811996,10713586,12213215,8789916,9380540,8602058,10424517,9621615,8454145,9222203,9475290,7775999.5,9818565,8546691
"4529","Q96JY6","PDLIM2",2051416.875,1939984.5,2872274,1144715.75,6188766,1966795.625,8263037,16604690,6686096,3180211.75,NA,4469706,NA,NA,NA,3612918.25,5761160,3092711.25,3555774.25,4096168.75,5728999.5,4147614.75,10028093,5535135.5,5520315.5,4522719.5,5950183
"4530","Q8N0Z3","SPICE1",1576692,1436483.75,1859778.875,1700186.625,1610776.625,1356945.875,1486936.125,2099254.25,1265925.625,3435737.25,2582936.75,4121619.25,1326253.375,1725020.875,1218849.375,3761240.5,3496689.25,2708198.5,4467001.5,4182195.75,5726777.5,4660561.5,6913141,7372684,4317730,4208554,4965840.5
"4531","Q15649","ZNHIT3",14186083,12899876,16896024,11012842,50675596,11852008,46982884,129686288,62859912,NA,NA,26695154,NA,NA,NA,26189570,33693168,14487355,NA,NA,25172872,NA,NA,NA,41512180,31887950,30940990
"4532","Q9BUK0","CHCHD7",4227797,5037349.5,6588069,6450701.5,28027030,7136027.5,27421870,40906772,16978480,6269163.5,3834488.25,9873573,6511852,3180652.25,3177758.5,8892019,9538391,7004806.5,7659270.5,6283360.5,12265555,6029967.5,23549550,9761304,9121588,10288709,7519805.5
"4533","O14772","FPGT",1573816.875,2364062,1609086.125,1646692,NA,2038470,NA,NA,NA,2119920.75,2156297.5,2267159,1638484,1340447.125,1826101,2545206,2341275.75,2064831.375,1915803.25,1752250.75,2196798.5,1900373.75,NA,2164152.75,NA,1087904.75,1322340.25
"4534","P20042","EIF2S2",83346160,95213576,105120304,70234624,155562928,87558192,133909256,147778944,185632400,63792892,77023464,84728552,62819768,64252224,68443968,85386256,102548008,83931384,82932600,71310048,102062080,107915640,127481856,118054280,75401616,75729832,95857904
"4535","Q92878","RAD50",90327560,90261744,97866976,97052104,37366464,83113072,62790052,45451804,65711740,83274472,94481584,113686736,77340400,84944136,103453256,94941376,86190472,92590240,72937688,72324976,84608568,74461608,84218136,92199880,78179656,75814976,93585384
"4536","P30050","RPL12",1039957184,983888064,1267958528,830237120,3523833856,917458240,3340988928,5055880704,4586769920,1004756800,1185216896,1295715072,976882304,619465792,707136576,1479573632,1568214016,1439271040,1033688896,883743616,1310672384,1099795456,1415502976,1106823936,1216297856,1167114624,1122917632
"4537","Q9NPF0","CD320",6761181,7383397.5,5599740.5,7610722.5,13870441,12947352,6211249,9158910,9395793,1326732.75,1489789.125,1354736.625,1909835.375,1170400.875,1441711.125,1210452.25,2749487.25,2306192.5,1855955.375,2003652.625,3963435,2684382.5,5961039,3539565.5,2436286,3149093.5,2165023.75
"4538","Q9P0K1","ADAM22",293336.0938,298959.4375,346879.5938,600640.625,1558849.875,475159.8125,456653.4375,781956.8125,481465.9063,331936.125,361614,424692.8125,735771.1875,432289.2813,547113.8125,489584.4688,665432.375,404539.7813,507441.875,499221.7188,659779.0625,421922.3125,651230.5,420443.625,772931,697999.4375,513149.0313
"4539","O75794","CDC123",506732352,459151872,446731040,366867680,290979968,416725824,525712928,470791904,695234304,349837280,308185472,270252192,186296800,170983600,176606144,323870240,308013856,306768608,328076896,375259520,330420640,371774560,467919776,407077696,313531872,276211264,296949312
"4540","Q8N4P3","HDDC3",16739547,15843999,18438806,11085754,27212886,13227140,55835776,77713592,59047596,16514346,8058748,19961238,6802948.5,7915397.5,5131976.5,16292205,34530372,15682058,10573127,14268423,23384364,13818242,31512196,24029708,24253298,22996432,21585298
"4541","Q9NXA8","SIRT5",4830554.5,4547037.5,5270759.5,4277079,8849802,4595724,7007506,7041138,7400243,4851312.5,4458505.5,4227961,4466264.5,4910324.5,4954665,4820863.5,4047065,4732096.5,5372991,4334320,5991989.5,5636721,5239817,4188227.25,5564421.5,4971269.5,4816097
"4542","Q96LD8","SENP8",226042.9219,183286.9375,114130.375,119908.0313,NA,169070.2188,NA,NA,NA,180177.9844,295253.3438,321834.6563,212587.6406,NA,NA,125879.9219,258122.6563,296286.875,255572.7813,201284.4844,270090.0938,NA,NA,248788.8438,NA,324571.375,328128.9375
"4543","Q9NY12","GAR1",98043368,78879944,102288672,128594832,545035008,97411528,215362032,272174400,208025152,189474976,136524608,223575984,228537568,115986464,163432736,177488960,222219776,133663456,203445744,236132512,266331952,156647696,238121392,152845760,236771536,266360000,261331200
"4544","Q99798","ACO2",213265568,190865664,221776176,255804368,177532224,221799712,168633088,146759680,201615088,250864752,277445568,272223040,266733072,287669728,355947456,225873888,303191936,255404608,313088672,286867136,289806944,261354512,265979440,253780608,322013600,335759392,301344608
"4545","Q9UM13","ANAPC10",4469145.5,5403104,5702387.5,4690729.5,22703432,5279089.5,11480638,14280228,15665829,5862771.5,5370140.5,4526117,7396643,5797145,6212349,4948809.5,6523866.5,5181708,5379321,5548418.5,5332877,5010826,5890739.5,4220994,5744321,5986822.5,5197067
"4546","Q96CX2","KCTD12",59377180,53450564,59286112,33210782,34128660,37734796,59642140,59835532,77767408,48223528,52576888,48650920,36337772,37394956,33410178,45299736,51824272,44092148,45191412,49955160,43822248,45137392,53649788,47007456,48983496,41097472,41660888
"4547","Q96QC0","PPP1R10",35263204,30819492,42375892,33388524,83900840,36987608,70545176,109543728,69064304,55223880,50156376,75792088,58803484,48085244,43345056,71953168,83160560,66668644,69195432,64741892,91258048,72827352,121721912,81036064,77849320,96214680,83060728
"4548","Q9H2P0","ADNP",22035192,25268072,26022946,28299668,40044276,33765100,27489106,21335816,28789480,40238836,40239472,32394430,72794568,56502328,72499784,37345368,35156304,33042260,46293140,44485676,44682420,40979708,47111540,36656456,45702268,62894756,44998372
"4549","Q12805","EFEMP1",315038.0313,208358.875,263462.9688,383374.9375,1095036,387785.0313,235235,588297.6875,521926.9063,NA,NA,NA,412950.5625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4550","O15169","AXIN1",987982.625,1022617.25,1505215.75,1678935.25,2136673.75,1499938.375,1661958.375,1759491.5,2470260.5,2533370.5,1554120.375,2106603.75,1849606.75,1324498.625,1290438.625,1900962.5,2346740,1982203.125,2566671.75,2147480.75,3461105,2141780.75,3596616.5,2809036.75,2536441.75,4426146,3246875
"4551","P06213","INSR",10420049,7386066.5,9238743,9802643,14871076,8759864,9202284,12811781,8774333,6989800.5,8622589,9256428,9528063,10295699,10190817,7465643,10520819,8353921.5,8881271,8193137,8947373,7601115.5,8212144,7652283,9481912,11298812,7371710
"4552","Q8TD55","PLEKHO2",5641499.5,5167651.5,6238208.5,3836390,6266424.5,5285330.5,11455391,10417554,6529654,6892843.5,6281532,10554560,4333540,3899790.75,3966196.5,9967599,9393781,9807652,8143597,7348960.5,8003907.5,8416846,11908502,10028048,7795325.5,8687675,8369744.5
"4553","O43684","BUB3",105561776,116097344,120298784,102637080,394337280,110022520,262921440,388098656,333994080,61858360,81272976,94292864,122526368,94949032,103539056,69105464,117710792,101634936,104803032,78534544,101729096,93477024,105266336,89190952,97225456,86006824,86442472
"4554","O95292","VAPB",66634836,46936816,66419464,86962896,102493768,55989324,94805736,119533936,92832352,83136384,70167960,116308744,80393224,67563552,67264192,101274360,100950400,91976760,115459520,100076280,121351120,108692160,148812272,124199984,140711696,134029920,111429944
"4555","Q9GZN8","ADISSP",44303884,41653708,40138768,32100920,67922232,29272924,72365448,70257472,104033592,30559824,33718192,37977356,30771300,22316222,24452926,34101508,40392000,33206094,25255254,26667228,30578370,25323756,28726990,29640228,33404554,37965460,34524680
"4556","Q6P1N9","TATDN1",20414098,17808406,23076348,16648202,97748472,19791624,91519792,143590064,119554736,11588102,9696476,15796100,10809935,7040701,7258959.5,13922114,29529298,15789121,12763130,9745074,17200212,13245982,23748082,15020888,14607484,12096104,13184478
"4557","O60907","TBL1X",2329359.75,1722823.125,1916201.875,2210487.75,NA,1962317.375,NA,NA,NA,3678574.25,3187822,2890107,3846631.75,3275695.25,4509801.5,3592956,2607965.25,3003816.5,2459595.75,3384942,2657240.75,NA,NA,2388845.25,3192113.75,2811028,2363225.25
"4558","Q9BZK7","TBL1XR1",8494784,8458254,9504214,8578041,6419674.5,9029015,7173329,5552949,8326343.5,11976815,10881016,10274130,13605073,13420974,15315955,10713263,10101851,9514689,9363940,10468675,8692116,9089462,9632150,8500077,10213053,10744910,8517224
"4559","Q7RTV0","PHF5A",135196176,128086272,153692640,146096112,416643840,123246264,273016064,523014464,291109952,189617872,130696952,247624496,169821664,82991344,92386328,256142032,303099840,222387376,211111968,136630496,333816000,140164608,268367296,186596240,417811296,400020768,312565408
"4560","Q9NVV4","MTPAP",1180320.75,787862.8125,1007862.938,1601372.375,1823516.125,1405680.75,NA,NA,841693.1875,1547296.5,1623911.625,1166755.875,1630847.75,1797452,2160472.25,1100253.875,1409339.375,996310.5,2091418.375,1840739.625,1760700.875,1420760.625,1402378.625,1440585.875,1911146.25,2131409.25,1895291.625
"4561","P31689","DNAJA1",337945120,395135232,446084192,372960736,2050534784,433135616,1159403904,2562009600,1643433088,313119584,258440096,457925152,285160480,201528256,156241408,436252000,735081856,511712032,457779168,309657280,716456960,646631296,930268352,593843264,522432928,511762336,511519936
"4562","Q8IVD9","NUDCD3",24269462,23098258,26877356,21466360,26220766,21399870,37098468,42495272,54111964,17714968,22778916,25309760,19191168,20013286,20121486,17189246,26392158,24688476,18580432,20737618,18295170,22256298,24440760,22704702,16470419,17468162,17126552
"4563","O75663","TIPRL",26035226,24974752,21899078,18966264,11270941,22475150,20685302,17144224,23228658,14180292,20838762,19806524,13834999,15825939,19924632,16353088,19447818,19015770,17186864,16676425,15629543,15090148,15097893,18499442,13778875,14740269,18069828
"4564","P57076","CFAP298",21061182,17411772,21116322,15928516,21652544,15495473,34832724,37960456,39296684,17920772,17327072,27615830,13759349,12085877,12151578,29128156,27119738,25543844,22794326,17360716,27714956,25749936,36285704,34270852,27206752,23781870,21558028
"4565","Q969V5","MUL1",1895415.75,1477549.25,1652366.25,2075027.5,3051156.75,1931661.5,1940695.75,1955975.25,2965759,1350252.75,1573978.125,1650471,832607.8125,1392191,1344451.125,2116759,1621414.25,1760059.25,1670981.75,1998852.875,1661682.375,1663701.25,NA,1057993.875,1567377.875,2261714.5,1540637.25
"4566","O94925","GLS",17297094,14872695,15798715,19547334,8414637,17458140,7762630.5,5463286.5,11787147,13756095,15516898,13679829,14945333,17361510,18594854,11995791,13302185,10229964,17479590,15306335,15507712,16909628,13430353,15922857,17769968,20521178,16592304
"4567","Q15172","PPP2R5A",785152.625,609649.3125,1010751.688,651464.875,NA,695427.6875,NA,NA,466226.3125,830843.3125,642470.625,754979.9375,442165,422790.4063,529502.8125,781720.75,795529.75,702838.0625,644707.8125,616301.5,623048.0625,508726.25,694580.0625,662145.3125,710423.5625,612940.3125,641747.0625
"4568","Q92859","NEO1",13304037,8480785,11437467,12334730,14351933,11934244,9028585,13071344,10201421,1559231.75,1491283,1990001.5,754314.5,885685.8125,751585.75,1885793.125,2711020.5,2287391.75,1129442.125,1014888.188,2074476.25,1388353.375,1608993.625,1610772,1773886.875,1178127.25,1581242.125
"4569","Q96FZ2","HMCES",9976463,9771231,10256229,9293063,14106174,9193788,11117647,14646024,14937264,9857728,8645217,9150340,8018280,8881200,9330159,10196146,11126085,9177957,8665783,9163332,12368849,10353256,14838175,13016168,9588583,10199935,10893238
"4570","Q5J8M3","EMC4",15558792,16437383,15255571,18368028,13049171,19091100,12288581,16749818,11771756,10000670,14382725,11765901,9461054,8795225,11024216,8421084,10173086,10833706,14687478,16482224,10873399,10693210,9617941,9670834,13681528,16550850,10280274
"4571","P04626","ERBB2",968458.0625,666821,730888.1875,1450804.375,2787572.25,896984.625,NA,NA,NA,776224,775084.625,NA,1050388,NA,1412658.375,NA,870377.875,NA,NA,1111224.75,NA,NA,NA,NA,1052937.625,NA,919647.1875
"4572","Q9Y3C8","UFC1",61676856,57529276,66143540,40162268,56419988,52320296,119935104,139604896,143582992,59940028,55429216,74611536,31836554,31134588,25696412,66675600,68597880,71329320,60479112,51891460,66473980,62716412,106750824,78460784,64961972,66621516,66314608
"4573","P51580","TPMT",13486864,11992184,10581281,9627522,4924054.5,8944447,10271748,7158872.5,12938632,8466348,9890295,10482123,7058250,9111306,10289654,7850330,10238533,8946495,8284121.5,7729656.5,7884892,8333172,7667632.5,10810860,6422241.5,9977227,10001816
"4574","Q13309","SKP2",1949302.875,2217136,1904919.125,4149744.25,NA,3711860.5,NA,NA,NA,2542849.25,2282888.5,2258903,2683215.25,2911043.5,3392230.5,3568165.75,2239408,2883529.25,2585614,2559125.75,2490157.5,2689255.25,2705811,2846943,2403044.25,2417963,2579268.75
"4575","Q9UHA3","RSL24D1",28695060,38677100,39500480,34094408,107577952,49152744,97595312,70219760,110108880,85257112,78749496,82114280,96122368,64947480,99239816,72344728,103556696,71251800,57022372,42937096,55621364,77182496,73924664,60355792,48542940,65104404,64174292
"4576","Q8N5P1","ZC3H8",11338328,15112689,18970970,13724540,61232764,17669842,41335608,80239952,50205128,18799382,17113370,26137342,22180888,19391008,18814018,22090508,26802158,19113906,20263674,18570662,28145398,22511314,37997612,22929068,28621126,29222278,25919322
"4577","Q9P0T4","ZNF581",13534199,9078280,19700084,10145024,67521080,17755168,48533704,84881088,32909906,17568710,13276986,19922304,20117576,17848618,17870638,24176654,24665506,17904428,20142242,23184736,26965984,20841408,36109428,18460084,30132940,43868968,28141026
"4578","Q01085","TIAL1",52767844,54095416,58232112,54070884,50632584,56737456,82936736,74016208,80571128,41780984,51602588,44942924,59110720,63199740,73812512,37643536,50297728,48965032,59908396,57299000,53312824,51189620,56549252,49281740,57060632,70363920,57537336
"4579","O75907","DGAT1",387846.4063,419975.9063,353209.9688,496762.4063,NA,378359.2188,225897.9063,NA,NA,427605.7813,509013.7813,347869.3438,416451.4063,955245.8125,832244.875,388732.25,411407.375,NA,640177.125,515268.9375,381459.0313,390722.0938,NA,509323.125,473984.7188,NA,402134.625
"4580","Q14728","MFSD10",1348831.875,1401152,1130727.75,1786634.625,711208.625,1812355.875,927494.6875,360809.1563,1114741.625,1766374.875,1834671.5,1776237.125,2652078,2848935,2848649,1656237.75,1530710.875,1269806.625,2190237,2306378.75,1731878.5,1830969.125,1790862.75,1722619.5,2292134.75,2386393.75,1696273
"4581","O95716","RAB3D",26306498,29404572,37940700,29380488,243106752,30204566,78610472,137496368,108651480,27185540,21821770,30161804,41171340,32268502,34217136,27541630,60755244,28003406,27997160,30897754,37960744,30499102,48108124,32167724,45424580,34223528,33018542
"4582","Q8NBU5","ATAD1",5392233.5,4454465,4684917.5,6947613.5,2649496.75,5465569.5,4143340.25,5220184,4171355.5,5416419.5,5847364.5,4892849,6423467.5,8108731.5,10689198,4932724,5268481,4093742.25,5607723,5175257.5,5848261.5,5207337.5,5120549,6022903,5471133.5,5357619.5,6498566
"4583","O75391","SPAG7",23387348,21462436,29866070,19253096,54003956,20217884,79975352,107966408,71548944,34416208,26504396,68113024,28192960,18477046,19372580,52841000,56976996,64025956,56706684,38542396,101824640,55224816,131840152,78492624,83489496,60675956,59602568
"4584","Q9H9Q4","NHEJ1",4656488,5296769.5,5820131.5,5918378.5,8451008,5073495,7112800,4814076,7785169,8099998.5,7223115.5,7537847.5,8097536,5884735.5,5927570.5,8776586,9317630,7726095.5,7618023.5,8387127.5,11650853,7011889.5,15127373,8803179,11375665,11064027,9362628
"4585","O43513","MED7",NA,5187439.5,4711107,NA,NA,NA,7995043.5,NA,NA,NA,4325681,7145938,4838542.5,NA,4271737.5,NA,7355672,6427047.5,7177052.5,6792700.5,7486612.5,NA,11502886,6372897.5,10250908,15774436,8731462
"4586","Q9NWS8","RMND1",1298185.625,1132410.375,1633694.25,2806546,NA,3099328.75,NA,NA,NA,617707.5625,985104.1875,799880.5625,1079827.75,1696955.625,2205148.75,NA,1007368.75,901105.75,1063444.75,NA,1053885,1147474.875,839024.1875,1217875.875,948586.8125,1303723.5,1497853.625
"4587","Q7Z2E3","APTX",6586007,6860796,6899575.5,8492579,10802212,7987631,7120765,5327379,7362324.5,7459319.5,7208421.5,5139263.5,11013598,10451763,14126810,7514031,6068736.5,6429963,7100703.5,6783806.5,8680902,8280946,7948822.5,6802304.5,6103551,8045120.5,6944647.5
"4588","Q5VU97","CACHD1",78900152,56391632,69825400,63145660,49350052,62595768,70870800,203481488,59530132,53722948,44561268,38288552,42937632,38627568,46280244,42442072,40762416,40190064,38588564,39361052,38459924,38592364,44667464,36614352,46853816,52252488,32546604
"4589","Q9UHQ1","NARF",2576267.5,2125541,2285277,2947284.75,NA,3001041,2418882.25,NA,2903497.75,3038298,2904858,3354513.5,2668025,2782846.75,2359710.75,3761338,3563054,3226295,3168095.25,3329288.5,3303437.75,3109795,4157341.25,3363296.5,3988840.75,3090182.25,3238402.75
"4590","Q92793","CREBBP",36824452,36434472,46765700,30007818,49210456,33227036,54320940,79241912,60529964,33380936,31710098,53786428,39914648,33971808,34765260,47442544,52920504,46206996,30692674,32092982,48009500,37506412,65307884,52057984,55511016,51740012,50655568
"4591","Q96EY4","TMA16",38223180,45582412,58652408,42565676,212410464,49327004,125146224,205085584,144135456,59680912,60776596,93607656,86455352,62846180,84020368,71379248,100617984,91184064,105993432,94867328,134010680,100175264,164639840,122363752,94155352,115502920,117752176
"4592","Q15386","UBE3C",6126679.5,8630860,6572321,8849842,NA,9233402,3597498,NA,3935402.75,8298034,9717922,8371784,7568671.5,10332387,10701964,8752969,7217124,7895628.5,7518017,7947682,8029544.5,8089503.5,6172022.5,8041475,5929397.5,7931844.5,8629706
"4593","Q8N4J0","CARNMT1",11539039,10652587,11768432,6836731.5,5473453.5,11232809,7629274,5328574,9470319,5423255.5,5034986,5330619.5,5657294.5,6648658.5,6824744,5415127,6976362,5599011,4323811,6814879,4639347.5,4505329,5100327.5,5114118.5,4584109,5798793.5,5472107.5
"4594","Q13243","SRSF5",138113984,106145888,158730288,141219760,487421664,153832608,319139328,547958912,350286880,214543872,173726576,349764800,210636672,169437824,170876528,304890688,254220784,245719904,338311584,250305568,312657888,271944256,467234784,288114080,448544672,446088064,286315008
"4595","Q16560","SNRNP35",1160906.75,1108759.75,1350455.875,1460750.875,5252357,2761297,1846510.375,2414683.5,3132101,949115.9375,1662440.5,1114549.125,2695271.5,1786945.5,2078962.875,1103138.125,1131798.125,938198.75,1669682.375,1132666.125,1796956,2101079.75,1487304.875,1021098.75,1800362.75,2120141.25,1427059.5
