"","Protein.Group","Genes","LFQ.100_a_RDH12_atRAL5hr","LFQ.100_b_RDH12_atRAL5hr","LFQ.100_c_RDH12_atRAL5hr","LFQ.200_a_RDH12_atRAL5hr","LFQ.200_b_RDH12_atRAL5hr","LFQ.200_c_RDH12_atRAL5hr","LFQ.control_a_RDH12_atRAL5hr","LFQ.control_b_RDH12_atRAL5hr","LFQ.control_c_RDH12_atRAL5hr","LFQ.100_a_GFP_atRAL5hr+24h_recvr","LFQ.100_b_GFP_atRAL5hr+24h_recvr","LFQ.100_c_GFP_atRAL5hr+24h_recvr","LFQ.200_a_GFP_atRAL5hr+24h_recvr","LFQ.200_b_GFP_atRAL5hr+24h_recvr","LFQ.200_c_GFP_atRAL5hr+24h_recvr","LFQ.control_a_GFP_atRAL5hr+24h_recvr","LFQ.control_b_GFP_atRAL5hr+24h_recvr","LFQ.control_c_GFP_atRAL5hr+24h_recvr","LFQ.100_a_RDH12_atRAL5hr+24h_recvr","LFQ.100_b_RDH12_atRAL5hr+24h_recvr","LFQ.100_c_RDH12_atRAL5hr+24h_recvr","LFQ.200_a_RDH12_atRAL5hr+24h_recvr","LFQ.200_b_RDH12_atRAL5hr+24h_recvr","LFQ.200_c_RDH12_atRAL5hr+24h_recvr","LFQ.control_a_RDH12_atRAL5hr+24h_recvr","LFQ.control_b_RDH12_atRAL5hr+24h_recvr","LFQ.control_c_RDH12_atRAL5hr+24h_recvr"
"29","O95551","TDP2",18191898,20694264,21456420,17898390,21331190,19277190,21662358,18086656,30809904,16717617,20904384,16820780,18772626,21085082,25060072,16279688,17799910,19084010,15550866,17138872,15701350,13947245,18117030,17133274,14289066,14538391,16496483
"30","Q9H9Y2","RPF1",11416599,15746771,16681013,14824242,34422480,18064160,20960916,11419211,27990448,24766382,28698136,19222504,44361648,32026848,38713632,20546524,24009676,20606984,24264598,22954230,23265104,27319470,31180314,22766446,23927926,29435706,23058568
"31","P30260","CDC27",20865340,24604194,22544588,31423764,48595952,35894468,24190250,18114544,21860356,27919964,34358388,28043198,38400200,38940456,48314712,28464022,29678900,26443326,32291930,30039620,32400638,32032514,31523842,29210878,26868910,32752466,29658996
"32","O15042","U2SURP",68145736,80128936,86646880,75197816,112110648,83055232,109797616,107637832,128947584,112708544,109958984,119766544,151103056,127260184,139628112,110940032,122374568,111170680,156589328,130307864,200185504,155803936,205120160,168482112,143504864,190668128,178458704
"33","Q9NP50","SINHCAF",2547982,2532840.5,1754705.625,1470302,7591480.5,3103514.25,3595459.75,8541148,8479903,2080019.75,2132052.75,1852490.125,2979416.75,3135331.75,3498199.25,2544337.5,3327664,2099635,3059347.25,2632216,2710639.5,3567413.75,3314471,2641077,2604872.75,4746869,3171050.5
"34","Q01780","EXOSC10",13029019,17920338,14826903,24840600,20211332,24801380,12479089,16171953,13944765,22727216,27081066,19870896,33800168,32645732,39325456,23519908,22650388,23685888,27235336,23812392,27779842,25586402,22233860,25405064,22375106,28380780,26877328
"35","Q03112","MECOM",8881532,8479256,11319620,12281552,30303738,12877906,14479562,26582118,22808296,17181494,15471752,18634004,18245408,14564360,18852540,17882006,20742224,16598312,17058422,14882516,22380888,16545743,23665630,17360370,20728520,21564440,22017220
"36","P02786","TFRC",102219896,75285592,79965816,140102432,57551688,118179256,39879472,22555236,42105712,39643688,37633916,33060826,40250892,48351336,58810616,37044240,34667320,31930088,38035332,36570348,33941372,33119320,30943382,34800104,34598780,37798416,35000880
"37","P07954","FH",67704208,64672124,67165664,77626120,51060900,78038104,54827248,43246920,59875124,45357744,53459288,54377460,53087660,72124192,74409384,43282832,45610528,48397052,58225716,60252852,47835776,51809676,46896936,48785476,56372012,59213676,53076320
"38","Q9Y490","TLN1",44848936,43513928,44084204,28730516,19926764,32167548,35923740,24324970,33032308,40956764,44062164,53269700,26901356,29450022,28405018,47631616,44785924,44439356,41244212,39027888,39593728,38291988,36130352,47230064,43139052,45685752,42517260
"39","O94826","TOMM70",38693020,34345260,37340224,60945488,50030580,48522764,38235144,38635180,47901172,34489032,37329852,38009208,53017228,55899472,67143096,34676064,42799616,36657852,36228384,32742858,42462208,45943800,50191316,49581272,44391900,48436812,45882576
