"","X","Gene","contrast","p.val","p.adj","ratio"
"56",71,"ABCB10","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.0718950354691493,0.379,-0.597
"57",72,"ABCB10","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr",0.00280790577850169,0.309,1.07
"58",73,"ABCB10","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr",2.54353695592351e-05,0.0125,1.7
"59",74,"ABCB10","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.00258239559315766,0.0778,1.08
"60",75,"ABCB10","RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr",0.000129306080942651,0.833,1.48
"61",76,"ABCB6","GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.777907393495698,0.963,-0.265
"62",77,"ABCB6","GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.396723583228937,0.905,0.801
"63",78,"ABCB6","GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.568316369272255,0.899,0.537
"64",79,"ABCB6","RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.688535526325982,0.876,-0.376
"65",80,"ABCB6","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",1.58152501819498e-07,0.00655,-7.22
"66",81,"ABCB6","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.762252091145272,0.855,-0.284
"67",82,"ABCB6","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",0.405553037322606,1,-0.786
"68",83,"ABCB6","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",0.121173241740951,0.894,-1.5
"69",84,"ABCB6","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr",0.733423809667157,0.896,-0.32
"70",85,"ABCB6","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr",2.30410327062839e-08,0.0112,-8.15
"71",86,"ABCB6","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.521768383851135,0.879,-0.603
"72",87,"ABCB6","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr",0.515064276459075,0.746,0.613
"73",88,"ABCB6","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr",0.853619841131285,0.52,-0.173
