"","Gene","contrast","ratio","p.adj","direction"
"101","ABCC10","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",-1.1,0.0116078644382466,"down"
"102","SLC7A6OS","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",-1.01,0.000413402037015389,"down"
"103","ATP5ME","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",-0.904,0.00183662767567706,"down"
"104","ATP5MJ","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",-0.904,0.00160570346793643,"down"
"105","ATP5MK","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",-0.662,0.0165231348110431,"down"
"106","ATP6V1D","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",-0.592,0.00169377910012748,"down"
"107","SLC7A8","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",6.03,0.000753974494002006,"up"
"108","SLC46A3","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",5.91,1.74621551673372e-06,"up"
"109","ATP11C","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",5.07,2.3670770711072e-07,"up"
"110","SLC30A7","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",4.96,3.90594483632869e-07,"up"
"111","SLC19A1","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",4.67,0.000529034445453003,"up"
"112","SLC23A2","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",4.45,3.7832635476284e-08,"up"
"113","SLC39A7","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",3.78,0.00602866010725285,"up"
"114","SLC6A15","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",3.74,0.0034236870716974,"up"
"115","ATP7A","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",3.64,2.42305833094899e-06,"up"
"116","SLC25A15","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",3.64,0.000200622604956182,"up"
"117","SLC25A19","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",3.55,3.0610193764816e-05,"up"
"118","ATP13A1","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",3.47,0.00131932991074292,"up"
"119","SLC31A1","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",3.42,0.00296650179295229,"up"
"120","SLC25A14","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",3.23,0.000779702270307816,"up"
"121","ABCB1","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",3.08,7.17656464550185e-08,"up"
"122","SLC25A21","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",3.03,0.000101368119426504,"up"
"123","SLC9A6","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",3.02,0.00153900764316744,"up"
"124","SLC6A9","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",2.99,6.36198372052359e-06,"up"
"125","SLC27A3","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",2.92,0.031987540204271,"up"
"126","SLC7A6","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",2.73,0.000705764162152999,"up"
"127","SLC35E1","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",2.64,0.00122499504615721,"up"
"128","ATP9A","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",2.39,0.00718799011567826,"up"
"129","SLC30A5","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",2.16,0.000292373351587569,"up"
"130","SLC37A4","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",2.12,0.00149161419719171,"up"
"131","SLC38A9","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1.99,0.00596772365905017,"up"
"132","SLC37A3","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1.87,7.85691940015512e-06,"up"
"133","SLC7A5","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1.68,0.0089293195675343,"up"
"134","SLC39A11","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1.63,0.0382938028769371,"up"
"135","SLC25A32","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1.61,0.0377563465934065,"up"
"136","ABCA3","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1.55,0.00838356432755927,"up"
"137","SLC7A11","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1.41,0.0118869220820347,"up"
"138","SLC25A1","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1.4,0.00537184308773219,"up"
"139","TFRC","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1.34,0.000516804220053437,"up"
"140","SLC25A3","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1.31,0.0149274287451207,"up"
"141","SLC16A1","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1.29,0.00512544421997455,"up"
"142","SLC11A2","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1.24,0.010616277011419,"up"
"143","SLC2A1","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1.22,0.00259871080040435,"up"
"144","SLC12A2","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1.17,0.00113069581185732,"up"
"145","ATP1A1","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1.15,0.00298174321519671,"up"
"146","ATP5F1C","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1.13,0.0024933818432647,"up"
"147","ATP2A2","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1.1,0.00218920347519297,"up"
"148","ATP5F1A","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1.09,0.00213900016984613,"up"
"149","SLC25A12","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1.09,0.017070290462565,"up"
"150","SLC25A11","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1.05,0.0137241753346481,"up"
"151","SLC29A1","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1.05,0.0431476945257486,"up"
"152","SLC25A4","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1.02,0.0133408436606262,"up"
"153","SLC25A5","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1.02,0.0120685077225722,"up"
"154","SLC25A6","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1,0.0165402794652596,"up"
