EP_WO,GFP_RDH12
P06703,A0A8I5KNT9;A0A8I5KS65;A0A8I5KT53;A0A8I5KVF5;A0A8I5KVR2;A0A8I5KWF1;A0A8I5KWU7;A0A8I5KX91;A0A8I5KXC6;A0A8I5KXU0;A0A8I5KYL1;A0A8I5KZ24;A0A8I5QKV3;F5GXE4
P07315,A0A8I5KPG1
P07451,A0A8I5KQ21;A0A8I5KUB5
P07919,A0A8I5KRC6
P08123,A0A8I5KT56;A0A8I5KUC2;A0A8I5KWH0;A8MQB8;G3V0J0
P08138,A0A8I5KX72;A0AAG2UW87;A0AAG2UWQ9
P08253,A0A8Q3SHZ4
P08294,A0A8Q3WKR3;G3V292;H0YK26
P08842,A0A8Q3WMA7
P09486,A0A8V8TMN3
P09619,A0A8V8TMN4;H0Y9S9;K7ENU7
P09871,A0A8V8TMQ1;A0A8V8TNP6
P0C0L5,A0A8V8TNH8;A0A8V8TPE2;A6NDY2;A6NIJ5;A6NJQ4;A6NKC0;A6NNJ1;A8MWA6;A8MX19;A8MXJ8;A8MXZ1;D6RGX4;P0C7V4;P0C7W8;P0C7W9;P0C7X0;P0DV73;P0DV74
P0C221,A0A8V8TPU9;A0A8V8TQD7;A0AAQ5BGY2
P0C870,A0A994J3M8;A0A994J402;A0A994J6L8;F8VZ52
P10412,A0A994J483
P10523,A0A994J4E9;A0A994J6T5;A0A994J6U9;B4DUQ1;Q5T6W2
P10745,A0A994J4N4;E9PKP7
P10916,A0A994J4R3
P11055,A0A994J4Y8
P11488,A0A994J4Y9;H7C1M2
P12107,A0A994J5B1;H0Y5B0
P12111,A0A994J5E0
P12271,A0A994J5W6;C9JYN0
P12643,A0A994J782
P12829,A0A994J7G2
P12882,A0A994J7P9
P12883,A0A9L9PXE4
P13497,A0A9L9PXH1;A0A9L9PY08;A0A9L9PY13;A0A9L9PY36;A0A9S7JH41;B1ANG9;B1ANH0
P13535,A0A9L9PY41;B1ANH3;B1ANH6
P13686,A0AA34QVE6
P13726,A0AAG2TDC7;A0AAG2TDQ5;A0AAG2TF56
P13929,A0AAG2UVM1
P13942,A0AAQ5BGG2
P14136,A0AV96
P15259,A0PJW6
P15309,A0PJZ3
P15313,A0PK00
P15328,A1A5C7
P15692,A1L020
P16050,A1L390
P16070,A1L3X0
P16144,A1XBS5
P16157,A2A3K4
P16401,A2RU49
P16422,A2RU67
P16455,A2RUR9;Q3MJ40;Q8IYA2
P16520,A2VDF0
P17540,A2VDJ0
P17600,A4D1E9
P17643,A4D1S0
P17661,A4D1U4
P17677,A4D2P6
P17936,A5D8V6
P18065,A5PLL7
P18075,A5PLN9
P18564,A6H8Y1
P19087,A6NCC3
P19237,A6NCE7;Q9GZQ8
P19440,A6NDB9
P19474,A6NDR6;A8K0S8;Q99687
P20742,A6NDU8
P20794,A6NEM2
P20849,A6NFI3
P20908,A6NFY4
P20941,A6NJ78
P21246,A6NJT0
P21291,A6NK44
P21549,A6NK58
P21589,A6NKT7
P21741,A6NNL5
P21810,A6QL63
P22303,A6ZKI3
P22352,A7E2V4
P22676,A8CG34
P22748,A8K968
P22914,A8MTY0
P23141,A8MV81;Q9Y241
P23297,A8MWD9;P62308
P23352,A8MXP9
P23468,A8MXV4
P23471,A9IYQ1
P23942,A9QM74
P24043,A9UHW6
P24593,B0YJ81
P24821,B1ALY0;C9JA33
P25311,B1AMV7;B1AMV8
P25391,B2RTY4
P26012,B3KTM8;H0YLJ3;H0YMJ0
P26447,B4DXR9;Q15928;Q3SXZ3;Q8IYB9;Q8TB69
P26992,B4DY08
P26998,B5ME19;Q99613
P27338,B7Z4M1
P27487,B7Z613
P27658,B7Z7F3
P27701,B7Z9C2;F8VRJ2;F8VV59;F8W118
P28062,B7ZAP0
P28300,B7ZAQ6;P0CG08
P29279,B8ZZC5
P29762,B8ZZJ5;C9J4J4
P29972,C4AMC7;Q6VEQ5
P30711,C9J0J7;G5E9Q6
P31431,C9J0Q5;C9JE98;C9JQE8
P31944,C9J1E1
P32243,C9J406
P32455,C9J798;O43374
P32456,C9J7B1
P34096,C9J7I0
P34931,C9JA93
P35030,C9JBE1
P35070,C9JF15;F8WF40
P35243,C9JGT6;C9JM55;C9K055
P35555,C9JLR9
P35609,C9JM63
P35625,C9JRP1
P35749,C9JRZ8;O60218
P35913,C9JT21
P35968,C9JW01
P36575,C9JXC6
P36959,D6R9P3;D6RBZ0;D6RD18
P37059,D6RBF9;D6REB0
P40126,E5RG19
P40189,E5RGW4
P41217,E7EPN9;H7C5N8
P41218,E9PAZ4;F6WE04
P41219,E9PB61
P41222,E9PBY3;H0YAH3
P41732,E9PDP5;H3BLS9
P42261,E9PDU6
P42330,E9PGC5;H0Y6P5;Q5TG12
P43004,E9PGM1
P43080,E9PGZ1
P43146,E9PIB1
P43320,E9PIE4
P45378,E9PJ10;E9PK58;E9PLU6;E9PMP7;E9PMS6;H0YE95
P45379,E9PK54
P46527,E9PKU7;E9PNH1
P46531,E9PL71;E9PN91
P47895,E9PLP0
P48058,E9PMU7;E9PN18;E9PQ56
P48307,E9PNE2
P48431,E9PPU6;H7C286
P48443,E9PQG4
P48539,E9PRY8
P48728,F5GZG1
P49796,F5H136;F5H676;F5H726
P49908,F5H867
P50135,F8VRH0
