name,ID,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.val,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.val,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_p.val,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.val,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.adj,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.adj,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_p.adj,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.adj,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_significant,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_significant,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_significant,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_significant,significant,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_ratio,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_ratio,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_ratio,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_ratio,GFP_100_atRAL5hr.24h_recvr_centered,GFP_200_atRAL5hr.24h_recvr_centered,GFP_control_atRAL5hr.24h_recvr_centered,RDH12_100_atRAL5hr_centered,RDH12_100_atRAL5hr.24h_recvr_centered,RDH12_200_atRAL5hr_centered,RDH12_200_atRAL5hr.24h_recvr_centered,RDH12_control_atRAL5hr_centered,RDH12_control_atRAL5hr.24h_recvr_centered
EXD2,Q9NVH0,0.21560490486201261,0.02865455117089403,0.7964195328484939,0.008289507595704012,0.525,0.271,0.91,0.176,FALSE,FALSE,FALSE,FALSE,FALSE,0.269,0.496,-0.055,0.616,-0.312,0.239,-0.367,-0.333,-0.0429,0.388,0.184,-0.00727,0.249
EXO1,Q9UQ84,0.0323195266101183,0.21237415213541616,0.2816715669621555,0.06854066003106084,0.2,0.631,0.869,0.461,FALSE,FALSE,FALSE,FALSE,FALSE,0.569,0.318,0.274,0.476,0.0423,0.0873,0.188,-0.612,0.611,-0.806,0.361,-0.535,0.664
EXOC1,Q9NV70,0.9995692332808765,0.9155139648814784,0.7472405319248424,0.8447983363007522,0.862,0.857,0.908,0.904,FALSE,FALSE,FALSE,FALSE,FALSE,4.6e-4,0.0905,0.275,-0.167,0.162,-0.0225,0.287,0.41,0.163,0.321,0.253,-1.69,0.12
EXOC2,Q96KP1,0.8238557083284302,0.8955907585240277,0.7715564231437254,0.9721934083058185,0.835,0.855,0.909,0.915,FALSE,FALSE,FALSE,FALSE,FALSE,-0.128,-0.0757,0.168,-0.0201,0.271,0.0272,0.161,0.178,0.142,0.1,0.195,-1.21,0.14
EXOC3,O60645,0.6817318131301799,0.6414159972861218,0.10819069397435185,0.3398448920643127,0.805,0.815,0.822,0.803,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0734,0.0834,0.297,-0.173,0.0952,-0.118,0.0899,0.149,0.0218,0.251,0.179,-0.584,-0.0827
EXOC4,Q96A65,0.3036313030286852,0.275573779976577,0.9506428298235979,0.33877929144262986,0.623,0.682,0.917,0.802,FALSE,FALSE,FALSE,FALSE,FALSE,-0.265,-0.281,0.0157,-0.246,0.311,0.0135,0.197,0.171,0.0456,0.135,0.0292,-0.853,-0.0489
EXOC5,O00471,0.20569545100848646,0.13979923334853514,0.09631400069912677,0.22697169180133214,0.513,0.542,0.816,0.735,FALSE,FALSE,FALSE,FALSE,FALSE,-0.178,-0.21,0.238,-0.17,0.102,-0.345,0.0102,0.0696,-0.0762,0.379,-0.108,0.128,-0.16
EXOC6,Q8TAG9,0.5136458456125275,0.8491343146903262,0.6088052477912398,0.5512726777572865,0.751,0.849,0.9,0.864,FALSE,FALSE,FALSE,FALSE,FALSE,-0.267,-0.0774,0.209,-0.244,0.278,-0.00811,0.227,0.0275,0.011,0.295,0.201,-1.01,-0.0165
EXOC6B,Q9Y2D4,0.4778067229807055,0.9150104044533058,0.02413063913760207,0.022994606130915963,0.735,0.857,0.723,0.295,FALSE,FALSE,FALSE,FALSE,FALSE,-0.127,0.0189,0.428,-0.432,0.121,-0.287,0.219,-0.0195,-0.0054,-0.0203,0.14,0.0644,-0.212
EXOC7,Q9UPT5,0.09173732968488114,0.7909589114213867,3.978442290937711e-4,0.10816662565107729,0.36,0.841,0.33,0.574,FALSE,FALSE,FALSE,FALSE,FALSE,-0.237,0.0359,0.568,-0.225,0.128,-0.404,0.132,0.157,-0.109,0.0316,0.164,-0.00737,-0.0926
