name,ID,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.val,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.val,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_p.val,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.val,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.adj,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.adj,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_p.adj,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.adj,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_significant,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_significant,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_significant,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_significant,significant,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_ratio,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_ratio,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_ratio,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_ratio,GFP_100_atRAL5hr.24h_recvr_centered,GFP_200_atRAL5hr.24h_recvr_centered,GFP_control_atRAL5hr.24h_recvr_centered,RDH12_100_atRAL5hr_centered,RDH12_100_atRAL5hr.24h_recvr_centered,RDH12_200_atRAL5hr_centered,RDH12_200_atRAL5hr.24h_recvr_centered,RDH12_control_atRAL5hr_centered,RDH12_control_atRAL5hr.24h_recvr_centered
ING4,Q9UNL4,0.11486279764318554,0.09060595996425876,0.3524595441710284,0.11848348803267456,0.401,0.443,0.879,0.596,FALSE,FALSE,FALSE,FALSE,FALSE,0.603,0.65,0.348,0.597,-0.528,-0.226,-0.139,-0.616,0.0745,-0.045,0.122,0.901,0.457
ING5,Q8WYH8,0.07614575056888823,0.017540940983691074,0.04388301762793767,0.36350832549541756,0.33,0.212,0.767,0.812,FALSE,FALSE,FALSE,FALSE,FALSE,0.743,1.03,0.854,0.369,-0.622,-0.448,-0.195,-0.795,0.12,0.283,0.406,1.08,0.174
INIP,Q9NRY2,0.4293681378657147,0.2769669729824548,7.086970824869082e-5,0.5778830834604329,0.711,0.683,0.192,0.869,FALSE,FALSE,FALSE,FALSE,FALSE,0.693,0.96,4.29,0.486,0.264,-3.07,0.928,-0.867,0.956,-0.804,1.22,-0.0464,1.41
INO80,Q9ULG1,0.8697760776507463,0.9938105456060228,0.6022825364329882,0.8976015569546811,0.843,0.866,0.9,0.909,FALSE,FALSE,FALSE,FALSE,FALSE,0.157,0.0074400000000000004,-0.501,0.123,0.208,0.717,0.238,-0.158,0.365,0.467,0.215,-2.41,0.361
INO80B,Q9C086,0.5052676957012889,0.323456304250173,0.4524338488444172,0.927787748140299,0.747,0.711,0.889,0.911,FALSE,FALSE,FALSE,FALSE,FALSE,-0.229,0.341,-0.258,-0.0309,-0.176,0.423,0.0152,-0.292,-0.404,-0.0172,0.165,0.301,-0.0157
INO80C,Q6PI98,0.16724025036723955,0.007890550241719184,0.00342118665622194,0.3173832414996785,0.474,0.15,0.538,0.792,FALSE,FALSE,FALSE,FALSE,FALSE,0.394,0.813,0.914,0.282,-0.34,-0.442,-0.0872,-0.544,0.0545,0.119,0.473,0.571,0.195
INO80E,Q8NBZ0,0.08456158107664369,0.024125811556262693,0.008079745410514637,0.0970997103723974,0.347,0.25,0.627,0.547,FALSE,FALSE,FALSE,FALSE,FALSE,0.938,1.26,1.52,0.9,-0.293,-0.553,-0.0407,-1.67,0.645,-0.229,0.968,0.309,0.859
INPP1,P49441,0.5032651174228819,0.5416268011524237,0.6878598082278291,0.07973498367828799,0.746,0.793,0.905,0.497,FALSE,FALSE,FALSE,FALSE,FALSE,-0.218,-0.198,-0.13,-0.59,0.192,0.124,0.162,0.298,-0.0256,0.229,-0.00618,-0.545,-0.428
INPP4A,Q96PE3,0.9119906145362389,0.8762572499178791,0.7767887200198624,0.8267995801510197,0.849,0.852,0.91,0.902,FALSE,FALSE,FALSE,FALSE,FALSE,0.11,-0.155,0.282,0.218,0.538,0.101,0.238,0.417,0.648,-0.78,0.383,-2,0.455
INPP5A,Q14642,0.9925997192784869,0.803374491835622,0.25335290935711097,0.8810556595695427,0.861,0.843,0.865,0.907,FALSE,FALSE,FALSE,FALSE,FALSE,-0.00446,-0.12,-0.559,0.072,0.0528,0.492,-0.13,0.128,0.0483,0.112,-0.0671,-0.578,-0.0581
INPP5B,P32019,0.34619296921933596,0.6102724212649115,0.6513388651943405,0.6295026083399902,0.658,0.809,0.903,0.878,FALSE,FALSE,FALSE,FALSE,FALSE,0.495,0.266,-0.235,0.251,-0.738,-0.237,0.0013,-0.111,-0.243,0.507,-0.472,1.04,0.253
INPP5F,Q9Y2H2,0.9665702014228352,0.23848854340299092,0.5880701603831109,0.10488115520947243,0.857,0.654,0.899,0.566,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0209,-0.599,-0.271,-0.837,0.122,-0.206,0.287,0.126,0.101,-0.332,-0.477,0.93,-0.55
INPP5K,Q9BT40,0.699617643765184,0.7681234195875133,0.47164121144180393,0.07038687062758194,0.809,0.838,0.891,0.467,FALSE,FALSE,FALSE,FALSE,FALSE,-0.421,0.322,-0.789,2.06,0.185,1.3,-1.82,1.25,-0.236,0.576,0.506,-2,0.236
INPPL1,O15357,0.1802323897572704,0.500282260435472,0.18299490556832465,0.08272360620457969,0.488,0.781,0.849,0.507,FALSE,FALSE,FALSE,FALSE,FALSE,-0.226,-0.112,0.224,-0.297,0.208,-0.128,0.184,0.116,-0.018,-0.0845,0.0962,-0.261,-0.113
INSR,P06213,0.7231031375208412,0.7217384932013572,0.10129906635518107,0.6709282069461209,0.814,0.83,0.819,0.884,FALSE,FALSE,FALSE,FALSE,FALSE,0.0743,-0.0747,-0.355,0.0891,-0.149,0.132,-0.0705,-0.0319,-0.0743,0.25,-0.223,0.148,0.0186
INTS1,Q8N201,0.7989046741066772,0.32351040017662736,0.004575595640258953,0.10668154575914444,0.83,0.711,0.569,0.57,FALSE,FALSE,FALSE,FALSE,FALSE,0.0653,-0.256,-0.809,0.428,0.188,0.74,-0.139,-0.695,0.253,0.43,-0.0685,-0.998,0.289
INTS10,Q9NVR2,0.7498645204876125,0.9379079510921389,0.4035937343994933,0.5517767666733773,0.82,0.86,0.884,0.864,FALSE,FALSE,FALSE,FALSE,FALSE,0.3,-0.0733,-0.793,0.563,0.194,0.914,0.0112,-0.293,0.494,0.644,0.12,-2.66,0.574
INTS11,Q5TA45,0.9469675665901971,0.8307362614803451,0.48914048303980395,0.8995268314084068,0.855,0.847,0.892,0.909,FALSE,FALSE,FALSE,FALSE,FALSE,0.0647,-0.208,-0.677,0.123,0.339,0.807,0.132,0.0584,0.403,0.269,0.131,-2.39,0.254
INTS12,Q96CB8,0.11816785299840847,0.07382972599882566,0.862641023695101,0.1646074929169046,0.407,0.403,0.913,0.671,FALSE,FALSE,FALSE,FALSE,FALSE,0.464,0.536,0.0498,0.41,-0.269,0.217,-0.192,-0.751,0.195,0.149,0.267,0.167,0.218
INTS13,Q9NVM9,0.4987780472910269,0.8661257672097646,0.07090500980669873,0.5245380593525681,0.744,0.851,0.798,0.859,FALSE,FALSE,FALSE,FALSE,FALSE,0.188,-0.0466,-0.52,0.177,0.0256,0.499,0.024,-0.0311,0.213,0.0303,-0.021,-0.941,0.201
INTS14,Q96SY0,0.9216332373539463,0.43096535981720496,0.016134101877420357,0.26066201533103706,0.851,0.759,0.69,0.76,FALSE,FALSE,FALSE,FALSE,FALSE,0.0189,-0.153,-0.5,0.22,0.0226,0.37,-0.118,-0.14,0.0416,0.183,-0.13,-0.331,0.102
INTS15,Q96N11,0.8275994410637928,0.6389124707058964,0.3789808732367269,0.8364119557052382,0.836,0.815,0.882,0.903,FALSE,FALSE,FALSE,FALSE,FALSE,0.246,-0.531,-1,0.233,0.489,0.961,0.403,0.467,0.735,-0.376,-0.0419,-3.27,0.637
INTS2,Q9H0H0,0.7245893773783414,0.6648407201347233,0.1617926939199742,0.4483683332580902,0.815,0.82,0.843,0.84,FALSE,FALSE,FALSE,FALSE,FALSE,0.225,-0.277,-0.915,0.487,0.213,0.851,0.0546,-0.44,0.438,0.148,-0.064,-1.74,0.542
INTS3,Q68E01,0.5894366500378061,0.7515788005293408,0.1717835548918737,0.14509133664743457,0.778,0.835,0.846,0.643,FALSE,FALSE,FALSE,FALSE,FALSE,0.182,-0.106,-0.47,0.503,0.173,0.537,0.0428,-0.46,0.355,-0.0178,0.0667,-1.24,0.546
INTS4,Q96HW7,0.8753132256156699,0.8920122382633682,0.4290997467641392,0.575282892106546,0.844,0.854,0.887,0.869,FALSE,FALSE,FALSE,FALSE,FALSE,0.135,-0.117,-0.687,0.485,0.36,0.931,0.0854,-0.431,0.496,0.222,0.243,-2.48,0.571
INTS5,Q6P9B9,0.7166082691869091,0.6214811310654207,0.0417285590081771,0.15101534420526377,0.813,0.811,0.764,0.652,FALSE,FALSE,FALSE,FALSE,FALSE,0.122,-0.166,-0.721,0.494,0.431,0.986,0.179,-0.736,0.553,0.0244,0.265,-2.38,0.674
INTS6,Q9UL03,0.4678610856420814,0.691399920723119,0.02051919231463054,0.1361059870115138,0.731,0.825,0.71,0.628,FALSE,FALSE,FALSE,FALSE,FALSE,0.268,-0.146,-0.911,0.562,-0.0585,0.707,-0.329,-0.902,0.209,0.263,-0.204,0.0819,0.233
INTS6L,Q5JSJ4,0.5585998979111462,0.8674293389435281,0.08426893702143352,0.5051363707378714,0.768,0.851,0.808,0.854,FALSE,FALSE,FALSE,FALSE,FALSE,0.279,-0.0792,-0.851,0.318,0.519,1.29,0.213,-0.724,0.797,-0.0863,0.439,-2.98,0.531
INTS7,Q9NVH2,0.9548431127184527,0.7341709158700492,0.421997812180261,0.7311999992962943,0.856,0.832,0.886,0.892,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0447,-0.268,-0.639,0.271,0.502,0.873,0.296,-0.103,0.457,0.0293,0.234,-2.86,0.568
INTS8,Q75QN2,0.7615522728432106,0.6356368964847084,0.08101996512255531,0.379815639925315,0.823,0.814,0.806,0.819,FALSE,FALSE,FALSE,FALSE,FALSE,0.194,-0.304,-1.16,0.567,0.69,1.55,0.337,-0.928,0.885,-0.337,0.387,-3.49,0.904
INTS9,Q9NV88,0.34419152448838075,0.9409513462605483,0.011378049600282191,0.1333914649358523,0.657,0.86,0.659,0.624,FALSE,FALSE,FALSE,FALSE,FALSE,0.242,0.0187,-0.696,0.39,0.0104,0.725,-0.118,-0.358,0.252,-0.107,0.0291,-0.706,0.272
IP6K1,Q92551,0.8489823671018579,0.8972570848573895,0.24877097725327124,0.21343048092938868,0.839,0.855,0.864,0.724,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0401,0.0272,-0.247,0.267,0.0403,0.315,-0.0913,-0.073,2.34e-4,-0.402,0.0675,-0.0322,0.176
IPMK,Q8NFU5,0.8094601150271051,0.6722129118381713,0.15974303156266792,0.37195656528727516,0.832,0.821,0.843,0.816,FALSE,FALSE,FALSE,FALSE,FALSE,0.117,0.205,0.699,-0.437,0.0394,-0.454,0.129,-0.448,0.156,-0.0701,0.245,0.712,-0.308
IPO11,Q9UI26,0.7329920468678797,0.7998265219963744,0.5953896540259713,0.6087998186799608,0.817,0.842,0.9,0.875,FALSE,FALSE,FALSE,FALSE,FALSE,-0.165,-0.123,0.258,-0.248,0.521,0.141,0.441,0.0389,0.356,-0.392,0.399,-1.7,0.193
IPO13,O94829,0.8408309295081247,0.7490281822127212,0.9753205282927583,0.8299181407258513,0.838,0.835,0.918,0.903,FALSE,FALSE,FALSE,FALSE,FALSE,-0.246,-0.392,-0.0379,-0.263,0.842,0.488,0.791,0.316,0.596,-1.06,0.45,-2.95,0.528
IPO4,Q8TEX9,0.9273459989001429,0.43002460387111785,0.6382213091142437,0.9663290218141681,0.852,0.759,0.902,0.914,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0344,-0.3,0.178,-0.0159,0.245,-0.233,0.207,0.137,0.21,0.204,-0.0551,-0.905,0.191
IPO5,O00410,0.8641549158417247,0.2716051472296551,0.30716984124453045,0.4800754874466747,0.842,0.679,0.873,0.849,FALSE,FALSE,FALSE,FALSE,FALSE,0.0406,-0.265,0.246,-0.169,0.348,-0.163,0.318,-0.0537,0.389,-0.454,0.0829,-0.616,0.149
IPO7,O95373,0.5800152778311312,0.39819201508253965,0.8070833343100927,0.46508505581829607,0.775,0.746,0.911,0.845,FALSE,FALSE,FALSE,FALSE,FALSE,-0.176,-0.27,0.0773,-0.233,0.35,0.00247,0.285,0.164,0.174,-0.207,0.0798,-0.9,0.0522
IPO8,O15397,0.24961863814444074,0.3142481674837775,0.5788853160306892,0.20393551566367474,0.568,0.706,0.898,0.715,FALSE,FALSE,FALSE,FALSE,FALSE,-0.305,-0.265,-0.145,-0.338,0.33,0.209,0.213,0.104,0.0247,0.0585,0.0642,-0.878,-0.125
IPO9,Q96P70,0.3321005728843317,0.07362211369537049,0.4026583119778173,0.18024470835450665,0.647,0.402,0.884,0.69,FALSE,FALSE,FALSE,FALSE,FALSE,-0.158,-0.3,0.136,-0.22,0.395,-0.041,0.349,-0.0857,0.237,-0.479,0.0948,-0.598,0.128
IQCB1,Q15051,0.8338326090944133,0.8894129801857794,0.8370839337553384,0.3339048815581337,0.837,0.854,0.912,0.8,FALSE,FALSE,FALSE,FALSE,FALSE,0.252,0.167,0.247,-1.17,0.839,0.76,-1.06,1.38,1.09,0.34,1.01,-2.11,-2.24
IQCC,Q4KMZ1,0.7312974931084636,0.6252001915362448,0.02245654720174714,0.7344539998659998,0.816,0.812,0.718,0.892,FALSE,FALSE,FALSE,FALSE,FALSE,0.242,0.344,-1.72,-0.239,-0.965,1.1,-0.336,0.549,-0.723,1.37,-0.621,0.205,-0.575
IQCE,Q6IPM2,0.5787744690973258,0.159560865615944,0.14185782032033908,0.6822552105956785,0.775,0.571,0.837,0.886,FALSE,FALSE,FALSE,FALSE,FALSE,0.428,1.11,1.16,0.315,-0.272,-0.324,0.345,-0.0659,0.156,-1.37,0.837,0.0334,0.66
IQGAP1,P46940,0.7870419015295138,0.9436235770287034,0.1885890252918636,0.7894430798262777,0.828,0.86,0.851,0.899,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0411,-0.0107,0.204,-0.0406,0.126,-0.0892,0.0403,0.188,0.0847,-0.12,0.115,-0.344,-3.21e-4
IQGAP2,Q13576,0.58149192300743,0.6748752293397084,0.5588963298803711,0.5503267185946035,0.776,0.822,0.897,0.864,FALSE,FALSE,FALSE,FALSE,FALSE,-0.112,-0.0851,0.119,-0.121,0.296,0.0925,0.188,-0.142,0.184,-0.185,0.211,-0.712,0.0665
IQGAP3,Q86VI3,0.6753866250727794,0.8883240861404235,0.7264439900437712,0.836073911796161,0.803,0.854,0.907,0.903,FALSE,FALSE,FALSE,FALSE,FALSE,0.089,-0.0298,-0.0743,0.0439,0.276,0.32,0.174,0.599,0.365,1.02,0.246,-3.22,0.218
IQSEC1,Q6DN90,0.27498180488858515,0.04103333331317074,0.025036115337150402,0.29566064331151753,0.596,0.314,0.726,0.781,FALSE,FALSE,FALSE,FALSE,FALSE,0.226,0.44,0.488,0.216,-0.0287,-0.0767,0.0711,-0.184,0.197,-0.112,0.411,-0.566,0.287
IRAK1,P51617,0.5075147769455677,0.8997225822811548,0.3899632858688372,0.4607342241327602,0.748,0.855,0.883,0.844,FALSE,FALSE,FALSE,FALSE,FALSE,-0.182,0.0343,0.236,-0.202,0.0806,-0.121,0.145,0.0356,-0.101,0.543,0.115,-0.639,-0.0575
IRAK4,Q9NWZ3,0.9105864158626984,0.9237253763024279,0.6028751347843273,0.7530028569654226,0.849,0.858,0.9,0.894,FALSE,FALSE,FALSE,FALSE,FALSE,-0.088,0.075,0.409,-0.247,0.474,0.14,0.546,0.36,0.386,-0.219,0.549,-2.53,0.299
IREB2,P48200,0.826448041516884,0.7204344997202814,0.005458436172720462,0.7529379693344398,0.835,0.83,0.588,0.894,FALSE,FALSE,FALSE,FALSE,FALSE,0.0788,-0.129,1.11,0.113,0.0694,-1.17,0.0913,1.04,0.148,-0.497,-0.0593,0.173,0.204
IRF2,P14316,0.09293085833874286,0.013358335619413042,0.16938847245907004,0.1725642562372511,0.362,0.188,0.846,0.681,FALSE,FALSE,FALSE,FALSE,FALSE,1.02,1.56,0.821,0.814,-0.966,-0.223,-0.382,-0.666,0.0502,0.17,0.598,0.986,0.433
IRF2BP1,Q8IU81,0.1362996503589706,0.694794296275362,0.08409608066189234,0.2432127278458113,0.435,0.826,0.808,0.748,FALSE,FALSE,FALSE,FALSE,FALSE,-0.284,0.0727,0.332,-0.22,-0.0495,-0.309,0.206,-0.0168,-0.333,0.0853,0.0232,0.408,-0.0139
IRF2BP2,Q7Z5L9,0.8846337310516488,0.17328890528326085,6.851224366954439e-4,0.7249697700109993,0.845,0.588,0.377,0.891,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0569,0.547,1.56,-0.138,-0.165,-1.17,0.493,-0.142,-0.221,-0.333,0.382,0.803,0.355
IRF2BPL,Q9H1B7,0.6766692803283516,0.07403744893333024,4.7762314728304144e-4,0.7343462928738133,0.803,0.403,0.345,0.892,FALSE,FALSE,FALSE,FALSE,FALSE,0.124,0.552,1.22,-0.101,0.0596,-0.61,0.448,-0.528,0.183,-0.747,0.611,0.235,0.347
IRF3,Q14653,0.5178101558909447,0.6514428340061947,0.27531828819327053,0.860882162809326,0.752,0.817,0.868,0.906,FALSE,FALSE,FALSE,FALSE,FALSE,-0.155,-0.108,0.263,0.0417,0.103,-0.268,-0.0819,0.387,-0.0519,0.0569,-0.00503,-0.099,-0.0402
IRGQ,Q8WZA9,0.20084607457314527,0.14259894190444572,0.3742194879203117,0.156363205331807,0.508,0.546,0.881,0.66,FALSE,FALSE,FALSE,FALSE,FALSE,-0.267,-0.308,0.183,-0.297,0.214,-0.277,0.158,0.259,-0.0524,-0.357,-0.0934,0.286,-0.139
IRS4,O14654,0.0022751846947438896,3.260794678926969e-4,0.0024450804475857272,0.0035997520384015405,0.0201,0.0226,0.501,0.102,FALSE,FALSE,FALSE,FALSE,FALSE,0.62,0.768,0.614,0.584,-0.254,-0.101,-0.199,-0.196,0.365,-0.0153,0.513,-0.5,0.386
ISCA1,Q9BUE6,0.3417358384220921,0.44960128673948463,0.9502397853093751,0.03546481187149861,0.655,0.766,0.917,0.346,FALSE,FALSE,FALSE,FALSE,FALSE,0.202,0.16,0.0131,0.469,-0.275,-0.128,-0.463,0.0993,-0.073,0.589,-0.115,0.361,0.00527
ISCA2,Q86U28,0.023965591957159343,0.08414141170984418,0.01859788797132293,0.08051220675422908,0.161,0.427,0.702,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,0.501,0.373,0.525,0.377,-0.134,-0.287,-0.0829,-0.52,0.367,-0.0785,0.239,0.201,0.294
ISCU,Q9H1K1,0.006593006247422992,0.004810261230228882,6.713253649715697e-5,0.03277631940151207,0.0571,0.119,0.188,0.334,FALSE,FALSE,FALSE,FALSE,FALSE,0.93,0.972,1.54,0.703,-0.444,-1.01,-0.102,-0.624,0.485,0.0415,0.528,0.526,0.601
ISG20L2,Q9H9L3,0.27149999300864047,0.0782237912765486,0.31807535112630975,0.6761619926298168,0.592,0.411,0.874,0.885,FALSE,FALSE,FALSE,FALSE,FALSE,0.283,0.464,-0.256,0.106,-0.302,0.418,-0.167,-0.381,-0.0191,0.076,0.162,0.273,-0.0611
ISL1,P61371,0.6741919648541099,0.9593619230550562,0.8925855580059918,0.13784345997045197,0.803,0.862,0.915,0.631,FALSE,FALSE,FALSE,FALSE,FALSE,-0.313,-0.0379,-0.1,1.14,-0.447,-0.384,-0.514,0.148,-0.76,0.3,-0.485,1.52,0.621
ISL2,Q96A47,0.9947949648349059,0.5262999725556388,0.4725029109665252,0.9751121544600438,0.861,0.789,0.891,0.915,FALSE,FALSE,FALSE,FALSE,FALSE,0.00279,0.272,-0.309,-0.0133,-0.47,0.111,-0.353,-0.122,-0.467,0.537,-0.198,1.33,-0.366
ISOC1,Q96CN7,0.41446728250095644,0.03692544407603745,0.2696455849556404,0.23143372925252184,0.703,0.302,0.867,0.739,FALSE,FALSE,FALSE,FALSE,FALSE,-0.147,-0.396,0.201,-0.218,0.121,-0.475,0.0478,0.5,-0.0264,0.0829,-0.275,0.196,-0.17
ISOC2,Q96AB3,0.19511960109935714,0.07958354902569487,0.45359222149746947,0.35911143242588295,0.503,0.414,0.889,0.811,FALSE,FALSE,FALSE,FALSE,FALSE,0.376,-0.518,-0.214,0.263,-0.551,-0.855,-0.618,0.932,-0.176,1.85,-1.07,0.838,-0.355
IST1,P53990,0.7480898518736532,0.5253149922087426,7.682581228967673e-4,0.0864016840488465,0.82,0.788,0.387,0.518,FALSE,FALSE,FALSE,FALSE,FALSE,-0.08,0.159,0.976,-0.443,-0.0905,-0.907,0.39,-0.212,-0.171,-0.0813,0.0684,1.06,-0.0531
ISY1,Q9ULR0,0.5573946436681987,0.40610861241858454,0.35699873777574687,0.477417732233718,0.767,0.75,0.879,0.848,FALSE,FALSE,FALSE,FALSE,FALSE,0.221,0.314,0.348,0.268,-0.352,-0.386,0.0235,-0.651,-0.131,0.139,-0.0379,1.1,0.291
ISYNA1,Q9NPH2,0.019939083808857547,0.2532617942352285,0.24228468150292284,0.08770918743595209,0.144,0.666,0.863,0.522,FALSE,FALSE,FALSE,FALSE,FALSE,0.664,0.309,0.316,0.471,-0.132,-0.14,-0.0203,-0.727,0.532,-0.334,0.177,0.194,0.451
ITCH,Q96J02,0.3266345319407242,0.68133938523091,0.8727008749165185,0.09443629483965181,0.643,0.823,0.914,0.54,FALSE,FALSE,FALSE,FALSE,FALSE,0.169,0.0699,0.0272,0.295,0.034,0.0766,-0.11,-0.0228,0.203,-0.0443,0.104,-0.426,0.185
ITFG1,Q8TB96,0.0805797558309331,0.0711854048755139,0.8183539382601148,0.6321090586871121,0.339,0.397,0.911,0.878,FALSE,FALSE,FALSE,FALSE,FALSE,0.52,0.538,-0.0657,0.137,-0.845,-0.242,-0.494,0.385,-0.326,1.15,-0.307,1.03,-0.357
ITGA1,P56199,0.40721766989969055,0.3902096884875401,0.2940531919458882,0.7355240305961197,0.699,0.743,0.871,0.892,FALSE,FALSE,FALSE,FALSE,FALSE,0.322,0.334,-0.41,0.13,-0.677,0.0673,-0.354,-0.194,-0.355,1.04,-0.343,1.04,-0.224
ITGA2,P17301,0.3272120609640319,0.559378683220782,0.1904545070475261,0.30593341673584223,0.643,0.797,0.851,0.787,FALSE,FALSE,FALSE,FALSE,FALSE,0.252,0.149,-0.34,0.263,-0.391,0.0974,-0.265,-0.337,-0.139,0.568,-0.242,0.71,-0.00123
ITGA3,P26006,0.025717766805099736,0.014282076251018632,0.712453778131426,0.07546716053861877,0.17,0.194,0.906,0.483,FALSE,FALSE,FALSE,FALSE,FALSE,1.07,1.19,0.166,0.833,-1.19,-0.168,-0.695,-0.456,-0.123,0.686,-0.00151,1.81,0.138
ITGA4,P13612,0.594271805613626,0.6884622692800876,0.6431328083140337,0.17913415138287753,0.78,0.824,0.902,0.689,FALSE,FALSE,FALSE,FALSE,FALSE,0.681,0.512,-0.592,1.75,-0.559,0.544,-1.4,-1.09,0.122,0.896,-0.0473,1.19,0.35
ITGA5,P08648,0.1307135313962828,0.14127540806584862,0.9889984997657595,0.29825591525344397,0.427,0.544,0.918,0.782,FALSE,FALSE,FALSE,FALSE,FALSE,0.606,0.589,-0.00537,0.411,-0.856,-0.261,-0.518,-0.0851,-0.249,1.08,-0.267,1.27,-0.107
ITGA6,P23229,0.1254082449348354,0.15353543693544888,0.7400023750775551,0.2651119200099436,0.419,0.562,0.908,0.763,FALSE,FALSE,FALSE,FALSE,FALSE,0.52,0.482,-0.109,0.372,-0.695,-0.104,-0.263,-0.347,-0.175,0.628,-0.213,1.06,0.109
ITGA7,Q13683,0.12480493866321007,0.606097796262179,0.08874495260324516,0.12877619157522682,0.418,0.808,0.811,0.616,FALSE,FALSE,FALSE,FALSE,FALSE,0.515,0.168,-0.575,0.51,-0.613,0.131,-0.514,-0.063,-0.0974,0.693,-0.444,0.911,-0.00407
ITGA8,P53708,0.70910375387990765,0.972236959284343,0.06519708049583486,0.8465354239009678,0.811,0.863,0.793,0.904,FALSE,FALSE,FALSE,FALSE,FALSE,0.138,0.0129,-0.714,-0.0718,-0.614,0.113,-0.205,-0.28,-0.475,0.945,-0.601,1.39,-0.277
ITGAV,P06756,0.353224851289323,0.2814725563795351,0.22299042792738946,0.6693835174845522,0.663,0.686,0.859,0.884,FALSE,FALSE,FALSE,FALSE,FALSE,0.3,0.35,-0.397,0.137,-0.798,-0.0509,-0.474,0.244,-0.498,1.08,-0.448,1.28,-0.337
ITGB1,P05556,0.7899474913929985,0.90056236133806,0.49712576104720974,0.9693578579921787,0.829,0.855,0.893,0.915,FALSE,FALSE,FALSE,FALSE,FALSE,0.0926,0.0434,-0.237,-0.0133,-0.66,-0.379,-0.0635,-0.0584,-0.567,1.11,-0.616,1.31,-0.0769
ITGB3,P05106,0.9467242252105267,0.6032711203105288,0.5039291304013476,0.0017171219381286438,0.855,0.807,0.893,0.0548,FALSE,FALSE,FALSE,FALSE,FALSE,0.0621,0.485,0.625,3.33,0.359,0.218,-2.32,-1.13,0.421,0.225,0.843,0.369,1.01
ITGB3BP,Q13352,0.10407140293582713,0.013350796575647611,0.005638010778655759,0.20843960795093114,0.381,0.188,0.591,0.719,FALSE,FALSE,FALSE,FALSE,FALSE,0.722,1.15,1.32,0.551,-0.489,-0.654,-0.0687,-1.01,0.232,-0.157,0.662,1,0.482
ITGB5,P18084,0.5095074792297618,0.6731665821480597,0.0362096906965693,0.036031338520684325,0.749,0.822,0.754,0.349,FALSE,FALSE,FALSE,FALSE,FALSE,0.197,-0.126,-0.659,0.66,-0.602,-0.0683,-0.714,0.326,-0.405,1.15,-0.728,1.1,-0.0545
ITIH2,P19823,0.6615314314335512,0.6045644798031188,1.2652729592982085e-4,0.01915224013131057,0.799,0.808,0.235,0.274,FALSE,FALSE,FALSE,FALSE,FALSE,-0.16,-0.189,-1.71,-0.916,-1.19,0.322,-0.442,1.67,-1.35,2.28,-1.38,1.46,-1.36
ITIH4,Q14624,0.1343090424486746,0.23594750547322985,0.6068374135599969,0.04611404684417056,0.432,0.652,0.9,0.386,FALSE,FALSE,FALSE,FALSE,FALSE,1.39,1.09,-0.466,-1.9,-3.42,-1.86,-0.141,3.66,-2.03,4.12,-2.33,4.03,-2.04
ITM2B,Q9Y287,0.13454331056809316,0.22556499783211434,0.25562519952141377,0.021290425231943272,0.433,0.643,0.865,0.287,FALSE,FALSE,FALSE,FALSE,FALSE,-0.431,-0.346,-0.323,-0.691,-0.985,-1.01,-0.793,2.72,-1.42,2.31,-1.33,1.99,-1.48
ITM2C,Q9NQX7,0.1852781930913986,0.6153905839105516,0.8868333034179692,0.024195924388572692,0.493,0.81,0.914,0.3,FALSE,FALSE,FALSE,FALSE,FALSE,-0.338,-0.126,-0.0355,-0.601,-1.07,-1.16,-0.633,2.58,-1.41,2.35,-1.2,1.79,-1.23
