name,ID,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,significant,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,GFP_100_atRAL5hr.24h_recvr_centered,GFP_200_atRAL5hr.24h_recvr_centered,GFP_control_atRAL5hr.24h_recvr_centered,RDH12_100_atRAL5hr_centered,RDH12_100_atRAL5hr.24h_recvr_centered,RDH12_200_atRAL5hr_centered,RDH12_200_atRAL5hr.24h_recvr_centered,RDH12_control_atRAL5hr_centered,RDH12_control_atRAL5hr.24h_recvr_centered
PKN2,Q16513,2.2868467871095892e-5,0.558886451600877,8.795055341884958e-5,0.491,0.892,1,FALSE,FALSE,FALSE,FALSE,-0.796,0.0861,-0.71,-0.132,-0.287,-0.147,-0.114,0.0157,-0.0278,0.0381,0.682,-0.0291
PKN3,Q6P5Z2,0.00481121314082142,0.7734338828507493,0.0024677198183003382,0.503,0.908,1,FALSE,FALSE,FALSE,FALSE,1.94,0.179,2.12,0.734,1.06,0.554,-0.557,0.446,-0.378,0.179,-2.5,0.465
PKNOX1,P55347,0.019442408865981368,0.08812875174369779,0.4622552129621934,0.525,0.763,1,FALSE,FALSE,FALSE,FALSE,-0.84,0.593,-0.248,-0.128,-0.272,-0.356,-0.414,0.45,0.178,0.0567,0.426,0.0588
PKNOX2,Q96KN3,0.45113664686745547,0.7892259338707452,0.31102604713777054,0.653,0.909,1,FALSE,FALSE,FALSE,FALSE,1.48,0.52,2,-2.94,-0.261,-2.59,4.91,-2.34,5.43,-3.32,3.43,-2.31
PKP2,Q99959,0.02107845545211472,0.7425045568811186,0.010215987687965456,0.527,0.906,1,FALSE,FALSE,FALSE,FALSE,0.533,0.0709,0.604,0.0594,0.186,-0.0438,-0.417,0.455,-0.346,0.501,-0.95,0.555
PKP4,Q99569,0.06669677806098175,0.8329027571916758,0.09978830864199902,0.561,0.912,1,FALSE,FALSE,FALSE,FALSE,0.542,-0.0597,0.482,-0.461,0.0178,-0.279,0.117,0.136,0.0578,0.483,-0.424,0.352
PLA2G12A,Q9BZM1,9.412327650343327e-5,0.018204961775534014,0.03233351721938315,0.497,0.697,1,FALSE,FALSE,FALSE,FALSE,-2.24,1.18,-1.06,-0.646,-1.1,-0.25,-0.351,-0.127,0.83,-0.243,1.89,-0.00349
PLA2G15,Q8NCC3,0.7245916190997528,0.004810170751775285,0.0107156951508761,0.683,0.666,1,FALSE,FALSE,FALSE,FALSE,-0.0532,0.473,0.419,0.136,0.422,0.039,-0.448,0.0703,0.0244,0.187,-0.395,-0.0366
PLA2G2D,Q9UNK4,0.028209112719184123,0.8629779984470572,0.04044537028867727,0.533,0.913,1,FALSE,FALSE,FALSE,FALSE,-1.62,0.119,-1.5,-1.12,0.832,0.358,-0.177,-1,-0.0579,-0.768,1.44,0.498
PLA2G4A,P47712,0.35521004857773353,0.03440979461370609,0.004353296168582485,0.639,0.724,1,FALSE,FALSE,FALSE,FALSE,0.197,0.472,0.668,-0.0611,0.558,-0.575,0.179,-0.042,0.651,-0.358,-0.0172,-0.335
PLAA,Q9Y263,0.004365523107550216,0.19284525381433787,0.07646435940015986,0.502,0.826,1,FALSE,FALSE,FALSE,FALSE,1.45,-0.606,0.841,0.265,0.197,0.147,0.386,0.126,-0.22,0.0871,-1.06,0.0721
PLAGL1,Q9UM63,0.6501692575429079,0.10334003555207599,0.22689316963078598,0.676,0.775,1,FALSE,FALSE,FALSE,FALSE,-0.515,1.91,1.39,0.0625,0.189,0.966,-1.5,0.228,0.412,-0.418,-0.982,1.04
PLAGL2,Q9UPG8,0.31647550347476017,0.658253666333621,0.5693489493899855,0.632,0.9,1,FALSE,FALSE,FALSE,FALSE,-1.39,0.608,-0.783,-0.879,0.147,-1.62,0.803,0.458,1.41,-3.33,2.19,0.821
PLAT,P00750,0.015278763368254678,5.121940002840628e-4,0.15227649997335035,0.519,0.619,1,FALSE,FALSE,FALSE,FALSE,-0.564,0.88,0.316,-0.85,-0.333,-1.1,0.361,0.0297,1.24,0.00537,0.925,-0.282
PLAUR,Q03405,7.733219044197737e-4,0.0013839757742784545,0.8047684563271794,0.5,0.637,1,FALSE,FALSE,FALSE,FALSE,-2.02,1.89,-0.128,-0.26,-1.05,-0.0985,-0.866,0.0729,1.03,-0.013,1.16,0.0338
PLBD2,Q8NHP8,1.4010227724927862e-4,0.003554032406303246,0.17822486847921032,0.498,0.66,1,FALSE,FALSE,FALSE,FALSE,-2.42,1.71,-0.72,-0.692,-0.619,-0.31,-0.883,-0.0517,0.822,0.0668,1.54,0.125
PLCB1,Q9NQ66,0.0025968612825918334,0.5594513344712366,0.009955028566910691,0.502,0.892,1,FALSE,FALSE,FALSE,FALSE,-1.09,0.188,-0.902,-0.102,-0.712,0.0218,-0.385,0.141,-0.197,0.26,0.705,0.267
PLCB3,Q01970,3.509811412530754e-4,0.8725677351546273,5.121152508167462e-4,0.499,0.914,1,FALSE,FALSE,FALSE,FALSE,-1.32,0.0499,-1.27,-0.292,-0.674,-0.0766,0.117,-0.277,0.167,-0.22,1.44,-0.183
PLCD3,Q8N3E9,0.003353791091749655,0.8738635493788123,0.0023177307077995894,0.502,0.914,1,FALSE,FALSE,FALSE,FALSE,1.02,0.0494,1.07,0.251,0.676,0.0494,-0.369,0.439,-0.319,0.251,-1.39,0.414
PLCG1,P19174,0.015834583804577508,0.013790800201994788,0.949964490813441,0.52,0.687,1,FALSE,FALSE,FALSE,FALSE,0.93,-0.953,-0.0224,0.331,-0.271,0.252,0.342,0.113,-0.611,0.267,-0.588,0.165
PLCG2,P16885,0.013429540258932159,0.1874116715230586,0.19255616320300248,0.517,0.824,1,FALSE,FALSE,FALSE,FALSE,1.44,-0.724,0.715,0.343,-0.168,0.276,0.454,0.175,-0.27,0.213,-0.985,-0.0395
PLCH1,Q4KWH8,0.07664395022559294,0.4885301822589585,0.2589768224097763,0.566,0.885,1,FALSE,FALSE,FALSE,FALSE,3.15,-1.19,1.96,0.718,-1.05,0.717,0.46,0.926,-0.731,0.928,-2.69,0.726
PLCL2,Q9UPR0,0.31606706460586864,0.03128997074424881,0.0032503740338397542,0.632,0.72,1,FALSE,FALSE,FALSE,FALSE,-0.376,-0.848,-1.22,0.203,-0.392,0.33,-0.357,0.363,-1.21,0.55,0.0196,0.488
PLD1,Q13393,0.7796520325401723,0.5397755097442932,0.7371754886473256,0.688,0.89,1,FALSE,FALSE,FALSE,FALSE,0.208,-0.458,-0.25,-0.627,0.369,-0.0586,0.285,-0.396,-0.173,0.441,0.0766,0.0832
PLD3,Q8IV08,0.10533938313706637,0.00461714703528978,0.1505451611074923,0.579,0.665,1,FALSE,FALSE,FALSE,FALSE,-0.389,0.731,0.342,-0.602,-0.464,-0.367,0.764,-0.733,1.49,-0.683,1.15,-0.562
PLEC,Q15149,0.9566305174861902,0.30687371252123974,0.33231329116003294,0.703,0.858,1,FALSE,FALSE,FALSE,FALSE,-0.00823,0.157,0.148,0.175,0.552,0.136,-0.706,0.374,-0.55,0.376,-0.698,0.341
PLEKHA1,Q9HB21,0.03547264836116962,0.31476458639259053,0.23471267833886897,0.539,0.859,1,FALSE,FALSE,FALSE,FALSE,-0.433,0.198,-0.235,0.102,-0.239,0.255,-0.411,0.00423,-0.213,0.324,0.0225,0.154
PLEKHA3,Q9HB20,0.3023092465453231,0.5741531086073228,0.6311234533996131,0.629,0.894,1,FALSE,FALSE,FALSE,FALSE,1.28,-0.692,0.591,-1.24,-0.704,-0.414,0.946,0.745,0.254,-0.188,-0.337,0.939
PLEKHA5,Q9HAU0,0.003482459366075252,0.997834943459132,0.003504420398389017,0.502,0.92,1,FALSE,FALSE,FALSE,FALSE,-0.842,6.98e-4,-0.842,-0.0804,-0.645,0.111,-0.579,0.369,-0.578,0.611,0.264,0.528
PLEKHA7,Q6IQ23,0.6190903890034778,0.9359281827202961,0.6763899826751301,0.673,0.917,1,FALSE,FALSE,FALSE,FALSE,0.105,-0.017,0.0884,0.168,0.232,0.164,-0.584,0.25,-0.601,0.533,-0.689,0.527
PLEKHB2,Q96CS7,0.9908358423872097,0.9656163541187993,0.9747737847001706,0.705,0.919,1,FALSE,FALSE,FALSE,FALSE,0.013,-0.0488,-0.0358,-3.16,-1.32,-0.448,3.2,-2.09,3.15,-1.27,3.19,-1.25
PLEKHF1,Q96S99,0.2981836013807442,0.6475616228457871,0.1411974271294083,0.629,0.9,1,FALSE,FALSE,FALSE,FALSE,0.559,0.243,0.802,0.492,0.967,0.434,0.306,-1.8,0.549,-0.883,-0.253,0.188
PLEKHF2,Q9H8W4,2.42390327804944e-5,0.16249068248357473,1.0670204271956229e-6,0.492,0.813,1,FALSE,FALSE,FALSE,FALSE,-0.972,-0.258,-1.23,-0.15,-0.618,-0.075,-0.136,-0.0672,-0.393,0.626,0.837,-0.0241
PLEKHG1,Q9ULL1,0.43392947674343396,0.700036679133242,0.24826714544386247,0.651,0.904,1,FALSE,FALSE,FALSE,FALSE,-0.7,-0.343,-1.04,-0.962,-1.11,-0.671,-1.18,1.83,-1.53,2.02,-0.483,2.07
PLEKHG3,A1L390,0.05464012028836853,0.7378918561822712,0.1041743528513439,0.554,0.906,1,FALSE,FALSE,FALSE,FALSE,-0.421,0.0699,-0.351,-0.0857,-0.575,0.134,-0.522,0.387,-0.452,0.707,-0.102,0.509
PLEKHH3,Q7Z736,0.12437716268990506,0.32625117533742976,0.5565113250896212,0.585,0.862,1,FALSE,FALSE,FALSE,FALSE,2.16,-1.35,0.805,-1.19,1.95,-2.14,2.04,0.0536,0.685,-0.889,-0.12,-0.387
PLEKHJ1,Q9NW61,0.11405631326441418,0.547546790205965,0.31027412268896826,0.582,0.891,1,FALSE,FALSE,FALSE,FALSE,-2.55,0.943,-1.6,0.636,0.642,2.56,-4.68,2.71,-3.73,3.15,-2.13,0.846
PLEKHO1,Q53GL0,0.1113000244264065,0.47779404575479045,0.35691834385754884,0.581,0.884,1,FALSE,FALSE,FALSE,FALSE,-0.931,0.404,-0.527,-0.892,-0.338,0.0875,-0.869,0.611,-0.465,1.12,0.0619,0.68
PLEKHO2,Q8TD55,0.003946566114948051,0.4310487778806842,6.152229308332754e-4,0.502,0.878,1,FALSE,FALSE,FALSE,FALSE,-0.7,-0.172,-0.872,0.0982,-0.825,0.434,-0.345,0.121,-0.517,0.477,0.355,0.202
PLG,P00747,0.0012889503419413876,0.003832682699959887,0.6415016744198174,0.501,0.662,1,FALSE,FALSE,FALSE,FALSE,-1.46,1.28,-0.184,-1.78,-1.8,-1.23,0.36,-0.322,1.64,1.57,1.82,-0.258
PLGRKT,Q9HBL7,9.322228646307793e-5,0.5770824344560378,3.4555961674461404e-4,0.497,0.894,1,FALSE,FALSE,FALSE,FALSE,5.61,-0.652,4.96,-1.07,-0.726,-0.254,3.41,-1.58,2.76,0.0713,-2.2,-0.414
PLIN3,O60664,0.013159905231947256,0.6391211796103587,0.0045407490654689716,0.517,0.899,1,FALSE,FALSE,FALSE,FALSE,-0.61,-0.107,-0.716,-0.0405,-0.429,-0.0135,0.0206,-0.137,-0.086,0.144,0.63,-0.0884
PLK1,P53350,0.007878451256899377,0.8919451648772712,0.010696178329420554,0.509,0.915,1,FALSE,FALSE,FALSE,FALSE,0.656,-0.0305,0.625,0.00881,0.384,0.234,-0.155,0.285,-0.185,-0.00221,-0.811,0.241
PLOD1,Q02809,0.013418028485465092,0.40003965640350947,0.0019209317894915146,0.517,0.874,1,FALSE,FALSE,FALSE,FALSE,0.392,0.124,0.516,-0.429,0.228,-0.385,0.328,-0.0842,0.452,-0.0974,-0.0643,0.0534
PLOD2,O00469,0.4041223810960791,0.231528457517204,0.050054838469333895,0.647,0.839,1,FALSE,FALSE,FALSE,FALSE,0.124,0.18,0.304,-0.401,0.127,-0.393,0.245,0.0296,0.425,-0.102,0.121,-0.0526
PLOD3,O60568,0.032043744060158884,0.3537215515204143,0.003996679135104433,0.536,0.867,1,FALSE,FALSE,FALSE,FALSE,0.393,0.162,0.555,-0.412,0.267,-0.464,0.374,-0.11,0.536,-0.116,-0.0196,-0.0541
PLPBP,O94903,2.2171093744941475e-5,0.14789565064063545,8.781626241336353e-7,0.491,0.806,1,FALSE,FALSE,FALSE,FALSE,-0.788,-0.215,-1,-0.175,-0.556,-0.0507,0.211,-0.246,-0.00405,0.0379,0.999,-0.215
PLPP3,O14495,0.2308096939174674,0.7799375345078021,0.14443934191078198,0.615,0.909,1,FALSE,FALSE,FALSE,FALSE,0.873,0.2,1.07,-0.308,0.242,-0.245,1.43,-0.53,1.63,-1.51,0.558,-1.26
PLPP6,Q8IY26,1.571538394912305e-5,0.6871520705590713,6.410269043859293e-6,0.489,0.903,1,FALSE,FALSE,FALSE,FALSE,3.36,0.242,3.6,0.537,0.915,0.321,-0.722,1.16,-0.48,1.14,-4.08,1.21
PLRG1,O43660,0.0025036798424413424,0.1149315262704535,0.08532567787981954,0.502,0.785,1,FALSE,FALSE,FALSE,FALSE,-1.34,0.639,-0.702,-0.37,0.192,-0.274,-0.592,-0.0308,0.0473,0.021,0.75,0.256
PLS1,Q14651,0.6353367581265443,0.005230327079881721,0.015252484933069878,0.675,0.667,1,FALSE,FALSE,FALSE,FALSE,0.114,-0.742,-0.628,0.27,-0.237,0.359,0.00472,0.13,-0.737,0.3,-0.109,0.0201
PLS3,P13797,0.5953332311101471,7.38189737779215e-4,0.0025788602927257257,0.671,0.627,1,FALSE,FALSE,FALSE,FALSE,0.11,-0.814,-0.704,0.248,-0.383,0.229,0.25,-0.0176,-0.564,0.15,0.14,-0.0528
PLSCR1,O15162,0.11474286639944282,0.12489576916882676,0.9626234618426469,0.582,0.792,1,FALSE,FALSE,FALSE,FALSE,-0.632,0.613,-0.0182,-0.716,-0.655,-1.2,1.18,-0.667,1.8,-0.862,1.82,-0.698
PLTP,P55058,0.8762879638962429,0.3255474706993752,0.405244086962134,0.696,0.862,1,FALSE,FALSE,FALSE,FALSE,-0.0662,0.423,0.357,-0.741,-0.772,-0.57,0.461,0.0341,0.884,-0.0634,0.527,0.241
PLXDC2,Q6UX71,0.751089947916715,0.5574103889935008,0.3694464126410686,0.686,0.892,1,FALSE,FALSE,FALSE,FALSE,0.438,0.813,1.25,-2.24,0.117,0.644,0.962,-0.93,1.78,-0.798,0.524,-0.0534
PLXNA1,Q9UIW2,0.013861603428059588,0.6688104075743277,0.03484359701736673,0.518,0.901,1,FALSE,FALSE,FALSE,FALSE,0.739,-0.119,0.62,-0.332,0.165,-0.445,0.35,0.0867,0.231,0.0127,-0.389,0.32
PLXNA2,O75051,0.00420633935879218,0.9316401735427864,0.005124333798815547,0.502,0.917,1,FALSE,FALSE,FALSE,FALSE,1.81,-0.0487,1.76,0.135,0.442,0.0509,0.384,0.0371,0.336,-0.0859,-1.43,0.129
PLXNA3,P51805,0.10192292625282054,0.32497109272382185,0.013137834948859135,0.577,0.861,1,FALSE,FALSE,FALSE,FALSE,0.992,0.584,1.58,0.112,0.411,-0.325,-0.334,0.398,0.25,0.346,-1.33,0.469
PLXNB2,O15031,0.16339279008881732,0.004680580652732425,0.09754345605423077,0.598,0.665,1,FALSE,FALSE,FALSE,FALSE,-0.239,0.527,0.287,-0.173,0.414,-0.138,-0.21,-0.0504,0.317,-0.251,0.0297,0.0601
PM20D2,Q8IYS1,0.005033679961706454,0.695093458586823,0.012238601666413223,0.504,0.903,1,FALSE,FALSE,FALSE,FALSE,-0.758,0.0956,-0.663,-0.379,-0.338,-0.0875,0.0154,0.143,0.111,-0.162,0.774,-0.0773
PMAIP1,Q13794,0.002965097526943619,0.12984438433240048,0.08614099899204743,0.502,0.795,1,FALSE,FALSE,FALSE,FALSE,-1.69,0.789,-0.902,-0.173,-1.6,-0.153,0.345,-0.603,1.13,-0.108,2.04,-0.874
PMF1,Q6P1K2,0.3786693619668098,0.565548565241029,0.7552214524691555,0.643,0.893,1,FALSE,FALSE,FALSE,FALSE,-0.747,0.485,-0.262,0.0629,-2,0.1,-0.235,-0.0379,0.25,0.534,0.513,0.816
PML,P29590,4.4259245428106004e-4,0.08880637153838526,0.025425286301395785,0.5,0.764,1,FALSE,FALSE,FALSE,FALSE,-1.09,0.465,-0.627,-0.256,-0.237,-0.134,0.143,-0.473,0.607,-0.793,1.23,-0.0932
PMM1,Q92871,0.002053827701093297,0.08795258033693747,3.2706348919299305e-5,0.502,0.763,1,FALSE,FALSE,FALSE,FALSE,-0.674,-0.341,-1.01,-0.166,-2.01,0.473,0.202,0.0475,-0.139,0.179,0.876,0.533
PMM2,O15305,2.829094007661636e-5,0.00306954808171612,2.9635821272741542e-8,0.492,0.657,1,FALSE,FALSE,FALSE,FALSE,-0.868,-0.542,-1.41,-0.146,-0.898,-0.0223,0.438,-0.323,-0.104,0.0907,1.31,-0.341
PMPCA,Q10713,0.059801756553244725,0.01591178797876983,1.6468395399163108e-4,0.557,0.692,1,FALSE,FALSE,FALSE,FALSE,0.316,0.417,0.733,-0.15,0.205,-0.36,0.209,-0.0438,0.626,-0.369,-0.107,-0.00855
PMPCB,O75439,5.149616550593246e-4,0.052995292266971035,4.918650779549834e-6,0.5,0.738,1,FALSE,FALSE,FALSE,FALSE,0.695,0.345,1.04,-0.0494,0.427,-0.295,0.0985,0.0967,0.444,-0.226,-0.596,0.1
PMS2P11,Q13670,0.5626683105904503,0.9134133659170565,0.637433300617142,0.667,0.916,1,FALSE,FALSE,FALSE,FALSE,0.304,-0.0568,0.247,-0.0227,-0.441,-0.0164,-0.0207,0.366,-0.0775,0.392,-0.324,0.145
PMVK,Q15126,0.721849296297477,0.09570642359510033,0.1804576804941487,0.683,0.769,1,FALSE,FALSE,FALSE,FALSE,0.0853,-0.413,-0.328,0.0459,-0.325,0.0199,0.496,-0.34,0.0822,-0.0679,0.41,-0.322
PNISR,Q8TF01,2.513080839454957e-4,0.004661531554808192,0.22155505655491808,0.499,0.665,1,FALSE,FALSE,FALSE,FALSE,-1.87,1.34,-0.531,-0.148,-0.191,0.135,-1.18,0.165,0.165,0.249,0.696,0.105
PNKD,Q8N490,5.591725537075046e-4,0.29169896113615645,0.006772728753669775,0.5,0.855,1,FALSE,FALSE,FALSE,FALSE,-1.28,0.337,-0.942,-0.273,-0.723,-0.172,-0.642,0.39,-0.304,0.62,0.637,0.467
PNKP,Q96T60,4.89819501413369e-4,0.0011347351877342294,0.7217477851114292,0.5,0.634,1,FALSE,FALSE,FALSE,FALSE,-0.529,0.483,-0.0459,-0.166,0.407,-0.222,-0.142,-0.211,0.342,-0.152,0.387,-0.244
PNMA6A,P0CW24,4.894894749744952e-4,0.8404127289567627,7.868595882481841e-4,0.5,0.912,1,FALSE,FALSE,FALSE,FALSE,-2.45,0.12,-2.33,-0.577,-1.03,-0.245,-0.0815,0.45,0.0387,-0.199,2.37,-0.723
PNMA8A,Q86V59,0.0019422569254787655,0.010096187228906092,0.4763355489895038,0.501,0.676,1,FALSE,FALSE,FALSE,FALSE,-0.807,0.643,-0.164,-0.242,0.118,0.238,-0.507,-0.137,0.135,0.34,0.299,-0.243
PNN,Q9H307,3.817644315031668e-5,0.007739886514133662,0.03188610978062288,0.494,0.673,1,FALSE,FALSE,FALSE,FALSE,-1.86,1.04,-0.813,-0.422,-0.448,-0.0407,-0.866,0.0857,0.177,0.186,0.991,0.337
PNO1,Q9NRX1,0.0028784811527049385,0.004309022782747103,0.8617642007379767,0.502,0.664,1,FALSE,FALSE,FALSE,FALSE,-0.663,0.629,-0.0344,-0.021,0.349,-0.188,-0.426,2.14e-4,0.203,-0.0367,0.237,-0.119
PNP,P00491,0.012317047894577526,0.0026775005960251335,0.5062724547044566,0.516,0.654,1,FALSE,FALSE,FALSE,FALSE,0.619,-0.771,-0.152,0.245,0.0515,0.2,0.335,-0.0791,-0.436,0.0335,-0.283,-0.0674
PNPLA6,Q8IY17,3.363657155748238e-4,0.045714647738775295,2.8377452328243093e-6,0.499,0.733,1,FALSE,FALSE,FALSE,FALSE,1.01,0.5,1.51,0.153,0.82,-0.205,-0.296,0.293,0.203,-0.0135,-1.31,0.354
PNPLA8,Q9NP80,0.0717156857230361,0.5262471219672471,0.22313507414469022,0.564,0.889,1,FALSE,FALSE,FALSE,FALSE,1.47,-0.497,0.97,0.3,0.907,-0.797,0.223,0.166,-0.274,0.273,-1.24,0.445
PNPO,Q9NVS9,2.2917439215420276e-4,0.8143115706428122,3.9822176906904806e-4,0.499,0.911,1,FALSE,FALSE,FALSE,FALSE,-1.89,0.1,-1.79,-0.484,-1.33,-0.0624,-0.15,-0.141,-0.0501,0.301,1.74,0.179
PNPT1,Q8TCS8,0.06840831918616175,0.001557027444782107,1.8590454466280076e-5,0.562,0.638,1,FALSE,FALSE,FALSE,FALSE,0.276,0.524,0.8,-0.274,0.472,-0.519,-0.104,0.193,0.42,-0.0185,-0.38,0.211
PNRC1,Q12796,0.10001116571643094,0.04993635608534913,0.7208177111010121,0.577,0.736,1,FALSE,FALSE,FALSE,FALSE,-2.34,2.84,0.492,-2.78,-0.848,0.757,-1.66,-0.937,1.18,0.29,0.685,3.31
POC1A,Q8NBT0,6.059847114461932e-8,0.6707984879459692,1.3708755908017048e-7,0.342,0.901,1,FALSE,FALSE,FALSE,FALSE,4.24,-0.218,4.02,-0.0908,0.452,0.125,0.641,0.58,0.423,0.606,-3.6,0.862
POC5,Q8NA72,0.03435137560996661,0.3441130895926581,0.20736907260827805,0.538,0.865,1,FALSE,FALSE,FALSE,FALSE,1.81,-0.773,1.04,-0.368,-0.432,-0.403,1.01,0.0414,0.237,0.639,-0.803,0.0775
PODXL,O00592,0.604473248671588,0.5972671759989111,0.9916492771797676,0.672,0.896,1,FALSE,FALSE,FALSE,FALSE,-0.958,0.978,0.0193,-4.5,1.01,0.207,1.75,-0.818,2.73,-1.06,2.71,-2.03
PODXL2,Q9NZ53,0.0048853846349719956,0.0013991403189762919,0.5924585859980905,0.504,0.637,1,FALSE,FALSE,FALSE,FALSE,-1.34,1.57,0.231,-1.17,-0.784,-0.479,-0.452,0.158,1.12,0.299,0.89,0.42
POFUT1,Q9H488,0.05481026739164565,0.03260102172824227,3.2555053929210693e-4,0.554,0.722,1,FALSE,FALSE,FALSE,FALSE,0.321,0.361,0.682,-0.331,0.345,-0.397,0.289,-0.142,0.65,-0.246,-0.0323,-0.135
POFUT2,Q9Y2G5,0.0012105910918237047,0.6885953909888107,4.701852824076558e-4,0.501,0.903,1,FALSE,FALSE,FALSE,FALSE,0.848,0.0914,0.94,-0.223,0.614,-0.235,0.43,-0.274,0.522,-0.14,-0.418,-0.276
POGK,Q9P215,0.43173552734940723,0.6040770516910521,0.785676653057776,0.651,0.896,1,FALSE,FALSE,FALSE,FALSE,-1.33,0.873,-0.457,0.197,0.635,0.312,0.344,-2.41,1.22,-0.885,1.67,-1.09
POGLUT1,Q8NBL1,0.8778880994720382,0.010822240829343258,0.015216910378093532,0.696,0.677,1,FALSE,FALSE,FALSE,FALSE,-0.0211,0.382,0.36,-0.204,0.378,-0.228,-0.153,0.038,0.229,-0.0753,-0.132,0.147
POGLUT2,Q6UW63,0.012501577943316848,0.7858632137486703,0.006781208428393921,0.516,0.909,1,FALSE,FALSE,FALSE,FALSE,1.19,0.12,1.31,0.0369,0.31,-0.185,0.153,0.134,0.273,0.148,-1.04,0.169
POGLUT3,Q7Z4H8,0.0565362069391068,0.5319127669414216,0.015073287373147304,0.555,0.89,1,FALSE,FALSE,FALSE,FALSE,0.521,0.164,0.685,-0.351,0.574,-0.344,0.0519,0.133,0.216,0.0818,-0.469,0.108
POGZ,Q7Z3K3,0.30198437034539793,0.011997286202878005,0.1036172154682772,0.629,0.682,1,FALSE,FALSE,FALSE,FALSE,-0.225,0.587,0.362,-0.107,0.641,-0.161,-0.703,0.36,-0.116,0.178,-0.478,0.385
POLA1,P09884,0.8740697010766698,0.07175410772030807,0.052473123732176094,0.696,0.749,1,FALSE,FALSE,FALSE,FALSE,0.0306,0.363,0.394,0.0424,0.332,0.0852,-0.191,-0.137,0.172,-0.0168,-0.222,-0.0654
POLA2,Q14181,0.13184196971727538,0.7380846447255722,0.23212666536715731,0.588,0.906,1,FALSE,FALSE,FALSE,FALSE,0.332,-0.0716,0.26,0.219,0.399,0.142,0.0109,-0.0757,-0.0607,-0.213,-0.321,-0.101
POLB,P06746,0.0011103650572772382,0.9946352593263559,0.001092941280166699,0.501,0.92,1,FALSE,FALSE,FALSE,FALSE,-0.498,-8.89e-4,-0.498,-0.228,-0.298,-0.105,0.245,-0.309,0.244,-0.0802,0.742,-0.21
POLD1,P28340,0.0693485534613717,0.1565171431719596,0.0029205456378605496,0.563,0.81,1,FALSE,FALSE,FALSE,FALSE,0.424,0.325,0.749,0.0797,0.51,0.0186,-0.153,0.0517,0.172,-0.188,-0.577,0.0846
POLD2,P49005,0.014247317828467464,0.7408027666006965,0.006777211182092959,0.518,0.906,1,FALSE,FALSE,FALSE,FALSE,2.05,0.256,2.31,0.397,0.681,0.427,-0.156,0.326,0.1,0.2,-2.21,0.235
POLD3,Q15054,0.02333747240945966,0.005840591494162768,0.5351695538505479,0.529,0.669,1,FALSE,FALSE,FALSE,FALSE,-0.637,0.8,0.164,-0.0875,0.102,-0.0236,-0.916,0.307,-0.115,0.511,-0.279,0.501
POLD4,Q9HCU8,2.5615512667004304e-4,0.18279561719214965,1.1177391020666748e-5,0.499,0.822,1,FALSE,FALSE,FALSE,FALSE,-6.37,-1.98,-8.35,0.0853,-4.28,2.5,-3.22,2.06,-5.2,2.95,3.15,1.96
POLDIP2,Q9Y2S7,0.9510475009668412,0.036983424146682424,0.04197186374526759,0.702,0.726,1,FALSE,FALSE,FALSE,FALSE,-0.0141,0.507,0.493,-0.433,0.221,-0.518,0.0856,-0.00508,0.593,-0.099,0.0997,0.0563
POLDIP3,Q9BY77,0.002787939808869637,0.008564730111636401,0.6259869216657112,0.502,0.674,1,FALSE,FALSE,FALSE,FALSE,-0.55,0.47,-0.0798,-0.0501,0.169,-0.168,-0.66,0.305,-0.19,0.294,-0.11,0.41
POLE,Q07864,0.008661384883707303,5.754722576936498e-4,9.012672499673072e-7,0.511,0.622,1,FALSE,FALSE,FALSE,FALSE,0.414,0.582,0.997,0.0336,0.393,0.0755,-0.329,0.163,0.254,0.0877,-0.743,0.0653
POLE2,P56282,0.01450913013460652,0.22833041384028213,0.16663980176157708,0.519,0.838,1,FALSE,FALSE,FALSE,FALSE,1.8,-0.833,0.963,0.68,0.812,0.559,-0.181,0.511,-1.01,0.198,-1.98,0.411
POLE3,Q9NRF9,0.0012422831878860121,0.3943940003447768,0.009069990579842388,0.501,0.873,1,FALSE,FALSE,FALSE,FALSE,-1.84,0.425,-1.41,-1.09,-0.47,-0.603,0.117,-0.251,0.542,0.0534,1.95,-0.25
POLE4,Q9NR33,0.24600911912451087,0.9277865273403548,0.2829453361733381,0.618,0.917,1,FALSE,FALSE,FALSE,FALSE,-1.52,0.117,-1.41,0.199,-5.44,0.517,0.0175,0.842,0.134,1.23,1.54,0.963
