name,ID,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,significant,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,GFP_100_atRAL5hr.24h_recvr_centered,GFP_200_atRAL5hr.24h_recvr_centered,GFP_control_atRAL5hr.24h_recvr_centered,RDH12_100_atRAL5hr_centered,RDH12_100_atRAL5hr.24h_recvr_centered,RDH12_200_atRAL5hr_centered,RDH12_200_atRAL5hr.24h_recvr_centered,RDH12_control_atRAL5hr_centered,RDH12_control_atRAL5hr.24h_recvr_centered
FHIP1B,Q8N612,0.3014287261331405,0.6098719833471153,0.5934547257394698,0.629,0.897,1,FALSE,FALSE,FALSE,FALSE,1.14,-0.555,0.581,0.5,-0.336,0.429,0.0178,-0.475,-0.537,1.01,-1.12,0.505
FHIP2A,Q5W0V3,1.6972160163959814e-6,0.6215438582477117,6.053953750260385e-7,0.467,0.898,1,FALSE,FALSE,FALSE,FALSE,1.99,0.149,2.14,0.497,0.424,0.232,0.11,0.158,0.259,0.168,-1.88,0.0348
FHIT,P49789,0.025628801498938928,0.5861027605973682,0.07782696377192627,0.531,0.895,1,FALSE,FALSE,FALSE,FALSE,-2.67,0.613,-2.06,-0.598,-1.07,0.839,-0.618,0.147,-0.00576,-1.23,2.05,0.485
FHL1,Q13642,0.0017388692283163303,0.5551205825376995,0.006855680599133928,0.501,0.892,1,FALSE,FALSE,FALSE,FALSE,-2.25,0.373,-1.88,-0.333,-1.95,0.407,-0.0865,-0.335,0.287,-0.965,2.16,0.81
FHL2,Q14192,0.023567326919843454,0.6929451667483701,0.009883402755001273,0.529,0.903,1,FALSE,FALSE,FALSE,FALSE,-1.07,-0.175,-1.24,-0.00903,-1.32,0.495,0.0241,-0.13,-0.15,-0.288,1.09,0.282
FHL3,Q13643,0.0060250863161505595,0.8397817443288328,0.003784378424399657,0.506,0.912,1,FALSE,FALSE,FALSE,FALSE,-2.49,-0.166,-2.66,-0.366,-1.53,-0.492,1.63,-1.73,1.47,-3.39,4.12,0.271
FHOD1,Q9Y613,0.032537897555603254,0.06980129905362543,0.7064638588415633,0.537,0.748,1,FALSE,FALSE,FALSE,FALSE,-0.753,0.628,-0.125,-0.215,-0.679,-0.251,-0.195,0.0156,0.433,0.289,0.558,0.0446
FIBP,O43427,0.3060352745544515,0.8840121113424513,0.24486815335598927,0.63,0.915,1,FALSE,FALSE,FALSE,FALSE,0.348,0.0489,0.397,0.116,0.355,0.00774,-0.188,0.171,-0.14,0.0802,-0.536,0.134
FIG4,Q92562,0.3953618381594015,0.5746454582335232,0.7686972174435689,0.645,0.894,1,FALSE,FALSE,FALSE,FALSE,0.696,-0.457,0.239,0.085,-0.832,0.647,0.824,-1.74,0.366,0.408,0.127,0.115
FIGNL1,Q6PIW4,0.008904085519671598,0.942518605350879,0.007565002054535344,0.511,0.918,1,FALSE,FALSE,FALSE,FALSE,2.75,0.0692,2.82,0.348,0.423,0.508,0.222,0.185,0.291,0.44,-2.53,0.11
