name,ID,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,significant,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,RDH12_100_atRAL5hr_centered,RDH12_200_atRAL5hr_centered,RDH12_control_atRAL5hr_centered
RHOG,P84095,0.02085533429641327,0.5207493551502361,0.0593083946205353,0.988,0.99,1,TRUE,FALSE,TRUE,TRUE,-0.781,0.183,-0.598,-0.321,-0.138,0.46
RHOT1,Q8IXI2,0.09332138704148189,0.9887374834252413,0.09124788936674981,0.988,0.993,1,TRUE,FALSE,TRUE,TRUE,0.661,0.00506,0.666,0.219,0.224,-0.443
RHOT2,Q8IXI1,0.001011032088143354,0.9597012951683717,0.001079256627017638,0.988,0.993,1,TRUE,FALSE,TRUE,TRUE,-1.61,0.0167,-1.59,-0.541,-0.525,1.07
RHOU,Q7L0Q8,0.976769815084378,0.034261812319265034,0.03590500162376735,0.99,0.988,1,FALSE,TRUE,TRUE,TRUE,0.0128,-1.09,-1.08,0.367,-0.722,0.354
RIC8A,Q9NPQ8,0.11821871214433596,0.5363097575054268,0.30184039158304177,0.988,0.99,1,TRUE,FALSE,FALSE,TRUE,0.89,-0.329,0.561,0.406,0.0776,-0.484
RIDA,P52758,0.0025008441960908084,0.12932628744319122,0.029757988049480943,0.988,0.989,1,TRUE,TRUE,TRUE,TRUE,-2.12,0.826,-1.29,-0.981,-0.154,1.14
RILPL1,Q5EBL4,0.10541958982783763,0.2771955761176943,0.017265381947351992,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,-0.707,-0.451,-1.16,-0.085,-0.537,0.622
RIMOC1,A6NDU8,0.6768473514370248,0.19685721016308816,0.3580554001460439,0.989,0.989,1,FALSE,TRUE,TRUE,TRUE,0.389,-1.27,-0.877,0.552,-0.715,0.163
RING1,Q06587,0.002429186444819621,0.030965886352482187,0.12040170136534732,0.988,0.988,1,TRUE,TRUE,FALSE,TRUE,-1.03,0.619,-0.412,-0.55,0.0691,0.481
RIOK1,Q9BRS2,0.040164688848437456,0.5584474134659209,0.015632525317357485,0.988,0.99,1,TRUE,FALSE,TRUE,TRUE,-0.935,-0.233,-1.17,-0.234,-0.467,0.701
