"Lipid annotation","MRM transition","Precursor m/z","Product m/z","Lipid class","WT_Veh_rep1","WT_Veh_rep2","WT_Veh_rep3","WT_100_rep1","WT_100_rep2","WT_100_rep3","WT_200_rep1","WT_200_rep2","WT_200_rep3","RDH12_Veh_rep1","RDH12_Veh_rep2","RDH12_Veh_rep3","RDH12_100_rep1","RDH12_100_rep2","RDH12_100_rep3","RDH12_200_rep1","RDH12_200_rep2","RDH12_200_rep3"
"PC O-42:6","848.653325 -> 184.07","848","184","PC","2155.840172","2219.480137","2238.30014","2368.340145","2757.480156","3034.66021","2050.900166","1895.88015","2195.600159","2636.480167","2890.880169","2495.080177","2817.560177","3188.760193","3511.540234","3023.320194","3086.620216","3586.280231"
"PC O-42:5","850.668925 -> 184.07","850","184","PC","1940.240131","1997.000122","2270.820129","2088.660149","2404.120152","2747.980179","2083.240135","2055.240124","1853.080139","2107.380135","2737.420227","2765.640152","2047.960117","2517.460182","2817.300213","2436.060169","2641.440193","3554.640244"
"PC 42:11","852.684625 -> 184.07","852","184","PC","1875.540131","1739.200115","1961.840126","2409.060154","2101.940132","2295.100174","1796.660126","2069.62014","1746.460121","2274.920166","2743.840183","2568.000164","1722.800117","2395.040154","2242.540165","2091.50013","2288.920158","2514.300152"
"PC 42:10","854.700225 -> 184.07","854","184","PC","1986.580124","1644.000122","1892.52013","1826.060131","2148.540134","2087.840153","1894.560131","2323.000183","1952.340137","1919.100132","2206.700169","2237.040157","2071.280148","2150.760132","2357.040199","2265.120155","2121.100147","3133.740204"
"PC 42:9","856.715925 -> 184.07","856","184","PC","2258.060154","2358.620163","2015.520149","1791.700127","2612.58017","2525.360184","1953.500114","2247.14016","1980.500149","1969.140141","2590.400181","2650.9002","2116.260155","2425.280155","2859.000183","2270.160194","2091.580151","2899.400181"
"PC 42:8","858.731525 -> 184.07","858","184","PC","2194.120155","1962.900135","2563.000187","1966.340149","2221.140167","2914.940186","2044.980148","1957.240143","1930.140125","2522.680191","2283.860176","2548.380146","2023.080147","2294.280155","2540.580181","2134.040138","2681.400211","2610.720169"
"PC 42:7","860.747225 -> 184.07","860","184","PC","1742.820122","2366.040154","2197.300144","2414.860188","2229.38015","2398.14016","2039.580143","1980.080128","2151.240139","2174.10014","2358.680153","2623.62019","2286.700157","2153.120125","2454.880173","2690.980213","2680.140167","2548.980175"
"PC 42:6","862.632625 -> 184.07","862","184","PC","1754.460125","1933.460136","2408.600155","2413.580162","2311.460163","2487.10017","1976.880135","2347.560184","2462.660183","2105.760155","2100.120148","2530.040169","2058.440121","2016.420139","2428.400188","2394.740147","2631.26022","3635.740311"
"PC 42:5","864.648225 -> 184.07","864","184","PC","2099.460163","1805.640133","1976.360138","1989.100147","2339.820175","2182.460136","1903.360134","1852.360126","2064.060135","1933.680149","2136.580154","1909.300125","1894.12014","2030.280144","2611.900177","2290.480171","2339.060162","2416.660164"
"PC 42:4","866.663925 -> 184.07","866","184","PC","1978.140141","1880.700134","1888.480148","1695.420113","1838.600132","2491.220196","1814.000103","1738.860123","1878.660133","2141.34016","2055.960136","2201.60014","1992.440132","2044.060154","2084.400146","1918.420147","2312.360138","2504.900204"
"PC 42:3","868.679525 -> 184.07","868","184","PC","1820.760132","1863.740135","1928.340137","1907.460144","2022.080154","2056.620152","1683.860115","2179.300167","1860.300129","2209.120152","2166.520142","2236.440159","2377.420162","2087.840141","2357.760159","1799.980122","2347.080162","2219.660133"
"PC 42:2","870.695225 -> 184.07","870","184","PC","2130.94014","1775.000134","2384.940174","2527.920216","2479.940201","3069.100239","2303.220135","2297.720161","2205.360146","2896.840221","3120.620247","2683.200195","2227.28014","2274.20015","2618.300171","2523.320168","2456.160198","3405.800297"
"PC 42:1","872.710825 -> 184.07","872","184","PC","1877.040138","1935.840137","2499.660172","2338.04018","2675.940193","2542.580173","2369.320156","2222.500156","2401.340191","2586.660168","3180.740215","2908.360245","2937.180172","3873.660252","4117.800243","3592.300289","3465.480221","5127.220314"
"PC 42:0","874.726525 -> 184.07","874","184","PC","2065.34013","1644.640121","1903.280148","1879.720135","1750.440121","2420.640186","1763.880142","1730.840122","1658.280109","2287.60017","2361.120163","2186.900146","2130.40015","1845.940117","2713.800167","2270.200172","2404.500168","3247.440235"
"PC O-44:6","876.648225 -> 184.07","876","184","PC","1785.500118","1639.40012","1813.640118","1655.880116","1822.440121","1903.420132","1671.520115","1879.040134","1697.200115","1784.900127","2051.260139","1807.040127","1901.300144","1833.840126","1783.340122","1898.440132","1758.740116","2272.440163"
"PC O-44:2","884.710825 -> 184.07","884","184","PC","1662.860119","1770.18013","1799.920143","1750.120125","1727.540123","1856.600136","1726.840115","1728.50013","1696.400124","1934.480137","1819.560135","1841.92012","1809.86013","1714.360104","1942.44014","1844.520126","1926.620136","2221.52018"
"PC 44:8","886.726525 -> 184.07","886","184","PC","1747.40012","1653.120121","1669.460114","1704.640118","1914.420124","1995.580132","1684.360115","1757.700123","1868.920124","1746.080128","1731.960114","1821.840115","1786.520126","1883.380123","1997.980133","1920.420128","1981.860134","2154.240162"
"PC 44:5","892.679525 -> 184.07","892","184","PC","1687.66013","1782.680126","1673.32011","1648.180126","1936.620144","2068.96014","1728.860115","1676.58012","1683.460121","1787.540119","1843.480141","1702.380119","1806.080116","1818.260136","2080.820148","1989.540131","1963.200127","2179.420147"
"PC 44:2","898.726525 -> 184.07","898","184","PC","1788.480133","1647.540115","2005.320141","1755.820122","2123.400146","2103.920135","1917.940151","2034.500111","1897.880119","2028.500141","2158.560162","2422.320122","2089.820148","2035.700153","1975.740143","1953.240147","2264.600147","2355.380161"
"PC 44:1","900.742125 -> 184.07","900","184","PC","1826.340111","1800.560127","2009.700134","1759.140118","2491.98019","2116.160152","1675.580124","1903.400139","2056.780144","2154.560165","2058.100163","2026.820126","2097.06015","2133.400158","2761.840176","2449.400192","2849.620216","2864.820217"
"PC 44:0","902.757825 -> 184.07","902","184","PC","1786.14011","1643.100113","1683.220116","1803.760128","1828.500126","1815.420132","1647.780113","1632.340122","1676.34013","1637.260113","1876.020126","1780.600121","1861.460129","1845.540142","2020.260136","1968.640121","1925.440132","2216.720154"
"PC 46:2","926.757825 -> 184.07","926","184","PC","1757.160133","1716.660122","1791.280121","1659.000111","1837.000126","1791.84013","1673.940121","1692.300117","1826.860119","2011.66013","2098.140141","1668.880112","1827.280117","1662.440113","2031.120129","1650.520107","2077.380146","1972.84013"
"PC 46:1","928.773425 -> 184.07","928","184","PC","1694.740108","1611.600109","1717.840126","1760.800117","1787.040112","1695.460098","1811.240135","1618.780121","1829.160118","1874.340134","1893.340122","1817.640114","1750.66011","2159.320129","2220.100147","1728.640129","2186.06015","2143.480156"
"PC 48:2","954.789125 -> 184.07","954","184","PC","1722.020119","1854.220123","1873.12011","1947.400143","1841.280128","1833.540123","1649.820114","1648.180134","1702.32011","2029.960155","2290.440178","1950.720116","1898.220131","1824.100132","2229.30014","1806.620125","1732.000114","2026.780136"
"PE 32:2","688.528125 -> 547.508125","688","547","PE","1933.880127","1947.960133","2147.900143","1869.680126","1929.160133","2043.400154","1998.56015","1979.260139","2009.640141","2203.580166","2489.520161","2490.260181","2217.500149","2200.480164","2145.88015","1908.980114","2259.380146","1991.620129"
"PE 32:1","690.543725 -> 549.523725","690","549","PE","3936.960274","3515.70023","4945.380424","3848.000256","3909.160286","4300.420296","2484.800186","2300.42017","2866.680222","4755.740353","5271.220333","5375.38036","3926.30024","4683.300301","6020.800354","4589.020405","4464.880268","4214.960342"
