X,name,ID,Control_100_vs_Control_Veh_p.val,Control_200_vs_Control_100_p.val,Control_200_vs_Control_Veh_p.val,RDH12_100_vs_Control_100_p.val,RDH12_100_vs_RDH12_Veh_p.val,RDH12_200_vs_Control_200_p.val,RDH12_200_vs_RDH12_100_p.val,RDH12_200_vs_RDH12_Veh_p.val,RDH12_Veh_vs_Control_Veh_p.val,Control_100_vs_Control_Veh_p.adj,Control_200_vs_Control_100_p.adj,Control_200_vs_Control_Veh_p.adj,RDH12_100_vs_Control_100_p.adj,RDH12_100_vs_RDH12_Veh_p.adj,RDH12_200_vs_Control_200_p.adj,RDH12_200_vs_RDH12_100_p.adj,RDH12_200_vs_RDH12_Veh_p.adj,RDH12_Veh_vs_Control_Veh_p.adj,Control_100_vs_Control_Veh_significant,Control_200_vs_Control_100_significant,Control_200_vs_Control_Veh_significant,RDH12_100_vs_Control_100_significant,RDH12_100_vs_RDH12_Veh_significant,RDH12_200_vs_Control_200_significant,RDH12_200_vs_RDH12_100_significant,RDH12_200_vs_RDH12_Veh_significant,RDH12_Veh_vs_Control_Veh_significant,significant,Control_100_vs_Control_Veh_ratio,Control_200_vs_Control_100_ratio,Control_200_vs_Control_Veh_ratio,RDH12_100_vs_Control_100_ratio,RDH12_100_vs_RDH12_Veh_ratio,RDH12_200_vs_Control_200_ratio,RDH12_200_vs_RDH12_100_ratio,RDH12_200_vs_RDH12_Veh_ratio,RDH12_Veh_vs_Control_Veh_ratio,Control_100_centered,Control_200_centered,Control_Veh_centered,RDH12_100_centered,RDH12_200_centered,RDH12_Veh_centered
49,Cer(d14:2/20:0),536.504225 -> 206.3,0.858085326,0.474942734,0.589685351,0.376933967,0.807903657,0.147130611,0.911480996,0.723495085,0.200553907,0.95342814,0.76599399,0.91393034,0.695878093,0.981017338,0.2988359,0.998456697,0.88591235,0.414939117,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0666,0.268,0.202,-0.333,0.0906,-0.56,0.0414,0.132,-0.49,0.119,0.387,0.186,-0.214,-0.173,-0.305
50,Cer(d18:0/20:0(2OH)),612.593125 -> 266.3,0.193714597,0.175557124,0.951920174,0.863037675,0.227124699,0.088173952,0.570931535,0.50623837,0.027648225,0.544822305,0.45328603,0.989198075,0.933013703,0.953944604,0.217415223,0.959131414,0.781586877,0.145196808,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.431,0.45,0.0194,0.0555,0.399,-0.578,-0.183,0.215,-0.774,-0.0776,0.373,0.353,-0.0221,-0.205,-0.421
51,Cer(d18:1/16:0),538.519925 -> 264.3,0.936092525,0.037175998,0.043416399,0.366150351,0.850541024,0.146210269,0.864711768,0.985575192,0.519890562,0.979634527,0.243333802,0.30057507,0.693267598,0.981017338,0.2988359,0.998456697,0.996488861,0.706672861,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0172,-0.485,-0.467,-0.197,-0.0405,0.324,0.0366,-0.00388,-0.139,0.169,-0.315,0.152,-0.0277,0.00891,0.0128
52,Cer(d18:1/18:0),566.551225 -> 264.3,0.536798166,0.834487303,0.680683316,0.349854738,0.54477109,0.26888442,0.697560712,0.82607009,0.355937629,0.811435004,0.963622707,0.960964681,0.688546783,0.953944604,0.453367881,0.983273573,0.917263566,0.580371545,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0722,0.0243,-0.0479,0.11,-0.0708,0.131,0.0452,-0.0255,0.109,-0.0905,-0.0662,-0.0183,0.0197,0.0649,0.0905
53,Cer(d18:1/22:0),622.613825 -> 264.3,0.362885351,0.586473087,0.707139451,0.393168346,0.571439905,0.261649588,0.157223303,0.376262479,0.533146424,0.718226012,0.841156618,0.970284575,0.696086676,0.953944604,0.446416358,0.783852927,0.687586256,0.713504507,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.187,-0.111,0.0762,-0.175,-0.115,0.232,0.297,0.182,0.127,0.0685,-0.0422,-0.118,-0.107,0.19,0.00858
54,Cer(d18:1/24:0),650.645125 -> 264.3,0.019018396,0.981136095,0.018136984,0.610899067,0.250533609,0.559902065,0.272495572,0.034261326,0.371129375,0.253578611,0.997868493,0.176467956,0.854555773,0.953944604,0.73563775,0.818830527,0.220251381,0.58785652,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.315,0.00287,0.318,-0.0621,0.143,0.0713,0.136,0.279,0.11,0.0843,0.0872,-0.231,0.0221,0.158,-0.121
55,Cer(d18:1/24:1),648.629425 -> 264.3,0.152630719,0.479813035,0.445359076,0.292737641,0.416817478,0.779925479,0.935839491,0.462961724,0.22979365,0.516053985,0.767201272,0.851061341,0.627294944,0.953944604,0.87015312,0.998456697,0.753734102,0.45453689,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.25,-0.12,0.13,-0.181,-0.138,-0.0471,0.0136,-0.125,0.208,0.127,0.00665,-0.123,-0.054,-0.0405,0.0843
56,Cer(d18:2/24:0),648.629425 -> 262.3,0.180115027,0.429598467,0.560405855,0.476565482,0.739154754,0.106940078,0.862939937,0.872224445,0.026090028,0.531486964,0.722689011,0.908766252,0.755786667,0.978392243,0.245212917,0.998456697,0.940122156,0.142309243,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.237,-0.137,0.1,0.123,-0.0572,0.29,0.0296,-0.0276,0.418,-0.0137,-0.151,-0.251,0.11,0.139,0.167
57,CerP(d18:1/24:1),728.595825 -> 264.3,0.32953402,0.138005278,0.5832578,0.177327088,0.612298475,0.076926535,0.296238117,0.580234655,0.076295332,0.70145794,0.405601323,0.91393034,0.51303877,0.953944604,0.199234192,0.819582967,0.801754668,0.245998691,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.13,-0.202,-0.0721,0.182,0.0666,0.245,-0.139,-0.0727,0.245,-0.00158,-0.203,-0.131,0.181,0.0414,0.114
58,DG 30:0 NL 14:0,558.50977 -> 313.27427,0.021027427,0.119022983,0.366701734,0.627025858,0.739229695,0.269502018,0.990166334,0.748499276,0.100735343,0.254764581,0.396743278,0.803608775,0.855189703,0.978392243,0.453367881,0.998456697,0.892250793,0.283318152,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.36,0.23,-0.13,0.069,-0.0472,-0.16,0.00174,-0.0454,-0.244,-0.141,0.0893,0.219,-0.072,-0.0703,-0.0249
59,DG 30:1 NL 14:1,556.49407 -> 313.27427,0.047152176,0.163345815,0.494266582,0.703538233,0.808750582,0.07029707,0.923607998,0.883661027,0.013729989,0.346429825,0.442139047,0.876607225,0.900342513,0.981017338,0.190277783,0.998456697,0.946779671,0.085969859,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.238,0.161,-0.0769,-0.0426,0.027,-0.214,-0.0107,0.0163,-0.308,-0.0389,0.122,0.199,-0.0815,-0.0922,-0.109
60,DG 30:1 NL 16:0,556.49407 -> 283.227291,0.322771781,0.380557661,0.906691548,0.773223469,0.821079402,0.141769939,0.726881164,0.901598914,0.14333224,0.70145794,0.691923019,0.989198075,0.921723341,0.981017338,0.29501259,0.991654595,0.951834631,0.346021624,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.267,0.236,-0.0311,-0.0766,0.0601,-0.405,-0.0929,-0.0328,-0.404,-0.02,0.216,0.247,-0.0966,-0.19,-0.157
61,DG 30:2 NL 16:0,554.47847 -> 281.211691,0.501014387,0.410993126,0.877822499,0.743448947,0.267303474,0.079185346,0.18985956,0.827465008,0.152520246,0.78762087,0.711334257,0.989198075,0.913253181,0.953944604,0.203619461,0.783852927,0.917263566,0.349727954,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.278,0.341,0.0631,0.135,0.465,-0.762,-0.555,-0.0895,-0.609,-0.000543,0.341,0.278,0.134,-0.421,-0.331
62,DG 30:2 NL 16:1,554.47847 -> 283.227341,0.1263694,0.117521948,0.966763906,0.14520951,0.153777899,0.00622637,0.995796649,0.155146813,0.11912895,0.515877782,0.395400945,0.997234975,0.478024217,0.931806613,0.029863293,0.998456697,0.459842841,0.320047924,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.317,0.325,0.00827,-0.3,-0.294,-0.624,0.00105,-0.293,-0.323,-0.00579,0.319,0.311,-0.306,-0.305,-0.0125
63,DG 30:2 NL 20:0,554.47847 -> 225.14907,0.108009389,0.062862468,0.766893963,0.393929507,0.320707528,0.002021979,0.401962221,0.078753087,0.13949655,0.514141054,0.301739847,0.970438284,0.696086676,0.953944604,0.012770394,0.878285363,0.334918449,0.343751173,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.362,0.426,0.0638,-0.186,-0.217,-0.793,-0.182,-0.399,-0.33,-0.0443,0.381,0.318,-0.23,-0.412,-0.0127
64,DG 30:3 NL 16:1,552.46277 -> 281.211641,0.363103151,0.329521011,0.945153531,0.265811602,0.38417494,0.002568714,0.162495609,0.032251115,0.24973703,0.718226012,0.627659068,0.989198075,0.594361347,0.953944604,0.015266027,0.783852927,0.219424644,0.475689582,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.295,0.317,0.022,-0.364,-0.282,-1.14,-0.463,-0.745,-0.377,0.11,0.427,0.405,-0.254,-0.717,0.0282
65,DG 30:3 NL 20:0,552.46277 -> 223.13337,0.232635141,0.169437211,0.843913293,0.819630287,0.490371851,0.003222255,0.085272195,0.022476435,0.453479117,0.60687428,0.448214095,0.980809545,0.929952993,0.953944604,0.017575936,0.682177561,0.197354065,0.650408296,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.383,0.444,0.0616,-0.0713,-0.217,-1.08,-0.567,-0.785,-0.237,-0.0438,0.4,0.339,-0.115,-0.682,0.102
66,DG 32:1 NL 16:0,584.52537 -> 311.258591,0.031477823,0.399817423,0.151491845,0.964917624,0.96701789,0.076229215,0.294808291,0.277239155,0.037188011,0.314778233,0.69871006,0.593996817,0.978508014,0.98899557,0.199234192,0.819582967,0.57711958,0.170303978,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.254,0.0924,-0.161,0.00476,-0.00448,-0.203,-0.116,-0.12,-0.244,-0.0415,0.0509,0.212,-0.0367,-0.152,-0.0323
67,DG 32:1 NL 16:1,584.52537 -> 313.274241,0.088515375,0.620790826,0.207040211,0.746343962,0.923065726,0.361927803,0.456202366,0.515037348,0.132333964,0.469603161,0.859556529,0.700723836,0.913253181,0.986640738,0.556812004,0.897447278,0.781586877,0.338625631,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.253,0.0699,-0.183,0.0456,0.0136,-0.13,-0.106,-0.0923,-0.221,-0.0567,0.0133,0.196,-0.011,-0.117,-0.0246
68,DG 32:5 NL 18:1,576.46277 -> 277.16277,0.749574303,0.138092685,0.233114075,0.111637807,0.994285874,0.001910503,0.609772768,0.604835771,0.063216065,0.905526004,0.405601323,0.723457474,0.427549047,0.998877189,0.012505111,0.978014237,0.810030553,0.223343256,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.0773,0.373,0.296,-0.402,-0.00173,-0.899,-0.124,-0.126,-0.478,0.147,0.519,0.224,-0.256,-0.38,-0.254
69,DG 34:0 NL 18:0,614.57237 -> 313.27237,0.961673612,0.016921607,0.015359259,0.020574323,0.53899326,0.000152508,0.830797113,0.41089031,0.006463918,0.989506328,0.170156584,0.157980946,0.161016442,0.953944604,0.00177106,0.998456697,0.714689149,0.050316473,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.00755,0.417,0.425,-0.402,0.0972,-0.785,0.0336,0.131,-0.491,0.143,0.56,0.136,-0.258,-0.225,-0.356
70,DG 34:0 NL 20:0,614.57237 -> 285.24297,0.441455917,0.722841892,0.67364611,0.059204068,0.573014062,0.001612024,0.165391932,0.06033165,0.039554145,0.757632491,0.908449181,0.958245892,0.300189643,0.953944604,0.011535764,0.783852927,0.285781498,0.175796202,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.112,0.0512,-0.0609,-0.29,-0.0817,-0.548,-0.207,-0.289,-0.321,0.139,0.19,0.251,-0.151,-0.358,-0.0697
71,DG 34:1 NL 16:0,612.55667 -> 339.289891,0.020104578,0.515699451,0.005309073,0.151374335,0.329872011,0.907663994,0.036898522,0.005004748,0.930498456,0.254764581,0.796788852,0.106181464,0.478024217,0.953944604,0.952650257,0.621777162,0.094651286,0.96707082,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.327,-0.0835,-0.411,0.19,-0.126,-0.0148,-0.288,-0.415,-0.0111,-0.109,-0.192,0.219,0.0813,-0.207,0.208
72,DG 34:1 NL 16:1,612.55667 -> 341.305541,0.142462888,0.031776435,0.422350831,0.016195801,0.416753097,8.29E-06,0.124765614,0.026762259,0.003856896,0.516053985,0.233459523,0.840296399,0.147788083,0.953944604,0.000596986,0.773352052,0.214098074,0.035602116,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.153,0.234,0.0813,-0.268,-0.0823,-0.662,-0.16,-0.243,-0.338,0.0825,0.316,0.235,-0.185,-0.346,-0.103
73,DG 34:1 NL 18:1,612.55667 -> 313.25667,0.001220368,0.932021298,0.001451017,0.019341155,0.162409333,0.705851076,0.048057439,0.002602342,0.926655058,0.087866461,0.994448903,0.043530516,0.158245815,0.931806613,0.854806085,0.626505494,0.064173919,0.96707082,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.536,0.0116,-0.525,0.352,-0.197,0.0515,-0.289,-0.486,0.0125,-0.252,-0.24,0.284,0.1,-0.189,0.297
74,DG 34:1 NL 20:0,612.55667 -> 283.22727,0.34558372,0.776522593,0.503669965,0.164965588,0.609693496,0.020431561,0.408171188,0.190485273,0.075395167,0.70145794,0.94441937,0.876607225,0.500874561,0.953944604,0.069390207,0.878285363,0.499020176,0.245998691,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.251,0.0745,-0.177,-0.377,-0.134,-0.671,-0.22,-0.354,-0.494,0.148,0.223,0.4,-0.229,-0.448,-0.0941
75,DG 34:2 NL 16:1,610.54107 -> 339.289941,0.178647893,0.098611175,0.730027219,0.033741893,0.302806727,3.23E-05,0.089302233,0.011579487,0.017201821,0.531486964,0.381720678,0.970284575,0.209432439,0.953944604,0.00084147,0.688497329,0.154393162,0.103210928,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.22,0.275,0.0547,-0.365,-0.166,-0.923,-0.283,-0.449,-0.419,0.12,0.394,0.339,-0.245,-0.529,-0.0791
76,DG 34:2 NL 18:1,610.54107 -> 311.24107,0.535843334,0.140833793,0.370666669,0.627139116,0.869201142,0.011215193,0.408299193,0.504773093,0.214591399,0.811435004,0.405601323,0.803608775,0.855189703,0.981017338,0.043885539,0.878285363,0.781586877,0.438936952,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0812,0.2,0.118,-0.0636,0.0215,-0.372,-0.109,-0.0876,-0.166,0.00674,0.206,0.088,-0.0568,-0.166,-0.0783
77,DG 34:2 NL 20:0,610.54107 -> 281.21167,0.430239617,0.659961735,0.722344271,0.166958187,0.853813847,0.006466918,0.222143319,0.164777018,0.055871115,0.754357843,0.86850899,0.970284575,0.500874561,0.981017338,0.029863293,0.783852927,0.459842841,0.213974482,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.227,0.126,-0.101,-0.408,-0.0525,-0.891,-0.357,-0.41,-0.582,0.196,0.322,0.423,-0.212,-0.569,-0.159
78,DG 34:3 NL 18:1,608.52537 -> 309.22537,0.163351838,0.286206912,0.7230866,0.01453543,0.815634588,0.111808682,0.980436243,0.796710534,0.302233845,0.516053985,0.57884544,0.970284575,0.141425801,0.981017338,0.250885797,0.998456697,0.907644912,0.518115163,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.431,-0.325,0.106,-0.814,-0.0697,-0.497,-0.00732,-0.077,-0.314,0.523,0.198,0.0919,-0.292,-0.299,-0.222
79,DG 36:0 NL 16:0,642.50977 -> 369.242991,0.399528558,0.048767326,0.219351526,0.420877223,0.574648271,0.001977705,0.443293677,0.193931571,0.280023731,0.737591184,0.250803393,0.706475429,0.714697171,0.953944604,0.01271382,0.893499778,0.499020176,0.506575594,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.103,0.256,0.153,-0.0985,-0.0683,-0.448,-0.0937,-0.162,-0.133,-0.00636,0.249,0.0968,-0.105,-0.199,-0.0366
80,DG 36:0 NL 18:0,642.50977 -> 341.20977,0.995448056,0.010292513,0.010173585,0.003761528,0.939675861,0.000109672,0.272943509,0.24321381,0.003258741,0.995448056,0.12351015,0.135647796,0.060425571,0.986640738,0.001316065,0.818830527,0.550672777,0.033518481,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.000739,0.375,0.376,-0.439,0.0098,-0.669,0.145,0.155,-0.448,0.135,0.51,0.134,-0.304,-0.159,-0.314
81,DG 36:1 NL 16:1,640.58797 -> 369.336841,0.123608242,0.264274299,0.642745863,0.031190263,0.052341784,0.001666277,0.763916254,0.029226819,0.076532926,0.515877782,0.568428233,0.948313569,0.196991135,0.819262707,0.011535764,0.995250349,0.219424644,0.245998691,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.181,0.129,-0.0525,-0.264,-0.234,-0.427,-0.0339,-0.268,-0.211,0.0472,0.176,0.228,-0.217,-0.251,0.017
82,DG 36:1 NL 18:0,640.58797 -> 339.28797,0.495457163,0.763651594,0.700127037,0.72044322,0.436181107,0.090717198,0.081718935,0.301989805,0.274763471,0.782300784,0.93303036,0.970284575,0.906851605,0.953944604,0.22105461,0.681012777,0.584496396,0.504513284,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0631,0.0277,-0.0355,0.0329,0.0723,-0.164,-0.169,-0.0966,-0.102,0.0086,0.0363,0.0717,0.0415,-0.127,-0.0308
83,DG 36:1 NL 18:1,640.58797 -> 341.28797,0.141260293,0.281177905,0.668667769,0.861952283,0.595229177,0.177211547,0.904466676,0.51627265,0.25318026,0.516053985,0.577851318,0.958245892,0.933013703,0.953944604,0.337895065,0.998456697,0.781586877,0.479709967,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.219,0.157,-0.0614,-0.0249,-0.0763,-0.199,-0.0172,-0.0935,-0.167,-0.0601,0.0972,0.159,-0.085,-0.102,-0.00863
84,DG 36:2 NL 18:1,638.57237 -> 339.27237,0.005778989,0.165479137,0.096909305,0.263157318,0.419497085,0.084618091,0.141515513,0.031218097,0.234407277,0.173369682,0.444570815,0.471450673,0.594361347,0.953944604,0.211545228,0.783778224,0.219424644,0.46112907,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.403,0.182,-0.221,0.145,-0.103,-0.231,-0.194,-0.297,-0.154,-0.155,0.027,0.248,-0.00995,-0.204,0.0935
85,DG 36:5 NL 16:0,632.52537 -> 359.258591,0.396841993,0.180629715,0.601670807,0.844715703,0.595770755,0.039950432,0.310889099,0.619297054,0.243407639,0.736407822,0.45473215,0.91393034,0.932814887,0.953944604,0.123209999,0.820808634,0.815317262,0.468718636,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.185,0.298,0.113,0.0423,0.115,-0.479,-0.223,-0.108,-0.258,-0.0455,0.253,0.14,-0.00315,-0.226,-0.118
86,DG 36:6 NL 16:0,630.50977 -> 357.242991,0.57369851,0.763644031,0.791555755,0.999301131,0.93781847,0.49959277,0.704410606,0.762775654,0.523290084,0.838675574,0.93303036,0.9725683,0.999468295,0.986640738,0.689093476,0.983273573,0.897535955,0.706672861,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.313,0.167,-0.146,0.000485,0.0432,-0.377,-0.21,-0.167,-0.356,-0.0379,0.129,0.275,-0.0374,-0.248,-0.0806
87,DG 36:6 NL 22:5,630.50977 -> 283.22737,0.596762448,0.652963351,0.935895473,0.61357229,0.491021619,0.04004325,0.22033126,0.57444861,0.098926583,0.844145548,0.867405189,0.989198075,0.854555773,0.953944604,0.123209999,0.783852927,0.801754668,0.280480452,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.159,0.135,-0.0241,-0.152,0.208,-0.665,-0.378,-0.169,-0.52,0.125,0.26,0.284,-0.0275,-0.405,-0.236
88,DG 36:7 NL 16:0,628.49407 -> 355.227291,0.84984497,0.986631975,0.862973401,0.87589648,0.964375135,0.406897772,0.50832077,0.536736105,0.697062278,0.952362392,0.997868493,0.986255315,0.941261889,0.98899557,0.589720501,0.924067762,0.785467471,0.842088658,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.118,0.0104,-0.108,-0.0973,0.0278,-0.523,-0.415,-0.387,-0.243,0.101,0.112,0.219,0.00378,-0.412,-0.024
89,DG 36:7 NL 16:1,628.49407 -> 357.242941,0.455191274,0.606324793,0.813224946,0.574157362,0.81276786,0.019943367,0.151511164,0.223071893,0.134945972,0.762004934,0.850933169,0.974216093,0.833454234,0.981017338,0.069034732,0.783852927,0.53701383,0.338625631,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.241,0.165,-0.0755,-0.18,0.0757,-0.82,-0.475,-0.399,-0.497,0.114,0.279,0.355,-0.066,-0.541,-0.142
90,DG 36:7 NL 20:0,628.49407 -> 299.16467,0.013848593,0.00696286,0.736290825,0.669805964,0.686846261,0.001473713,0.246729789,0.127166226,0.070388116,0.221577494,0.104442904,0.970438284,0.888598641,0.967121763,0.01082728,0.791545254,0.4103796,0.234627052,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.392,0.44,0.048,0.0609,-0.0575,-0.548,-0.169,-0.226,-0.273,-0.15,0.289,0.241,-0.0896,-0.258,-0.032
91,DG 36:7 NL 22:5,628.49407 -> 281.21167,0.610610385,0.535941223,0.911120381,0.929865692,0.505435274,0.149871487,0.344912888,0.773314067,0.283530156,0.849817274,0.807499382,0.989198075,0.964702159,0.953944604,0.299240076,0.851781189,0.897621457,0.508895837,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.211,0.257,0.0461,0.0363,0.277,-0.617,-0.396,-0.119,-0.452,0.016,0.273,0.227,0.0523,-0.344,-0.225
92,DG 36:8 NL 22:6,626.47847 -> 281.21197,0.18503473,0.357296606,0.665749835,0.707889233,0.621060151,0.007633065,0.098709111,0.039009984,0.224555466,0.537197604,0.66302463,0.958245892,0.900342513,0.953944604,0.032713135,0.703432526,0.227643108,0.449110931,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.473,0.323,-0.15,-0.13,-0.172,-1.05,-0.6,-0.772,-0.431,0.0036,0.327,0.477,-0.126,-0.726,0.0454
93,DG 38:0 NL 18:0,670.63497 -> 369.33497,0.642024393,0.476618483,0.801596087,0.09817607,0.554149036,0.038269907,0.830003323,0.704378567,0.12319342,0.864948034,0.76599399,0.9725683,0.404701275,0.953944604,0.119801449,0.998456697,0.877426588,0.328515786,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.059,0.0908,0.0318,-0.22,-0.0752,-0.283,0.0272,-0.0481,-0.203,0.0678,0.159,0.127,-0.152,-0.125,-0.0766
94,DG 38:0 NL 20:0,670.59857 -> 341.269191,0.823042763,0.977838722,0.801560274,0.246174583,0.567033968,0.311972047,0.852502101,0.450781335,0.138806748,0.943396591,0.997868493,0.9725683,0.594361347,0.953944604,0.499155275,0.998456697,0.744409543,0.343751173,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0551,0.00684,0.062,-0.293,0.142,-0.254,0.0458,0.188,-0.379,0.17,0.177,0.115,-0.122,-0.0765,-0.264
95,DG 40:5 NL 20:0,688.58797 -> 359.25857,0.410183285,0.178162448,0.579250013,0.067003369,0.295678851,7.76E-05,0.0590035,0.007086986,0.102427199,0.742040113,0.45473215,0.91393034,0.333496692,0.953944604,0.001029821,0.627978789,0.115968861,0.285843346,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.131,0.218,0.0874,-0.305,-0.167,-0.839,-0.316,-0.483,-0.269,0.119,0.337,0.25,-0.186,-0.502,-0.0188
96,DG 40:5 NL 22:5,688.58797 -> 341.30557,0.142564347,0.138860255,0.987693447,0.00610361,0.454256485,1.81E-05,0.157725906,0.039837544,0.001268167,0.516053985,0.405601323,0.999509016,0.078474988,0.953944604,0.000707939,0.783852927,0.227643108,0.022282786,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.187,0.189,0.0019,-0.388,-0.0929,-0.757,-0.18,-0.273,-0.482,0.146,0.335,0.333,-0.242,-0.422,-0.149
97,DG 40:6 NL 20:0,686.57237 -> 357.24297,0.302085742,0.807795453,0.42419157,0.130933785,0.295047361,0.011111891,0.30584909,0.049136314,0.134599651,0.692680682,0.956599878,0.840296399,0.457632645,0.953944604,0.043885539,0.819582967,0.255468548,0.338625631,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.323,0.0747,-0.248,-0.483,-0.328,-0.878,-0.32,-0.648,-0.478,0.174,0.249,0.497,-0.309,-0.629,0.0187
98,DG 40:6 NL 22:6,686.57237 -> 341.30587,0.45099366,0.525753335,0.902625333,0.137461137,0.600732928,0.004733362,0.284111793,0.121038679,0.090795549,0.762004934,0.801996613,0.989198075,0.466005828,0.953944604,0.024343003,0.819582967,0.406413464,0.267921293,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.231,0.194,-0.0371,-0.468,-0.159,-0.993,-0.331,-0.491,-0.54,0.192,0.386,0.423,-0.276,-0.608,-0.117
