"","name","ID","RDH12_100_vs_RDH12_Veh_p.val","RDH12_200_vs_RDH12_100_p.val","RDH12_200_vs_RDH12_Veh_p.val","RDH12_100_vs_RDH12_Veh_p.adj","RDH12_200_vs_RDH12_100_p.adj","RDH12_200_vs_RDH12_Veh_p.adj","RDH12_100_vs_RDH12_Veh_significant","RDH12_200_vs_RDH12_100_significant","RDH12_200_vs_RDH12_Veh_significant","significant","RDH12_100_vs_RDH12_Veh_ratio","RDH12_200_vs_RDH12_100_ratio","RDH12_200_vs_RDH12_Veh_ratio","RDH12_100_centered","RDH12_200_centered","RDH12_Veh_centered"
"33","Cer(d18:1/16:0)","538.519925 -> 264.3",0.0744541739012049,0.460321345100316,0.0215475730017389,0.73,0.895,0.255,FALSE,FALSE,FALSE,FALSE,0.263,0.1,0.363,0.0542,0.154,-0.209
"34","Cer(d18:1/18:0)","566.551225 -> 264.3",0.206639756687172,0.799925665006775,0.139697064758691,0.852,0.923,0.519,FALSE,FALSE,FALSE,FALSE,0.12,0.023,0.143,0.0323,0.0553,-0.0876
"35","Cer(d18:1/20:0(OH)","610.577425 -> 264.3",0.465979171855441,0.635648318030775,0.792241987562426,0.915,0.912,0.8,FALSE,FALSE,FALSE,FALSE,0.174,-0.112,0.0619,0.0952,-0.0167,-0.0785
"36","Cer(d18:1/22:0)","622.613825 -> 264.3",0.64469499006334,0.73015632661324,0.42674795132043,0.932,0.919,0.717,FALSE,FALSE,FALSE,FALSE,0.07,0.0522,0.122,0.00593,0.0581,-0.064
"37","Cer(d18:1/24:0)","650.645125 -> 264.3",0.73227245072585,0.0335753420432005,0.0190577395307845,0.937,0.581,0.234,FALSE,FALSE,FALSE,FALSE,0.0393,0.281,0.32,-0.0806,0.2,-0.12
"38","Cer(d18:1/24:1)","648.629425 -> 264.3",0.530461914243203,0.924750613979732,0.592162850045335,0.922,0.929,0.763,FALSE,FALSE,FALSE,FALSE,0.0809,-0.012,0.0688,0.031,0.0189,-0.0499
"39","DG 30:1 NL 16:0","556.49407 -> 283.227291",0.223523336315305,0.0119014788786669,0.0965387067635734,0.86,0.468,0.484,FALSE,FALSE,FALSE,FALSE,0.461,-1.12,-0.656,0.526,-0.591,0.0649
"40","DG 30:2 NL 16:0","554.47847 -> 281.211691",0.534799338175811,0.0393241916636381,0.110139858633005,0.922,0.612,0.497,FALSE,FALSE,FALSE,FALSE,0.35,-1.32,-0.966,0.555,-0.761,0.205
"41","DG 30:2 NL 16:1","554.47847 -> 283.227341",0.333070287516886,0.0763842887110161,0.350207253069628,0.893,0.724,0.685,FALSE,FALSE,FALSE,FALSE,0.272,-0.534,-0.262,0.269,-0.265,-0.00334
"42","DG 30:3 NL 16:1","552.46277 -> 281.211641",0.839799129663724,0.201971230291485,0.27222521606383,0.943,0.836,0.642,FALSE,FALSE,FALSE,FALSE,0.0777,-0.515,-0.438,0.198,-0.318,0.12
"43","DG 32:0 NL 16:0","586.54107 -> 313.274291",0.00194150534192148,0.521234791143901,0.000782478504843654,0.111,0.902,0.00882,FALSE,FALSE,FALSE,FALSE,-0.422,-0.0642,-0.486,-0.119,-0.183,0.303
"44","DG 32:5 NL 18:1","576.46277 -> 277.16277",0.61044906717715,0.103887200002077,0.230674618570989,0.929,0.766,0.612,FALSE,FALSE,FALSE,FALSE,0.139,-0.479,-0.34,0.206,-0.273,0.0669
"45","DG 34:0 NL 16:0","614.57237 -> 341.305591",0.83338871406872,0.0232815883977222,0.0329740402574916,0.943,0.526,0.331,FALSE,FALSE,FALSE,FALSE,0.0369,-0.468,-0.432,0.168,-0.3,0.132
"46","DG 34:0 NL 18:0","614.57237 -> 313.27237",0.512933303235087,0.115025401231367,0.0388215629601176,0.92,0.778,0.359,FALSE,FALSE,FALSE,FALSE,-0.124,-0.317,-0.441,0.0646,-0.253,0.188
"47","DG 34:0 NL 20:0","614.57237 -> 285.24297",0.217650681460991,0.333478941726911,0.767227294588807,0.857,0.875,0.796,FALSE,FALSE,FALSE,FALSE,0.355,-0.273,0.0815,0.209,-0.0639,-0.145
"48","DG 34:1 NL 16:0","612.55667 -> 339.289891",0.0782471777385992,0.381999024205144,0.0178751299281319,0.736,0.884,0.226,FALSE,FALSE,FALSE,FALSE,-0.262,-0.121,-0.383,-0.0471,-0.168,0.215
"49","DG 34:1 NL 16:1","612.55667 -> 341.305541",0.624752820654541,0.439335455633101,0.768651522745681,0.93,0.892,0.797,FALSE,FALSE,FALSE,FALSE,0.149,-0.238,-0.0891,0.129,-0.109,-0.0199
"50","DG 34:1 NL 18:1","612.55667 -> 313.25667",0.00602176631913392,0.461941536751621,0.00195158698868899,0.252,0.895,0.0269,FALSE,FALSE,FALSE,FALSE,-0.381,-0.0811,-0.462,-0.1,-0.181,0.281
"51","DG 34:1 NL 20:0","612.55667 -> 283.22727",0.237676431365131,0.605129474867496,0.483360395478159,0.865,0.91,0.735,FALSE,FALSE,FALSE,FALSE,0.593,-0.251,0.342,0.281,0.0305,-0.312
"52","DG 34:2 NL 16:1","610.54107 -> 339.289941",0.46650170573457,0.602570511186044,0.829945880239417,0.915,0.909,0.806,FALSE,FALSE,FALSE,FALSE,0.261,-0.185,0.0759,0.149,-0.0365,-0.112
"53","DG 34:2 NL 20:0","610.54107 -> 281.21167",0.0576946589873581,0.543278134890565,0.155628942673362,0.697,0.904,0.534,FALSE,FALSE,FALSE,FALSE,1.14,-0.329,0.81,0.49,0.16,-0.65
"54","DG 34:5 NL 20:4","604.49407 -> 283.22727",0.55405219651585,0.809642722132467,0.410992381931083,0.924,0.923,0.711,FALSE,FALSE,FALSE,FALSE,0.124,0.0501,0.174,0.0247,0.0749,-0.0996
"55","DG 36:0 NL 16:0","642.60367 -> 369.336891",0.618122385751766,0.699902645816174,0.908394676223962,0.93,0.917,0.816,FALSE,FALSE,FALSE,FALSE,0.0547,-0.0422,0.0125,0.0323,-0.00988,-0.0224
"56","DG 36:0 NL 18:0","642.50977 -> 341.20977",0.848496681655847,0.157468619941431,0.116437830419949,0.944,0.813,0.503,FALSE,FALSE,FALSE,FALSE,-0.103,-0.813,-0.917,0.237,-0.577,0.34
"57","DG 36:1 NL 16:1","640.53047 -> 369.279341",0.0918198915439767,0.0616669610455803,0.808143273436724,0.753,0.692,0.803,FALSE,FALSE,FALSE,FALSE,0.162,-0.183,-0.0214,0.115,-0.0682,-0.0468
"58","DG 36:1 NL 18:0","640.53047 -> 339.23047",0.755499813343449,0.990241638652541,0.74630589775634,0.939,0.932,0.793,FALSE,FALSE,FALSE,FALSE,-0.0484,-0.00189,-0.0503,-0.0155,-0.0174,0.0329
"59","DG 36:2 NL 18:1","638.51487 -> 339.21487",0.618496446615,0.131541738854454,0.0582652032912075,0.93,0.794,0.421,FALSE,FALSE,FALSE,FALSE,-0.0481,-0.155,-0.203,0.0357,-0.119,0.0837
"60","DG 36:5 NL 16:0","632.52537 -> 359.258591",0.158148392224965,0.0263961508132549,0.289024873714721,0.822,0.534,0.653,FALSE,FALSE,FALSE,FALSE,0.483,-0.836,-0.353,0.44,-0.396,-0.0433
"61","DG 36:5 NL 20:4","632.52537 -> 311.25857",0.608358801626634,0.653972819480735,0.346433004526265,0.929,0.913,0.684,FALSE,FALSE,FALSE,FALSE,0.0809,0.0707,0.152,0.00342,0.0741,-0.0775
"62","DG 36:6 NL 16:0","630.50977 -> 357.242991",0.599709766479004,0.054231035206602,0.128252464057809,0.928,0.67,0.512,FALSE,FALSE,FALSE,FALSE,0.34,-1.39,-1.05,0.576,-0.813,0.237
"63","DG 36:6 NL 16:1","630.50977 -> 359.258641",0.0944463779857925,0.25310500942629,0.529987617940534,0.755,0.855,0.748,FALSE,FALSE,FALSE,FALSE,0.303,-0.198,0.106,0.167,-0.0307,-0.136
"64","DG 36:6 NL 22:5","630.50977 -> 283.22737",0.198037000510589,0.0258030149723638,0.229024345418059,0.848,0.532,0.611,FALSE,FALSE,FALSE,FALSE,0.328,-0.632,-0.304,0.32,-0.312,-0.00783
"65","DG 36:7 NL 16:0","628.49407 -> 355.227291",0.641664825787114,0.0569498555592156,0.122052739292817,0.931,0.679,0.507,FALSE,FALSE,FALSE,FALSE,0.324,-1.48,-1.15,0.6,-0.877,0.276
"66","DG 36:7 NL 16:1","628.49407 -> 357.242941",0.680327127845329,0.355799286451653,0.596652857925358,0.934,0.879,0.764,FALSE,FALSE,FALSE,FALSE,0.147,-0.337,-0.19,0.161,-0.176,0.0142
"67","DG 36:7 NL 22:5","628.49407 -> 281.21167",0.55174293390211,0.078533641560692,0.203409390565808,0.924,0.728,0.588,FALSE,FALSE,FALSE,FALSE,0.237,-0.764,-0.527,0.334,-0.43,0.0966
"68","DG 38:0 NL 20:0","670.59857 -> 341.269191",0.339573207925729,0.212692051255269,0.0440501413581061,0.894,0.841,0.379,FALSE,FALSE,FALSE,FALSE,0.298,0.397,0.695,-0.0329,0.364,-0.331
"69","DG 38:2 NL 16:1","666.54617 -> 369.24617",0.974189451592462,0.0811781800927801,0.0769978942805358,0.949,0.733,0.458,FALSE,FALSE,FALSE,FALSE,-0.00227,-0.135,-0.137,0.0442,-0.0906,0.0465
"70","DG 40:5 NL 20:0","688.58797 -> 359.25857",0.173594725763851,0.70973052589637,0.301631868561727,0.833,0.917,0.66,FALSE,FALSE,FALSE,FALSE,0.365,-0.0947,0.27,0.153,0.0586,-0.212
"71","DG 40:5 NL 22:5","688.58797 -> 341.30557",0.177960938373614,0.936776410565625,0.157423410334602,0.836,0.93,0.536,FALSE,FALSE,FALSE,FALSE,0.342,0.019,0.361,0.108,0.127,-0.234
"72","DG 40:6 NL 20:0","686.57237 -> 357.24297",0.278853026783761,0.861808746415079,0.355498995780959,0.879,0.926,0.688,FALSE,FALSE,FALSE,FALSE,0.511,-0.0793,0.431,0.197,0.117,-0.314
"73","DG 40:6 NL 22:6","686.57237 -> 341.30587",0.413035907095312,0.899281198164664,0.348969281788078,0.907,0.928,0.685,FALSE,FALSE,FALSE,FALSE,0.412,0.0624,0.474,0.117,0.179,-0.296
"74","DG 40:7 NL 22:6","684.55667 -> 339.29017",0.307381053864524,0.827134269917403,0.224049397721495,0.887,0.924,0.606,FALSE,FALSE,FALSE,FALSE,0.225,0.0467,0.272,0.0595,0.106,-0.166
"75","DG 42:10 NL 16:0","706.54107 -> 433.274291",0.11006249126918,0.0498014161979302,0.630132572603849,0.773,0.656,0.772,FALSE,FALSE,FALSE,FALSE,0.405,-0.519,-0.114,0.308,-0.211,-0.0973
"76","DG 42:11 NL 16:0","704.52537 -> 431.258591",0.550037213417519,0.0708108477710728,0.185546691688199,0.924,0.713,0.57,FALSE,FALSE,FALSE,FALSE,0.345,-1.14,-0.797,0.496,-0.646,0.151
"77","DG 42:11 NL 22:5","704.52537 -> 357.24297",0.424098857860667,0.075605367348054,0.269337936342289,0.909,0.723,0.64,FALSE,FALSE,FALSE,FALSE,0.342,-0.824,-0.482,0.389,-0.435,0.0464
"78","DG 42:6 NL 22:6","714.60367 -> 369.33717",0.104271327838286,0.0572571923894406,0.714798193887401,0.765,0.68,0.788,FALSE,FALSE,FALSE,FALSE,0.138,-0.167,-0.0287,0.102,-0.0652,-0.0365
"79","DG O-36:4 NL 18:1","620.56177 -> 321.26177",0.478588284698716,0.126162658463243,0.36668094819843,0.916,0.789,0.693,FALSE,FALSE,FALSE,FALSE,0.0899,-0.205,-0.116,0.0985,-0.107,0.00858
"80","LPC 14:0","468.345425 -> 184.07",0.395237005758993,0.440177456640084,0.124132654205659,0.905,0.892,0.509,FALSE,FALSE,FALSE,FALSE,0.11,0.099,0.209,0.00349,0.103,-0.106
"81","LPC 16:0","496.376725 -> 184.07",0.67273011221427,0.00328907900657969,0.00631232557427997,0.934,0.333,0.101,FALSE,FALSE,FALSE,FALSE,-0.0608,0.56,0.499,-0.207,0.353,-0.146
"82","LPC 16:1","494.361025 -> 184.07",0.464640112612703,0.147175883786012,0.0439707732064116,0.914,0.806,0.379,FALSE,FALSE,FALSE,FALSE,0.0911,0.19,0.281,-0.0329,0.157,-0.124
"83","LPC 18:0","524.408025 -> 184.07",0.00452852550813311,0.000959168827914113,0.301680194650195,0.224,0.161,0.66,FALSE,FALSE,FALSE,FALSE,-0.274,0.354,0.0792,-0.209,0.144,0.0651
"84","LPC 20:1","550.387225 -> 184.07",0.397022938599001,0.350478042898395,0.0945518665612635,0.905,0.878,0.482,FALSE,FALSE,FALSE,FALSE,-0.0983,-0.109,-0.207,0.00353,-0.105,0.102
"85","LPC 26:0","636.496825 -> 184.07",0.590311325365055,0.475265186058942,0.225507586475794,0.927,0.897,0.608,FALSE,FALSE,FALSE,FALSE,-0.0837,-0.112,-0.195,0.00935,-0.102,0.093
"86","LPC O-18:1","508.376725 -> 184.07",0.412474190199736,0.398451487236236,0.978889105166877,0.907,0.886,0.825,FALSE,FALSE,FALSE,FALSE,0.087,-0.0897,-0.00275,0.0589,-0.0308,-0.0281
"87","LPE 22:5","528.309025 -> 387.289025",0.32897327241552,0.466733535964919,0.791044269270284,0.892,0.896,0.8,FALSE,FALSE,FALSE,FALSE,0.127,-0.0936,0.0336,0.0736,-0.02,-0.0536
"88","PC 24:0","622.444825 -> 184.07",0.548961433172806,0.186539691731063,0.0710238694424788,0.924,0.829,0.448,FALSE,FALSE,FALSE,FALSE,-0.0779,-0.179,-0.257,0.0338,-0.145,0.112
"89","PC 26:0","650.476125 -> 184.07",0.049287497416483,0.270788022888021,0.00762325233314947,0.673,0.86,0.12,FALSE,FALSE,FALSE,FALSE,-0.268,-0.138,-0.406,-0.0434,-0.181,0.225
"90","PC 28:0","678.543725 -> 184.07",0.000689318326715632,0.342322527013203,0.00272978702842192,0.0241,0.877,0.0344,FALSE,FALSE,FALSE,FALSE,-0.457,0.089,-0.368,-0.182,-0.093,0.275
"91","PC 28:1","676.528125 -> 184.07",0.0792631814832162,0.610994133986262,0.179208627021447,0.737,0.91,0.563,FALSE,FALSE,FALSE,FALSE,-0.3,0.0796,-0.22,-0.127,-0.047,0.173
"92","PC 30:0","706.575025 -> 184.07",0.537281519878609,0.302851761790193,0.117699738385035,0.922,0.868,0.504,FALSE,FALSE,FALSE,FALSE,0.0997,0.17,0.27,-0.0234,0.147,-0.123
"93","PC 30:1","704.559425 -> 184.07",0.0832842675393716,0.0269600019498816,0.500323955462638,0.742,0.535,0.74,FALSE,FALSE,FALSE,FALSE,-0.281,0.382,0.101,-0.221,0.161,0.0601
"94","PC 30:2","702.543725 -> 184.07",0.348544565829486,0.0194697740622282,0.0951612213014187,0.896,0.513,0.482,FALSE,FALSE,FALSE,FALSE,-0.119,0.343,0.224,-0.154,0.189,-0.0352
"95","PC 32:1","732.590725 -> 184.07",0.129899574392157,0.0523696644406244,0.580101064507694,0.797,0.664,0.761,FALSE,FALSE,FALSE,FALSE,-0.27,0.362,0.0925,-0.211,0.152,0.059
"96","PC 32:2","730.575025 -> 184.07",0.570749831437215,0.0307119976586407,0.0790367839448889,0.926,0.562,0.461,FALSE,FALSE,FALSE,FALSE,-0.0924,0.405,0.312,-0.166,0.239,-0.0733
"97","PC 32:3","728.559425 -> 184.07",0.278652459658457,0.0608364498747973,0.00963680502400118,0.879,0.69,0.149,FALSE,FALSE,FALSE,FALSE,0.101,0.189,0.291,-0.0292,0.16,-0.131
"98","PC 32:4","726.580125 -> 184.07",0.81900299452807,0.507266030420009,0.37881211050891,0.942,0.9,0.698,FALSE,FALSE,FALSE,FALSE,0.0265,0.0777,0.104,-0.0171,0.0606,-0.0435
"99","PC 34:0","762.637625 -> 184.07",0.21770542053921,0.0528782916527514,0.385886813987462,0.857,0.666,0.701,FALSE,FALSE,FALSE,FALSE,-0.167,0.281,0.114,-0.149,0.132,0.0174
"100","PC 34:1","760.622025 -> 184.07",0.090150022802075,0.0350028289869563,0.569587576386799,0.751,0.589,0.758,FALSE,FALSE,FALSE,FALSE,-0.248,0.325,0.0768,-0.191,0.134,0.057
"101","PC 34:2","758.606325 -> 184.07",0.102117082595904,0.102864342600632,0.996391985140491,0.763,0.765,0.827,FALSE,FALSE,FALSE,FALSE,-0.253,0.252,-0.000643,-0.168,0.0838,0.0844
"102","PC 34:3","756.590725 -> 184.07",0.447388417009744,0.0269801862209295,0.096454540075546,0.912,0.535,0.484,FALSE,FALSE,FALSE,FALSE,-0.0875,0.293,0.205,-0.127,0.166,-0.0392
"103","PC 34:4","754.611425 -> 184.07",0.343235579507936,0.0895641819437701,0.0179784493312954,0.895,0.747,0.227,FALSE,FALSE,FALSE,FALSE,0.12,0.228,0.347,-0.0361,0.192,-0.156
"104","PC 34:6","750.507425 -> 184.07",0.405437777602913,0.88994377470045,0.336750061136545,0.906,0.928,0.679,FALSE,FALSE,FALSE,FALSE,0.0996,0.0162,0.116,0.0278,0.044,-0.0718
"105","PC 36:0","790.668925 -> 184.07",0.609815870074177,0.0636909673069847,0.146113064195788,0.929,0.697,0.523,FALSE,FALSE,FALSE,FALSE,-0.0604,0.243,0.182,-0.101,0.142,-0.0406
"106","PC 36:1","788.653325 -> 184.07",0.0364045161486387,0.00480818115823502,0.229832744578808,0.62,0.361,0.611,FALSE,FALSE,FALSE,FALSE,-0.296,0.45,0.154,-0.249,0.202,0.0471
"107","PC 36:2","786.637625 -> 184.07",0.0105937362685381,0.386348447130622,0.0453528562494811,0.356,0.884,0.384,FALSE,FALSE,FALSE,FALSE,-0.407,0.114,-0.293,-0.174,-0.0595,0.233
"108","PC 36:3","784.622025 -> 184.07",0.0201566936130586,0.979250385853591,0.0193143095986082,0.494,0.932,0.235,FALSE,FALSE,FALSE,FALSE,-0.291,-0.00274,-0.294,-0.0961,-0.0989,0.195
"109","PC 36:4","782.606325 -> 184.07",0.643983168809271,0.907437569082552,0.564873916652094,0.932,0.929,0.757,FALSE,FALSE,FALSE,FALSE,-0.043,-0.0108,-0.0538,-0.0108,-0.0215,0.0323
"110","PC 36:5","780.554325 -> 184.07",0.667645861027043,0.945313001312104,0.619435194795003,0.933,0.93,0.769,FALSE,FALSE,FALSE,FALSE,0.0428,0.0068,0.0496,0.012,0.0188,-0.0308
"111","PC 36:6","778.538725 -> 184.07",0.844408281420088,0.376136526327504,0.286801493247039,0.943,0.883,0.651,FALSE,FALSE,FALSE,FALSE,0.0225,0.104,0.126,-0.0271,0.0766,-0.0495
"112","PC 36:7","776.653325 -> 184.07",0.858618494190073,0.378455744058968,0.476147491962812,0.944,0.883,0.733,FALSE,FALSE,FALSE,FALSE,-0.0293,0.148,0.119,-0.0591,0.0889,-0.0298
"113","PC 38:0","818.736625 -> 184.07",0.943568125000973,0.904090551984017,0.960322821751453,0.948,0.928,0.823,FALSE,FALSE,FALSE,FALSE,-0.00934,0.0159,0.00656,-0.00841,0.00749,0.000925
"114","PC 38:1","816.684625 -> 184.07",0.859234447136318,0.496385966378894,0.611211334860168,0.944,0.899,0.768,FALSE,FALSE,FALSE,FALSE,-0.0158,0.0612,0.0455,-0.0257,0.0356,-0.00991
"115","PC 38:2","814.705325 -> 184.07",0.0460021197813212,0.0257490475594981,0.726871444712257,0.662,0.532,0.79,FALSE,FALSE,FALSE,FALSE,-0.252,0.291,0.039,-0.181,0.11,0.0709
"116","PC 38:3","812.616925 -> 184.07",0.303326451607697,0.0110019341933582,0.0631657324674249,0.886,0.46,0.432,FALSE,FALSE,FALSE,FALSE,-0.143,0.42,0.278,-0.188,0.233,-0.045
"117","PC 38:4","810.674025 -> 184.07",0.103917218404369,0.114364302952287,0.952437453855264,0.764,0.778,0.822,FALSE,FALSE,FALSE,FALSE,-0.215,0.207,-0.00725,-0.141,0.0667,0.074
"118","PC 38:5","808.585625 -> 184.07",0.0605786735536383,0.0600458322824477,0.995723548119269,0.704,0.687,0.827,FALSE,FALSE,FALSE,FALSE,-0.213,0.213,0.000543,-0.142,0.0712,0.0707
"119","PC 38:6","806.642725 -> 184.07",0.591383850864325,0.361898737743622,0.695111003043648,0.927,0.88,0.784,FALSE,FALSE,FALSE,FALSE,0.0781,-0.135,-0.0568,0.071,-0.0639,-0.0071
