"","lipid_name","mrm","blank","s10","s11","s12","s13","s14","s15","s16","s17","s18","s1","s2","s3","s4","s5","s6","s7","s8","s9","lipid_class1","lipid_class","DG_TG_acyl_chains","NL_chain","maxvalue","max_divid_blank","mrm1","precursor","product","picked_candidate","C_total","DB_total","NL_C","NL_DB","cand_score"
"65","[DG 38:1_ DG O-40:8] NL 18:1","668.56177 -> 369.26177",2624.220177,5282.600361,6206.100445,5496.280361,3650.600296,3798.54026,3722.240246,3142.200214,3637.94025,3601.720261,3975.740292,4512.200325,4174.880287,3434.660252,3605.920261,4156.500271,3204.920219,2993.160225,3112.020206,"DG","DG",NA,"NL 18:1",6206.100445,2.36493130393304,"668 -> 369",668,369,"[DG 38:1",38,1,38,1,4
"66","DG 38:0 NL 18:0","670.63497 -> 369.33497",2147.480141,2917.520206,2598.000202,2664.140202,2585.420189,2421.120171,2428.200153,2421.920158,2664.380196,2496.200169,2411.360157,2693.0602,2502.980164,2714.560196,2437.900166,2758.440189,2401.22015,2437.420162,2389.280163,"DG","DG",NA,"NL 18:0",2917.520206,1.3585784335316,"670 -> 369",670,369,"DG 38:0 NL 18:0",38,0,18,0,4
"67","DG 40:7 NL 22:6","684.55667 -> 339.29017",14054.08095,17177.26115,15231.64107,15259.42107,13355.66096,15789.80099,15765.3611,10239.24073,15208.74109,17535.24119,13273.84088,15949.98122,16046.96109,12745.24091,14277.82098,19702.7414,14347.80101,13003.44093,14323.54101,"DG","DG",NA,"NL 22:6",19702.7414,1.40192314745419,"684 -> 339",684,339,"DG 40:7 NL 22:6",40,7,22,6,4
"68","DG 40:6 NL 22:6","686.57237 -> 341.30587",188243.5715,311807.4834,229149.2569,237138.1969,185712.2921,197131.6141,282665.0408,71890.80558,250445.6364,311224.5636,187555.6332,254457.9188,267121.8988,143363.431,245550.618,403478.3106,213653.6773,172717.4318,240279.6365,"DG","DG",NA,"NL 22:6",403478.3106,2.14338427275324,"686 -> 341",686,341,"DG 40:6 NL 22:6",40,6,22,6,4
"69","DG 40:6 NL 20:0","686.57237 -> 357.24297",72361.76436,108869.6651,71793.48448,97663.52709,43901.18259,69456.66457,108233.787,26290.22239,70789.66439,98121.38721,67443.06553,83212.62572,91450.36686,51719.20421,62796.72433,144879.589,76387.98613,47373.28291,63937.94442,"DG","DG",NA,"NL 20:0",144879.589,2.00215666770124,"686 -> 357",686,357,"DG 40:6 NL 20:0",40,6,20,0,4
"70","DG 40:6 NL 16:1","686.57237 -> 415.321241",3558.020245,4562.520287,5233.320339,4282.580303,3398.080231,3970.040279,4603.80035,3208.640224,4258.820297,4925.360371,3980.840282,4116.540306,4438.620338,3272.680241,3856.700253,5132.420364,4532.620323,4055.20026,4867.14035,"DG","DG",NA,"NL 16:1",5233.320339,1.47085175986681,"686 -> 415",686,415,"DG 40:6 NL 16:1",40,6,16,1,4
"71","DG 40:5 NL 22:5","688.58797 -> 341.30557",12512.00079,16949.5011,15745.3611,14784.04107,12721.46091,13268.70102,16556.2411,9188.780701,13633.94095,16318.62108,13029.04094,15100.46109,15150.14098,11368.48072,14389.10103,21268.00156,13492.68092,11252.32085,15023.2611,"DG","DG",NA,"NL 22:5",21268.00156,1.69980820149868,"688 -> 341",688,341,"DG 40:5 NL 22:5",40,5,22,5,4
"72","DG 40:5 NL 20:0","688.58797 -> 359.25857",6112.820419,8543.820583,6749.340504,6949.70052,5354.440445,5706.840366,8170.120621,3611.980259,5521.600395,6679.600437,5733.160461,6326.20047,6363.400417,4923.920403,5917.460468,9795.580738,5896.540459,5096.74036,7089.140404,"DG","DG",NA,"NL 20:0",9795.580738,1.60246499431803,"688 -> 359",688,359,"DG 40:5 NL 20:0",40,5,20,0,4
"73","DG 42:11 NL 22:5","704.52537 -> 357.24297",15933.24101,25492.76184,33641.50234,18263.40137,64282.70453,15254.10111,27301.58188,20816.70152,20013.06134,19248.64139,14253.96099,37884.56271,16100.14116,18063.30128,29698.32228,25201.36192,12869.32095,27002.28188,18212.66127,"DG","DG",NA,"NL 22:5",64282.70453,4.0345027411344,"704 -> 357",704,357,"DG 42:11 NL 22:5",42,11,22,5,4
"74","DG 42:11 NL 16:0","704.52537 -> 431.258591",3844.820259,4736.540344,6727.500473,4171.000271,8251.420597,3701.000252,7126.840515,3908.940289,4181.84029,3562.820225,3589.840233,7419.500546,4272.040306,4554.38031,5356.780346,4533.220329,3083.680225,6268.160503,4411.480324,"DG","DG",NA,"NL 16:0",8251.420597,2.14611348285657,"704 -> 431",704,431,"DG 42:11 NL 16:0",42,11,16,0,4
"75","DG 42:10 NL 22:5","706.54107 -> 359.25867",6423.020481,7478.560535,7626.88055,6298.720436,10303.44067,6515.080433,7240.880524,6815.400478,6921.16048,6754.960495,6332.340454,8431.020569,6609.260448,6647.440475,7685.480564,7871.580563,6337.540447,7306.560482,6375.720459,"DG","DG",NA,"NL 22:5",10303.44067,1.60414258377016,"706 -> 359",706,359,"DG 42:10 NL 22:5",42,10,22,5,4
"76","LPC(14:0)_PC(O-14:0)_LPC(O-15:0)","468.345425 -> 184.1",1676.040119,2156.14016,2610.520142,1957.860138,2944.840179,2598.280155,2258.240143,1898.180138,2176.900154,1824.06012,1877.500137,1552.440105,2067.280159,1863.24015,2085.700165,2173.760174,2534.040157,1798.240131,2019.560127,"PC","LPC",NA,NA,2944.840179,1.75702248747901,"468 -> 184",468,184,"LPC(14:0)",14,0,NA,NA,4
"77","LPC 16:1_LPC O-17:1","494.361025 -> 184.07",1608.580109,3648.020256,4401.800255,2975.640202,4802.940243,4788.140327,2640.400192,3476.600224,3362.340275,2795.400192,2182.020164,2562.120182,3496.660301,3502.280289,3523.620239,3429.840275,4499.300297,3173.840248,3053.76022,"PC","LPC",NA,NA,4802.940243,2.98582595677241,"494 -> 184",494,184,"LPC 16:1",16,1,16,1,4
"78","LPC 16:0_PC O-16:0_LPC O-17:0","496.376725 -> 184.07",2433.460186,9349.940849,17575.56138,8086.320637,11156.62067,14733.34072,9618.760712,12434.02081,10379.581,11233.38072,8510.580639,5579.4804,10421.24076,7717.840641,11491.78089,9076.440556,13603.68113,9194.000847,9933.060631,"PC","LPC",NA,NA,17575.56138,7.22245692825155,"496 -> 184",496,184,"LPC 16:0",16,0,16,0,4
"79","LPC 17:1_LPC O-18:1","508.376725 -> 184.07",1663.32011,2186.580158,2426.860191,2278.70015,2257.440151,2687.860172,2243.360172,2023.080112,2123.080166,2285.940163,2212.74015,2061.640144,1960.620132,1715.680138,2079.840137,2184.520157,2332.500164,2086.020138,2065.12014,"PC","LPC",NA,NA,2687.860172,1.6159608459252,"508 -> 184",508,184,"LPC O-18:1",18,1,18,1,4
"80","LPC 18:2_LPC O-19:2","520.376725 -> 184.07",1729.320129,2092.900143,2576.820183,1988.680134,2334.50016,1832.680134,1876.840137,2049.660145,1706.700115,1752.26012,1887.820129,1929.480133,2186.720169,2156.320152,2195.820133,2382.440174,2012.060131,1902.960136,1969.480122,"PC","LPC",NA,NA,2576.820183,1.49007701916364,"520 -> 184",520,184,"LPC 18:2",18,2,18,2,4
"81","LPC 18:1_PC O-18:1","522.355925 -> 184.07",1945.140129,8479.320713,17925.18137,6405.760399,13860.2208,14729.10114,6377.28035,8769.680534,7750.320652,7132.900501,7974.300476,3212.700207,9295.700775,6628.240559,8018.740665,9484.940735,11119.96099,7393.320557,8509.680584,"PC","LPC",NA,NA,17925.18137,9.2153676245502,"522 -> 184",522,184,"LPC 18:1",18,1,18,1,4
"82","LPC 18:0_PC O-18:0_LPC O-19:0","524.408025 -> 184.07",2042.820129,4539.980335,6567.880577,4016.7803,4620.520325,5278.780334,5070.580433,8146.760536,6163.040493,6257.440472,4490.900276,4747.320362,5116.880363,6268.88036,7399.500507,6844.520443,7331.780529,5532.920422,6884.380497,"PC","LPC",NA,NA,8146.760536,3.98799699510891,"524 -> 184",524,184,"LPC 18:0",18,0,18,0,4
"83","LPC O-20:5","528.366555 -> 184.1",2263.940159,4073.280285,4297.080284,4237.140202,3380.360207,3604.420204,4791.400337,4445.580357,4629.48035,4713.200367,3877.60022,3317.300259,3428.020279,3410.860176,3479.660305,4099.96027,3734.800262,4203.980324,5643.580452,"PC","LPC",NA,NA,5643.580452,2.49281343836085,"528 -> 184",528,184,"LPC O-20:5",20,5,20,5,4
"84","LPC O-20:4","530.361025 -> 184.07",13417.86099,13074.00093,15358.96084,16284.08163,15434.66145,17291.22105,15422.90082,13806.26093,18756.28134,17718.60104,15680.6809,13474.00106,14219.5208,16188.36098,18002.28148,18460.78096,13329.02106,13676.74072,16644.64108,"PC","LPC",NA,NA,18756.28134,1.39785926788022,"530 -> 184",530,184,"LPC O-20:4",20,4,20,4,4
"85","LPC 24:0","608.465525 -> 184.07",1634.560108,1737.860115,2149.500168,1953.240116,2211.320145,2109.580139,2356.000179,2601.50016,1900.740128,2032.900154,1948.560139,2057.920155,1980.380138,2189.820164,2164.800137,1987.760136,2075.720165,1864.020126,1947.460121,"PC","LPC",NA,NA,2601.50016,1.5915598008709,"608 -> 184",608,184,"LPC 24:0",24,0,24,0,4
"86","LPE 18:1","480.309025 -> 339.289025",2012.480148,2765.720222,4491.720306,2440.520149,3240.660221,2880.400223,3180.840206,2716.200176,3196.880226,2559.86018,2524.740185,1933.160137,3184.000229,2550.380184,2753.460197,3269.640259,2094.540146,2574.68021,2251.040157,"PE","LPE",NA,NA,4491.720306,2.23193272761665,"480 -> 339",480,339,"LPE 18:1",18,1,18,1,4
"87","LPE 18:0_LPE O-18:1;O","482.324625 -> 341.304625",2405.340157,2436.420147,2926.640224,2238.88015,2419.420158,2826.080219,2585.100166,2597.24017,2744.600182,2515.980179,2511.200165,2481.800144,2063.960152,2689.0602,2244.580158,3174.280239,2416.840164,2659.360188,2147.980141,"PE","LPE",NA,NA,3174.280239,1.31968039105082,"482 -> 341",482,341,"LPE 18:0",18,0,18,0,4
"88","LPE(O-20:4)","488.314125 -> 347.24",4033.060253,4812.48035,4329.860313,4187.620342,4631.700298,3826.460266,4617.50032,3958.00024,4496.840225,4063.700253,3531.360271,4202.980354,4027.880295,4902.860405,3856.540283,3624.840271,3781.060276,3482.680264,5364.940395,"PE","LPE",NA,NA,5364.940395,1.33024057624958,"488 -> 347",488,347,"LPE(O-20:4)",20,4,NA,NA,4
"89","LPE 20:1","508.340325 -> 367.320325",1806.860126,2073.500141,2010.300148,2000.940144,2194.480145,2110.200142,2341.880154,2463.480171,2403.780159,2261.620152,1985.460152,2059.30014,1991.00013,2225.980171,1869.940128,1895.020142,1876.280148,1961.600124,1814.58012,"PE","LPE",NA,NA,2463.480171,1.36340391574948,"508 -> 367",508,367,"LPE 20:1",20,1,20,1,4
"90","PC 14:0_LPC 15:0_LPC O-16:0","482.361025 -> 184.07",1735.200119,3294.320229,3923.040329,2848.860233,3506.820293,3245.000233,3062.260189,3631.260204,3479.760273,2910.020206,2534.200165,1941.880142,2701.300159,2387.360184,2649.520161,2503.08017,3014.300232,2489.340176,2800.780186,"PC","PC",NA,NA,3923.040329,2.26085757258987,"482 -> 184",482,184,"PC 14:0",14,0,14,0,4
"91","PC(16:0)_PC(O-17:0)_LPC(O-18:0)","510.392325 -> 184.1",1504.060112,2511.12019,2653.460163,1866.880127,2026.060135,2270.68013,2443.180161,2075.760136,2196.02013,2208.100147,1610.90012,1915.520153,2249.140167,1965.200119,2130.020149,2280.260185,2530.000202,2167.32016,1687.440113,"PC","PC",NA,NA,2653.460163,1.76419821377458,"510 -> 184",510,184,"PC(16:0)",16,0,NA,NA,4
"92","PC 18:0_LPC 19:0_PC O-19:0_LPC O-20:0","538.423625 -> 184.07",1638.620102,2034.040131,1629.240116,1990.060123,1984.500145,2023.460171,2557.260162,2341.20018,2396.020161,2871.980179,1894.600136,2342.640163,1951.680149,2233.520134,2441.220161,1801.320122,2011.020138,1785.740112,1905.920128,"PC","PC",NA,NA,2871.980179,1.75268213510541,"538 -> 184",538,184,"PC 18:0",18,0,18,0,4
"93","PC(19:1)_LPC(20:1)_PC(O-20:1)_PC(P-20:0)","550.387225 -> 184.1",1575.780117,1804.180122,2576.240215,1596.880104,1978.960114,2115.860168,2192.740162,2413.20015,2159.580139,1701.820129,1990.760139,1739.100109,2098.100163,1823.960144,1567.5401,1758.160114,1790.220123,1737.940113,1890.12014,"PC","PC",NA,NA,2576.240215,1.6348982876524,"550 -> 184",550,184,"LPC(20:1)",20,1,NA,NA,4
"94","PC 19:0_LPC 20:0_PC O-20:0","552.402925 -> 184.07",1763.240128,1758.200119,1779.92012,1879.680115,1832.580128,2032.100132,2363.100163,1907.620121,2261.760147,1755.14011,1802.42012,1937.340137,1922.920147,1790.180134,1761.720116,1993.600132,1999.080128,2019.920139,1841.240124,"PC","PC",NA,NA,2363.100163,1.34020325732968,"552 -> 184",552,184,"LPC 20:0",20,0,20,0,4
"95","PC 22:0","594.413525 -> 184.07",1737.300133,1586.900101,2008.22015,1817.660114,1794.060131,1773.420113,1987.600151,2379.360149,1901.740108,1825.18013,1752.300133,1696.80011,1785.480129,1994.360146,1740.220123,1693.260124,1739.720119,1802.160126,1935.020134,"PC","PC",NA,NA,2379.360149,1.36957345700036,"594 -> 184",594,184,"PC 22:0",22,0,22,0,4
"96","PC 24:0","622.444825 -> 184.07",1842.520119,1770.840126,2271.360161,2093.320152,1996.800125,2656.240166,2711.160213,3027.640232,2228.860168,2801.880173,1846.340126,2296.300171,1917.380135,1991.540138,2147.600147,1807.180119,2268.960171,2088.740154,2277.900143,"PC","PC",NA,NA,3027.640232,1.64320606368369,"622 -> 184",622,184,"PC 24:0",24,0,24,0,4
"97","PC 25:0_LPC 26:0","636.496825 -> 184.07",1673.14011,2316.540146,3386.180279,2425.660194,2920.360207,3064.82019,5208.56044,5570.600361,3274.28027,3742.940289,2431.800175,2914.260185,2416.980198,3131.720238,2780.480186,2536.840172,2556.700169,2521.420177,2757.960175,"PC","PC",NA,NA,5570.600361,3.32942849657701,"636 -> 184",636,184,"LPC 26:0",26,0,26,0,4
"98","PC 26:1","648.460425 -> 184.07",1589.580109,1780.440136,1911.560143,1810.240112,1764.980118,1805.880119,2229.580135,1968.220135,1750.700142,1984.260143,1633.140118,1739.060116,1783.800117,1596.760109,1828.120136,1590.940105,1782.900135,1897.960121,1873.800129,"PC","PC",NA,NA,2229.580135,1.40262206501981,"648 -> 184",648,184,"PC 26:1",26,1,26,1,4
"99","PC 26:0","650.476125 -> 184.07",2181.560158,3074.280224,3991.320263,4082.980305,4002.960281,5084.700287,8663.420719,9702.640472,4657.600376,4771.320415,3065.300156,3959.660336,3069.780201,3685.020294,3300.140209,2104.720154,2984.540173,2774.260189,4169.480377,"PC","PC",NA,NA,9702.640472,4.44756952331543,"650 -> 184",650,184,"PC 26:0",26,0,26,0,4
"100","PC(16:0/8:0(COOH))","652.455325 -> 184.07",1735.740116,2090.340157,1947.600128,1998.960155,1852.580139,2308.220131,2347.08017,2688.920212,2029.120148,1938.860153,1664.200123,1861.960136,1885.300137,1923.340141,2096.84016,1770.600117,1736.460129,1756.740124,1705.880119,"PC","PC",NA,NA,2688.920212,1.5491490847124,"652 -> 184",652,184,"PC(16:0/8:0(COOH))",16,0,NA,NA,4
"101","PC 27:1_PC O-28:1","662.512425 -> 184.07",1701.460117,2906.820179,2453.060181,2291.760155,2118.660156,2149.140152,2676.160202,2925.640228,2290.160183,1999.320129,1997.060146,1844.820129,1990.880135,1902.72015,2429.160187,1853.080128,1743.940121,1596.2201,1981.740147,"PC","PC",NA,NA,2925.640228,1.71948798491878,"662 -> 184",662,184,"PC O-28:1",28,1,28,1,4
"102","PC 27:0_PC O-28:0","664.528125 -> 184.07",1891.960144,3541.920254,4358.060299,4350.920326,3223.920223,4722.120365,6596.820484,5231.280312,4618.360325,5219.300419,3178.300198,3274.000221,3593.060299,3352.840229,3790.66032,3712.00029,2981.960167,2976.9202,3104.860241,"PC","PC",NA,NA,6596.820484,3.48676503832313,"664 -> 184",664,184,"PC O-28:0",28,0,28,0,4
"103","PC 28:6_PC34:2OEP","666.47104 -> 184.1",1692.620117,2103.560146,1773.680122,2095.74015,1691.740108,1662.320118,2039.300156,2103.580139,2279.320175,2001.980125,1745.360126,2044.720146,1915.220135,1659.56012,1669.840122,1978.820133,1517.400105,1696.640114,1966.200146,"PC","PC",NA,NA,2279.320175,1.34662240635534,"666 -> 184",666,184,"PC 28:6",28,6,28,6,4
"104","PC 28:2","674.476125 -> 184.07",1580.580124,1828.320129,2134.140144,1716.700115,1628.800114,1672.5201,1871.740131,1763.260128,1863.420128,1760.120129,1710.500134,1685.56012,1737.100121,1879.780136,1951.220139,1807.920128,1726.200123,1761.160122,1735.760124,"PC","PC",NA,NA,2134.140144,1.35022585163168,"674 -> 184",674,184,"PC 28:2",28,2,28,2,4
"105","PC 28:1_PC O-29:1","676.528125 -> 184.07",2235.600147,5104.100311,7170.680431,6089.980503,4664.320408,5706.720379,5818.880299,6079.980377,5544.860416,6424.820438,4259.580246,3520.160248,3888.140224,4388.640232,4309.060322,4326.560261,3631.74028,2999.860229,4493.260284,"PC","PC",NA,NA,7170.680431,3.20749685073267,"676 -> 184",676,184,"PC 28:1",28,1,28,1,4
"106","PC 28:0_PC O-29:0","678.543725 -> 184.07",1863.640121,29015.86171,32668.5024,25677.82201,27067.20197,35770.08292,43757.76266,31480.66222,38476.2828,37119.60293,18014.98129,14293.72087,20010.88124,14381.64099,20880.9617,27802.862,12887.94079,10002.90053,14959.62091,"PC","PC",NA,NA,43757.76266,23.4797277472865,"678 -> 184",678,184,"PC 28:0",28,0,28,0,4
"107","PC O-30:6_PC36:2OEP","680.52304 -> 184.1",1551.120113,2163.800163,3154.560234,2523.740196,2134.340141,1857.58012,3000.180206,2784.520199,2701.50021,3714.860298,2030.280151,2172.580166,2383.260162,1674.24012,1665.940128,2411.720192,2061.540119,2151.580154,1996.08012,"PC","PC",NA,NA,3714.860298,2.39495334169521,"680 -> 184",680,184,"PC O-30:6",30,6,30,6,4
"108","PC(29:2)_PC(P-30:1)","688.528125 -> 184.1",1545.240097,2044.180126,1846.580124,2096.440144,1745.460125,1771.500114,2232.200161,1919.020138,1947.620121,2409.660164,1885.040112,1651.96011,1890.640133,1557.480114,1667.86013,1825.580124,1937.640148,1617.760105,1927.040131,"PC","PC",NA,NA,2409.660164,1.55940825550555,"688 -> 184",688,184,"PC(P-30:1)",30,1,NA,NA,4
"109","PC 29:1_PC O-30:1","690.543725 -> 184.07",1867.70013,19193.48178,25602.40235,19447.84127,18250.44102,23545.3417,31125.18166,19819.34115,25167.30215,24597.36144,9169.980583,7752.580433,11427.54102,10707.38067,15186.36077,13363.50077,7158.580555,7553.060402,8826.860577,"PC","PC",NA,NA,31125.18166,16.6649780444144,"690 -> 184",690,184,"PC O-30:1",30,1,30,1,4
"110","PC 29:0_PC O-30:0","692.559425 -> 184.07",1870.580135,52740.72356,86977.22541,63734.48425,67912.52617,89974.54376,114331.7677,80999.4263,122491.8871,113137.5482,28615.98156,25947.34215,38585.6229,36346.74209,55627.44461,58858.12393,30116.22145,26252.90195,34792.8219,"PC","PC",NA,NA,122491.8871,65.4833678643765,"692 -> 184",692,184,"PC O-30:0",30,0,30,0,4
"111","PC(20:0/8:0(COOH))_PC(18:0/Aze)","694.53864 -> 184.1",1589.920113,3462.720226,2086.320145,3847.420277,3518.440273,4382.960342,5702.980457,5401.980331,6193.900536,6642.180569,2627.380211,2572.180168,3037.48019,1696.000118,1936.60014,3300.98024,2624.320194,2478.080185,2536.36018,"PC","PC",NA,NA,6642.180569,4.17768195690471,"694 -> 184",694,184,"PC(20:0/8:0(COOH))",20,0,NA,NA,4
"112","PC 30:3","700.491725 -> 184.07",1650.360115,1778.900112,1834.400124,2583.860199,1804.620117,1932.980129,2084.060143,2104.640118,2035.420132,2023.200157,1707.200104,1954.060135,1803.140133,1654.180122,1915.300152,1731.860111,1741.840118,1668.940117,1967.240128,"PC","PC",NA,NA,2583.860199,1.5656341761507,"700 -> 184",700,184,"PC 30:3",30,3,30,3,4
"113","PC 30:2_PC O-31:2","702.543725 -> 184.07",1595.320107,7159.340668,9357.880577,5937.360336,5473.880325,7016.120544,7898.760563,5674.180485,7031.300518,6973.160519,3433.660267,3597.640221,4351.22028,3893.460262,5393.980354,5424.760433,3409.680229,3381.520218,4533.300293,"PC","PC",NA,NA,9357.880577,5.86583252849329,"702 -> 184",702,184,"PC 30:2",30,2,30,2,4
"114","PC 30:1_PC O-31:1","704.559425 -> 184.07",2250.420151,86940.9061,128575.548,108373.71,78739.60608,101214.4072,143193.3881,75995.8856,108005.687,94972.44579,56835.143,44355.16293,76877.42362,55716.62284,74431.6634,96631.78691,47051.04317,35205.64213,55160.26443,"PC","PC",NA,NA,143193.3881,63.62962402215,"704 -> 184",704,184,"PC 30:1",30,1,30,1,4
"115","PC 30:0_PC O-31:0","706.575025 -> 184.07",2751.100193,204027.5558,212413.561,184200.1357,146483.189,222710.6155,289598.0181,236752.9898,315624.5408,330830.0319,82172.48437,62348.80412,87438.92486,113719.8273,150030.2303,181804.6921,90946.20839,60975.6828,111564.606,"PC","PC",NA,NA,330830.0319,120.253719854252,"706 -> 184",706,184,"PC 30:0",30,0,30,0,4
"116","PC O-32:6_PC 38:2OEP","708.55434 -> 184.1",1686.120121,6551.220329,4049.300262,8438.460487,2518.660175,6461.140297,13203.18077,10885.42092,12445.68101,14311.78099,4505.560345,3410.660267,6051.900379,2290.580166,2052.12014,8642.260715,4702.740284,4196.180309,5486.900436,"PC","PC",NA,NA,14311.78099,8.4879960874389,"708 -> 184",708,184,"PC O-32:6",32,6,32,6,4
"117","PC 31:3_PC O-32:3","714.543725 -> 184.07",1568.680111,2487.040184,3407.300201,2664.200222,2138.280132,3120.360233,3241.960197,2372.440189,2839.44022,2761.880196,1996.040142,1992.680126,2175.040138,1988.260155,2734.120186,2281.600155,2208.020161,2436.280182,2268.460144,"PC","PC",NA,NA,3407.300201,2.17208095972347,"714 -> 184",714,184,"PC O-32:3",32,3,32,3,4
"118","PC 31:2_PC O-32:2","716.559425 -> 184.07",1702.740116,26136.262,33898.90235,29600.58284,22378.30187,32856.92219,38813.8035,26675.76178,37329.16196,34145.02161,12707.18095,10324.54047,15449.28094,14231.00105,17466.0211,23574.94146,11520.46095,10550.76056,14620.5411,"PC","PC",NA,NA,38813.8035,22.7949075347914,"716 -> 184",716,184,"PC O-32:2",32,2,32,2,4
"119","PC 31:1_PC O-32:1","718.575025 -> 184.07",2789.380222,282399.2543,366359.5844,310347.5397,198996.9962,341802.369,374870.5422,275526.3646,341825.7367,402333.9626,117444.8084,88888.22531,145303.5477,134375.3519,176658.8148,203299.0926,106001.506,62568.64405,122739.8656,"PC","PC",NA,NA,402333.9626,144.237762721184,"718 -> 184",718,184,"PC O-32:1",32,1,32,1,4
"120","PC 31:0_PC O-32:0","720.590725 -> 184.07",2698.80019,253966.5573,282431.7554,259032.4617,204994.7354,283474.6002,364360.2766,204632.0935,314425.8086,271407.1082,78575.38606,70361.06301,146844.5117,82692.00601,190057.5929,198554.8069,74926.18622,90755.48736,86433.96677,"PC","PC",NA,NA,364360.2766,135.008244756349,"720 -> 184",720,184,"PC O-32:0",32,0,32,0,4
"121","PC 32:6","722.56994 -> 184.1",1768.700127,4913.100365,4090.000252,10014.78053,2216.120159,10491.06088,16110.98116,9430.780712,11678.50087,15007.04126,4909.92038,4178.180275,7341.060406,2194.72015,2683.420189,9854.641026,2949.540207,5058.300339,5235.520336,"PC","PC",NA,NA,16110.98116,9.10893877037642,"722 -> 184",722,184,"PC 32:6",32,6,32,6,4
"122","PC 32:5","724.491725 -> 184.07",1681.040127,2025.34013,2417.300175,2160.72015,2187.680134,2522.000156,2836.820187,2451.000183,2157.400143,2417.920189,1695.140118,2005.300144,1887.160118,1824.12014,2344.200161,2248.320137,1890.880119,2097.260166,1860.900124,"PC","PC",NA,NA,2836.820187,1.68753865028946,"724 -> 184",724,184,"PC 32:5",32,5,32,5,4
"123","PC 32:4_PC dO-34:4","726.580125 -> 184.07",1639.000114,1824.360123,1827.620121,1767.560116,1864.84013,1881.480141,1867.540138,1827.280121,1883.980137,1786.580139,1710.620129,1829.160145,1688.540119,1793.36013,1839.960129,1666.200111,1704.820126,1620.920101,2159.540154,"PC","PC",NA,NA,2159.540154,1.31759609749484,"726 -> 184",726,184,"PC 32:4",32,4,32,4,4
"124","PC 32:3_PC O-33:3","728.559425 -> 184.07",1713.220135,3182.500202,3672.340237,3128.740246,2841.400246,3140.7402,3302.520245,3026.320198,3031.60022,3162.020264,2693.140205,2066.000137,2731.560158,2753.160191,2605.360195,3132.360229,2948.780197,3012.900219,3278.420197,"PC","PC",NA,NA,3672.340237,2.14353086446769,"728 -> 184",728,184,"PC 32:3",32,3,32,3,4
"125","PC 32:2_PC O-33:2","730.575025 -> 184.07",1620.12011,45897.30285,57009.98489,46898.06191,26206.88167,47348.52253,44998.56184,21690.12188,40592.04253,44379.54343,18101.54128,18032.98159,33153.72169,24277.14157,31707.54187,40102.30336,22234.56171,19835.24165,27201.68185,"PC","PC",NA,NA,57009.98489,35.1887397348583,"730 -> 184",730,184,"PC 32:2",32,2,32,2,4
"126","PC 32:1_PC O-33:1","732.590725 -> 184.07",4293.020332,660803.3113,716784.084,682123.5145,409373.9039,714209.1048,763650.2804,545482.8378,597663.0721,716513.8206,235108.6686,229209.7984,420911.6495,249509.6798,486870.7907,516230.493,236144.6369,191364.9537,289059.1217,"PC","PC",NA,NA,763650.2804,177.881822433447,"732 -> 184",732,184,"PC 32:1",32,1,32,1,4
"127","PC 32:0_PC O-33:0","734.606325 -> 184.07",2543.640186,207784.2954,282501.56,193664.212,170004.4738,206431.65,329254.0049,233424.1984,304504.9663,304438.7369,73433.86666,61666.98529,123375.9915,115148.0271,157685.6708,201901.6519,79873.54797,71079.74492,108737.485,"PC","PC",NA,NA,329254.0049,129.442051872033,"734 -> 184",734,184,"PC 32:0",32,0,32,0,4
"128","PC O-24:6_PC(22:0/8:0(COOH))","736.58564 -> 184.1",1662.120129,5034.580387,5061.200279,9403.440395,3185.380268,10366.10086,20331.26105,12727.38085,12679.50085,14907.52097,4586.360249,4080.940361,5819.160328,2295.320141,2417.760166,11073.2008,5351.920464,5045.600357,5797.160328,"PC","PC",NA,NA,20331.26105,12.2321249200153,"736 -> 184",736,184,"PC O-24:6",24,6,24,6,4
"129","PC O-34:5","738.564855 -> 184.1",35652.56255,10099.38066,16276.92109,53147.92474,5960.320335,41236.8424,80737.86569,62732.88241,64432.06404,72149.86474,31873.96159,41551.58319,48853.28388,4936.520317,4001.260212,105793.2279,21181.4415,75191.96379,62632.76547,"PC","PC",NA,NA,105793.2279,2.96733868011964,"738 -> 184",738,184,"PC O-34:5",34,5,34,5,4
"130","PC 33:4_PC O-34:4","740.559425 -> 184.07",6899.920563,8649.380753,9164.340591,9470.840908,8869.860752,12524.12103,9189.040836,8620.440754,10267.36063,11510.22087,7337.520531,7169.840546,9667.980595,8218.060387,9946.200474,11980.88071,10172.18061,10715.82087,13581.98067,"PC","PC",NA,NA,13581.98067,1.96842565736651,"740 -> 184",740,184,"PC O-34:4",34,4,34,4,4
"131","PC 33:3_PC O-34:3","742.575025 -> 184.07",1612.280098,11294.40087,13328.30073,13102.68095,8022.820576,12826.12118,14885.08109,9631.100765,12011.70086,11172.94083,4810.160324,4801.960423,6846.20039,5671.240353,9016.700539,8919.880688,6447.120499,5338.040363,6419.980461,"PC","PC",NA,NA,14885.08109,9.23231708216496,"742 -> 184",742,184,"PC O-34:3",34,3,34,3,4
