Lipid annotation,MRM transition,Contrast,log2 fold change,p value,BH adjusted p value
PC 46:2,926.757825 -> 184.07,RDH12_200_vs_RDH12_Veh,0.0148,0.891627626,0.94966256
PC 46:2,926.757825 -> 184.07,RDH12_Veh_vs_WT_Veh,-0.0165,0.879654248,0.942486694
PC 48:2,954.789125 -> 184.07,WT_100_vs_WT_Veh,0.013,0.891790792,0.967921812
PC 48:2,954.789125 -> 184.07,WT_200_vs_WT_100,-0.0641,0.506597936,0.793364286
PC 48:2,954.789125 -> 184.07,WT_200_vs_WT_Veh,-0.051,0.59566489,0.91393034
PC 48:2,954.789125 -> 184.07,RDH12_100_vs_WT_100,-0.0312,0.74506176,0.913253181
PC 48:2,954.789125 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.0493,0.608365035,0.953944604
PC 48:2,954.789125 -> 184.07,RDH12_200_vs_WT_200,-0.0194,0.839665357,0.896971895
PC 48:2,954.789125 -> 184.07,RDH12_200_vs_RDH12_100,-0.0523,0.58697136,0.964071505
PC 48:2,954.789125 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.102,0.298109075,0.584496396
PC 48:2,954.789125 -> 184.07,RDH12_Veh_vs_WT_Veh,0.0311,0.745544885,0.872417223
PC O-24:6,736.58564 -> 184.1,WT_100_vs_WT_Veh,-0.553,0.281071403,0.670104008
PC O-24:6,736.58564 -> 184.1,WT_200_vs_WT_100,0.873,0.098119127,0.381720678
PC O-24:6,736.58564 -> 184.1,WT_200_vs_WT_Veh,0.32,0.526776021,0.890325669
PC O-24:6,736.58564 -> 184.1,RDH12_100_vs_WT_100,0.939,0.07716986,0.362773979
PC O-24:6,736.58564 -> 184.1,RDH12_100_vs_RDH12_Veh,0.497,0.330283912,0.953944604
PC O-24:6,736.58564 -> 184.1,RDH12_200_vs_WT_200,0.684,0.186626735,0.348112045
PC O-24:6,736.58564 -> 184.1,RDH12_200_vs_RDH12_100,0.618,0.230534995,0.7859368
PC O-24:6,736.58564 -> 184.1,RDH12_200_vs_RDH12_Veh,1.11,0.039824164,0.227643108
PC O-24:6,736.58564 -> 184.1,RDH12_Veh_vs_WT_Veh,-0.111,0.825744308,0.910935494
PC O-28:0,664.528125 -> 184.07,WT_100_vs_WT_Veh,-0.045,0.757386771,0.911903804
PC O-28:0,664.528125 -> 184.07,WT_200_vs_WT_100,0.00144,0.99210462,0.997868493
PC O-28:0,664.528125 -> 184.07,WT_200_vs_WT_Veh,-0.0435,0.764888553,0.970438284
PC O-28:0,664.528125 -> 184.07,RDH12_100_vs_WT_100,0.128,0.385812226,0.696086676
PC O-28:0,664.528125 -> 184.07,RDH12_100_vs_RDH12_Veh,0.215,0.154497276,0.931806613
PC O-28:0,664.528125 -> 184.07,RDH12_200_vs_WT_200,0.255,0.095351167,0.225831712
PC O-28:0,664.528125 -> 184.07,RDH12_200_vs_RDH12_100,0.129,0.382673683,0.861015787
PC O-28:0,664.528125 -> 184.07,RDH12_200_vs_RDH12_Veh,0.343,0.030228367,0.219424644
PC O-28:0,664.528125 -> 184.07,RDH12_Veh_vs_WT_Veh,-0.132,0.371098418,0.58785652
PC O-28:1,662.512425 -> 184.07,WT_100_vs_WT_Veh,0.0232,0.891751963,0.967921812
PC O-28:1,662.512425 -> 184.07,WT_200_vs_WT_100,-0.0948,0.58054231,0.841156618
PC O-28:1,662.512425 -> 184.07,WT_200_vs_WT_Veh,-0.0716,0.675818172,0.958245892
PC O-28:1,662.512425 -> 184.07,RDH12_100_vs_WT_100,0.0323,0.849895939,0.933013703
PC O-28:1,662.512425 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.108,0.529136233,0.953944604
PC O-28:1,662.512425 -> 184.07,RDH12_200_vs_WT_200,0.242,0.171144886,0.331248167
PC O-28:1,662.512425 -> 184.07,RDH12_200_vs_RDH12_100,0.114,0.505872309,0.924067762
PC O-28:1,662.512425 -> 184.07,RDH12_200_vs_RDH12_Veh,0.00628,0.970670311,0.995559293
PC O-28:1,662.512425 -> 184.07,RDH12_Veh_vs_WT_Veh,0.164,0.345123901,0.575706383
PC O-30:1,690.543725 -> 184.07,WT_100_vs_WT_Veh,0.237,0.105620927,0.513831539
PC O-30:1,690.543725 -> 184.07,WT_200_vs_WT_100,-0.371,0.016676731,0.170156584
PC O-30:1,690.543725 -> 184.07,WT_200_vs_WT_Veh,-0.135,0.343003654,0.796653647
PC O-30:1,690.543725 -> 184.07,RDH12_100_vs_WT_100,0.578,0.000818541,0.03730155
PC O-30:1,690.543725 -> 184.07,RDH12_100_vs_RDH12_Veh,0.232,0.113019394,0.931806613
PC O-30:1,690.543725 -> 184.07,RDH12_200_vs_WT_200,0.881,1.39E-05,0.000707939
PC O-30:1,690.543725 -> 184.07,RDH12_200_vs_RDH12_100,-0.0685,0.625097589,0.978014237
PC O-30:1,690.543725 -> 184.07,RDH12_200_vs_RDH12_Veh,0.163,0.253972625,0.560921135
PC O-30:1,690.543725 -> 184.07,RDH12_Veh_vs_WT_Veh,0.583,0.000757922,0.016719391
PC O-30:6,680.52304 -> 184.1,WT_100_vs_WT_Veh,-0.351,0.030306452,0.311723507
PC O-30:6,680.52304 -> 184.1,WT_200_vs_WT_100,0.368,0.024109019,0.193242188
PC O-30:6,680.52304 -> 184.1,WT_200_vs_WT_Veh,0.0172,0.90789941,0.989198075
PC O-30:6,680.52304 -> 184.1,RDH12_100_vs_WT_100,0.177,0.244224065,0.594361347
PC O-30:6,680.52304 -> 184.1,RDH12_100_vs_RDH12_Veh,-0.146,0.332993298,0.953944604
PC O-30:6,680.52304 -> 184.1,RDH12_200_vs_WT_200,0.215,0.162579769,0.319829055
PC O-30:6,680.52304 -> 184.1,RDH12_200_vs_RDH12_100,0.405,0.014507729,0.497266208
PC O-30:6,680.52304 -> 184.1,RDH12_200_vs_RDH12_Veh,0.259,0.096920962,0.358100572
PC O-30:6,680.52304 -> 184.1,RDH12_Veh_vs_WT_Veh,-0.0272,0.855027831,0.927138612
PC O-32:0,720.590725 -> 184.07,WT_100_vs_WT_Veh,0.368,0.100202605,0.494149833
PC O-32:0,720.590725 -> 184.07,WT_200_vs_WT_100,-0.386,0.086055939,0.373254674
PC O-32:0,720.590725 -> 184.07,WT_200_vs_WT_Veh,-0.018,0.932673462,0.989198075
PC O-32:0,720.590725 -> 184.07,RDH12_100_vs_WT_100,0.605,0.011629579,0.116295788
PC O-32:0,720.590725 -> 184.07,RDH12_100_vs_RDH12_Veh,0.14,0.513377974,0.953944604
PC O-32:0,720.590725 -> 184.07,RDH12_200_vs_WT_200,0.863,0.000978215,0.00800358
PC O-32:0,720.590725 -> 184.07,RDH12_200_vs_RDH12_100,-0.128,0.552115561,0.946483819
PC O-32:0,720.590725 -> 184.07,RDH12_200_vs_RDH12_Veh,0.0128,0.9519702,0.984102703
PC O-32:0,720.590725 -> 184.07,RDH12_Veh_vs_WT_Veh,0.833,0.001311005,0.022282786
PC O-32:1,718.575025 -> 184.07,WT_100_vs_WT_Veh,0.276,0.164602135,0.516053985
PC O-32:1,718.575025 -> 184.07,WT_200_vs_WT_100,-0.44,0.034920641,0.238672683
PC O-32:1,718.575025 -> 184.07,WT_200_vs_WT_Veh,-0.163,0.401719515,0.826394431
PC O-32:1,718.575025 -> 184.07,RDH12_100_vs_WT_100,0.484,0.022159239,0.166194296
PC O-32:1,718.575025 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.0331,0.863222855,0.981017338
PC O-32:1,718.575025 -> 184.07,RDH12_200_vs_WT_200,1.08,4.78E-05,0.00101546
PC O-32:1,718.575025 -> 184.07,RDH12_200_vs_RDH12_100,0.155,0.424055446,0.892332302
PC O-32:1,718.575025 -> 184.07,RDH12_200_vs_RDH12_Veh,0.122,0.527571142,0.781586877
PC O-32:1,718.575025 -> 184.07,RDH12_Veh_vs_WT_Veh,0.793,0.000834389,0.016719391
PC O-32:2,716.559425 -> 184.07,WT_100_vs_WT_Veh,0.259,0.046982126,0.346429825
PC O-32:2,716.559425 -> 184.07,WT_200_vs_WT_100,-0.19,0.133187309,0.405601323
PC O-32:2,716.559425 -> 184.07,WT_200_vs_WT_Veh,0.0692,0.570438662,0.91393034
PC O-32:2,716.559425 -> 184.07,RDH12_100_vs_WT_100,0.463,0.001569462,0.045934819
PC O-32:2,716.559425 -> 184.07,RDH12_100_vs_RDH12_Veh,0.113,0.356688847,0.953944604
PC O-32:2,716.559425 -> 184.07,RDH12_200_vs_WT_200,0.706,3.27E-05,0.00084147
PC O-32:2,716.559425 -> 184.07,RDH12_200_vs_RDH12_100,0.0537,0.659052704,0.983273573
PC O-32:2,716.559425 -> 184.07,RDH12_200_vs_RDH12_Veh,0.167,0.181873801,0.481430648
PC O-32:2,716.559425 -> 184.07,RDH12_Veh_vs_WT_Veh,0.608,0.000146344,0.009672047
PC O-32:3,714.543725 -> 184.07,WT_100_vs_WT_Veh,0.103,0.431085889,0.754357843
PC O-32:3,714.543725 -> 184.07,WT_200_vs_WT_100,0.215,0.111400687,0.392643046
PC O-32:3,714.543725 -> 184.07,WT_200_vs_WT_Veh,0.317,0.024763778,0.221028869
PC O-32:3,714.543725 -> 184.07,RDH12_100_vs_WT_100,0.108,0.405995362,0.709396573
PC O-32:3,714.543725 -> 184.07,RDH12_100_vs_RDH12_Veh,0.00846,0.947698047,0.986640738
PC O-32:3,714.543725 -> 184.07,RDH12_200_vs_WT_200,-0.153,0.247902672,0.431135082
PC O-32:3,714.543725 -> 184.07,RDH12_200_vs_RDH12_100,-0.0462,0.72083234,0.99045665
PC O-32:3,714.543725 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.0377,0.770199293,0.897621457
PC O-32:3,714.543725 -> 184.07,RDH12_Veh_vs_WT_Veh,0.203,0.131433274,0.338625631
PC O-32:6,708.55434 -> 184.1,WT_100_vs_WT_Veh,-0.669,0.164279333,0.516053985
PC O-32:6,708.55434 -> 184.1,WT_200_vs_WT_100,0.881,0.073627812,0.336999189
PC O-32:6,708.55434 -> 184.1,WT_200_vs_WT_Veh,0.212,0.649718298,0.954688111
PC O-32:6,708.55434 -> 184.1,RDH12_100_vs_WT_100,0.598,0.210852143,0.558138027
PC O-32:6,708.55434 -> 184.1,RDH12_100_vs_RDH12_Veh,-0.0201,0.965425133,0.98899557
PC O-32:6,708.55434 -> 184.1,RDH12_200_vs_WT_200,0.774,0.111515805,0.250885797
PC O-32:6,708.55434 -> 184.1,RDH12_200_vs_RDH12_100,1.06,0.035823119,0.621777162
PC O-32:6,708.55434 -> 184.1,RDH12_200_vs_RDH12_Veh,1.04,0.038972249,0.227643108
PC O-32:6,708.55434 -> 184.1,RDH12_Veh_vs_WT_Veh,-0.051,0.912525032,0.966202975
PC O-34:0,748.622025 -> 184.07,WT_100_vs_WT_Veh,0.39,0.044596387,0.346429825
PC O-34:0,748.622025 -> 184.07,WT_200_vs_WT_100,-0.396,0.041652697,0.244250672
PC O-34:0,748.622025 -> 184.07,WT_200_vs_WT_Veh,-0.0064,0.971723219,0.997509965
PC O-34:0,748.622025 -> 184.07,RDH12_100_vs_WT_100,0.459,0.021134487,0.161881176
PC O-34:0,748.622025 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.0373,0.836493588,0.981017338
PC O-34:0,748.622025 -> 184.07,RDH12_200_vs_WT_200,0.609,0.003861021,0.020440702
PC O-34:0,748.622025 -> 184.07,RDH12_200_vs_RDH12_100,-0.246,0.186796229,0.783852927
PC O-34:0,748.622025 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.283,0.132125344,0.4209303
PC O-34:0,748.622025 -> 184.07,RDH12_Veh_vs_WT_Veh,0.886,0.000179269,0.009672047
PC O-34:1,746.606325 -> 184.07,WT_100_vs_WT_Veh,0.553,0.014790998,0.221864972
PC O-34:1,746.606325 -> 184.07,WT_200_vs_WT_100,-0.603,0.009023228,0.11601293
PC O-34:1,746.606325 -> 184.07,WT_200_vs_WT_Veh,-0.0495,0.808035191,0.97288518
PC O-34:1,746.606325 -> 184.07,RDH12_100_vs_WT_100,0.487,0.028468329,0.191801795
PC O-34:1,746.606325 -> 184.07,RDH12_100_vs_RDH12_Veh,0.218,0.292627607,0.953944604
PC O-34:1,746.606325 -> 184.07,RDH12_200_vs_WT_200,1.1,6.90E-05,0.001029821
PC O-34:1,746.606325 -> 184.07,RDH12_200_vs_RDH12_100,0.0123,0.951680301,0.998456697
PC O-34:1,746.606325 -> 184.07,RDH12_200_vs_RDH12_Veh,0.231,0.267296362,0.572777919
PC O-34:1,746.606325 -> 184.07,RDH12_Veh_vs_WT_Veh,0.822,0.001002857,0.019001501
PC O-34:2,744.590725 -> 184.07,WT_100_vs_WT_Veh,0.0925,0.610793671,0.849817274
PC O-34:2,744.590725 -> 184.07,WT_200_vs_WT_100,-0.0415,0.818969019,0.963622707
PC O-34:2,744.590725 -> 184.07,WT_200_vs_WT_Veh,0.0511,0.778083838,0.970438284
PC O-34:2,744.590725 -> 184.07,RDH12_100_vs_WT_100,0.777,0.000600046,0.03730155
PC O-34:2,744.590725 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.0627,0.729351828,0.976005797
PC O-34:2,744.590725 -> 184.07,RDH12_200_vs_WT_200,0.795,0.000491128,0.005051603
PC O-34:2,744.590725 -> 184.07,RDH12_200_vs_RDH12_100,-0.0232,0.897844837,0.998456697
PC O-34:2,744.590725 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.086,0.636032878,0.819305238
PC O-34:2,744.590725 -> 184.07,RDH12_Veh_vs_WT_Veh,0.932,0.000113032,0.009672047
PC O-34:3,742.575025 -> 184.07,WT_100_vs_WT_Veh,0.305,0.047152948,0.346429825
PC O-34:3,742.575025 -> 184.07,WT_200_vs_WT_100,0.000662,0.996300257,0.997868493
PC O-34:3,742.575025 -> 184.07,WT_200_vs_WT_Veh,0.305,0.046736042,0.311639517
PC O-34:3,742.575025 -> 184.07,RDH12_100_vs_WT_100,0.311,0.043459274,0.242795823
PC O-34:3,742.575025 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.0562,0.694646696,0.969274459
PC O-34:3,742.575025 -> 184.07,RDH12_200_vs_WT_200,0.214,0.149744941,0.299240076
PC O-34:3,742.575025 -> 184.07,RDH12_200_vs_RDH12_100,-0.0964,0.502901182,0.924067762
PC O-34:3,742.575025 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.153,0.294596506,0.584496396
PC O-34:3,742.575025 -> 184.07,RDH12_Veh_vs_WT_Veh,0.671,0.000268668,0.009672047
PC O-34:5,738.564855 -> 184.1,WT_100_vs_WT_Veh,-1.98,0.06713832,0.416720608
PC O-34:5,738.564855 -> 184.1,WT_200_vs_WT_100,2.33,0.035137923,0.238672683
PC O-34:5,738.564855 -> 184.1,WT_200_vs_WT_Veh,0.345,0.734969425,0.970438284
PC O-34:5,738.564855 -> 184.1,RDH12_100_vs_WT_100,0.815,0.42882193,0.720774621
PC O-34:5,738.564855 -> 184.1,RDH12_100_vs_RDH12_Veh,0.438,0.667787539,0.962656101
PC O-34:5,738.564855 -> 184.1,RDH12_200_vs_WT_200,-0.238,0.815118091,0.88386299
PC O-34:5,738.564855 -> 184.1,RDH12_200_vs_RDH12_100,1.27,0.223256289,0.783852927
PC O-34:5,738.564855 -> 184.1,RDH12_200_vs_RDH12_Veh,1.71,0.108529258,0.385549786
PC O-34:5,738.564855 -> 184.1,RDH12_Veh_vs_WT_Veh,-1.6,0.13042114,0.338625631
PC O-36:1,774.637625 -> 184.07,WT_100_vs_WT_Veh,0.217,0.316575954,0.698956427
PC O-36:1,774.637625 -> 184.07,WT_200_vs_WT_100,-0.327,0.140612544,0.405601323
PC O-36:1,774.637625 -> 184.07,WT_200_vs_WT_Veh,-0.109,0.609787284,0.918508044
PC O-36:1,774.637625 -> 184.07,RDH12_100_vs_WT_100,0.565,0.017068551,0.1498702
PC O-36:1,774.637625 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.017,0.936445542,0.986640738
PC O-36:1,774.637625 -> 184.07,RDH12_200_vs_WT_200,0.768,0.002430524,0.014830314
PC O-36:1,774.637625 -> 184.07,RDH12_200_vs_RDH12_100,-0.123,0.565601388,0.959131414
PC O-36:1,774.637625 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.14,0.513951935,0.781586877
PC O-36:1,774.637625 -> 184.07,RDH12_Veh_vs_WT_Veh,0.799,0.00180782,0.026032606
PC O-36:2,772.622025 -> 184.07,WT_100_vs_WT_Veh,-0.223,0.238432361,0.608763474
PC O-36:2,772.622025 -> 184.07,WT_200_vs_WT_100,-0.0487,0.792211849,0.953209199
PC O-36:2,772.622025 -> 184.07,WT_200_vs_WT_Veh,-0.272,0.155638343,0.596061739
PC O-36:2,772.622025 -> 184.07,RDH12_100_vs_WT_100,0.763,0.000828923,0.03730155
PC O-36:2,772.622025 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.159,0.39363733,0.953944604
PC O-36:2,772.622025 -> 184.07,RDH12_200_vs_WT_200,0.571,0.006885148,0.029863293
PC O-36:2,772.622025 -> 184.07,RDH12_200_vs_RDH12_100,-0.24,0.205976335,0.783852927
PC O-36:2,772.622025 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.4,0.04426053,0.245135242
PC O-36:2,772.622025 -> 184.07,RDH12_Veh_vs_WT_Veh,0.699,0.001664895,0.025381187
PC O-36:3,770.606325 -> 184.07,WT_100_vs_WT_Veh,0.286,0.156149521,0.516053985
PC O-36:3,770.606325 -> 184.07,WT_200_vs_WT_100,-0.321,0.11393755,0.392643046
PC O-36:3,770.606325 -> 184.07,WT_200_vs_WT_Veh,-0.0356,0.854640316,0.980809545
PC O-36:3,770.606325 -> 184.07,RDH12_100_vs_WT_100,0.308,0.128776581,0.454505581
PC O-36:3,770.606325 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.0584,0.764196429,0.981017338
PC O-36:3,770.606325 -> 184.07,RDH12_200_vs_WT_200,0.692,0.002646401,0.0153662
PC O-36:3,770.606325 -> 184.07,RDH12_200_vs_RDH12_100,0.063,0.746143834,0.995250349
PC O-36:3,770.606325 -> 184.07,RDH12_200_vs_RDH12_Veh,0.00464,0.980950545,0.996488861
PC O-36:3,770.606325 -> 184.07,RDH12_Veh_vs_WT_Veh,0.652,0.004046465,0.036418181
PC O-36:6,764.559425 -> 184.07,WT_100_vs_WT_Veh,0.0267,0.873458781,0.961605997
PC O-36:6,764.559425 -> 184.07,WT_200_vs_WT_100,-0.0787,0.639532255,0.866777309
PC O-36:6,764.559425 -> 184.07,WT_200_vs_WT_Veh,-0.052,0.756318204,0.970438284
PC O-36:6,764.559425 -> 184.07,RDH12_100_vs_WT_100,0.642,0.001519915,0.045934819
PC O-36:6,764.559425 -> 184.07,RDH12_100_vs_RDH12_Veh,0.133,0.433281165,0.953944604
PC O-36:6,764.559425 -> 184.07,RDH12_200_vs_WT_200,0.763,0.000356089,0.003884603
PC O-36:6,764.559425 -> 184.07,RDH12_200_vs_RDH12_100,0.0426,0.799488106,0.998456697
PC O-36:6,764.559425 -> 184.07,RDH12_200_vs_RDH12_Veh,0.175,0.304454782,0.586116158
PC O-36:6,764.559425 -> 184.07,RDH12_Veh_vs_WT_Veh,0.536,0.005549646,0.046462154
PC O-38:1,802.668925 -> 184.07,WT_100_vs_WT_Veh,0.31,0.127403626,0.515877782
PC O-38:1,802.668925 -> 184.07,WT_200_vs_WT_100,-0.16,0.417051261,0.714945019
PC O-38:1,802.668925 -> 184.07,WT_200_vs_WT_Veh,0.15,0.446807204,0.851061341
PC O-38:1,802.668925 -> 184.07,RDH12_100_vs_WT_100,0.372,0.072158038,0.346358581
PC O-38:1,802.668925 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.0323,0.868638658,0.981017338
PC O-38:1,802.668925 -> 184.07,RDH12_200_vs_WT_200,0.605,0.006862132,0.029863293
PC O-38:1,802.668925 -> 184.07,RDH12_200_vs_RDH12_100,0.072,0.712852732,0.984532755
PC O-38:1,802.668925 -> 184.07,RDH12_200_vs_RDH12_Veh,0.0397,0.838900534,0.921527105
PC O-38:1,802.668925 -> 184.07,RDH12_Veh_vs_WT_Veh,0.715,0.002155105,0.029391913
PC O-38:2,800.653325 -> 184.07,WT_100_vs_WT_Veh,0.295,0.046629277,0.346429825
PC O-38:2,800.653325 -> 184.07,WT_200_vs_WT_100,-0.195,0.171815403,0.448214095
PC O-38:2,800.653325 -> 184.07,WT_200_vs_WT_Veh,0.1,0.472219564,0.872300492
PC O-38:2,800.653325 -> 184.07,RDH12_100_vs_WT_100,0.125,0.371320542,0.695878093
PC O-38:2,800.653325 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.279,0.058669092,0.844834927
PC O-38:2,800.653325 -> 184.07,RDH12_200_vs_WT_200,0.298,0.045060557,0.136317652
PC O-38:2,800.653325 -> 184.07,RDH12_200_vs_RDH12_100,-0.0226,0.870175613,0.998456697
PC O-38:2,800.653325 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.301,0.042962413,0.241663572
PC O-38:2,800.653325 -> 184.07,RDH12_Veh_vs_WT_Veh,0.7,0.000133874,0.009672047
PC O-38:3,798.637625 -> 184.07,WT_100_vs_WT_Veh,0.32,0.084072334,0.458576365
PC O-38:3,798.637625 -> 184.07,WT_200_vs_WT_100,-0.00915,0.958371629,0.997868493
PC O-38:3,798.637625 -> 184.07,WT_200_vs_WT_Veh,0.311,0.092411646,0.459835966
PC O-38:3,798.637625 -> 184.07,RDH12_100_vs_WT_100,0.117,0.508967648,0.777728359
PC O-38:3,798.637625 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.18,0.314545507,0.953944604
PC O-38:3,798.637625 -> 184.07,RDH12_200_vs_WT_200,0.273,0.134070982,0.285594991
PC O-38:3,798.637625 -> 184.07,RDH12_200_vs_RDH12_100,0.148,0.405365061,0.878285363
PC O-38:3,798.637625 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.0318,0.85590794,0.935987462
PC O-38:3,798.637625 -> 184.07,RDH12_Veh_vs_WT_Veh,0.616,0.002922115,0.030940044
PC O-38:4,796.622025 -> 184.07,WT_100_vs_WT_Veh,0.387,0.035163886,0.331160394
PC O-38:4,796.622025 -> 184.07,WT_200_vs_WT_100,-0.273,0.122771962,0.398179338
PC O-38:4,796.622025 -> 184.07,WT_200_vs_WT_Veh,0.114,0.504049154,0.876607225
PC O-38:4,796.622025 -> 184.07,RDH12_100_vs_WT_100,-0.0829,0.625690505,0.855189703
PC O-38:4,796.622025 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.0393,0.816659122,0.981017338
PC O-38:4,796.622025 -> 184.07,RDH12_200_vs_WT_200,0.53,0.006357321,0.029863293
PC O-38:4,796.622025 -> 184.07,RDH12_200_vs_RDH12_100,0.341,0.059199759,0.627978789
PC O-38:4,796.622025 -> 184.07,RDH12_200_vs_RDH12_Veh,0.301,0.090840525,0.340651968
PC O-38:4,796.622025 -> 184.07,RDH12_Veh_vs_WT_Veh,0.343,0.057681831,0.214468057
PC O-38:5,794.606325 -> 184.07,WT_100_vs_WT_Veh,0.429,0.028704313,0.303928018
PC O-38:5,794.606325 -> 184.07,WT_200_vs_WT_100,-0.276,0.139682892,0.405601323
PC O-38:5,794.606325 -> 184.07,WT_200_vs_WT_Veh,0.153,0.400304325,0.826394431
PC O-38:5,794.606325 -> 184.07,RDH12_100_vs_WT_100,0.0577,0.748360246,0.913253181
PC O-38:5,794.606325 -> 184.07,RDH12_100_vs_RDH12_Veh,0.0722,0.688106932,0.967121763
PC O-38:5,794.606325 -> 184.07,RDH12_200_vs_WT_200,0.676,0.00175013,0.011887673
PC O-38:5,794.606325 -> 184.07,RDH12_200_vs_RDH12_100,0.342,0.072213671,0.649923037
PC O-38:5,794.606325 -> 184.07,RDH12_200_vs_RDH12_Veh,0.414,0.033523209,0.219424644
PC O-38:5,794.606325 -> 184.07,RDH12_Veh_vs_WT_Veh,0.414,0.033665494,0.15946813
PC O-38:7,790.668925 -> 184.07,WT_100_vs_WT_Veh,0.0264,0.866192759,0.959475056
PC O-38:7,790.668925 -> 184.07,WT_200_vs_WT_100,-0.0263,0.866676116,0.963622707
PC O-38:7,790.668925 -> 184.07,WT_200_vs_WT_Veh,9.62E-05,0.999509016,0.999509016
PC O-38:7,790.668925 -> 184.07,RDH12_100_vs_WT_100,0.657,0.000723667,0.03730155
PC O-38:7,790.668925 -> 184.07,RDH12_100_vs_RDH12_Veh,0.092,0.558469599,0.953944604
PC O-38:7,790.668925 -> 184.07,RDH12_200_vs_WT_200,0.823,9.14E-05,0.001134404
PC O-38:7,790.668925 -> 184.07,RDH12_200_vs_RDH12_100,0.14,0.376614315,0.858108565
PC O-38:7,790.668925 -> 184.07,RDH12_200_vs_RDH12_Veh,0.232,0.152318029,0.459842841
PC O-38:7,790.668925 -> 184.07,RDH12_Veh_vs_WT_Veh,0.591,0.001692079,0.025381187
PC O-40:2,828.684625 -> 184.07,WT_100_vs_WT_Veh,0.366,0.051892233,0.373624077
PC O-40:2,828.684625 -> 184.07,WT_200_vs_WT_100,-0.0151,0.93163857,0.994448903
PC O-40:2,828.684625 -> 184.07,WT_200_vs_WT_Veh,0.351,0.061023632,0.354330765
PC O-40:2,828.684625 -> 184.07,RDH12_100_vs_WT_100,0.0396,0.821876385,0.929952993
PC O-40:2,828.684625 -> 184.07,RDH12_100_vs_RDH12_Veh,0.21,0.243401975,0.953944604
PC O-40:2,828.684625 -> 184.07,RDH12_200_vs_WT_200,-0.0506,0.773717709,0.87015312
PC O-40:2,828.684625 -> 184.07,RDH12_200_vs_RDH12_100,-0.105,0.551651711,0.946483819
PC O-40:2,828.684625 -> 184.07,RDH12_200_vs_RDH12_Veh,0.105,0.553433713,0.797077177
PC O-40:2,828.684625 -> 184.07,RDH12_Veh_vs_WT_Veh,0.195,0.276080881,0.504513284
PC O-40:3,826.668925 -> 184.07,WT_100_vs_WT_Veh,0.256,0.038635379,0.331160394
PC O-40:3,826.668925 -> 184.07,WT_200_vs_WT_100,-0.099,0.392800719,0.693786148
PC O-40:3,826.668925 -> 184.07,WT_200_vs_WT_Veh,0.157,0.18430656,0.657053655
PC O-40:3,826.668925 -> 184.07,RDH12_100_vs_WT_100,-0.0763,0.507828157,0.777728359
PC O-40:3,826.668925 -> 184.07,RDH12_100_vs_RDH12_Veh,0.0243,0.831676276,0.981017338
PC O-40:3,826.668925 -> 184.07,RDH12_200_vs_WT_200,0.113,0.329885737,0.51637473
PC O-40:3,826.668925 -> 184.07,RDH12_200_vs_RDH12_100,0.0906,0.433017899,0.893499778
PC O-40:3,826.668925 -> 184.07,RDH12_200_vs_RDH12_Veh,0.115,0.323161567,0.615086557
PC O-40:3,826.668925 -> 184.07,RDH12_Veh_vs_WT_Veh,0.155,0.188667995,0.399532225
PC O-40:4,824.653325 -> 184.07,WT_100_vs_WT_Veh,0.353,0.064847264,0.416720608
PC O-40:4,824.653325 -> 184.07,WT_200_vs_WT_100,-0.156,0.389952469,0.693786148
PC O-40:4,824.653325 -> 184.07,WT_200_vs_WT_Veh,0.196,0.284169772,0.763441178
PC O-40:4,824.653325 -> 184.07,RDH12_100_vs_WT_100,-0.114,0.530070808,0.799374187
PC O-40:4,824.653325 -> 184.07,RDH12_100_vs_RDH12_Veh,0.297,0.113491995,0.931806613
PC O-40:4,824.653325 -> 184.07,RDH12_200_vs_WT_200,0.416,0.032924586,0.105829026
PC O-40:4,824.653325 -> 184.07,RDH12_200_vs_RDH12_100,0.373,0.052208791,0.626505494
PC O-40:4,824.653325 -> 184.07,RDH12_200_vs_RDH12_Veh,0.671,0.001855461,0.056695051
PC O-40:4,824.653325 -> 184.07,RDH12_Veh_vs_WT_Veh,-0.0582,0.746401402,0.872417223
