Lipid annotation,MRM transition,Contrast,log2 fold change,p value,BH adjusted p value
PC O-38:6,792.590725 -> 184.07,RDH12_200_vs_WT_200,0.927,4.83E-05,0.00101546
PC O-38:6,792.590725 -> 184.07,RDH12_200_vs_RDH12_100,0.605,0.002156849,0.258821883
PC O-38:6,792.590725 -> 184.07,RDH12_200_vs_RDH12_Veh,0.735,0.000441271,0.022693952
PC O-38:6,792.590725 -> 184.07,RDH12_Veh_vs_WT_Veh,0.585,0.002759166,0.030940044
PC(20:0/8:0(COOH)),694.53864 -> 184.1,WT_100_vs_WT_Veh,-0.507,0.022085101,0.25647214
PC(20:0/8:0(COOH)),694.53864 -> 184.1,WT_200_vs_WT_100,0.505,0.02254113,0.193242188
PC(20:0/8:0(COOH)),694.53864 -> 184.1,WT_200_vs_WT_Veh,-0.00206,0.991819982,0.999509016
PC(20:0/8:0(COOH)),694.53864 -> 184.1,RDH12_100_vs_WT_100,0.868,0.000577548,0.03730155
PC(20:0/8:0(COOH)),694.53864 -> 184.1,RDH12_100_vs_RDH12_Veh,0.536,0.016604745,0.597770823
PC(20:0/8:0(COOH)),694.53864 -> 184.1,RDH12_200_vs_WT_200,0.791,0.001251341,0.009793104
PC(20:0/8:0(COOH)),694.53864 -> 184.1,RDH12_200_vs_RDH12_100,0.428,0.047817452,0.626505494
PC(20:0/8:0(COOH)),694.53864 -> 184.1,RDH12_200_vs_RDH12_Veh,0.964,0.000227186,0.013631159
PC(20:0/8:0(COOH)),694.53864 -> 184.1,RDH12_Veh_vs_WT_Veh,-0.175,0.391038522,0.601058131
PE 32:1,690.543725 -> 549.523725,WT_100_vs_WT_Veh,-0.211,0.115458403,0.515877782
PE 32:1,690.543725 -> 549.523725,WT_200_vs_WT_100,-0.45,0.002882505,0.070912168
PE 32:1,690.543725 -> 549.523725,WT_200_vs_WT_Veh,-0.661,0.000110128,0.019822965
PE 32:1,690.543725 -> 549.523725,RDH12_100_vs_WT_100,0.0298,0.815717863,0.929952993
PE 32:1,690.543725 -> 549.523725,RDH12_100_vs_RDH12_Veh,-0.0439,0.731704506,0.976005797
PE 32:1,690.543725 -> 549.523725,RDH12_200_vs_WT_200,0.382,0.008561968,0.035840798
PE 32:1,690.543725 -> 549.523725,RDH12_200_vs_RDH12_100,-0.0978,0.449194349,0.897447278
PE 32:1,690.543725 -> 549.523725,RDH12_200_vs_RDH12_Veh,-0.142,0.277944371,0.57711958
PE 32:1,690.543725 -> 549.523725,RDH12_Veh_vs_WT_Veh,-0.137,0.294379718,0.512143005
PE 34:1,718.575025 -> 577.555025,WT_100_vs_WT_Veh,0.136,0.463454636,0.762004934
PE 34:1,718.575025 -> 577.555025,WT_200_vs_WT_100,-0.806,0.000501189,0.038610211
PE 34:1,718.575025 -> 577.555025,WT_200_vs_WT_Veh,-0.67,0.002233267,0.06130266
PE 34:1,718.575025 -> 577.555025,RDH12_100_vs_WT_100,-0.0907,0.623248034,0.855189703
PE 34:1,718.575025 -> 577.555025,RDH12_100_vs_RDH12_Veh,-0.429,0.032061878,0.807615346
PE 34:1,718.575025 -> 577.555025,RDH12_200_vs_WT_200,0.771,0.000732532,0.007090962
PE 34:1,718.575025 -> 577.555025,RDH12_200_vs_RDH12_100,0.0557,0.76213587,0.995250349
PE 34:1,718.575025 -> 577.555025,RDH12_200_vs_RDH12_Veh,-0.373,0.057479362,0.279629329
PE 34:1,718.575025 -> 577.555025,RDH12_Veh_vs_WT_Veh,0.474,0.019650143,0.115968058
PE 34:4,712.491725 -> 571.471725,WT_100_vs_WT_Veh,0.119,0.531943783,0.811435004
PE 34:4,712.491725 -> 571.471725,WT_200_vs_WT_100,0.468,0.023897298,0.193242188
PE 34:4,712.491725 -> 571.471725,WT_200_vs_WT_Veh,0.586,0.00668069,0.114526113
PE 34:4,712.491725 -> 571.471725,RDH12_100_vs_WT_100,-0.427,0.036618502,0.21971101
PE 34:4,712.491725 -> 571.471725,RDH12_100_vs_RDH12_Veh,-0.022,0.90714922,0.986640738
PE 34:4,712.491725 -> 571.471725,RDH12_200_vs_WT_200,-0.773,0.000885933,0.007628505
PE 34:4,712.491725 -> 571.471725,RDH12_200_vs_RDH12_100,0.121,0.522414396,0.924067762
PE 34:4,712.491725 -> 571.471725,RDH12_200_vs_RDH12_Veh,0.0994,0.599535324,0.808362235
PE 34:4,712.491725 -> 571.471725,RDH12_Veh_vs_WT_Veh,-0.286,0.144175677,0.346021624
PI 34:1,854.61227 -> 577.555998,WT_100_vs_WT_Veh,-0.273,0.038147556,0.331160394
PI 34:1,854.61227 -> 577.555998,WT_200_vs_WT_100,-0.397,0.004909597,0.095196562
PI 34:1,854.61227 -> 577.555998,WT_200_vs_WT_Veh,-0.67,5.87E-05,0.019822965
PI 34:1,854.61227 -> 577.555998,RDH12_100_vs_WT_100,0.262,0.045478384,0.244361466
PI 34:1,854.61227 -> 577.555998,RDH12_100_vs_RDH12_Veh,0.0819,0.5043101,0.953944604
PI 34:1,854.61227 -> 577.555998,RDH12_200_vs_WT_200,0.356,0.009708268,0.0392694
PI 34:1,854.61227 -> 577.555998,RDH12_200_vs_RDH12_100,-0.302,0.023699807,0.501802605
PI 34:1,854.61227 -> 577.555998,RDH12_200_vs_RDH12_Veh,-0.22,0.085906788,0.336156998
PI 34:1,854.61227 -> 577.555998,RDH12_Veh_vs_WT_Veh,-0.093,0.449449583,0.647207399
PI 36:2,880.62787 -> 603.571598,WT_100_vs_WT_Veh,-0.305,0.072624279,0.421689362
PI 36:2,880.62787 -> 603.571598,WT_200_vs_WT_100,-0.403,0.022130401,0.193242188
PI 36:2,880.62787 -> 603.571598,WT_200_vs_WT_Veh,-0.708,0.000465094,0.031487729
PI 36:2,880.62787 -> 603.571598,RDH12_100_vs_WT_100,0.158,0.332580272,0.672634258
PI 36:2,880.62787 -> 603.571598,RDH12_100_vs_RDH12_Veh,-0.177,0.277730789,0.953944604
PI 36:2,880.62787 -> 603.571598,RDH12_200_vs_WT_200,0.142,0.38176983,0.564759288
PI 36:2,880.62787 -> 603.571598,RDH12_200_vs_RDH12_100,-0.419,0.018164307,0.497266208
PI 36:2,880.62787 -> 603.571598,RDH12_200_vs_RDH12_Veh,-0.596,0.001889835,0.056695051
PI 36:2,880.62787 -> 603.571598,RDH12_Veh_vs_WT_Veh,0.0305,0.848972961,0.923354277
PI 36:4,876.56017 -> 599.503898,WT_100_vs_WT_Veh,-0.378,0.00966408,0.186986588
PI 36:4,876.56017 -> 599.503898,WT_200_vs_WT_100,-0.217,0.108283698,0.389821314
PI 36:4,876.56017 -> 599.503898,WT_200_vs_WT_Veh,-0.595,0.00032014,0.028812645
PI 36:4,876.56017 -> 599.503898,RDH12_100_vs_WT_100,0.0226,0.861151977,0.933013703
PI 36:4,876.56017 -> 599.503898,RDH12_100_vs_RDH12_Veh,0.0879,0.499600521,0.953944604
PI 36:4,876.56017 -> 599.503898,RDH12_200_vs_WT_200,0.489,0.001659825,0.011535764
PI 36:4,876.56017 -> 599.503898,RDH12_200_vs_RDH12_100,0.249,0.068816505,0.649923037
PI 36:4,876.56017 -> 599.503898,RDH12_200_vs_RDH12_Veh,0.337,0.018339397,0.188078626
PI 36:4,876.56017 -> 599.503898,RDH12_Veh_vs_WT_Veh,-0.443,0.003430732,0.034307321
PI 38:3,906.60717 -> 629.550898,WT_100_vs_WT_Veh,-0.17,0.313782766,0.698956427
PI 38:3,906.60717 -> 629.550898,WT_200_vs_WT_100,-0.504,0.007654134,0.110219532
PI 38:3,906.60717 -> 629.550898,WT_200_vs_WT_Veh,-0.674,0.000942547,0.0377019
PI 38:3,906.60717 -> 629.550898,RDH12_100_vs_WT_100,-0.00198,0.990472762,0.99600613
PI 38:3,906.60717 -> 629.550898,RDH12_100_vs_RDH12_Veh,-0.259,0.133351035,0.931806613
PI 38:3,906.60717 -> 629.550898,RDH12_200_vs_WT_200,0.592,0.002586743,0.015266027
PI 38:3,906.60717 -> 629.550898,RDH12_200_vs_RDH12_100,0.0896,0.590259178,0.964071505
PI 38:3,906.60717 -> 629.550898,RDH12_200_vs_RDH12_Veh,-0.169,0.315458267,0.604069022
PI 38:3,906.60717 -> 629.550898,RDH12_Veh_vs_WT_Veh,0.087,0.600919743,0.764420875
PI 38:5,902.57587 -> 625.519598,WT_100_vs_WT_Veh,-0.636,0.000506502,0.060780291
PI 38:5,902.57587 -> 625.519598,WT_200_vs_WT_100,0.182,0.221903628,0.509152119
PI 38:5,902.57587 -> 625.519598,WT_200_vs_WT_Veh,-0.454,0.006479589,0.114526113
PI 38:5,902.57587 -> 625.519598,RDH12_100_vs_WT_100,0.251,0.100020747,0.404701275
PI 38:5,902.57587 -> 625.519598,RDH12_100_vs_RDH12_Veh,-0.0893,0.541453749,0.953944604
PI 38:5,902.57587 -> 625.519598,RDH12_200_vs_WT_200,0.0405,0.780708156,0.87015312
PI 38:5,902.57587 -> 625.519598,RDH12_200_vs_RDH12_100,-0.0282,0.846361389,0.998456697
PI 38:5,902.57587 -> 625.519598,RDH12_200_vs_RDH12_Veh,-0.117,0.424062919,0.729643082
PI 38:5,902.57587 -> 625.519598,RDH12_Veh_vs_WT_Veh,-0.296,0.056513807,0.214157586
[CE 14:0 +NH4],614.58757 -> 369.2,WT_100_vs_WT_Veh,-0.128,0.215257198,0.583675403
[CE 14:0 +NH4],614.58757 -> 369.2,WT_200_vs_WT_100,0.128,0.216598917,0.509152119
[CE 14:0 +NH4],614.58757 -> 369.2,WT_200_vs_WT_Veh,-0.000395,0.996869299,0.999509016
[CE 14:0 +NH4],614.58757 -> 369.2,RDH12_100_vs_WT_100,-0.00523,0.958522645,0.974768791
[CE 14:0 +NH4],614.58757 -> 369.2,RDH12_100_vs_RDH12_Veh,-0.12,0.245904716,0.953944604
[CE 14:0 +NH4],614.58757 -> 369.2,RDH12_200_vs_WT_200,-0.0353,0.726453399,0.863618761
[CE 14:0 +NH4],614.58757 -> 369.2,RDH12_200_vs_RDH12_100,0.0977,0.339241073,0.851781189
[CE 14:0 +NH4],614.58757 -> 369.2,RDH12_200_vs_RDH12_Veh,-0.0219,0.828085163,0.917263566
[CE 14:0 +NH4],614.58757 -> 369.2,RDH12_Veh_vs_WT_Veh,-0.0138,0.890912716,0.951716848
[CE 16:0 +H],625.592325 -> 369.2,WT_100_vs_WT_Veh,-0.258,0.156378819,0.516053985
[CE 16:0 +H],625.592325 -> 369.2,WT_200_vs_WT_100,0.117,0.50835113,0.793364286
[CE 16:0 +H],625.592325 -> 369.2,WT_200_vs_WT_Veh,-0.141,0.42715067,0.840296399
[CE 16:0 +H],625.592325 -> 369.2,RDH12_100_vs_WT_100,-0.275,0.133609096,0.462493026
[CE 16:0 +H],625.592325 -> 369.2,RDH12_100_vs_RDH12_Veh,-0.181,0.313485279,0.953944604
[CE 16:0 +H],625.592325 -> 369.2,RDH12_200_vs_WT_200,-0.432,0.025043778,0.082713394
[CE 16:0 +H],625.592325 -> 369.2,RDH12_200_vs_RDH12_100,-0.0401,0.819623249,0.998456697
[CE 16:0 +H],625.592325 -> 369.2,RDH12_200_vs_RDH12_Veh,-0.221,0.221904384,0.53701383
[CE 16:0 +H],625.592325 -> 369.2,RDH12_Veh_vs_WT_Veh,-0.353,0.06004817,0.218356983
[CE 16:0 +NH4],642.61887 -> 369.2,WT_100_vs_WT_Veh,-0.0915,0.470918847,0.770594477
[CE 16:0 +NH4],642.61887 -> 369.2,WT_200_vs_WT_100,-0.0206,0.870128447,0.963622707
[CE 16:0 +NH4],642.61887 -> 369.2,WT_200_vs_WT_Veh,-0.112,0.379380709,0.803612898
[CE 16:0 +NH4],642.61887 -> 369.2,RDH12_100_vs_WT_100,0.0248,0.843739899,0.932814887
[CE 16:0 +NH4],642.61887 -> 369.2,RDH12_100_vs_RDH12_Veh,-0.00363,0.976942285,0.990702036
[CE 16:0 +NH4],642.61887 -> 369.2,RDH12_200_vs_WT_200,-0.0864,0.495724195,0.686387347
[CE 16:0 +NH4],642.61887 -> 369.2,RDH12_200_vs_RDH12_100,-0.132,0.30392993,0.819582967
[CE 16:0 +NH4],642.61887 -> 369.2,RDH12_200_vs_RDH12_Veh,-0.135,0.291279923,0.584496396
[CE 16:0 +NH4],642.61887 -> 369.2,RDH12_Veh_vs_WT_Veh,-0.0631,0.617538314,0.780764364
[CE 16:1 +NH4],640.60327 -> 369.2,WT_100_vs_WT_Veh,-0.129,0.22714764,0.59688431
[CE 16:1 +NH4],640.60327 -> 369.2,WT_200_vs_WT_100,0.00988,0.92447255,0.994448903
[CE 16:1 +NH4],640.60327 -> 369.2,WT_200_vs_WT_Veh,-0.119,0.262911436,0.763291266
[CE 16:1 +NH4],640.60327 -> 369.2,RDH12_100_vs_WT_100,-0.185,0.091775587,0.392731454
[CE 16:1 +NH4],640.60327 -> 369.2,RDH12_100_vs_RDH12_Veh,-0.151,0.161035671,0.931806613
[CE 16:1 +NH4],640.60327 -> 369.2,RDH12_200_vs_WT_200,-0.0646,0.537694695,0.727707106
[CE 16:1 +NH4],640.60327 -> 369.2,RDH12_200_vs_RDH12_100,0.13,0.223685927,0.783852927
[CE 16:1 +NH4],640.60327 -> 369.2,RDH12_200_vs_RDH12_Veh,-0.0211,0.839613584,0.921527105
[CE 16:1 +NH4],640.60327 -> 369.2,RDH12_Veh_vs_WT_Veh,-0.163,0.133443592,0.338625631
[CE 16:3 +K],657.501308 -> 369.2,WT_100_vs_WT_Veh,-0.307,0.015604046,0.224698261
[CE 16:3 +K],657.501308 -> 369.2,WT_200_vs_WT_100,0.258,0.036435048,0.242900321
[CE 16:3 +K],657.501308 -> 369.2,WT_200_vs_WT_Veh,-0.0486,0.670386433,0.958245892
[CE 16:3 +K],657.501308 -> 369.2,RDH12_100_vs_WT_100,0.0987,0.392378856,0.696086676
[CE 16:3 +K],657.501308 -> 369.2,RDH12_100_vs_RDH12_Veh,-0.0061,0.95730341,0.98899557
[CE 16:3 +K],657.501308 -> 369.2,RDH12_200_vs_WT_200,-0.0202,0.859292728,0.909839359
[CE 16:3 +K],657.501308 -> 369.2,RDH12_200_vs_RDH12_100,0.139,0.233401319,0.7859368
[CE 16:3 +K],657.501308 -> 369.2,RDH12_200_vs_RDH12_Veh,0.133,0.253514366,0.560921135
[CE 16:3 +K],657.501308 -> 369.2,RDH12_Veh_vs_WT_Veh,-0.202,0.092110744,0.269592421
[CE 18:0 +Na],675.608025 -> 369.2,WT_100_vs_WT_Veh,-0.209,0.49435586,0.782300784
[CE 18:0 +Na],675.608025 -> 369.2,WT_200_vs_WT_100,0.548,0.0873352,0.374293716
[CE 18:0 +Na],675.608025 -> 369.2,WT_200_vs_WT_Veh,0.338,0.275672387,0.763400455
[CE 18:0 +Na],675.608025 -> 369.2,RDH12_100_vs_WT_100,0.753,0.023934132,0.175842599
[CE 18:0 +Na],675.608025 -> 369.2,RDH12_100_vs_RDH12_Veh,0.738,0.026476636,0.807615346
[CE 18:0 +Na],675.608025 -> 369.2,RDH12_200_vs_WT_200,-0.35,0.260004857,0.445722612
[CE 18:0 +Na],675.608025 -> 369.2,RDH12_200_vs_RDH12_100,-0.556,0.083177915,0.681012777
[CE 18:0 +Na],675.608025 -> 369.2,RDH12_200_vs_RDH12_Veh,0.182,0.551378478,0.797077177
[CE 18:0 +Na],675.608025 -> 369.2,RDH12_Veh_vs_WT_Veh,-0.194,0.526298344,0.706967925
[CE 18:0 +NH4],670.65017 -> 369.2,WT_100_vs_WT_Veh,-0.26,0.036935143,0.331160394
[CE 18:0 +NH4],670.65017 -> 369.2,WT_200_vs_WT_100,0.181,0.130934832,0.405601323
[CE 18:0 +NH4],670.65017 -> 369.2,WT_200_vs_WT_Veh,-0.079,0.496649352,0.876607225
[CE 18:0 +NH4],670.65017 -> 369.2,RDH12_100_vs_WT_100,0.0067,0.953619907,0.972648825
[CE 18:0 +NH4],670.65017 -> 369.2,RDH12_100_vs_RDH12_Veh,-0.149,0.209077261,0.953944604
[CE 18:0 +NH4],670.65017 -> 369.2,RDH12_200_vs_WT_200,-0.1,0.389758613,0.5712751
[CE 18:0 +NH4],670.65017 -> 369.2,RDH12_200_vs_RDH12_100,0.0742,0.522410153,0.924067762
[CE 18:0 +NH4],670.65017 -> 369.2,RDH12_200_vs_RDH12_Veh,-0.0746,0.520096233,0.781586877
[CE 18:0 +NH4],670.65017 -> 369.2,RDH12_Veh_vs_WT_Veh,-0.105,0.370261222,0.58785652
[CE 18:3 +Na],669.55867 -> 369.2,WT_100_vs_WT_Veh,-0.114,0.300475016,0.692680682
[CE 18:3 +Na],669.55867 -> 369.2,WT_200_vs_WT_100,0.00607,0.955404161,0.997868493
[CE 18:3 +Na],669.55867 -> 369.2,WT_200_vs_WT_Veh,-0.108,0.325877935,0.776927526
[CE 18:3 +Na],669.55867 -> 369.2,RDH12_100_vs_WT_100,-0.124,0.262247216,0.594361347
[CE 18:3 +Na],669.55867 -> 369.2,RDH12_100_vs_RDH12_Veh,-0.0866,0.430002759,0.953944604
[CE 18:3 +Na],669.55867 -> 369.2,RDH12_200_vs_WT_200,-0.158,0.159209679,0.314920244
