"","name","ID","RDH12_100_vs_RDH12_Veh_p.val","RDH12_200_vs_RDH12_100_p.val","RDH12_200_vs_RDH12_Veh_p.val","RDH12_100_vs_RDH12_Veh_p.adj","RDH12_200_vs_RDH12_100_p.adj","RDH12_200_vs_RDH12_Veh_p.adj","RDH12_100_vs_RDH12_Veh_significant","RDH12_200_vs_RDH12_100_significant","RDH12_200_vs_RDH12_Veh_significant","significant","RDH12_100_vs_RDH12_Veh_ratio","RDH12_200_vs_RDH12_100_ratio","RDH12_200_vs_RDH12_Veh_ratio","RDH12_100_centered","RDH12_200_centered","RDH12_Veh_centered"
"22","[TG50:8","836.77067 -> 563.503891",0.127122477243241,0.208953813811783,0.744748114337384,0.959,0.582,1,FALSE,FALSE,FALSE,FALSE,-0.775,0.622,-0.153,-0.466,0.156,0.309
"23","[TG50:9","834.75507 -> 563.503941",0.227415454071191,0.779409210699568,0.338326107891439,0.973,0.808,1,FALSE,FALSE,FALSE,FALSE,0.142,-0.0314,0.11,0.0577,0.0263,-0.084
"24","CAR 20:1","454.389625 -> 85.1",0.855565107283101,0.367226119286117,0.285979300499075,0.989,0.695,1,FALSE,FALSE,FALSE,FALSE,0.0686,0.349,0.418,-0.0935,0.256,-0.162
"25","CAR 22:0","484.436625 -> 85.1",0.395907263274322,0.828366070958295,0.294967064559026,0.982,0.816,1,FALSE,FALSE,FALSE,FALSE,0.192,0.048,0.24,0.0481,0.096,-0.144
"26","Cer(d14:1/16:0)","482.457325 -> 208.3",0.0408273292418415,0.133638023144019,0.462661659917794,0.896,0.478,1,FALSE,FALSE,FALSE,FALSE,0.302,-0.206,0.0952,0.169,-0.037,-0.132
"27","Cer(d14:1/20:0)","538.519925 -> 208.3",0.180696648512086,0.782142404373828,0.271401090464105,0.968,0.808,1,FALSE,FALSE,FALSE,FALSE,0.548,-0.107,0.441,0.218,0.111,-0.33
"28","Cer(d14:1/24:0(2OH))","610.577425 -> 208.3",0.125457690758812,0.559304716188992,0.301811491510336,0.958,0.763,1,FALSE,FALSE,FALSE,FALSE,0.332,-0.118,0.214,0.15,0.0319,-0.182
"29","Cer(d14:2/16:0)","480.441625 -> 206.3",0.0327828507325014,0.08010315966856,0.57937848748091,0.874,0.353,1,FALSE,FALSE,FALSE,FALSE,0.55,-0.427,0.123,0.326,-0.101,-0.224
"30","Cer(d14:2/20:0)","536.504225 -> 206.3",0.171079472558085,0.374151640449075,0.588311218818447,0.967,0.698,1,FALSE,FALSE,FALSE,FALSE,0.598,-0.374,0.224,0.324,-0.05,-0.274
"31","Cer(d18:0/20:0(2OH))","612.593125 -> 266.3",0.105319844498011,0.184225859280561,0.718029777489105,0.952,0.554,1,FALSE,FALSE,FALSE,FALSE,0.836,-0.665,0.171,0.5,-0.165,-0.336
"32","Cer(d18:0/20:0)","596.598125 -> 266.3",0.303623062417598,0.364355764404282,0.893780694681421,0.978,0.693,1,FALSE,FALSE,FALSE,FALSE,0.189,-0.166,0.0237,0.118,-0.0473,-0.071
"33","Cer(d18:1/16:0)","538.519925 -> 264.3",0.0969856977133084,0.427721876769644,0.0267039789852275,0.949,0.721,1,FALSE,FALSE,FALSE,FALSE,0.259,0.115,0.374,0.048,0.163,-0.211
"34","Cer(d18:1/18:0)","566.551225 -> 264.3",0.952381497299811,0.271579485679082,0.249307284137037,0.99,0.637,1,FALSE,FALSE,FALSE,FALSE,0.00948,0.182,0.191,-0.0575,0.124,-0.067
"35","Cer(d18:1/20:0(OH)","610.577425 -> 264.3",0.746278895565188,0.835363788636367,0.597608836993538,0.988,0.817,1,FALSE,FALSE,FALSE,FALSE,0.0637,0.0408,0.105,0.00763,0.0485,-0.0561
"36","Cer(d18:1/22:0)","622.613825 -> 264.3",0.789478972289067,0.295511914126358,0.42338030105788,0.988,0.654,1,FALSE,FALSE,FALSE,FALSE,-0.045,0.182,0.137,-0.0758,0.107,-0.0308
"37","Cer(d18:1/24:0)","650.645125 -> 264.3",0.968753788252779,0.00744378202300184,0.00702428890622413,0.99,0.0681,1,FALSE,FALSE,FALSE,FALSE,0.00355,0.314,0.318,-0.104,0.211,-0.107
"38","Cer(d18:1/24:1)","648.629425 -> 264.3",0.784276918460894,0.658159551712579,0.479101864629644,0.988,0.786,1,FALSE,FALSE,FALSE,FALSE,0.035,0.0567,0.0917,-0.00726,0.0495,-0.0422
"39","DG 30:2 NL 16:0","554.47847 -> 281.211691",0.429724456185651,0.0251888851914107,0.0909564322635604,0.983,0.179,1,FALSE,FALSE,FALSE,FALSE,0.428,-1.42,-0.99,0.615,-0.803,0.187
"40","DG 30:2 NL 16:1","554.47847 -> 283.227341",0.238651360087229,0.0485012518955676,0.321399934954788,0.974,0.242,1,FALSE,FALSE,FALSE,FALSE,0.325,-0.595,-0.27,0.307,-0.288,-0.0185
"41","DG 30:3 NL 16:1","552.46277 -> 281.211641",0.670952111121936,0.129119416097308,0.245726922650197,0.987,0.47,1,FALSE,FALSE,FALSE,FALSE,0.164,-0.63,-0.466,0.265,-0.365,0.101
"42","DG 32:0 NL 16:0","586.54107 -> 313.274291",0.00270988684855942,0.52046267420196,0.00114395929866744,0.198,0.752,1,FALSE,FALSE,FALSE,FALSE,-0.419,-0.0655,-0.485,-0.118,-0.183,0.301
"43","DG 32:5 NL 18:1","576.46277 -> 277.16277",0.583055101547994,0.101284164075167,0.235908825848874,0.986,0.41,1,FALSE,FALSE,FALSE,FALSE,0.148,-0.48,-0.332,0.209,-0.271,0.0613
"44","DG 34:0 NL 16:0","614.57237 -> 341.305591",0.783805004008644,0.0203401429200151,0.0313974006530508,0.988,0.154,1,FALSE,FALSE,FALSE,FALSE,0.046,-0.47,-0.424,0.172,-0.298,0.126
"45","DG 34:0 NL 18:0","614.57237 -> 313.27237",0.495656093989929,0.149285282270005,0.0500626243495281,0.984,0.505,1,FALSE,FALSE,FALSE,FALSE,-0.137,-0.306,-0.443,0.0564,-0.25,0.193
