"X","name","ID","RDH12_100_vs_RDH12_Veh_p.val","RDH12_200_vs_RDH12_100_p.val","RDH12_200_vs_RDH12_Veh_p.val","RDH12_100_vs_RDH12_Veh_p.adj","RDH12_200_vs_RDH12_100_p.adj","RDH12_200_vs_RDH12_Veh_p.adj","RDH12_100_vs_RDH12_Veh_significant","RDH12_200_vs_RDH12_100_significant","RDH12_200_vs_RDH12_Veh_significant","significant","RDH12_100_vs_RDH12_Veh_ratio","RDH12_200_vs_RDH12_100_ratio","RDH12_200_vs_RDH12_Veh_ratio","RDH12_100_centered","RDH12_200_centered","RDH12_Veh_centered"
38,"Cer(d18:1/24:1)","648.629425 -> 264.3",0.533206613430079,0.925180019895828,0.594538380078322,0.807987935688525,0.972423254954338,0.795958743979583,FALSE,FALSE,FALSE,FALSE,0.0809,-0.012,0.0688,0.031,0.0189,-0.0499
39,"DG 30:1 NL 16:0","556.49407 -> 283.227291",0.24287253245644,0.0159152830567576,0.110932966612961,0.6059547021893,0.1797655236422,0.413790991516642,FALSE,FALSE,FALSE,FALSE,0.461,-1.12,-0.656,0.526,-0.591,0.0649
40,"DG 30:2 NL 16:0","554.47847 -> 281.211691",0.552474761593033,0.048635438916928,0.126330719794651,0.817133330020833,0.261151161140896,0.413790991516642,FALSE,FALSE,FALSE,FALSE,0.35,-1.32,-0.966,0.555,-0.761,0.205
41,"DG 30:2 NL 16:1","554.47847 -> 283.227341",0.351329638276714,0.0882438805481192,0.368369331412731,0.705515615076003,0.331924641491377,0.654190660087653,FALSE,FALSE,FALSE,FALSE,0.272,-0.534,-0.262,0.269,-0.265,-0.00334
42,"DG 30:3 NL 16:1","552.46277 -> 281.211641",0.846242862436722,0.22111998508638,0.292362731998926,0.898556583449582,0.54349191171041,0.577708758429878,FALSE,FALSE,FALSE,FALSE,0.0777,-0.515,-0.438,0.198,-0.318,0.12
43,"DG 32:0 NL 16:0","586.54107 -> 313.274291",0.00206293006227996,0.512498948114236,0.000870741698647194,0.254771862691575,0.707191285945342,0.068749781071801,FALSE,FALSE,FALSE,FALSE,-0.422,-0.0642,-0.486,-0.119,-0.183,0.303
44,"DG 32:5 NL 18:1","576.46277 -> 277.16277",0.623614705725548,0.117591445693211,0.248500081128298,0.834010168631537,0.379937397056448,0.557697688409726,FALSE,FALSE,FALSE,FALSE,0.139,-0.479,-0.34,0.206,-0.273,0.0669
45,"DG 34:0 NL 16:0","614.57237 -> 341.305591",0.837454241048168,0.0277257031346787,0.0384648018492962,0.898556583449582,0.218203350022448,0.327614001957799,FALSE,FALSE,FALSE,FALSE,0.0369,-0.468,-0.432,0.168,-0.3,0.132
46,"DG 34:0 NL 18:0","614.57237 -> 313.27237",0.524623721280629,0.12614928105212,0.0452737816653119,0.807987935688525,0.384677437282391,0.347856711001711,FALSE,FALSE,FALSE,FALSE,-0.124,-0.317,-0.441,0.0646,-0.253,0.188
47,"DG 34:0 NL 20:0","614.57237 -> 285.24297",0.102540620966773,0.753160531568412,0.167299852592034,0.456616498809439,0.877503072157537,0.439607059470557,FALSE,FALSE,FALSE,FALSE,1.55,-0.273,1.28,0.608,0.334,-0.942
48,"DG 34:1 NL 16:0","612.55667 -> 339.289891",0.0831941247481696,0.387683684828483,0.0202850380896872,0.456616498809439,0.625213553545068,0.20041617632611,FALSE,FALSE,FALSE,FALSE,-0.262,-0.121,-0.383,-0.0471,-0.168,0.215
49,"DG 34:1 NL 16:1","612.55667 -> 341.305541",0.638070664277518,0.457114725861565,0.777258048280336,0.83423396069643,0.687444665177462,0.872648808751105,FALSE,FALSE,FALSE,FALSE,0.149,-0.238,-0.0891,0.129,-0.109,-0.0199
50,"DG 34:1 NL 18:1","612.55667 -> 313.25667",0.00650225139501318,0.458101440280687,0.00222671355698141,0.275683199970788,0.687444665177462,0.068749781071801,FALSE,FALSE,FALSE,FALSE,-0.381,-0.0811,-0.462,-0.1,-0.181,0.281
51,"DG 34:1 NL 20:0","612.55667 -> 283.22727",0.104729790336442,0.874676767646443,0.13404249901132,0.456616498809439,0.955173348828016,0.413790991516642,FALSE,FALSE,FALSE,FALSE,2.82,-0.251,2.57,1.02,0.773,-1.8
52,"DG 34:2 NL 16:1","610.54107 -> 339.289941",0.484571362376488,0.617179059263583,0.836648899618129,0.79957049672154,0.799096256535072,0.902411695221301,FALSE,FALSE,FALSE,FALSE,0.261,-0.185,0.0759,0.149,-0.0365,-0.112
53,"DG 34:2 NL 20:0","610.54107 -> 281.21167",0.119068303219391,0.882468597467092,0.149771858706481,0.482129031068682,0.955173348828016,0.413790991516642,FALSE,FALSE,FALSE,FALSE,3.77,-0.329,3.44,1.37,1.04,-2.4
54,"DG 34:5 NL 20:4","604.49407 -> 283.22727",0.566384453011166,0.815381057286213,0.425751523837244,0.820695818229446,0.919630690181254,0.696427989323174,FALSE,FALSE,FALSE,FALSE,0.124,0.0501,0.174,0.0247,0.0749,-0.0996
55,"DG 36:0 NL 16:0","642.60367 -> 369.336891",0.614960799605109,0.697231215192414,0.907496823518965,0.830931436321746,0.869778334103668,0.966171187108553,FALSE,FALSE,FALSE,FALSE,0.0547,-0.0422,0.0125,0.0323,-0.00988,-0.0224
56,"DG 36:0 NL 18:0","642.50977 -> 341.20977",0.854902012593732,0.176073956323105,0.132982673499793,0.898556583449582,0.477264387842609,0.413790991516642,FALSE,FALSE,FALSE,FALSE,-0.103,-0.813,-0.917,0.237,-0.577,0.34
57,"DG 36:1 NL 16:1","640.53047 -> 369.279341",0.0829083728901345,0.0552751058904287,0.800012318978127,0.456616498809439,0.280231902719805,0.878235745722655,FALSE,FALSE,FALSE,FALSE,0.162,-0.183,-0.0214,0.115,-0.0682,-0.0468
58,"DG 36:1 NL 18:0","640.53047 -> 339.23047",0.760008069514118,0.990425800320524,0.750974979701679,0.881323911596184,0.998026295345706,0.858431459011941,FALSE,FALSE,FALSE,FALSE,-0.0484,-0.00189,-0.0503,-0.0155,-0.0174,0.0329
59,"DG 36:2 NL 18:1","638.51487 -> 339.21487",0.609176368101256,0.124785419987353,0.0550606758380394,0.830931436321746,0.384677437282391,0.377777414777659,FALSE,FALSE,FALSE,FALSE,-0.0481,-0.155,-0.203,0.0357,-0.119,0.0837
60,"DG 36:5 NL 16:0","632.52537 -> 359.258591",0.175269274073821,0.0330998782003933,0.308411265992917,0.535575761968758,0.220964051770193,0.595137364845707,FALSE,FALSE,FALSE,FALSE,0.483,-0.836,-0.353,0.44,-0.396,-0.0433
61,"DG 36:5 NL 20:4","632.52537 -> 311.25857",0.615509056041182,0.660388645214592,0.356568155274229,0.830931436321746,0.827999976487331,0.654190660087653,FALSE,FALSE,FALSE,FALSE,0.0809,0.0707,0.152,0.00342,0.0741,-0.0775
62,"DG 36:6 NL 16:0","630.50977 -> 357.242991",0.615629363752549,0.0655956177323308,0.145698235402152,0.830931436321746,0.289353207443395,0.413790991516642,FALSE,FALSE,FALSE,FALSE,0.34,-1.39,-1.05,0.576,-0.813,0.237
63,"DG 36:6 NL 16:1","630.50977 -> 359.258641",0.103258088994759,0.264707583078431,0.539449732366682,0.456616498809439,0.58284418931287,0.788426531920535,FALSE,FALSE,FALSE,FALSE,0.303,-0.198,0.106,0.167,-0.0307,-0.136
64,"DG 36:6 NL 22:5","630.50977 -> 283.22737",0.214378563370353,0.0318029174121787,0.245867890349143,0.568608759434092,0.218203350022448,0.557150173543471,FALSE,FALSE,FALSE,FALSE,0.328,-0.632,-0.304,0.32,-0.312,-0.00783
65,"DG 36:7 NL 16:0","628.49407 -> 355.227291",0.656250930528722,0.0686820348051884,0.139218575106528,0.835336545447409,0.291828192981153,0.413790991516642,FALSE,FALSE,FALSE,FALSE,0.324,-1.48,-1.15,0.6,-0.877,0.276
66,"DG 36:7 NL 16:1","628.49407 -> 357.242941",0.692474951175712,0.375498869926303,0.611461815929573,0.842568044041384,0.625213553545068,0.799779060337583,FALSE,FALSE,FALSE,FALSE,0.147,-0.337,-0.19,0.161,-0.176,0.0142
67,"DG 36:7 NL 22:5","628.49407 -> 281.21167",0.568174028005001,0.0917475363062698,0.222681004329414,0.820695818229446,0.336313109839934,0.534002020090925,FALSE,FALSE,FALSE,FALSE,0.237,-0.764,-0.527,0.334,-0.43,0.0966
68,"DG 38:0 NL 20:0","670.59857 -> 341.269191",0.358535692560883,0.23097803168135,0.0531118328868385,0.710986722921842,0.54349191171041,0.374817792087117,FALSE,FALSE,FALSE,FALSE,0.298,0.397,0.695,-0.0329,0.364,-0.331
69,"DG 38:2 NL 16:1","666.54617 -> 369.24617",0.971467305538628,0.0604740306871737,0.0571091044824095,0.978939305278761,0.281831803391168,0.381241859652842,FALSE,FALSE,FALSE,FALSE,-0.00227,-0.135,-0.137,0.0442,-0.0906,0.0465
70,"DG 40:5 NL 20:0","688.58797 -> 359.25857",0.0793624263191521,0.893621205517251,0.0981263437215199,0.456616498809439,0.955173348828016,0.404592016571622,FALSE,FALSE,FALSE,FALSE,1.38,-0.0947,1.29,0.492,0.397,-0.889
71,"DG 40:5 NL 22:5","688.58797 -> 341.30557",0.193773658826242,0.938938517486049,0.17265153887146,0.550139008391745,0.976261578220019,0.448894001065796,FALSE,FALSE,FALSE,FALSE,0.342,0.019,0.361,0.108,0.127,-0.234
72,"DG 40:6 NL 20:0","686.57237 -> 357.24297",0.128672324618886,0.965480129156697,0.137608761491385,0.488954833551767,0.993639966257101,0.413790991516642,FALSE,FALSE,FALSE,FALSE,3.01,-0.0793,2.93,1.03,0.951,-1.98
73,"DG 40:6 NL 22:6","686.57237 -> 341.30587",0.43313620057233,0.903524971707439,0.369807106415471,0.780909792272741,0.955173348828016,0.654190660087653,FALSE,FALSE,FALSE,FALSE,0.412,0.0624,0.474,0.117,0.179,-0.296
74,"DG 40:7 NL 22:6","684.55667 -> 339.29017",0.323236712417441,0.832493235332231,0.239492613648243,0.688271275578517,0.934662859668459,0.547728477510334,FALSE,FALSE,FALSE,FALSE,0.225,0.0467,0.272,0.0595,0.106,-0.166
75,"DG 42:10 NL 16:0","706.54107 -> 433.274291",0.123167423667187,0.0585860012727291,0.641769368088675,0.482894502314209,0.280231902719805,0.808760377132157,FALSE,FALSE,FALSE,FALSE,0.405,-0.519,-0.114,0.308,-0.211,-0.0973
76,"DG 42:11 NL 16:0","704.52537 -> 431.258591",0.567319423533619,0.083873554223017,0.205224932469816,0.820695818229446,0.331924641491377,0.517250595102495,FALSE,FALSE,FALSE,FALSE,0.345,-1.14,-0.797,0.496,-0.646,0.151
77,"DG 42:11 NL 22:5","704.52537 -> 357.24297",0.443589786083322,0.0886924143256311,0.289770793736406,0.786291660674079,0.331924641491377,0.577204726233002,FALSE,FALSE,FALSE,FALSE,0.342,-0.824,-0.482,0.389,-0.435,0.0464
78,"DG 42:6 NL 22:6","714.60367 -> 369.33717",0.0875327449249279,0.0467316741374985,0.695880788196787,0.456616498809439,0.256504966932492,0.830350505722736,FALSE,FALSE,FALSE,FALSE,0.138,-0.167,-0.0287,0.102,-0.0652,-0.0365
79,"DG O-36:4 NL 18:1","620.56177 -> 321.26177",0.480927633303535,0.129812411233957,0.369602157794835,0.79957049672154,0.391020311887651,0.654190660087653,FALSE,FALSE,FALSE,FALSE,0.0899,-0.205,-0.116,0.0985,-0.107,0.00858
80,"LPC 14:0","468.345425 -> 184.07",0.398342424762919,0.443040011983507,0.128018696975453,0.750389776938437,0.675499277530409,0.413790991516642,FALSE,FALSE,FALSE,FALSE,0.11,0.099,0.209,0.00349,0.103,-0.106
81,"LPC 16:0","496.376725 -> 184.07",0.677234780652733,0.00419327299835941,0.00773322295144858,0.836384954106125,0.133724047673666,0.137700592123976,FALSE,FALSE,FALSE,FALSE,-0.0608,0.56,0.499,-0.207,0.353,-0.146
82,"LPC 16:1","494.361025 -> 184.07",0.466318567400532,0.15025065305369,0.0464747832512407,0.79529825987626,0.431533852375133,0.347856711001711,FALSE,FALSE,FALSE,FALSE,0.0911,0.19,0.281,-0.0329,0.157,-0.124
83,"LPC 18:0","524.408025 -> 184.07",0.00331237543081423,0.000721904471568943,0.265946280810416,0.272718910470372,0.0891552022387645,0.566265374679189,FALSE,FALSE,FALSE,FALSE,-0.274,0.354,0.0792,-0.209,0.144,0.0651
84,"LPC 20:1","550.387225 -> 184.07",0.395602981013028,0.34925376993204,0.0954582668233014,0.750389776938437,0.625113631689956,0.404592016571622,FALSE,FALSE,FALSE,FALSE,-0.0983,-0.109,-0.207,0.00353,-0.105,0.102
85,"LPC 26:0","636.496825 -> 184.07",0.597412378001929,0.483873575908369,0.235323246317088,0.830931436321746,0.690848400285359,0.547728477510334,FALSE,FALSE,FALSE,FALSE,-0.0837,-0.112,-0.195,0.00935,-0.102,0.093
86,"LPC O-18:1","508.376725 -> 184.07",0.406345628293171,0.392340489066743,0.978556053496319,0.750389776938437,0.625213553545068,0.986544266177922,FALSE,FALSE,FALSE,FALSE,0.087,-0.0897,-0.00275,0.0589,-0.0308,-0.0281
87,"LPE 22:5","528.309025 -> 387.289025",0.332601755097879,0.4696228740926,0.7921342581382,0.702159260762189,0.688391005291547,0.878235745722655,FALSE,FALSE,FALSE,FALSE,0.127,-0.0936,0.0336,0.0736,-0.02,-0.0536
88,"PC 24:0","622.444825 -> 184.07",0.551893375415394,0.191165546386133,0.0748778733859924,0.817133330020833,0.502317978269945,0.404592016571622,FALSE,FALSE,FALSE,FALSE,-0.0779,-0.179,-0.257,0.0338,-0.145,0.112
89,"PC 26:0","650.476125 -> 184.07",0.0516223176272373,0.272772953477641,0.00863065020557724,0.456616498809439,0.585868865295455,0.137700592123976,FALSE,FALSE,FALSE,FALSE,-0.268,-0.138,-0.406,-0.0434,-0.181,0.225
90,"PC 28:0","678.543725 -> 184.07",0.000710970812793036,0.327301884259492,0.00264880833126098,0.17560979075988,0.611554604405582,0.0726950730912736,FALSE,FALSE,FALSE,FALSE,-0.457,0.089,-0.368,-0.182,-0.093,0.275
91,"PC 28:1","676.528125 -> 184.07",0.0865146149374935,0.617924635620238,0.188809237150973,0.456616498809439,0.799096256535072,0.480782284291653,FALSE,FALSE,FALSE,FALSE,-0.3,0.0796,-0.22,-0.127,-0.047,0.173
92,"PC 30:0","706.575025 -> 184.07",0.545880090015364,0.313617869683461,0.126694539196849,0.817133330020833,0.611554604405582,0.413790991516642,FALSE,FALSE,FALSE,FALSE,0.0997,0.17,0.27,-0.0234,0.147,-0.123
93,"PC 30:1","704.559425 -> 184.07",0.0899484275748657,0.0307355758440876,0.507651186021895,0.456616498809439,0.218203350022448,0.774271867880463,FALSE,FALSE,FALSE,FALSE,-0.281,0.382,0.101,-0.221,0.161,0.0601
94,"PC 30:2","702.543725 -> 184.07",0.35099010051326,0.021290222179487,0.0983152804912174,0.705515615076003,0.210347395133332,0.404592016571622,FALSE,FALSE,FALSE,FALSE,-0.119,0.343,0.224,-0.154,0.189,-0.0352
95,"PC 32:1","732.590725 -> 184.07",0.139839716250765,0.0589961900462748,0.588727448237978,0.515528506178193,0.280231902719805,0.795958743979583,FALSE,FALSE,FALSE,FALSE,-0.27,0.362,0.0925,-0.211,0.152,0.059
96,"PC 32:2","730.575025 -> 184.07",0.57905085631335,0.0354484554206028,0.0868197087523812,0.824089457073261,0.224506884330484,0.404592016571622,FALSE,FALSE,FALSE,FALSE,-0.0924,0.405,0.312,-0.166,0.239,-0.0733
97,"PC 32:3","728.559425 -> 184.07",0.26365342223995,0.0555455384245776,0.00891987641288913,0.624877114546679,0.280231902719805,0.137700592123976,FALSE,FALSE,FALSE,FALSE,0.101,0.189,0.291,-0.0292,0.16,-0.131
98,"PC 32:4","726.580125 -> 184.07",0.818430991090395,0.506403752146191,0.378315484838209,0.898556583449582,0.702706330225332,0.658055808134068,FALSE,FALSE,FALSE,FALSE,0.0265,0.0777,0.104,-0.0171,0.0606,-0.0435
99,"PC 34:0","762.637625 -> 184.07",0.222430609489242,0.0563994879173725,0.389943929668088,0.578319584672029,0.280231902719805,0.659973895534052,FALSE,FALSE,FALSE,FALSE,-0.167,0.281,0.114,-0.149,0.132,0.0174
100,"PC 34:1","760.622025 -> 184.07",0.0951367979842179,0.0383593538464486,0.573540392276127,0.456616498809439,0.23686901000182,0.795958743979583,FALSE,FALSE,FALSE,FALSE,-0.248,0.325,0.0768,-0.191,0.134,0.057
101,"PC 34:2","758.606325 -> 184.07",0.108587586634809,0.109351212950758,0.996441698062385,0.456616498809439,0.369996569847085,0.996441698062385,FALSE,FALSE,FALSE,FALSE,-0.253,0.252,-0.000643,-0.168,0.0838,0.0844
102,"PC 34:3","756.590725 -> 184.07",0.445671386616887,0.0281125068410653,0.0972436069593586,0.786291660674079,0.218203350022448,0.404592016571622,FALSE,FALSE,FALSE,FALSE,-0.0875,0.293,0.205,-0.127,0.166,-0.0392
103,"PC 34:4","754.611425 -> 184.07",0.345539965661483,0.0925882245713178,0.0196959210176499,0.705515615076003,0.336313109839934,0.20041617632611,FALSE,FALSE,FALSE,FALSE,0.12,0.228,0.347,-0.0361,0.192,-0.156
104,"PC 34:6","750.507425 -> 184.07",0.405508248026371,0.889744872797272,0.337134890273289,0.750389776938437,0.955173348828016,0.630850893162897,FALSE,FALSE,FALSE,FALSE,0.0996,0.0162,0.116,0.0278,0.044,-0.0718
105,"PC 36:0","790.668925 -> 184.07",0.609470645784308,0.0656023466268427,0.147746270117066,0.830931436321746,0.289353207443395,0.413790991516642,FALSE,FALSE,FALSE,FALSE,-0.0604,0.243,0.182,-0.101,0.142,-0.0406
106,"PC 36:1","788.653325 -> 184.07",0.038796660549922,0.00562806721829809,0.232803313965715,0.456616498809439,0.133724047673666,0.547728477510334,FALSE,FALSE,FALSE,FALSE,-0.296,0.45,0.154,-0.249,0.202,0.0471
107,"PC 36:2","786.637625 -> 184.07",0.0121389155558839,0.390363617827831,0.0486443718810448,0.295411163331805,0.625213553545068,0.35338705454759,FALSE,FALSE,FALSE,FALSE,-0.407,0.114,-0.293,-0.174,-0.0595,0.233
