Lipid annotation,MRM transition,Contrast,log2 fold change,p value,BH adjusted p value
Cer(d18:1/20:0(OH),610.577425 -> 264.3,RDH12_100_vs_RDH12_Veh,0.174,0.465979172,0.805775674
Cer(d18:1/20:0(OH),610.577425 -> 264.3,RDH12_200_vs_RDH12_100,-0.112,0.635648318,0.801046605
Cer(d18:1/20:0(OH),610.577425 -> 264.3,RDH12_200_vs_RDH12_Veh,0.0619,0.792241988,0.869705649
Cer(d18:1/22:0),622.613825 -> 264.3,RDH12_100_vs_RDH12_Veh,0.07,0.64469499,0.839608583
Cer(d18:1/22:0),622.613825 -> 264.3,RDH12_200_vs_RDH12_100,0.0522,0.730156327,0.850701003
Cer(d18:1/22:0),622.613825 -> 264.3,RDH12_200_vs_RDH12_Veh,0.122,0.426747951,0.688179628
Cer(d18:1/24:0),650.645125 -> 264.3,RDH12_100_vs_RDH12_Veh,0.0393,0.732272451,0.873787646
Cer(d18:1/24:0),650.645125 -> 264.3,RDH12_200_vs_RDH12_100,0.281,0.033575342,0.207327737
Cer(d18:1/24:0),650.645125 -> 264.3,RDH12_200_vs_RDH12_Veh,0.32,0.01905774,0.183485941
Cer(d18:1/24:1),648.629425 -> 264.3,RDH12_100_vs_RDH12_Veh,0.0809,0.530461914,0.814162794
Cer(d18:1/24:1),648.629425 -> 264.3,RDH12_200_vs_RDH12_100,-0.012,0.924750614,0.967853397
Cer(d18:1/24:1),648.629425 -> 264.3,RDH12_200_vs_RDH12_Veh,0.0688,0.59216285,0.793971778
DG 30:1 NL 16:0,556.49407 -> 283.227291,RDH12_100_vs_RDH12_Veh,0.461,0.223523336,0.598569385
DG 30:1 NL 16:0,556.49407 -> 283.227291,RDH12_200_vs_RDH12_100,-1.12,0.011901479,0.154719225
DG 30:1 NL 16:0,556.49407 -> 283.227291,RDH12_200_vs_RDH12_Veh,-0.656,0.096538707,0.390902632
DG 30:2 NL 16:0,554.47847 -> 281.211691,RDH12_100_vs_RDH12_Veh,0.35,0.534799338,0.814162794
DG 30:2 NL 16:0,554.47847 -> 281.211691,RDH12_200_vs_RDH12_100,-1.32,0.039324192,0.222170001
DG 30:2 NL 16:0,554.47847 -> 281.211691,RDH12_200_vs_RDH12_Veh,-0.966,0.110139859,0.403684265
DG 30:2 NL 16:1,554.47847 -> 283.227341,RDH12_100_vs_RDH12_Veh,0.272,0.333070288,0.728808237
DG 30:2 NL 16:1,554.47847 -> 283.227341,RDH12_200_vs_RDH12_100,-0.534,0.076384289,0.303090773
DG 30:2 NL 16:1,554.47847 -> 283.227341,RDH12_200_vs_RDH12_Veh,-0.262,0.350207253,0.631395558
DG 30:3 NL 16:1,552.46277 -> 281.211641,RDH12_100_vs_RDH12_Veh,0.0777,0.83979913,0.898721274
DG 30:3 NL 16:1,552.46277 -> 281.211641,RDH12_200_vs_RDH12_100,-0.515,0.20197123,0.503908019
DG 30:3 NL 16:1,552.46277 -> 281.211641,RDH12_200_vs_RDH12_Veh,-0.438,0.272225216,0.565038894
DG 32:0 NL 16:0,586.54107 -> 313.274291,RDH12_100_vs_RDH12_Veh,-0.422,0.001941505,0.23977591
DG 32:0 NL 16:0,586.54107 -> 313.274291,RDH12_200_vs_RDH12_100,-0.0642,0.521234791,0.719245773
DG 32:0 NL 16:0,586.54107 -> 313.274291,RDH12_200_vs_RDH12_Veh,-0.486,0.000782479,0.064424064
DG 32:5 NL 18:1,576.46277 -> 277.16277,RDH12_100_vs_RDH12_Veh,0.139,0.610449067,0.834931143
DG 32:5 NL 18:1,576.46277 -> 277.16277,RDH12_200_vs_RDH12_100,-0.479,0.1038872,0.351508745
DG 32:5 NL 18:1,576.46277 -> 277.16277,RDH12_200_vs_RDH12_Veh,-0.34,0.230674619,0.527635881
DG 34:0 NL 16:0,614.57237 -> 341.305591,RDH12_100_vs_RDH12_Veh,0.0369,0.833388714,0.898721274
DG 34:0 NL 16:0,614.57237 -> 341.305591,RDH12_200_vs_RDH12_100,-0.468,0.023281588,0.179872799
DG 34:0 NL 16:0,614.57237 -> 341.305591,RDH12_200_vs_RDH12_Veh,-0.432,0.03297404,0.271486265
DG 34:0 NL 18:0,614.57237 -> 313.27237,RDH12_100_vs_RDH12_Veh,-0.124,0.512933303,0.814162794
DG 34:0 NL 18:0,614.57237 -> 313.27237,RDH12_200_vs_RDH12_100,-0.317,0.115025401,0.373832554
DG 34:0 NL 18:0,614.57237 -> 313.27237,RDH12_200_vs_RDH12_Veh,-0.441,0.038821563,0.309320195
DG 34:0 NL 20:0,614.57237 -> 285.24297,RDH12_100_vs_RDH12_Veh,0.355,0.217650681,0.597480432
DG 34:0 NL 20:0,614.57237 -> 285.24297,RDH12_200_vs_RDH12_100,-0.273,0.333478942,0.628773272
DG 34:0 NL 20:0,614.57237 -> 285.24297,RDH12_200_vs_RDH12_Veh,0.0815,0.767227295,0.858157461
DG 34:1 NL 16:0,612.55667 -> 339.289891,RDH12_100_vs_RDH12_Veh,-0.262,0.078247178,0.482615795
DG 34:1 NL 16:0,612.55667 -> 339.289891,RDH12_200_vs_RDH12_100,-0.121,0.381999024,0.63100758
DG 34:1 NL 16:0,612.55667 -> 339.289891,RDH12_200_vs_RDH12_Veh,-0.383,0.01787513,0.183485941
DG 34:1 NL 16:1,612.55667 -> 341.305541,RDH12_100_vs_RDH12_Veh,0.149,0.624752821,0.834931143
DG 34:1 NL 16:1,612.55667 -> 341.305541,RDH12_200_vs_RDH12_100,-0.238,0.439335456,0.675303303
DG 34:1 NL 16:1,612.55667 -> 341.305541,RDH12_200_vs_RDH12_Veh,-0.0891,0.768651523,0.858157461
DG 34:1 NL 18:1,612.55667 -> 313.25667,RDH12_100_vs_RDH12_Veh,-0.381,0.006021766,0.247896047
DG 34:1 NL 18:1,612.55667 -> 313.25667,RDH12_200_vs_RDH12_100,-0.0811,0.461941537,0.683180336
DG 34:1 NL 18:1,612.55667 -> 313.25667,RDH12_200_vs_RDH12_Veh,-0.462,0.001951587,0.06742574
DG 34:1 NL 20:0,612.55667 -> 283.22727,RDH12_100_vs_RDH12_Veh,0.593,0.237676431,0.620936969
DG 34:1 NL 20:0,612.55667 -> 283.22727,RDH12_200_vs_RDH12_100,-0.251,0.605129475,0.786018495
DG 34:1 NL 20:0,612.55667 -> 283.22727,RDH12_200_vs_RDH12_Veh,0.342,0.483360395,0.747339984
DG 34:2 NL 16:1,610.54107 -> 339.289941,RDH12_100_vs_RDH12_Veh,0.261,0.466501706,0.805775674
DG 34:2 NL 16:1,610.54107 -> 339.289941,RDH12_200_vs_RDH12_100,-0.185,0.602570511,0.786018495
DG 34:2 NL 16:1,610.54107 -> 339.289941,RDH12_200_vs_RDH12_Veh,0.0759,0.82994588,0.885108517
DG 34:2 NL 20:0,610.54107 -> 281.21167,RDH12_100_vs_RDH12_Veh,1.14,0.057694659,0.482615795
DG 34:2 NL 20:0,610.54107 -> 281.21167,RDH12_200_vs_RDH12_100,-0.329,0.543278135,0.737056779
DG 34:2 NL 20:0,610.54107 -> 281.21167,RDH12_200_vs_RDH12_Veh,0.81,0.155628943,0.417829879
DG 34:5 NL 20:4,604.49407 -> 283.22727,RDH12_100_vs_RDH12_Veh,0.124,0.554052197,0.814588646
DG 34:5 NL 20:4,604.49407 -> 283.22727,RDH12_200_vs_RDH12_100,0.0501,0.809642722,0.904894807
