"","name","ID","lipid_class1","lipid_class","contrast","p.val","p.adj","ratio"
"68","[TG50:9","834.75507 -> 563.503941","TG","TG","RDH12_200_vs_RDH12_100",0.779409210699568,0.808,-0.0314
"69","[TG50:9","834.75507 -> 563.503941","TG","TG","RDH12_200_vs_RDH12_Veh",0.338326107891439,1,0.11
"70","CAR 20:1","454.389625 -> 85.1","CAR","CAR","RDH12_100_vs_RDH12_Veh",0.855565107283101,0.989,0.0686
"71","CAR 20:1","454.389625 -> 85.1","CAR","CAR","RDH12_200_vs_RDH12_100",0.367226119286117,0.695,0.349
"72","CAR 20:1","454.389625 -> 85.1","CAR","CAR","RDH12_200_vs_RDH12_Veh",0.285979300499075,1,0.418
"73","CAR 22:0","484.436625 -> 85.1","CAR","CAR","RDH12_100_vs_RDH12_Veh",0.395907263274322,0.982,0.192
"74","CAR 22:0","484.436625 -> 85.1","CAR","CAR","RDH12_200_vs_RDH12_100",0.828366070958295,0.816,0.048
"75","CAR 22:0","484.436625 -> 85.1","CAR","CAR","RDH12_200_vs_RDH12_Veh",0.294967064559026,1,0.24
"76","Cer(d14:1/16:0)","482.457325 -> 208.3","Cer","Cer","RDH12_100_vs_RDH12_Veh",0.0408273292418415,0.896,0.302
"77","Cer(d14:1/16:0)","482.457325 -> 208.3","Cer","Cer","RDH12_200_vs_RDH12_100",0.133638023144019,0.478,-0.206
"78","Cer(d14:1/16:0)","482.457325 -> 208.3","Cer","Cer","RDH12_200_vs_RDH12_Veh",0.462661659917794,1,0.0952
"79","Cer(d14:1/20:0)","538.519925 -> 208.3","Cer","Cer","RDH12_100_vs_RDH12_Veh",0.180696648512086,0.968,0.548
"80","Cer(d14:1/20:0)","538.519925 -> 208.3","Cer","Cer","RDH12_200_vs_RDH12_100",0.782142404373828,0.808,-0.107
"81","Cer(d14:1/20:0)","538.519925 -> 208.3","Cer","Cer","RDH12_200_vs_RDH12_Veh",0.271401090464105,1,0.441
"82","Cer(d14:1/24:0(2OH))","610.577425 -> 208.3","Cer","Cer","RDH12_100_vs_RDH12_Veh",0.125457690758812,0.958,0.332
"83","Cer(d14:1/24:0(2OH))","610.577425 -> 208.3","Cer","Cer","RDH12_200_vs_RDH12_100",0.559304716188992,0.763,-0.118
"84","Cer(d14:1/24:0(2OH))","610.577425 -> 208.3","Cer","Cer","RDH12_200_vs_RDH12_Veh",0.301811491510336,1,0.214
"85","Cer(d14:2/16:0)","480.441625 -> 206.3","Cer","Cer","RDH12_100_vs_RDH12_Veh",0.0327828507325014,0.874,0.55
"86","Cer(d14:2/16:0)","480.441625 -> 206.3","Cer","Cer","RDH12_200_vs_RDH12_100",0.08010315966856,0.353,-0.427
"87","Cer(d14:2/16:0)","480.441625 -> 206.3","Cer","Cer","RDH12_200_vs_RDH12_Veh",0.57937848748091,1,0.123
"88","Cer(d14:2/20:0)","536.504225 -> 206.3","Cer","Cer","RDH12_100_vs_RDH12_Veh",0.171079472558085,0.967,0.598
"89","Cer(d14:2/20:0)","536.504225 -> 206.3","Cer","Cer","RDH12_200_vs_RDH12_100",0.374151640449075,0.698,-0.374
"90","Cer(d14:2/20:0)","536.504225 -> 206.3","Cer","Cer","RDH12_200_vs_RDH12_Veh",0.588311218818447,1,0.224
"91","Cer(d18:0/20:0(2OH))","612.593125 -> 266.3","Cer","Cer","RDH12_100_vs_RDH12_Veh",0.105319844498011,0.952,0.836
"92","Cer(d18:0/20:0(2OH))","612.593125 -> 266.3","Cer","Cer","RDH12_200_vs_RDH12_100",0.184225859280561,0.554,-0.665
"93","Cer(d18:0/20:0(2OH))","612.593125 -> 266.3","Cer","Cer","RDH12_200_vs_RDH12_Veh",0.718029777489105,1,0.171
"94","Cer(d18:0/20:0)","596.598125 -> 266.3","Cer","Cer","RDH12_100_vs_RDH12_Veh",0.303623062417598,0.978,0.189
"95","Cer(d18:0/20:0)","596.598125 -> 266.3","Cer","Cer","RDH12_200_vs_RDH12_100",0.364355764404282,0.693,-0.166
"96","Cer(d18:0/20:0)","596.598125 -> 266.3","Cer","Cer","RDH12_200_vs_RDH12_Veh",0.893780694681421,1,0.0237
"97","Cer(d18:1/16:0)","538.519925 -> 264.3","Cer","Cer","RDH12_100_vs_RDH12_Veh",0.0969856977133084,0.949,0.259
"98","Cer(d18:1/16:0)","538.519925 -> 264.3","Cer","Cer","RDH12_200_vs_RDH12_100",0.427721876769644,0.721,0.115
"99","Cer(d18:1/16:0)","538.519925 -> 264.3","Cer","Cer","RDH12_200_vs_RDH12_Veh",0.0267039789852275,1,0.374
"100","Cer(d18:1/18:0)","566.551225 -> 264.3","Cer","Cer","RDH12_100_vs_RDH12_Veh",0.952381497299811,0.99,0.00948
"101","Cer(d18:1/18:0)","566.551225 -> 264.3","Cer","Cer","RDH12_200_vs_RDH12_100",0.271579485679082,0.637,0.182
"102","Cer(d18:1/18:0)","566.551225 -> 264.3","Cer","Cer","RDH12_200_vs_RDH12_Veh",0.249307284137037,1,0.191
"103","Cer(d18:1/20:0(OH)","610.577425 -> 264.3","Cer","Cer","RDH12_100_vs_RDH12_Veh",0.746278895565188,0.988,0.0637
"104","Cer(d18:1/20:0(OH)","610.577425 -> 264.3","Cer","Cer","RDH12_200_vs_RDH12_100",0.835363788636367,0.817,0.0408
"105","Cer(d18:1/20:0(OH)","610.577425 -> 264.3","Cer","Cer","RDH12_200_vs_RDH12_Veh",0.597608836993538,1,0.105
"106","Cer(d18:1/22:0)","622.613825 -> 264.3","Cer","Cer","RDH12_100_vs_RDH12_Veh",0.789478972289067,0.988,-0.045
"107","Cer(d18:1/22:0)","622.613825 -> 264.3","Cer","Cer","RDH12_200_vs_RDH12_100",0.295511914126358,0.654,0.182
"108","Cer(d18:1/22:0)","622.613825 -> 264.3","Cer","Cer","RDH12_200_vs_RDH12_Veh",0.42338030105788,1,0.137
"109","Cer(d18:1/24:0)","650.645125 -> 264.3","Cer","Cer","RDH12_100_vs_RDH12_Veh",0.968753788252779,0.99,0.00355
"110","Cer(d18:1/24:0)","650.645125 -> 264.3","Cer","Cer","RDH12_200_vs_RDH12_100",0.00744378202300184,0.0681,0.314
"111","Cer(d18:1/24:0)","650.645125 -> 264.3","Cer","Cer","RDH12_200_vs_RDH12_Veh",0.00702428890622413,1,0.318
"112","Cer(d18:1/24:1)","648.629425 -> 264.3","Cer","Cer","RDH12_100_vs_RDH12_Veh",0.784276918460894,0.988,0.035
"113","Cer(d18:1/24:1)","648.629425 -> 264.3","Cer","Cer","RDH12_200_vs_RDH12_100",0.658159551712579,0.786,0.0567
"114","Cer(d18:1/24:1)","648.629425 -> 264.3","Cer","Cer","RDH12_200_vs_RDH12_Veh",0.479101864629644,1,0.0917
"115","DG 30:2 NL 16:0","554.47847 -> 281.211691","DG","DG","RDH12_100_vs_RDH12_Veh",0.429724456185651,0.983,0.428
"116","DG 30:2 NL 16:0","554.47847 -> 281.211691","DG","DG","RDH12_200_vs_RDH12_100",0.0251888851914107,0.179,-1.42
"117","DG 30:2 NL 16:0","554.47847 -> 281.211691","DG","DG","RDH12_200_vs_RDH12_Veh",0.0909564322635604,1,-0.99
"118","DG 30:2 NL 16:1","554.47847 -> 283.227341","DG","DG","RDH12_100_vs_RDH12_Veh",0.238651360087229,0.974,0.325
"119","DG 30:2 NL 16:1","554.47847 -> 283.227341","DG","DG","RDH12_200_vs_RDH12_100",0.0485012518955676,0.242,-0.595
"120","DG 30:2 NL 16:1","554.47847 -> 283.227341","DG","DG","RDH12_200_vs_RDH12_Veh",0.321399934954788,1,-0.27
"121","DG 30:3 NL 16:1","552.46277 -> 281.211641","DG","DG","RDH12_100_vs_RDH12_Veh",0.670952111121936,0.987,0.164
"122","DG 30:3 NL 16:1","552.46277 -> 281.211641","DG","DG","RDH12_200_vs_RDH12_100",0.129119416097308,0.47,-0.63
"123","DG 30:3 NL 16:1","552.46277 -> 281.211641","DG","DG","RDH12_200_vs_RDH12_Veh",0.245726922650197,1,-0.466
"124","DG 32:0 NL 16:0","586.54107 -> 313.274291","DG","DG","RDH12_100_vs_RDH12_Veh",0.00270988684855942,0.198,-0.419
"125","DG 32:0 NL 16:0","586.54107 -> 313.274291","DG","DG","RDH12_200_vs_RDH12_100",0.52046267420196,0.752,-0.0655
"126","DG 32:0 NL 16:0","586.54107 -> 313.274291","DG","DG","RDH12_200_vs_RDH12_Veh",0.00114395929866744,1,-0.485
"127","DG 32:5 NL 18:1","576.46277 -> 277.16277","DG","DG","RDH12_100_vs_RDH12_Veh",0.583055101547994,0.986,0.148
"128","DG 32:5 NL 18:1","576.46277 -> 277.16277","DG","DG","RDH12_200_vs_RDH12_100",0.101284164075167,0.41,-0.48
"129","DG 32:5 NL 18:1","576.46277 -> 277.16277","DG","DG","RDH12_200_vs_RDH12_Veh",0.235908825848874,1,-0.332
"130","DG 34:0 NL 16:0","614.57237 -> 341.305591","DG","DG","RDH12_100_vs_RDH12_Veh",0.783805004008644,0.988,0.046
"131","DG 34:0 NL 16:0","614.57237 -> 341.305591","DG","DG","RDH12_200_vs_RDH12_100",0.0203401429200151,0.154,-0.47
"132","DG 34:0 NL 16:0","614.57237 -> 341.305591","DG","DG","RDH12_200_vs_RDH12_Veh",0.0313974006530508,1,-0.424
"133","DG 34:0 NL 18:0","614.57237 -> 313.27237","DG","DG","RDH12_100_vs_RDH12_Veh",0.495656093989929,0.984,-0.137
"134","DG 34:0 NL 18:0","614.57237 -> 313.27237","DG","DG","RDH12_200_vs_RDH12_100",0.149285282270005,0.505,-0.306
"135","DG 34:0 NL 18:0","614.57237 -> 313.27237","DG","DG","RDH12_200_vs_RDH12_Veh",0.0500626243495281,1,-0.443
"136","DG 34:0 NL 20:0","614.57237 -> 285.24297","DG","DG","RDH12_100_vs_RDH12_Veh",0.101628974709145,0.951,1.6
"137","DG 34:0 NL 20:0","614.57237 -> 285.24297","DG","DG","RDH12_200_vs_RDH12_100",0.716283362622697,0.797,-0.325
"138","DG 34:0 NL 20:0","614.57237 -> 285.24297","DG","DG","RDH12_200_vs_RDH12_Veh",0.178675985679361,1,1.27
"139","DG 34:1 NL 16:0","612.55667 -> 339.289891","DG","DG","RDH12_100_vs_RDH12_Veh",0.0781702217316083,0.94,-0.265
"140","DG 34:1 NL 16:0","612.55667 -> 339.289891","DG","DG","RDH12_200_vs_RDH12_100",0.387330747072015,0.704,-0.12
"141","DG 34:1 NL 16:0","612.55667 -> 339.289891","DG","DG","RDH12_200_vs_RDH12_Veh",0.0191152938397793,1,-0.385
"142","DG 34:1 NL 16:1","612.55667 -> 341.305541","DG","DG","RDH12_100_vs_RDH12_Veh",0.56615085996922,0.985,0.19
"143","DG 34:1 NL 16:1","612.55667 -> 341.305541","DG","DG","RDH12_200_vs_RDH12_100",0.383081551856799,0.702,-0.293
"144","DG 34:1 NL 16:1","612.55667 -> 341.305541","DG","DG","RDH12_200_vs_RDH12_Veh",0.753655607703529,1,-0.103
"145","DG 34:1 NL 18:1","612.55667 -> 313.25667","DG","DG","RDH12_100_vs_RDH12_Veh",0.00544888459139589,0.433,-0.39
"146","DG 34:1 NL 18:1","612.55667 -> 313.25667","DG","DG","RDH12_200_vs_RDH12_100",0.536681100713304,0.757,-0.0664
"147","DG 34:1 NL 18:1","612.55667 -> 313.25667","DG","DG","RDH12_200_vs_RDH12_Veh",0.00226444793806132,1,-0.457
"148","DG 34:1 NL 20:0","612.55667 -> 283.22727","DG","DG","RDH12_100_vs_RDH12_Veh",0.1010861790079,0.951,2.91
"149","DG 34:1 NL 20:0","612.55667 -> 283.22727","DG","DG","RDH12_200_vs_RDH12_100",0.817183883275889,0.814,-0.375
"150","DG 34:1 NL 20:0","612.55667 -> 283.22727","DG","DG","RDH12_200_vs_RDH12_Veh",0.145026204116548,1,2.54
"151","DG 34:2 NL 16:1","610.54107 -> 339.289941","DG","DG","RDH12_100_vs_RDH12_Veh",0.429343985602287,0.983,0.315
"152","DG 34:2 NL 16:1","610.54107 -> 339.289941","DG","DG","RDH12_200_vs_RDH12_100",0.50714907634307,0.748,-0.263
"153","DG 34:2 NL 16:1","610.54107 -> 339.289941","DG","DG","RDH12_200_vs_RDH12_Veh",0.89348319350307,1,0.0523
"154","DG 34:2 NL 20:0","610.54107 -> 281.21167","DG","DG","RDH12_100_vs_RDH12_Veh",0.110471705758245,0.954,3.63
"155","DG 34:2 NL 20:0","610.54107 -> 281.21167","DG","DG","RDH12_200_vs_RDH12_100",0.825152703588749,0.815,-0.461
"156","DG 34:2 NL 20:0","610.54107 -> 281.21167","DG","DG","RDH12_200_vs_RDH12_Veh",0.155680155591418,1,3.17
"157","DG 34:5 NL 20:4","604.49407 -> 283.22727","DG","DG","RDH12_100_vs_RDH12_Veh",0.496035195651746,0.984,0.158
"158","DG 34:5 NL 20:4","604.49407 -> 283.22727","DG","DG","RDH12_200_vs_RDH12_100",0.986258451024928,0.836,0.00392
"159","DG 34:5 NL 20:4","604.49407 -> 283.22727","DG","DG","RDH12_200_vs_RDH12_Veh",0.485701363727649,1,0.161
"160","DG 36:0 NL 16:0","642.60367 -> 369.336891","DG","DG","RDH12_100_vs_RDH12_Veh",0.681184846616204,0.987,0.0407
"161","DG 36:0 NL 16:0","642.60367 -> 369.336891","DG","DG","RDH12_200_vs_RDH12_100",0.751044066028387,0.803,-0.0314
"162","DG 36:0 NL 16:0","642.60367 -> 369.336891","DG","DG","RDH12_200_vs_RDH12_Veh",0.924457986894719,1,0.00935
"163","DG 36:0 NL 18:0","642.50977 -> 341.20977","DG","DG","RDH12_100_vs_RDH12_Veh",0.831358959004074,0.989,-0.12
