"Lipid annotation","MRM transition","Precursor m/z","Product m/z","Lipid class","RDH12_Veh_rep1","RDH12_Veh_rep2","RDH12_Veh_rep3","RDH12_100_rep1","RDH12_100_rep2","RDH12_100_rep3","RDH12_200_rep1","RDH12_200_rep2","RDH12_200_rep3"
"SM(36:2;O2)","729.591025 -> 184.1","729","184","SM","2217.38015","1868.560112","2010.340149","1831.720119","1721.260124","1692.240124","2213.200138","1944.840126","2411.600151"
"SM(36:1;O2)","731.606725 -> 184.1","731","184","SM","6386.8204","4748.480309","5915.400318","4850.120296","5196.160297","5822.120358","7020.280594","5350.54034","7099.480515"
"SM(36:0;O2)","733.622325 -> 184.1","733","184","SM","30328.08185","19319.44162","25685.34255","16736.10121","18548.20134","22124.32159","26935.14167","25122.76228","29858.44209"
"SM(38:2;O2)","757.622325 -> 184.1","757","184","SM","2442.520149","2035.140156","2767.500187","1889.920143","2038.000126","2470.560154","2450.2202","2605.100155","2561.460148"
"SM(38:1;O2)","759.638025 -> 184.1","759","184","SM","15863.46125","9271.960617","13517.20101","8950.180504","12164.12098","12086.78106","13006.02083","12382.86092","13159.20087"
"SM(38:0;O2)","761.653625 -> 184.1","761","184","SM","61296.56454","40987.08287","53577.48423","36353.9419","46538.84361","47126.30378","53614.24399","49660.56337","61630.42381"
"SM(40:3;O2)","783.638025 -> 184.1","783","184","SM","3994.760292","2733.18018","3895.880222","3070.280243","2995.020195","3265.940208","3193.640236","3205.460201","3896.120266"
"SM(40:2;O2)","785.653625 -> 184.1","785","184","SM","5437.860485","4437.280243","5087.240353","3878.08028","4058.060314","4096.720295","4613.260334","3875.860237","5015.880363"
"SM(40:1;O2)","787.669325 -> 184.1","787","184","SM","23217.0019","14636.141","21007.20129","12867.46106","15867.74097","16224.54127","16577.14117","14734.201","19817.50134"
"SM(40:0;O2)","789.684925 -> 184.1","789","184","SM","10886.88087","8484.620724","9665.900784","6657.80043","7382.960514","8051.000523","10132.14074","9218.240822","11944.52088"
"SM(42:3;O2)","811.669325 -> 184.1","811","184","SM","3433.420254","2979.520206","3678.260284","2982.320229","3212.600246","3607.760235","3359.100212","4068.620281","3155.040195"
"SM(42:2;O2)","813.684925 -> 184.1","813","184","SM","5639.980473","4842.020412","5723.700405","4658.000286","5458.460365","5347.320435","5610.080395","6064.78046","6402.180477"
"SM(42:1;O2)","815.700625 -> 184.1","815","184","SM","6174.500404","4197.080269","5291.920383","3672.860252","3855.480228","4353.500401","5073.020309","4662.500359","5151.90041"
"SM(42:0;O2)","817.716225 -> 184.1","817","184","SM","1749.620121","2040.980156","2271.720158","1767.400124","1852.060116","2064.78014","2159.060169","2074.160164","2424.260174"
"SM(44:1;O2)","843.731925 -> 184.1","843","184","SM","1664.100113","1446.500107","1365.260094","1429.520096","1581.760109","1471.460102","1704.640118","1625.980122","1460.8601"
"[TG24:2]","484.36377 -> 323.222191","484","323","TG","1510.780098","2365.000168","1539.980095","1471.920101","1394.44009","2087.020134","1661.600121","1329.780087","1626.640118"
"[TG34:2] NL 20:0","624.52027 -> 295.190891","624","295","TG","1862.920124","2041.220135","1808.800137","2059.380146","2136.660156","1838.52013","1822.180134","2415.660191","1901.140118"
"DG 38:0 NL 20:0","670.59857 -> 341.269191","670","341","DG","2237.080158","1916.86013","3840.860287","3098.48024","2554.900169","2850.320183","3058.320213","5947.920399","3999.340324"
"[TG38:0] NL 20:0","684.61417 -> 355.284791","684","355","TG","67741.62452","100398.5468","137801.5088","128810.8504","104922.3674","132136.8903","74855.3654","337214.6414","147326.571"
"[TG44:5] NL 20:0","758.62987 -> 429.300491","758","429","TG","14561.76107","14792.76104","17596.84131","17430.44151","13953.12108","24935.18157","15454.76114","41572.68323","25791.92182"
"[TG44:4] NL 20:0","760.64547 -> 431.316091","760","431","TG","5048.540276","5066.340347","6388.000416","7272.960548","5399.440384","8000.480709","4527.080318","12722.78092","9367.800568"
"[TG44:1]","766.69247 -> 577.519591","766","577","TG","2074.94014","1746.76012","2037.440151","1446.920105","1676.82011","1766.720127","1821.180145","1714.400124","1920.880119"
"[TG46:0] NL 16:0","796.73937 -> 523.472591","796","523","TG","3159.720234","2938.020206","3122.180191","2659.120193","0","2700.540184","2825.240185","2824.720203","2550.340195"
