"Gene","Pathway","ratio","padj","ratio_display","padj_display","sig","pass_fc","pathway_highlight","sig_other","plot_group","label"
"CD99L2",NA,-0.0726,0.999934611520757,"-0.07","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDAN1",NA,0.461,0.876965481423439,"0.46","0.877",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDC123",NA,0.267,0.851603075225538,"0.27","0.852",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDC16",NA,-0.0492,0.999934611520757,"-0.05","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDC20",NA,0.182,0.999934611520757,"0.18","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDC23",NA,-0.201,0.999934611520757,"-0.20","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDC25C",NA,0.331,0.999934611520757,"0.33","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDC26",NA,0.611,0.967013636883206,"0.61","0.967",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDC27",NA,-0.0305,0.999934611520757,"-0.03","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDC34",NA,-0.0488,0.999934611520757,"-0.05","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDC37",NA,0.377,0.887776306129875,"0.38","0.888",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDC40",NA,-0.373,0.728307594808429,"-0.37","0.728",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDC42",NA,0.361,0.999934611520757,"0.36","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDC42BPA",NA,-0.0401,0.999934611520757,"-0.04","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDC42BPB",NA,0.0331,0.999934611520757,"0.03","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDC42EP4",NA,0.35,0.984586593779857,"0.35","0.985",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDC42SE1",NA,0.424,0.999934611520757,"0.42","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDC45",NA,-0.184,0.999934611520757,"-0.18","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDC5L",NA,0.193,0.999934611520757,"0.19","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDC6",NA,0.189,0.999934611520757,"0.19","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDC7",NA,0.215,0.945411469758957,"0.21","0.945",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDC73",NA,0.0876,0.999934611520757,"0.09","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDCA2",NA,-0.0374,0.999934611520757,"-0.04","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDCA3",NA,0.531,0.999934611520757,"0.53","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDCA5",NA,0.221,0.999934611520757,"0.22","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDCA7",NA,-0.0724,0.999934611520757,"-0.07","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDCA8",NA,0.0849,0.999934611520757,"0.08","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDH2",NA,-0.0853,0.999934611520757,"-0.09","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDIPT","Lipid synthesis",-0.457,0.455169444813921,"-0.46","0.455",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDK1",NA,0.0962,0.999934611520757,"0.10","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDK11B",NA,-0.0134,0.999934611520757,"-0.01","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDK12",NA,0.199,0.999934611520757,"0.20","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDK13",NA,0.013,0.999934611520757,"0.01","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
