"Gene","Pathway","ratio","padj","ratio_display","padj_display","sig","pass_fc","pathway_highlight","sig_other","plot_group","label"
"ARSK",NA,0.589,0.345082591490864,"0.59","0.345",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARV1",NA,-0.208,0.893124140418,"-0.21","0.893",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARVCF",NA,0.388,0.349661681411713,"0.39","0.350",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AS3MT",NA,0.0704,0.921386136672414,"0.07","0.921",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ASAH1",NA,-0.343,0.69841833659719,"-0.34","0.698",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ASAP1",NA,-0.86,0.0163999126852392,"-0.86","0.016",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ASB3",NA,0.188,0.849552312187468,"0.19","0.850",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ASB6",NA,-0.697,0.0228045220675406,"-0.70","0.023",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ASCC1",NA,0.188,0.579603700118663,"0.19","0.580",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ASCC2",NA,-0.4,0.0722239975931551,"-0.40","0.072",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ASCC3",NA,0.447,0.335841006975126,"0.45","0.336",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ASDURF",NA,-1.82,0.000588315834663186,"-1.82","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ASF1A",NA,-0.597,0.103509605293649,"-0.60","0.104",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ASF1B",NA,-0.6,0.0228846084669449,"-0.60","0.023",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ASH1L",NA,-0.0523,0.972444055884843,"-0.05","0.972",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ASH2L",NA,0.282,0.466324332724854,"0.28","0.466",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ASMTL",NA,-0.172,0.878634309099793,"-0.17","0.879",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ASNS",NA,-0.626,0.0768046716657434,"-0.63","0.077",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ASPH",NA,0.609,0.00781284999593023,"0.61","<0.01",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ASPM",NA,0.459,0.188327407050563,"0.46","0.188",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ASPSCR1",NA,-0.605,0.00136216839744945,"-0.60","<0.01",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ASRGL1",NA,-1.35,0.0180806358906857,"-1.35","0.018",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ASS1",NA,-0.313,0.362282018496145,"-0.31","0.362",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ASXL1",NA,-0.641,0.0782100640468434,"-0.64","0.078",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ASXL2",NA,-0.556,0.163378068836043,"-0.56","0.163",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATAD1",NA,0.796,0.0201890110760869,"0.80","0.020",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ATAD2",NA,0.382,0.270568883822684,"0.38","0.271",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATAD2B",NA,0.641,0.0955903357897275,"0.64","0.096",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATAD3A",NA,0.827,0.0803596651176425,"0.83","0.080",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATAD3B",NA,0.656,0.151883579040412,"0.66","0.152",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATAT1",NA,-0.519,0.0851559457594272,"-0.52","0.085",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATE1",NA,-0.199,0.461698571653106,"-0.20","0.462",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATF1",NA,-0.372,0.61373092650915,"-0.37","0.614",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATF2",NA,-1.15,0.00379994478832901,"-1.15","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ATF6",NA,-0.469,0.15967734718709,"-0.47","0.160",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATF6B",NA,0.144,0.673229104500868,"0.14","0.673",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATF7",NA,-0.789,0.122490206781338,"-0.79","0.122",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATF7IP",NA,-0.649,0.0971578208252238,"-0.65","0.097",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATG101",NA,-0.0185,0.974467783771744,"-0.02","0.974",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATG13",NA,-0.237,0.587880461399799,"-0.24","0.588",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATG14",NA,0.326,0.771638410113826,"0.33","0.772",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATG16L1",NA,-0.649,0.0721093503101623,"-0.65","0.072",FALSE,FALSE,FALSE,FALSE,"NS",NA
