"Gene","Pathway","ratio","padj","ratio_display","padj_display","sig","pass_fc","pathway_highlight","sig_other","plot_group","label"
"BDH2",NA,-0.717,0.0110488217968092,"-0.72","0.011",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BDP1",NA,-0.949,0.00366902792693541,"-0.95","<0.01",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BECN1",NA,-0.34,0.494328665980384,"-0.34","0.494",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BEND3",NA,0.317,0.228465125908433,"0.32","0.228",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BEND7",NA,0.937,0.0129576128061952,"0.94","0.013",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BET1",NA,0.177,0.426883590138399,"0.18","0.427",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BET1L",NA,-0.851,0.0164754567624559,"-0.85","0.016",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BHLHE40",NA,-0.861,0.20304630459309,"-0.86","0.203",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BHLHE41",NA,-0.766,0.763563913371932,"-0.77","0.764",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BICD1",NA,-2.54,0.0393501812085297,"-2.54","0.039",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BICD2",NA,-1.1,0.00689064598839262,"-1.10","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BICRA",NA,-0.448,0.0344947399168994,"-0.45","0.034",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BIN1",NA,-1.37,0.000738680589418898,"-1.37","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BIN3",NA,-1.04,0.00897104424989357,"-1.04","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BIRC5",NA,-0.565,0.236461460872185,"-0.56","0.236",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BIRC6",NA,0.352,0.466514932927976,"0.35","0.467",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BLMH",NA,-0.879,0.121867786696954,"-0.88","0.122",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BLOC1S1",NA,-1.64,0.000947732921578432,"-1.64","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BLOC1S2",NA,-1.3,0.00397554045620578,"-1.30","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BLOC1S3",NA,-0.193,0.627461681508247,"-0.19","0.627",FALSE,FALSE,FALSE,FALSE,"NS",NA
