"Gene","Pathway","ratio","padj","ratio_display","padj_display","sig","pass_fc","pathway_highlight","sig_other","plot_group","label"
"COLEC12",NA,-1.16,0.00156288940020981,"-1.16","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"COMMD3",NA,-1.33,0.000369410747790052,"-1.33","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"COMMD5",NA,-5.31,0.000257636752203267,"-5.31","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"COMMD8",NA,-4.71,5.76452344345118e-08,"-4.71","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"COMMD9",NA,-1.01,0.000206733098928962,"-1.01","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"COQ9",NA,0.283,0.373971734134338,"0.28","0.374",FALSE,FALSE,FALSE,FALSE,"NS",NA
"COX6A1",NA,-1.25,0.0406037064698593,"-1.25","0.041",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CPNE8",NA,0.385,0.0893012041602628,"0.38","0.089",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CRABP2",NA,-0.0176,0.982826499721941,"-0.02","0.983",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CRBN",NA,-0.219,0.663975117456344,"-0.22","0.664",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CREM","Lipid synthesis",1.55,0.423839122560696,"1.55","0.424",FALSE,TRUE,FALSE,FALSE,"NS",NA
"CRIM1",NA,-0.306,0.657055997639691,"-0.31","0.657",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CRYGD",NA,0.62,0.704945210983425,"0.62","0.705",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CSPG4",NA,0.466,0.567604914185914,"0.47","0.568",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CSPG5",NA,1.81,0.425322424260727,"1.81","0.425",FALSE,TRUE,FALSE,FALSE,"NS",NA
"CUL7",NA,0.439,0.619531535715302,"0.44","0.620",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CWC22",NA,0.272,0.23934421903062,"0.27","0.239",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CYBA",NA,-0.179,0.82351684261702,"-0.18","0.824",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CYBC1",NA,1.04,0.00350779260124907,"1.04","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CYLD",NA,0.248,0.780555917722081,"0.25","0.781",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CYREN",NA,-3.8,0.000176524269459296,"-3.80","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CYSTM1",NA,-0.251,0.937353147246376,"-0.25","0.937",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DACT1",NA,-3.45,0.00555714846708272,"-3.45","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"DBP",NA,0.445,0.681234331775598,"0.44","0.681",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DCBLD1",NA,6.26,3.01293680283686e-05,"6.26","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"DCTD",NA,-0.336,0.356421808680778,"-0.34","0.356",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DDIT4",NA,1.2,0.0929077471896149,"1.20","0.093",FALSE,TRUE,FALSE,FALSE,"NS",NA
"DDR2",NA,-0.174,0.663704613707563,"-0.17","0.664",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DDX19A",NA,-0.274,0.631001366154064,"-0.27","0.631",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DDX28",NA,-0.345,0.172661727857973,"-0.34","0.173",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DGCR2",NA,-0.611,0.104024125439518,"-0.61","0.104",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DGCR6",NA,-4.31,1.61745983142352e-06,"-4.31","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"DGCR6L",NA,-3.91,3.43513139961008e-05,"-3.91","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"DHDDS",NA,-1.03,0.760448574177325,"-1.03","0.760",FALSE,TRUE,FALSE,FALSE,"NS",NA
"DHRS13",NA,0.992,0.397349032414165,"0.99","0.397",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DKK1",NA,-0.859,0.195239826275443,"-0.86","0.195",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DLX1",NA,2.05,0.28007046153357,"2.05","0.280",FALSE,TRUE,FALSE,FALSE,"NS",NA
"DLX6",NA,0.539,0.393035924343035,"0.54","0.393",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DMTN",NA,-0.548,0.322957612375474,"-0.55","0.323",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DNA2",NA,-0.101,0.875878714219422,"-0.10","0.876",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DNAJB5",NA,0.757,0.755065100411601,"0.76","0.755",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DNAL4",NA,-2.42,4.18005890126975e-07,"-2.42","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"DNLZ",NA,0.37,0.571794535823061,"0.37","0.572",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DOLK",NA,-5.43,1.44441572585594e-06,"-5.43","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"DPH7",NA,0.0327,0.981923044035169,"0.03","0.982",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DPM3",NA,-0.478,0.166362812127653,"-0.48","0.166",FALSE,FALSE,FALSE,FALSE,"NS",NA
"EDIL3",NA,4.16,0.00162540147529622,"4.16","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"EEF1AKMT1",NA,-0.945,0.530738844125428,"-0.94","0.531",FALSE,FALSE,FALSE,FALSE,"NS",NA
"EEF1G",NA,-0.369,0.0983439439664227,"-0.37","0.098",FALSE,FALSE,FALSE,FALSE,"NS",NA
"EFNA5",NA,0.36,0.709600149629125,"0.36","0.710",FALSE,FALSE,FALSE,FALSE,"NS",NA
"EFR3A","Lipid synthesis",0.0984,0.929136608277665,"0.10","0.929",FALSE,FALSE,FALSE,FALSE,"NS",NA
"EFR3B","Lipid synthesis",3.72,0.0917489369911829,"3.72","0.092",FALSE,TRUE,FALSE,FALSE,"NS",NA
"EGLN3",NA,0.919,0.687819856533684,"0.92","0.688",FALSE,FALSE,FALSE,FALSE,"NS",NA
"EGR1",NA,1.52,0.0842574286082127,"1.52","0.084",FALSE,TRUE,FALSE,FALSE,"NS",NA
"EHD3",NA,-4.83,0.00106437451603668,"-4.83","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"EIF1",NA,-2.2,0.000112156671669828,"-2.20","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"EIF1B",NA,-1.62,0.000136831207221332,"-1.62","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"EIF3C","Translation/Ribosome",6.62,8.8346706840937e-07,"6.62","<0.001",TRUE,TRUE,TRUE,FALSE,"Translation/Ribosome","EIF3C"
"EIF4ENIF1",NA,-1.31,0.000380676151676315,"-1.31","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"EIF5",NA,-0.875,0.00241836949247876,"-0.88","<0.01",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ELOF1",NA,-1.11,0.283746384015417,"-1.11","0.284",FALSE,TRUE,FALSE,FALSE,"NS",NA
