"Gene","Pathway","ratio","padj","ratio_display","padj_display","sig","pass_fc","pathway_highlight","sig_other","plot_group","label"
"CYSTM1",NA,-4.5,0.172116076938989,"-4.50","0.172",FALSE,TRUE,FALSE,FALSE,"NS",NA
"DACT1",NA,0.242,0.961166562645478,"0.24","0.961",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DBP",NA,2.27,0.0708768523087024,"2.27","0.071",FALSE,TRUE,FALSE,FALSE,"NS",NA
"DCBLD1",NA,-1.49,0.542345809900522,"-1.49","0.542",FALSE,TRUE,FALSE,FALSE,"NS",NA
"DCTD",NA,-0.212,0.81533140675876,"-0.21","0.815",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DDIT4",NA,-0.684,0.663986169717532,"-0.68","0.664",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DDR2",NA,-0.186,0.835436228448749,"-0.19","0.835",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DDX19A",NA,0.013,0.995554326598971,"0.01","0.996",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DDX28",NA,0.442,0.28341588335964,"0.44","0.283",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DGCR2",NA,-0.438,0.560656133162888,"-0.44","0.561",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DGCR6",NA,0.417,0.81533140675876,"0.42","0.815",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DGCR6L",NA,0.718,0.67115302047449,"0.72","0.671",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DHDDS",NA,-2.86,0.60957815905012,"-2.86","0.610",FALSE,TRUE,FALSE,FALSE,"NS",NA
"DHRS13",NA,-0.469,0.882707492038362,"-0.47","0.883",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DKK1",NA,-1.91,0.0251765458978265,"-1.91","0.025",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"DLX1",NA,-0.872,0.866697009838121,"-0.87","0.867",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DLX6",NA,0.0517,0.987885709577048,"0.05","0.988",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DMTN",NA,0.524,0.645824894040314,"0.52","0.646",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DNA2",NA,-0.0826,0.966286310665084,"-0.08","0.966",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DNAJB5",NA,0.76,0.894368889025858,"0.76","0.894",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DNAL4",NA,0.206,0.82145088516114,"0.21","0.821",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DNLZ",NA,-5,3.64422246568244e-08,"-5.00","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"DOLK",NA,0.105,0.981692480747215,"0.10","0.982",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DPH7",NA,0.193,0.96235724341928,"0.19","0.962",FALSE,FALSE,FALSE,FALSE,"NS",NA
"DPM3",NA,0.482,0.458198993120899,"0.48","0.458",FALSE,FALSE,FALSE,FALSE,"NS",NA
"EDIL3",NA,1.56,0.499940923650687,"1.56","0.500",FALSE,TRUE,FALSE,FALSE,"NS",NA
"EEF1AKMT1",NA,5.7,0.00057207577619759,"5.70","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"EEF1G",NA,-0.298,0.495678063885283,"-0.30","0.496",FALSE,FALSE,FALSE,FALSE,"NS",NA
"EFNA5",NA,5.12,2.81135203116522e-06,"5.12","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"EFR3A","Lipid synthesis",0.0417,0.991515217541184,"0.04","0.992",FALSE,FALSE,FALSE,FALSE,"NS",NA
"EFR3B","Lipid synthesis",1.07,0.863306023117719,"1.07","0.863",FALSE,TRUE,FALSE,FALSE,"NS",NA
"EGLN3",NA,4.73,0.0724710897766199,"4.73","0.072",FALSE,TRUE,FALSE,FALSE,"NS",NA
"EGR1",NA,-3.35,0.00196026778541064,"-3.35","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
